"zone","state","lga","sector","ea","hhid","indiv","s3eq1a","s3eq1b","s3eq1c","s3eq1d","s3eq1e","s3eq2a","s3eq2b","s3eq3a","s3eq3b","s3eq4","s3eq5","s3eq6","s3eq6b","s3eq7","s3eq8a","s3eq8b","s3eq9a","s3eq9b","s3eq10","s3eq11","s3eq12","s3eq12b","tracked_obs"
5,10,1005,2,1374,100082,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100082,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100082,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100083,1,"CARPENTER",,,,,"CARPENTER",7124,"CARPENTER",16,6,54,9,,2,,,,,,,,,0
5,10,1005,2,1374,100083,2,"CROP FARMING",,,,,"CROP FARMING",9211,"AGRICULTURE",1,6,21,9,,2,,,,,,,,,0
5,10,1005,2,1374,100083,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100083,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100083,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100083,6,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100083,8,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100085,1,"CROP FARMING","PALM OIL PRODUCTION",,,,"CROP FARMING",9211,"AGRICULTURE",1,6,44,9,,1,"PALM OIL PRODUCTION",6130,"MANUFACTURING",10,6,15,9,,0
5,10,1005,2,1374,100085,2,"CROP FARMIBG","RICE SELLER",,,,"CROP FARMING",9211,"AGRICULTURE",1,6,18,9,,1,"RICE SELLER",9111,"RICE SELLER",47,6,24,9,,0
5,10,1005,2,1374,100085,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100085,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100085,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100085,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100085,7,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100086,1,"CROP FARMING",,,,,"CROP FARMING",9211,"AGRICULTURE",1,5,48,9,,2,,,,,,,,,0
5,10,1005,2,1374,100086,2,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100086,3,"HAIR DRESSING","CROP FARMING",,,,"HAIRDRESSING",5141,"PERSONNAL SERVICE",96,2,5,9,,1,"CROP FARMING",9211,"AGRICULTURE",1,5,8,10,"WORK FOR HOUSEHOLD H",0
5,10,1005,2,1374,100086,4,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100086,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100088,1,"CARPENTRY WORK",,,,,"CARPENTRY WORK",7214,"MANUFACTURE OF FURNITURE",31,6,42,9,,2,,,,,,,,,0
5,10,1005,2,1374,100088,2,"BUYING AND SELLING",,,,,"BUYING AND SELLING OF CLO",3416,"RETAIL TRADE",47,6,56,9,,2,,,,,,,,,0
5,10,1005,2,1374,100088,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100088,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100088,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100088,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100088,7,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100089,1,"HAIR DRESSER",,,,,"HAIR DRESSER",5141,"SERVICE ACTIVITIES(BEAUTI",96,6,60,9,,2,,,,,,,,,0
5,10,1005,2,1374,100089,2,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100089,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100089,4,"ARTISTE",,,,,"ARTISTE",2452,"ART, ENTERTAINMENT/RECREA",90,6,60,9,,2,,,,,,,,,0
5,10,1005,2,1374,100089,5,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,2,1374,100090,1,"BUYING AND SELLING",,,,,"BUYING AND SELLING",3416,"RETAIL TRADE",47,6,48,9,,2,,,,,,,,,0
5,10,1005,2,1374,100090,2,"CROP FARMING","GARRI PROCESSING",,,,"CROP FARMING",6114,"AGRICULTURE",1,6,35,9,,1,"GARRI PROCESSING",6130,"MANUFACTURING",10,6,14,9,,0
5,10,1005,1,662,100092,1,"TEACHING",,,,,"TEACHING",2320,"TEACHING",74,5,40,2,,1,"SALES OF KEROSINE",3416,"TRADING  (KEROSIN)",47,6,28,9,,0
5,10,1005,1,662,100092,2,"TRADING",,,,,"TRADING",3416,"TRADING  (AKPU)",47,6,48,9,,2,,,,,,,,,0
5,10,1005,1,662,100092,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100092,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100092,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100092,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100092,7,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100092,8,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100092,9,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100092,10,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100092,11,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100093,1,"CROP FARMING",,,,,"CROP FARMING",6111,"FIELD FARMING",1,12,36,9,,2,,,,,,,,,0
5,10,1005,1,662,100093,2,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100093,3,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100093,4,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100093,5,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100093,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100093,7,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100093,8,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100093,9,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100093,10,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,1,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,2,"CROP FARMING",,,,,"CROP FARMING",6111,"CROP PRODUCTION",1,6,42,9,,2,,,,,,,,,0
5,10,1005,1,662,100094,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,5,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,7,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,8,"CROP FARMING",,,,,"CROP FARMING",6111,"CROP PRODUCTION",1,6,49,9,,2,,,,,,,,,0
5,10,1005,1,662,100094,9,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,10,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,11,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,12,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,13,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100094,14,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100097,1,"CROP FARMING",,,,,"CROP FARMING",9211,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
5,10,1005,1,662,100097,2,"TRADING",,,,,"TRADING",3416,"TRADING ON BABY WEARS",47,6,20,9,,2,,,,,,,,,0
5,10,1005,1,662,100097,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100097,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100098,1,"FRIDGE REPAIRER",,,,,"FRIDGE REPAIRER",7241,"FREDGE REPAIRER",74,2,20,9,,2,,,,,,,,,0
5,10,1005,1,662,100098,2,"TRADING",,,,,"TRADING",3416,"TRADING  AND PROVISION",47,6,24,9,,2,,,,,,,,,0
5,10,1005,1,662,100098,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1005,1,662,100098,4,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100101,1,"CROP FARMING",,,,,"CROP FARMING",6114,"AGRICULTURE",1,6,40,9,,2,,,,,,,,,0
5,10,1018,2,898,100101,2,"CROP FARMING",,,,,"CROP FARMING",6114,"AGRICULTURE",1,6,35,9,,1,"MAT MAKING",7424,"MAT MAKING",13,6,15,9,,0
5,10,1018,2,898,100101,3,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100101,4,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100101,5,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100102,1,"CROP FARMING","BRICKLAYER",,,,"CROP FARMING",6111,"CROP FARMING",1,5,50,9,,1,"BRICKLAYER",7122,"BRICKLAYER",41,2,12,9,,0
5,10,1018,2,898,100102,2,"CROP FARMING",,,,,"CROP FARMING",6111,"CROP FARMING",1,5,42,9,,2,,,,,,,,,0
5,10,1018,2,898,100102,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100102,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100102,5,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100102,6,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100102,7,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100103,1,"CROP FARMING",,,,,"CROP FARMING",6114,"AGRICULTURE",1,6,30,9,,2,,,,,,,,,0
5,10,1018,2,898,100103,2,"CROP FARMING",,,,,"CROP FARMING",6114,"AGRICULTURE",1,6,60,9,,2,,,,,,,,,0
5,10,1018,2,898,100103,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100103,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100103,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100103,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100103,7,"CROP FARMING",,,,,"CROP FARMING",6114,"AGRICULTURE",1,6,60,9,,2,,,,,,,,,0
5,10,1018,2,898,100103,8,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100103,9,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100103,10,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100103,11,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100103,12,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100104,1,"CROP FARMING",,,,,"CROP FARMING",6114,"AGRICULTURE",1,6,60,9,,2,,,,,,,,,0
5,10,1018,2,898,100104,2,"CROP FARMING",,,,,"CROP FARMING",6114,"AGRICULTURE",1,6,60,9,,2,,,,,,,,,0
5,10,1018,2,898,100104,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100104,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100104,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100104,6,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100104,7,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100105,1,"CROP FARMING",,,,,"CROP FARMING",6114,"CROP FARMING",1,5,48,9,,2,,,,,,,,,0
5,10,1018,2,898,100105,2,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100106,1,"BUYING AND SELLING",,,,,"BUYING AND SELLING",3416,"RETAIL TRADE",47,6,70,9,,2,,,,,,,,,0
5,10,1018,2,898,100106,2,"BUYING AND SELLING",,,,,"BUYING AND SELLING",3416,"RETAIL TRADE",47,6,70,9,,2,,,,,,,,,0
5,10,1018,2,898,100106,3,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100106,4,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100108,1,"CROP FARMING",,,,,"CROP FARMING",6111,"CROP PRODUCTION",1,6,42,9,,1,"MAT MAKING",7331,"MANUFACTURING",16,6,24,9,,0
5,10,1018,2,898,100108,2,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100108,3,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100108,4,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100109,1,"BUILDING CONSTRUCTION",,,,,"BUILDING CONSTRUCTION",313,"SPECIALIZED CONSTRUCTION",43,5,56,4,,2,,,,,,,,,0
5,10,1018,2,898,100109,2,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100109,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100109,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100109,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100109,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100109,7,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100109,8,"CROP FARMING",,,,,"CROP FARMING",6111,"CROP PRODUCTION",1,6,48,9,,2,,,,,,,,,0
5,10,1018,2,898,100110,1,"CROP FARMING","MAT MAKING",,,,"CROP FARMING",6111,"CROP FARMING",1,6,25,9,,1,"MAT MAKING",7331,"MAT MAKING",16,6,36,5,,0
5,10,1018,2,898,100110,2,"BUILDING CONSTRUCTION",,,,,"BUILDING CONSTRUCTION",313,"SPECIATIZED CONSTRUCTION",43,5,56,4,,2,,,,,,,,,0
5,10,1018,2,898,100110,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100110,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,2,898,100110,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,1,634,100114,1,"EDUCATIONIST","MIXED ANIMAL PRODUCER",,,,"EDUCATIONIST",2351,"EDUCATION",85,6,40,9,,1,"MIXED ANIMAL",6123,"MIXED ANIMAL PRODUCER",1,6,14,9,,0
5,10,1018,1,634,100114,2,"EDUCATIONIST",,,,,"EDUVATIONIST",2351,"EDUCATION",85,6,46,10,"FAMILY BUSINESS",2,,,,,,,,,0
5,10,1018,1,634,100114,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,1,634,100114,4,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,1,634,100114,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,1,634,100114,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,1,634,100114,7,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,1,634,100115,1,"TEACHING","POUTRY",,,,"TEACHING",2320,"TEACHING",85,3,40,2,,1,"POUTRY",9211,"POUTRY",1,12,12,9,,0
5,10,1018,1,634,100115,2,"STORE OFFICER",,,,,"STORE OFFICER",3439,"STORE OFFICER",84,6,45,4,,2,,,,,,,,,0
5,10,1018,1,634,100115,3,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1018,1,634,100115,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100122,1,"SICK",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100122,2,"BUYING AND SELLING",,,,,"BUYING AND SELLING",3416,"RETAIL TRADE",47,6,56,9,,2,,,,,,,,,0
5,10,1020,1,38,100122,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100122,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100122,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100122,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100126,1,"PASTOR","MANUFACTURE OF BLOCK",,,,"PASTOR",2460,"RELIGIOUS",99,6,7,8,,1,"MANUFACTURE BLOCK",3416,"MANUFACTURE",32,6,24,9,,0
5,10,1020,1,38,100126,2,"SALES OF CLOTHING",,,,,"BUYING AND SELLING",3416,"RETAIL TRADE",47,6,66,9,,2,,,,,,,,,0
5,10,1020,1,38,100126,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100128,1,"BUYING AND SELLING",,,,,"BUYING AND SELLING",3416,"RETAIL TRADE",47,4,60,9,,1,,3413,"LAND AGENT",68,6,20,9,,0
5,10,1020,1,38,100128,2,"SALE OF FOOD STUFF",,,,,"TRADING",3416,"RETAIL TRADE",47,4,50,9,,2,,,,,,,,,0
5,10,1020,1,38,100128,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100128,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100128,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100128,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100128,7,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100130,1,"BRIGKLAYER",,,,,"BRICKLAYER",7122,"MASON",43,6,42,9,,2,,,,,,,,,0
5,10,1020,1,38,100130,2,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100130,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100130,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100130,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100130,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1020,1,38,100130,7,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1025,2,1774,100134,1,"BRICKLAYER",,,,,"BRICKLAYER",7122,"CONSTRUCTION OF BUILDING",41,6,14,9,,2,,,,,,,,,0
5,10,1025,2,1774,100134,2,"PERSONAL CARE WORKER",,,,,"PERSONAL CARE WORKER",5139,"CARE ACTIVITIES",87,6,45,4,,2,,,,,,,,,0
5,10,1025,2,1774,100134,3,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1025,2,1774,100134,4,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1025,2,1774,100134,5,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1025,2,1774,100134,6,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1025,2,1774,100134,7,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1025,2,1774,100134,8,,,,,,,,,,,,,,,,,,,,,,,0
5,10,1025,2,1774,100135,1,"BUYING AND SELLING",,,,,"BUYING AND SELLING",3416,"RETAIL TRADE",47,6,60,9,,1,"ESUSU/DAILY COLLECTOR",3419,"AUXILIARY FINANCIAL ACTIV",66,6,40,9,,0
5,10,1025,2,1774,100135,2,"NONE",,,,,,,,,,,,,,,,,,,,,,0
5,10,1025,2,1774,100135,3,"TYPIST",,,,,"TYPIST",7341,"OFFICE SUPPORT/ADMIN",82,6,40,9,,2,,,,,,,,,0
4,11,1104,1,2028,110004,1,"DEALER ON M/PARTS TRANSPO",,,,,"DEALER ON M.PARTS TRANSPO",1316,"LAND TRANSPORT",49,6,60,9,,2,,,,,,,,,0
4,11,1104,1,2028,110004,2,"TEACHING",,,,,"TEACHING",2320,"EDUCATION",85,6,40,2,,2,,,,,,,,,0
4,11,1104,1,2028,110004,3,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110004,4,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110004,5,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110004,6,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110004,7,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110004,8,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110008,1,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110008,2,"TEACHER",,,,,"TEACHER",3330,"EDUCATION",85,6,40,2,,2,,,,,,,,,0
4,11,1104,1,2028,110008,3,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110008,4,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110009,1,"STATISTICIAL",,,,,"STATISTICIAL",2122,"SCIENTIFIC RESEARCH DEVLO",72,6,40,2,,2,,,,,,,,,0
4,11,1104,1,2028,110009,2,"AUDITING CLERK",,,,,"AUDITING CLERK",4122,"FINANCIAL SERVICES ACTIVI",64,6,40,2,,2,,,,,,,,,0
4,11,1104,1,2028,110009,3,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110009,4,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110009,5,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110009,6,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110009,7,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1104,1,2028,110009,8,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1112,2,1952,110011,1,"CLEARING OF FARM","MAKING OF HEAPS",,,,"MIXED CROP FARMING",6114,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
4,11,1112,2,1952,110011,2,"WEEDING","PLANTING OF SEEDS",,,,"MIXED CROP FARMING",6114,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
4,11,1112,2,1952,110011,3,"WEEDING",,,,,"MIXED CROP FARMING",6114,"AGRICULTURE",1,6,6,9,,2,,,,,,,,,0
4,11,1112,2,1952,110011,4,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1112,2,1952,110011,5,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1112,2,1952,110011,6,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1112,2,1952,110011,7,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1112,2,1952,110012,1,"CLEARING OF FARM","MAKING OF HEAPS",,,,"MIXED CROP FARMING",6114,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
4,11,1112,2,1952,110012,2,"WEEDING","PLANTING OF SEED",,,,"MIXED CROP FARMING",6114,"AGRICULTURE",1,6,40,9,,2,,,,,,,,,0
4,11,1112,2,1952,110012,3,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1112,2,1952,110012,4,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1112,2,78,110021,1,"CLEARING THE FARM","CLEARING OF FARM","CLEARING THE FARM","CLEARING THE FARM","CLEARING THE FARM","MIXED CROP FARMING",6114,"AGRICULTURE",1,6,20,9,,2,,,,,,,,,0
4,11,1112,2,78,110021,2,"PLANDING AND WEEDING","PLANTING AND WEEDING","PLANTING/WEEDING","PLANTING/WEEDING","PLANTING AND WEEDING","MIXED CROP FARMING",6114,"AGRICULTURE",1,6,30,9,,2,,,,,,,,,0
4,11,1112,2,78,110021,3,"CLEARING THE FARM","CLEARING THE FARM","CLEARING THE FARM","CLEARING THE FARM","CLEARING THE FARM","MIXED CROP FARMING",6114,"AGRICULTURE",1,6,40,9,,2,,,,,,,,,0
4,11,1112,2,78,110021,4,"PLANTING AND WEEDING","PLANTING AND WEEDING","PLANTING AND WEEDING","PLANTING/WEEDING","PLANTING AND WEEDING","MIXED CROP FARMING",6114,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
4,11,1112,2,78,110021,5,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1112,2,78,110021,6,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1112,2,78,110021,7,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1112,2,78,110024,1,"CLEARING OF FARM","MAKING OF HEAPS",,,,"MIXED CROP FARMING",6114,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
4,11,1112,2,78,110024,2,"PLANTING OF SEEDS","WEEDING OF FARM",,,,"MIXED CROP FARMING",6114,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
4,11,1112,2,78,110024,3,"PLANTING OF SEEDS","WEEDING OF FARM",,,,"MIXED CROP FARMING",6114,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
4,11,1112,2,78,110024,4,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1110,2,714,110033,1,"CLEARING/MAKING OF HEAPS",,,,,"CLEARING/MAKING OF HEAPS",6114,"AGRIVULTURE",1,6,48,9,,2,,,,,,,,,0
4,11,1110,2,714,110033,2,"WEEDING AND PLANTING",,,,,"WEEDING AND PLANTING",6114,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
4,11,1110,2,714,110033,3,"WEEDING AND PLANTING",,,,,"WEEDING AND PLANTING",6114,"AGRICULTURE",1,6,6,9,,2,,,,,,,,,0
4,11,1110,2,714,110033,4,"CLEARING/MAKING OF HEAPS",,,,,"CLEARING/MAKING OF HEAPS",6114,"AGRICULTURE",1,6,6,9,,2,,,,,,,,,0
4,11,1110,2,714,110033,5,"CLEARING/MAKING OF HEAPS",,,,,"CLEARING/MAKING OF HEAPS",6114,"AGRICULTURE",1,6,6,9,,2,,,,,,,,,0
4,11,1110,2,714,110034,1,"CLEARING OF BUSH","MAKING OF HEAPS","PLANTING OF SEED",,,"PLANTING OF SEED",6114,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
4,11,1110,2,714,110034,2,"WEEDING","PLANTING OF SEED",,,,"WEEDING AND PLANTING",6114,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
4,11,1110,2,714,110034,3,"CLEARING OF BUSH","MAKING OF HEAPS",,,,"CLEARING OF BUSH",6114,"AGRICULTURE",1,6,8,9,,2,,,,,,,,,0
4,11,1110,2,714,110034,4,"CLEARING OF BUSH","MAKING OF HEAPS",,,,"CLEARING OF BUSH",6114,"AGRICULTURE",1,6,8,9,,2,,,,,,,,,0
4,11,1110,2,714,110034,5,"CLEARING OF BUSH","MAKING OF HEAPS",,,,"CLEARING OF BUSH",6114,"AGRICULTURE",1,6,8,9,,2,,,,,,,,,0
4,11,1110,2,714,110034,6,"CLEARING OF BUSH",,,,,"CLEARING OF BUSH",6114,"AGRICULTURE",1,6,8,9,,2,,,,,,,,,0
4,11,1110,2,714,110034,7,"WEEDING",,,,,"WEEDING",6114,"AGRICULTURE",1,6,8,9,,2,,,,,,,,,0
4,11,1110,2,714,110034,8,"WEEDING",,,,,"WEEDING",6114,"AGREICULTURE",1,6,6,9,,2,,,,,,,,,0
4,11,1110,2,714,110034,9,,,,,,,,,,,,,,,,,,,,,,,0
4,11,1110,2,714,110034,10,"WEEDING",,,,,"WEEDING",6114,"AGRICULTURE",1,6,6,9,,2,,,,,,,,,0
4,11,1110,2,714,110034,11,,,,,,,,,,,,,,,,,,,,,,,0
