"zone","state","lga","sector","ea","hhid","indiv","s3eq1a","s3eq1b","s3eq1c","s3eq1d","s3eq1e","s3eq2a","s3eq2b","s3eq3a","s3eq3b","s3eq4","s3eq5","s3eq6","s3eq6b","s3eq7","s3eq8a","s3eq8b","s3eq9a","s3eq9b","s3eq10","s3eq11","s3eq12","s3eq12b","tracked_obs"
4,1,111,1,1146,10039,4,"BUYING & SELLING",,,,,"BUYIING & SELLING",3416,"WEARS MATERIAL",47,6,50,9,,2,,,,,,,,,0
4,1,111,1,1146,10039,5,"BUYING & SELLING",,,,,"BUYING & SELLING",3416,"EDUCATIONAL MATERIALS",47,6,50,9,,2,,,,,,,,,0
4,1,111,1,1146,10039,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,1,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,2,"BUYING & SELLING",,,,,"BUYING & SELLING",3416,"WHOLESALE & RETAIL",47,6,60,9,,2,,,,,,,,,0
4,1,102,1,536,10041,3,"ADMINISTRATIVE WORK",,,,,"OFFICE ADMINISTRATIVE",3431,"OFFICE ADMINISTRATOR",82,6,40,1,,2,,,,,,,,,0
4,1,102,1,536,10041,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,5,"BUYING & SELLING",,,,,"BUYING & SELLING",3416,"WHOLESALE & RETAIL",47,6,60,9,,2,,,,,,,,,0
4,1,102,1,536,10041,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,7,"BUYING & SELLING",,,,,"BUYING & SELLING",3416,"WHOLESALE & RETAIL",47,6,60,9,,2,,,,,,,,,0
4,1,102,1,536,10041,8,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10042,1,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10042,2,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10042,3,"TRADING",,,,,"BUYERS",3416,"WHOLESALE & RETAIL TRADE",47,6,72,9,,2,,,,,,,,,0
4,1,102,1,536,10042,4,"TRADING",,,,,"BUYERS",3416,"WHOLESALE & RETAIL TRADE",47,6,72,9,,2,,,,,,,,,0
4,1,102,1,536,10043,1,"DRIVER",,,,,"TRICYCL",8321,"TRANSPOTATION & STORAGE",49,6,60,9,,2,,,,,,,,,0
4,1,102,1,536,10043,2,"TRADING",,,,,"BUYERS",3416,"WHOLESALE & RETAIL TRADE",47,6,54,9,,2,,,,,,,,,0
4,1,102,1,536,10043,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,1,"BUYING & SELLING",,,,,"BUYING & SELLING",3416,"BUYING & SELLING",47,6,50,9,,2,,,,,,,,,0
4,1,102,1,536,10044,2,"BUYING & SELLING",,,,,"BUYING & SELLING",3416,"BUYING & SELLING",47,6,40,9,,2,,,,,,,,,0
4,1,102,1,536,10044,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10044,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,1,"BUYING & SELLING",,,,,"TRADING",3416,"BUYING & SELLING",46,6,10,9,,2,,,,,,,,,0
4,1,102,1,536,10045,2,"BUYING & SELLING",,,,,"TRADING",3416,"BUYING & SELLING",47,6,10,9,,2,,,,,,,,,0
4,1,102,1,536,10045,3,"BUYING & SELLING",,,,,"TRADING",3416,"BUYING & SELLING",47,6,10,9,,2,,,,,,,,,0
4,1,102,1,536,10045,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,1,"SCHOOL ADMINISTRAION","BUYING & SELLING",,,,"SCHOOL ADMINISTRATION",3439,,82,1,6,9,,1,"BUYING & SELLING",3416,"TELEPHONE ACCESSORIES",61,6,19,9,,0
4,1,102,1,536,10046,2,"TEACHING",,,,,"TEACHING",2331,,85,1,6,9,,2,,,,,,,,,0
4,1,102,1,536,10046,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,1,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,2,"BUYING & SELLING",,,,,"BUYING & SELLING",3416,,47,6,45,9,,2,,,,,,,,,0
4,1,102,1,536,10047,3,"BUYING & SELLING",,,,,"R/CARD SALE& HAND SET REP",2419,,63,6,54,9,,2,,,,,,,,,0
4,1,102,1,536,10047,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,6,"SHOP ATTENDANT",,,,,"SHOP SALES PERSON",5220,,82,6,54,4,,2,,,,,,,,,0
4,1,102,1,536,10047,7,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,8,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,9,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,1,,,,,,,,,,,,,,,,,,,,,,,0
