"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c","s9q7d","tracked_obs"
4,1,102,1,1690,10056,0,0,2,0,0,0,0,0,0,3,,1,,,,1,6,,,7,,,10,,,"POOR SALES:RAW MATER",0
4,1,102,1,1690,10057,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,102,1,1690,10058,4,5,5,4,0,2,0,0,0,3,,1,,,,1,7,,,7,,,5,6,6,,0
4,1,102,1,1690,10059,0,0,0,1,0,0,0,0,0,3,0,1,,,,1,4,,,5,,,3,5,6,,0
4,1,102,1,1690,10060,3,2,3,2,1,2,0,0,0,4,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10061,2,3,0,1,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10062,1,2,0,3,0,0,0,0,0,3,,1,,,,1,4,,,7,,,4,1,,,0
4,1,107,2,1044,10063,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10064,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10065,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10066,3,2,1,2,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10067,2,3,2,3,1,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10068,3,2,2,1,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10069,7,7,7,7,7,4,0,0,0,2,4,2,3,3,1,1,5,,,5,,,3,4,6,,0
4,1,107,2,1044,10070,0,0,2,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10071,2,2,1,3,2,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10072,2,2,1,2,3,0,0,0,0,2,3,2,3,2,1,2,,,,,,,,,,,0
4,1,117,2,560,10073,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10074,2,1,2,2,1,0,0,0,0,3,,1,,,,1,5,,,5,,,1,5,4,,0
4,1,117,2,560,10075,3,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10076,3,2,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10077,2,1,1,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10078,2,2,3,2,2,0,0,0,0,3,,1,,,,1,5,,,6,,,1,4,5,,0
4,1,117,2,560,10079,3,3,2,4,0,3,2,2,0,2,,1,,,,2,,,,,,,,,,,0
4,1,117,2,560,10080,4,4,3,4,3,2,0,0,0,2,4,1,,,,1,6,,,6,,,5,4,,,0
4,1,110,2,76,10081,4,4,5,4,2,1,1,1,2,3,,1,,,,2,,,,,,,,,,,0
4,1,110,2,76,10082,7,7,4,3,0,7,0,0,0,2,,1,,,,1,9,,,10,,,10,10,10,"ILLNESS",0
