"zone","state","sector","lga","ea","hhid","plotid","plot_qa_type","dist_household","srtmslp_nga","srtm_nga","twi_nga"
4,1,2,110,76,10089,2,1,2,1,84,15
4,1,2,110,76,10089,3,1,2.04,1.5,84,15
4,1,2,110,76,10089,1,1,1.96,1.3,84,15
4,1,2,105,638,10091,4,1,0.72,3.7,85,18
4,1,2,105,638,10091,2,1,0.38,7.7,89,14
4,1,2,105,638,10091,1,1,0.06,2.5,101,15
4,1,2,105,638,10091,5,1,0.04,3.8,101,15
4,1,2,105,638,10091,3,1,0.72,2.9,85,19
4,1,2,105,638,10092,2,1,0.7,3.2,116,14
4,1,2,105,638,10092,1,1,0.79,2.9,116,12
4,1,2,105,638,10094,1,1,0.76,3.4,116,12
4,1,2,105,638,10094,2,1,0.71,3.1,116,13
4,1,2,105,638,10096,2,1,0.12,3.3,100,15
4,1,2,105,638,10096,1,1,0.01,1.8,100,15
4,1,2,105,638,10096,3,1,0.11,2.8,100,15
4,1,2,105,638,10097,1,1,0.02,3.2,103,13
4,1,2,105,638,10097,2,1,0.05,3.6,104,14
4,1,2,105,638,10099,1,1,0.26,4.3,113,13
4,1,2,105,638,10100,3,1,1.06,4.9,95,13
4,1,2,105,638,10100,2,1,1.05,4.8,95,14
4,1,2,105,638,10100,1,1,0,1.8,101,15
4,1,2,108,904,10102,3,1,1.41,3.7,125,13
4,1,2,108,904,10102,1,1,0.45,8.1,194,11
4,1,2,108,904,10102,2,1,0.46,8.3,195,11
4,1,2,108,904,10103,2,1,1.39,3.7,126,13
4,1,2,108,904,10103,1,1,0.15,11.5,151,13
4,1,2,108,904,10105,1,1,1.39,3.8,127,13
4,1,2,108,904,10106,1,1,1.41,4.5,129,12
4,1,2,108,904,10106,2,1,1.41,5.2,129,12
4,1,2,108,904,10107,3,1,0.18,7,135,15
4,1,2,108,904,10107,2,1,0.1,8.6,138,13
4,1,2,108,904,10107,1,1,0.16,6.9,138,14
