"zone","state","lga","sector","ea","hhid","hhno","qno1","qno2","s1q10","s1q11","tracked_obs"
2,2,210,2,1300,20066,31,2,2,3,1,0
2,2,210,2,1300,20067,2,2,2,3,1,0
2,2,210,2,1300,20068,5,2,2,2,1,0
2,2,210,2,1300,20069,15,2,2,4,1,0
2,2,210,2,1300,20070,25,2,2,5,1,0
2,2,214,1,898,20072,67,2,2,5,1,0
2,2,214,1,898,20073,26,2,2,3,1,0
2,2,214,1,898,20074,58,3,3,4,1,0
2,2,214,1,898,20075,54,4,4,5,1,0
2,2,214,1,898,20077,40,2,2,3,1,0
2,2,214,1,898,20078,12,2,2,3,1,0
2,2,215,1,8,20081,4,2,2,2,1,0
2,2,215,1,8,20082,28,2,2,2,1,0
2,2,215,1,8,20083,15,2,2,5,1,0
2,2,215,1,8,20085,6,2,2,3,1,0
2,2,215,1,8,20086,17,3,3,2,1,0
2,2,215,1,8,20087,1,3,3,3,1,0
2,2,215,1,8,20088,31,2,2,4,1,0
2,2,215,1,8,20089,23,2,2,5,1,0
2,2,215,1,8,20090,26,2,2,3,1,0
2,2,207,2,1302,20091,1,2,2,3,1,0
2,2,207,2,1302,20092,5,2,2,4,1,0
2,2,207,2,1302,20093,10,2,2,2,1,0
2,2,207,2,1302,20094,6,2,2,2,1,0
2,2,207,2,1302,20095,2,2,2,3,1,0
2,2,207,2,1302,20096,11,2,2,5,1,0
2,2,207,2,1302,20097,12,2,2,5,1,0
2,2,207,2,1302,20098,9,2,2,2,1,0
2,2,207,2,1302,20099,7,2,2,4,1,0
2,2,207,2,1302,20100,4,2,2,5,1,0
2,2,205,2,712,20101,28,2,2,2,1,0
2,2,205,2,712,20102,19,3,3,4,1,0
2,2,205,2,712,20103,30,2,2,2,1,0
2,2,205,2,712,20104,6,2,2,5,1,0
2,2,205,2,712,20105,26,2,2,3,1,0
2,2,205,2,712,20106,21,2,2,5,1,0
2,2,205,2,712,20107,12,2,2,3,1,0
