"zone","state","lga","sector","ea","hhid","boat_cd","boat_desc","boat_other","sa9bq3","sa9bq4","sa9bq5","sa9bq6","sa9bq7","sa9bq8","sa9bq9","tracked_obs"
1,7,713,2,304,70152,5,"Other Specify 2",,0,,2,,,0,0,0
1,7,713,2,304,70152,6,"Other Specify 3",,0,,2,,,0,0,0
1,7,713,2,304,70153,1,"Canoe without engine",,1,20000,2,,,0,200,0
1,7,713,2,304,70153,2,"Canoe with engine",,0,,2,,,0,0,0
1,7,713,2,304,70153,3,"Outboard engine",,0,,2,,,0,0,0
1,7,713,2,304,70153,4,"Other Specify 1",,0,,2,,,0,0,0
1,7,713,2,304,70153,5,"Other Specify 2",,0,,2,,,0,0,0
1,7,713,2,304,70153,6,"Other Specify 3",,0,,2,,,0,0,0
1,7,713,2,304,70155,1,"Canoe without engine",,2,80000,2,,,0,200,0
1,7,713,2,304,70155,2,"Canoe with engine",,0,,2,,,0,0,0
1,7,713,2,304,70155,3,"Outboard engine",,0,,2,,,0,0,0
1,7,713,2,304,70155,4,"Other Specify 1",,0,,2,,,0,0,0
1,7,713,2,304,70155,5,"Other Specify 2",,0,,2,,,0,,0
1,7,713,2,304,70155,6,"Other Specify 3",,0,,2,,,0,0,0
1,7,713,2,304,70157,1,"Canoe without engine",,1,8000,2,,,0,1500,0
1,7,713,2,304,70157,2,"Canoe with engine",,1,80000,2,,,10000,2500,0
1,7,713,2,304,70157,3,"Outboard engine",,0,,2,,,0,0,0
1,7,713,2,304,70157,4,"Other Specify 1",,0,,2,,,0,0,0
1,7,713,2,304,70157,5,"Other Specify 2",,0,,2,,,0,0,0
1,7,713,2,304,70157,6,"Other Specify 3",,0,,2,,,0,0,0
5,10,1018,2,898,100102,1,"Canoe without engine",,1,10000,2,,,0,1000,0
5,10,1018,2,898,100102,2,"Canoe with engine",,0,,,,,,,0
5,10,1018,2,898,100102,3,"Outboard engine",,,,,,,,,0
5,10,1018,2,898,100102,4,"Other Specify 1",,,,,,,,,0
5,10,1018,2,898,100102,5,"Other Specify 2",,,,,,,,,0
5,10,1018,2,898,100102,6,"Other Specify 3","FISHING NET",15,4000,2,,,0,0,0
3,17,1722,2,96,170041,1,"Canoe without engine",,1,15000,2,,,2000,0,0
3,17,1722,2,96,170041,2,"Canoe with engine",,0,,2,,,0,0,0
3,17,1722,2,96,170041,3,"Outboard engine",,0,,2,,,0,0,0
3,17,1722,2,96,170041,4,"Other Specify 1",,0,,2,,,0,0,0
3,17,1722,2,96,170041,5,"Other Specify 2",,0,,2,,,0,0,0
3,17,1722,2,96,170041,6,"Other Specify 3",,0,,2,,,0,0,0
3,17,1722,2,96,170042,1,"Canoe without engine",,0,,1,90,300,0,0,0
3,17,1722,2,96,170042,2,"Canoe with engine",,0,,2,,,0,0,0
3,17,1722,2,96,170042,3,"Outboard engine",,0,,2,,,0,0,0
3,17,1722,2,96,170042,4,"Other Specify 1",,0,,2,,,0,0,0
3,17,1722,2,96,170042,5,"Other Specify 2",,0,,2,,,0,0,0
3,17,1722,2,96,170042,6,"Other Specify 3",,0,,2,,,0,0,0
3,17,1722,2,96,170046,1,"Canoe without engine",,0,,2,,,0,0,0
3,17,1722,2,96,170046,2,"Canoe with engine",,0,,1,90,300,700,0,0
3,17,1722,2,96,170046,3,"Outboard engine",,0,,2,,,0,0,0
3,17,1722,2,96,170046,4,"Other Specify 1",,0,,2,,,0,0,0
3,17,1722,2,96,170046,5,"Other Specify 2",,0,,2,,,0,0,0
3,17,1722,2,96,170046,6,"Other Specify 3",,0,,2,,,0,0,0
3,17,1722,2,96,170047,1,"Canoe without engine",,0,,1,60,7200,0,0,0
3,17,1722,2,96,170047,2,"Canoe with engine",,0,,2,,,0,0,0
3,17,1722,2,96,170047,3,"Outboard engine",,0,,2,,,0,0,0
3,17,1722,2,96,170047,4,"Other Specify 1",,0,,2,,,0,0,0
3,17,1722,2,96,170047,5,"Other Specify 2",,0,,2,,,0,0,0
3,17,1722,2,96,170047,6,"Other Specify 3",,0,,2,,,0,0,0
3,17,1722,2,96,170049,1,"Canoe without engine",,1,14000,2,,,1500,1000,0
3,17,1722,2,96,170049,2,"Canoe with engine",,0,,2,,,0,0,0
3,17,1722,2,96,170049,3,"Outboard engine",,0,,2,,,0,0,0
3,17,1722,2,96,170049,4,"Other Specify 1",,0,,2,,,0,0,0
3,17,1722,2,96,170049,5,"Other Specify 2",,0,,2,,,0,0,0
3,17,1722,2,96,170049,6,"Other Specify 3",,0,,2,,,0,0,0
3,21,2117,2,554,210064,1,"Canoe without engine",,2,18000,2,,,0,0,0
3,21,2117,2,554,210064,2,"Canoe with engine",,,,,,,,,0
3,21,2117,2,554,210064,3,"Outboard engine",,,,,,,,,0
3,21,2117,2,554,210064,4,"Other Specify 1",,,,,,,,,0
3,21,2117,2,554,210064,5,"Other Specify 2",,,,,,,,,0
3,21,2117,2,554,210064,6,"Other Specify 3",,,,,,,,,0
6,28,2810,2,2394,280096,1,"Canoe without engine",,,,,,,,,0
6,28,2810,2,2394,280096,2,"Canoe with engine",,,,,,,,,0
6,28,2810,2,2394,280096,3,"Outboard engine",,2,2600000,2,,,25000,8000,0
6,28,2810,2,2394,280096,4,"Other Specify 1",,,,,,,,,0
6,28,2810,2,2394,280096,5,"Other Specify 2",,,,,,,,,0
6,28,2810,2,2394,280096,6,"Other Specify 3",,,,,,,,,0
6,28,2810,2,2394,280097,1,"Canoe without engine",,,,,,,,,0
6,28,2810,2,2394,280097,2,"Canoe with engine",,,,,,,,,0
6,28,2810,2,2394,280097,3,"Outboard engine",,1,850000,2,,,15000,4000,0
6,28,2810,2,2394,280097,4,"Other Specify 1",,,,,,,,,0
6,28,2810,2,2394,280097,5,"Other Specify 2",,,,,,,,,0
6,28,2810,2,2394,280097,6,"Other Specify 3",,,,,,,,,0
6,28,2810,2,2394,280098,1,"Canoe without engine",,,,,,,,,0
6,28,2810,2,2394,280098,2,"Canoe with engine",,,,,,,,,0
6,28,2810,2,2394,280098,3,"Outboard engine",,2,1580000,2,,,65000,4000,0
