"zone","state","lga","sector","ea","hhid","byprod_cd","byprod_desc","byprod_other","sa8q1","sa8q2","sa8q3a","sa8q3b","sa8q4","sa8q5a","sa8q5b","sa8q6","sa8q7a","sa8q7b","sa8q8a","sa8q8b","tracked_obs"
4,1,106,2,880,10029,1,"MILK",,2,,,,,,,,,,,,0
4,1,106,2,880,10029,2,"EGGS",,2,,,,,,,,,,,,0
4,1,106,2,880,10029,3,"HONEY",,2,,,,,,,,,,,,0
4,1,106,2,880,10029,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,106,2,880,10029,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,106,2,880,10029,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,106,2,880,10029,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,106,2,880,10029,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,107,2,1044,10062,1,"MILK",,2,,,,,,,,,,,,0
4,1,107,2,1044,10062,2,"EGGS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10062,3,"HONEY",,2,,,,,,,,,,,,0
4,1,107,2,1044,10062,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10062,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10062,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10062,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,107,2,1044,10062,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,107,2,1044,10063,1,"MILK",,2,,,,,,,,,,,,0
4,1,107,2,1044,10063,2,"EGGS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10063,3,"HONEY",,2,,,,,,,,,,,,0
4,1,107,2,1044,10063,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10063,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10063,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10063,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,107,2,1044,10063,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,107,2,1044,10064,1,"MILK",,2,,,,,,,,,,,,0
4,1,107,2,1044,10064,2,"EGGS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10064,3,"HONEY",,2,,,,,,,,,,,,0
4,1,107,2,1044,10064,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
