"cropname","agcropid","nscode","conversion"
"sweet potato",2181,72,85
"sweet potato",2181,73,110
"sweet potato",2181,74,150
"pumpkin",2190,11,20
"pumpkin",2190,12,50
"pumpkin",2190,13,100
"pumpkin",2190,14,120
"pumpkin",2190,21,15
"pumpkin",2190,22,30
"pumpkin",2190,23,50
"pumpkin",2190,24,75
"pumpkin",2190,31,10
"pumpkin",2190,32,25
"pumpkin",2190,33,40
"pumpkin",2190,34,75
"pumpkin",2190,41,5
"pumpkin",2190,61,15
"pumpkin",2190,62,25
"pumpkin",2190,63,40
"pumpkin",2190,71,60
"pumpkin",2190,72,85
"pumpkin",2190,73,110
"pumpkin",2190,74,150
"pumpkin",2190,81,1500
"pumpkin",2190,82,2000
"pumpkin",2190,83,2500
"pumpkin leave",2191,11,20
"pumpkin leave",2191,12,50
"pumpkin leave",2191,13,100
"pumpkin leave",2191,14,120
"pumpkin leave",2191,21,15
"pumpkin leave",2191,22,30
"pumpkin leave",2191,23,50
"pumpkin leave",2191,24,75
"pumpkin leave",2191,31,10
"pumpkin leave",2191,32,25
"pumpkin leave",2191,33,40
"pumpkin leave",2191,34,75
"pumpkin leave",2191,41,5
"pumpkin leave",2191,61,15
"pumpkin leave",2191,62,25
"pumpkin leave",2191,63,40
"pumpkin fruit",2192,11,20
"pumpkin fruit",2192,12,50
"pumpkin fruit",2192,13,100
"pumpkin fruit",2192,14,120
"pumpkin fruit",2192,21,15
"pumpkin fruit",2192,22,30
"pumpkin fruit",2192,23,50
"pumpkin fruit",2192,24,75
"pumpkin fruit",2192,31,10
"pumpkin fruit",2192,32,25
"pumpkin fruit",2192,33,40
"pumpkin fruit",2192,34,75
"pumpkin fruit",2192,51,3
"pumpkin fruit",2192,61,15
"pumpkin fruit",2192,62,25
"pumpkin fruit",2192,63,40
"pumpkin seed",2193,11,20
"pumpkin seed",2193,12,50
"pumpkin seed",2193,13,100
"pumpkin seed",2193,14,120
"pumpkin seed",2193,21,15
"pumpkin seed",2193,22,30
"pumpkin seed",2193,23,50
"pumpkin seed",2193,24,75
"pumpkin seed",2193,31,10
"pumpkin seed",2193,32,25
"pumpkin seed",2193,33,40
"pumpkin seed",2193,34,75
"pumpkin seed",2193,52,5
"pumpkin seed",2193,61,15
"pumpkin seed",2193,62,25
"pumpkin seed",2193,63,40
"green vegetable",2194,11,20
"green vegetable",2194,12,50
"green vegetable",2194,13,100
"green vegetable",2194,14,120
"green vegetable",2194,21,15
"green vegetable",2194,22,30
"green vegetable",2194,23,50
"green vegetable",2194,24,75
"green vegetable",2194,31,10
"green vegetable",2194,32,25
"green vegetable",2194,33,40
"green vegetable",2194,34,75
"green vegetable",2194,41,5
"green vegetable",2194,42,8
"green vegetable",2194,61,15
"green vegetable",2194,62,25
"green vegetable",2194,63,40
"dry leaves (kuka)",2195,11,20
"dry leaves (kuka)",2195,12,50
"dry leaves (kuka)",2195,13,100
"dry leaves (kuka)",2195,14,120
"dry leaves (kuka)",2195,21,15
"dry leaves (kuka)",2195,22,30
"dry leaves (kuka)",2195,23,50
"dry leaves (kuka)",2195,24,75
"dry leaves (kuka)",2195,31,10
"dry leaves (kuka)",2195,32,25
"dry leaves (kuka)",2195,33,40
"dry leaves (kuka)",2195,34,75
"dry leaves (kuka)",2195,61,15
"dry leaves (kuka)",2195,62,25
"dry leaves (kuka)",2195,63,40
"rizga",2200,11,20
"rizga",2200,12,50
"rizga",2200,13,100
"rizga",2200,14,120
"rizga",2200,21,15
"rizga",2200,22,30
"rizga",2200,23,50
"rizga",2200,24,75
"rizga",2200,31,10
"rizga",2200,32,25
"rizga",2200,33,40
"rizga",2200,34,75
"rizga",2200,51,3
"rizga",2200,52,5
"rizga",2200,53,8
"rizga",2200,61,15
"rizga",2200,62,25
"rizga",2200,63,40
"shea nuts",2210,11,20
"shea nuts",2210,12,50
"shea nuts",2210,13,100
"shea nuts",2210,14,120
"shea nuts",2210,21,15
"shea nuts",2210,22,30
"shea nuts",2210,23,50
"shea nuts",2210,24,75
"shea nuts",2210,31,10
"shea nuts",2210,32,25
"shea nuts",2210,33,40
"shea nuts",2210,34,75
"shea nuts",2210,61,15
"shea nuts",2210,62,25
"shea nuts",2210,63,40
"shea nuts",2210,81,1500
"shea nuts",2210,82,2000
"shea nuts",2210,83,2500
"soya beans",2220,11,20
"soya beans",2220,12,50
"soya beans",2220,13,100
"soya beans",2220,14,120
"soya beans",2220,21,15
"soya beans",2220,22,30
"soya beans",2220,23,50
"soya beans",2220,24,75
"soya beans",2220,31,10
"soya beans",2220,32,25
"soya beans",2220,33,40
"soya beans",2220,34,75
"soya beans",2220,61,15
"soya beans",2220,62,25
"soya beans",2220,63,40
"sugar cane",2230,11,20
"sugar cane",2230,12,50
"sugar cane",2230,13,100
"sugar cane",2230,14,120
"sugar cane",2230,21,15
"sugar cane",2230,22,30
"sugar cane",2230,23,50
"sugar cane",2230,24,75
"sugar cane",2230,31,10
"sugar cane",2230,32,25
"sugar cane",2230,33,40
"sugar cane",2230,34,75
"sugar cane",2230,42,8
"sugar cane",2230,61,15
"sugar cane",2230,62,25
"sugar cane",2230,63,40
"tea",2240,11,20
"tea",2240,12,50
"tea",2240,13,100
"tea",2240,14,120
"tea",2240,21,15
"tea",2240,22,30
"tea",2240,23,50
"tea",2240,24,75
"tea",2240,31,10
"tea",2240,32,25
"tea",2240,33,40
"tea",2240,34,75
"tea",2240,61,15
"tea",2240,62,25
"tea",2240,63,40
"tobacco",2250,11,20
"tobacco",2250,12,50
"tobacco",2250,13,100
"tobacco",2250,14,120
"tobacco",2250,21,15
"tobacco",2250,22,30
"tobacco",2250,23,50
"tobacco",2250,24,75
"tobacco",2250,31,10
"tobacco",2250,32,25
"tobacco",2250,33,40
"tobacco",2250,34,75
"tobacco",2250,61,15
"tobacco",2250,62,25
"tobacco",2250,63,40
"tomato",2260,11,20
"tomato",2260,12,50
"tomato",2260,13,100
"tomato",2260,14,120
"tomato",2260,21,15
"tomato",2260,22,30
"tomato",2260,23,50
"tomato",2260,24,75
"tomato",2260,31,10
"tomato",2260,32,25
"tomato",2260,33,40
"tomato",2260,34,75
"tomato",2260,61,15
"tomato",2260,62,25
"tomato",2260,63,40
"tomato",2260,71,60
"tomato",2260,72,85
"tomato",2260,73,110
"tomato",2260,74,150
"tomato",2260,81,1500
"tomato",2260,82,2000
"tomato",2260,83,2500
"walnut",2270,11,20
"walnut",2270,12,50
"walnut",2270,13,100
"walnut",2270,14,120
"walnut",2270,21,15
"walnut",2270,22,30
"walnut",2270,23,50
"walnut",2270,24,75
"walnut",2270,31,10
"walnut",2270,32,25
"walnut",2270,33,40
"walnut",2270,34,75
"walnut",2270,61,15
"walnut",2270,62,25
"walnut",2270,63,40
"walnut",2270,81,1500
"walnut",2270,82,2000
"walnut",2270,83,2500
"wheat",2280,11,20
"wheat",2280,12,50
"wheat",2280,13,100
"wheat",2280,14,120
"wheat",2280,21,15
"wheat",2280,22,30
"wheat",2280,23,50
"wheat",2280,24,75
"wheat",2280,31,10
"wheat",2280,32,25
"wheat",2280,33,40
"wheat",2280,34,75
"wheat",2280,61,15
"wheat",2280,62,25
"wheat",2280,63,40
"zobo",2290,11,20
"zobo",2290,12,50
"zobo",2290,13,100
"zobo",2290,14,120
"zobo",2290,21,15
"zobo",2290,22,30
"zobo",2290,23,50
"zobo",2290,24,75
"zobo",2290,31,10
"zobo",2290,32,25
"zobo",2290,33,40
"zobo",2290,34,75
"zobo",2290,61,15
"zobo",2290,62,25
"zobo",2290,63,40
"zobo seed",2291,11,20
"zobo seed",2291,12,50
"zobo seed",2291,13,100
"zobo seed",2291,14,120
"zobo seed",2291,21,15
"zobo seed",2291,22,30
"zobo seed",2291,23,50
"zobo seed",2291,24,75
"zobo seed",2291,31,10
"zobo seed",2291,32,25
"zobo seed",2291,33,40
"zobo seed",2291,34,75
"zobo seed",2291,61,15
"zobo seed",2291,62,25
"zobo seed",2291,63,40
"zobo seed",2291,81,1500
"zobo seed",2291,82,2000
"zobo seed",2291,83,2500
"apple",3010,11,20
"apple",3010,12,50
"apple",3010,13,100
"apple",3010,14,120
"apple",3010,21,15
"apple",3010,22,30
"apple",3010,23,50
"apple",3010,24,75
"apple",3010,31,10
"apple",3010,32,25
"apple",3010,33,40
"apple",3010,34,75
"apple",3010,61,15
"apple",3010,62,25
"apple",3010,63,40
"apple",3010,81,1500
"apple",3010,82,2000
"apple",3010,83,2500
"cashew",3020,11,20
"cashew",3020,12,50
"cashew",3020,13,100
"cashew",3020,14,120
"cashew",3020,21,15
"cashew",3020,22,30
"cashew",3020,23,50
"cashew",3020,24,75
"cashew",3020,31,10
"cashew",3020,32,25
"cashew",3020,33,40
"cashew",3020,34,75
"cashew",3020,61,15
"cashew",3020,62,25
"cashew",3020,63,40
"cashew",3020,71,60
"cashew",3020,72,85
"cashew",3020,73,110
"cashew",3020,74,150
"cashew",3020,81,1500
"cashew",3020,82,2000
"cashew",3020,83,2500
"cashew fruit",3021,11,20
"cashew fruit",3021,12,50
"cashew fruit",3021,13,100
"cashew fruit",3021,14,120
"cashew fruit",3021,21,15
"cashew fruit",3021,22,30
"cashew fruit",3021,23,50
"cashew fruit",3021,24,75
"cashew fruit",3021,31,10
"cashew fruit",3021,32,25
"cashew fruit",3021,33,40
"cashew fruit",3021,34,75
"cashew fruit",3021,61,15
"cashew fruit",3021,62,25
"cashew fruit",3021,63,40
"cashew fruit",3021,71,60
"cashew fruit",3021,72,85
"cashew fruit",3021,73,110
"cashew fruit",3021,74,150
"cashew fruit",3021,81,1500
"cashew fruit",3021,82,2000
"cashew fruit",3021,83,2500
"cashew nut",3022,11,20
"cashew nut",3022,12,50
"cashew nut",3022,13,100
"cashew nut",3022,14,120
"cashew nut",3022,21,15
"cashew nut",3022,22,30
"cashew nut",3022,23,50
"cashew nut",3022,24,75
"cashew nut",3022,31,10
"cashew nut",3022,32,25
"cashew nut",3022,33,40
"cashew nut",3022,34,75
"cashew nut",3022,61,15
"cashew nut",3022,62,25
"cashew nut",3022,63,40
"chilli",3030,11,20
"chilli",3030,12,50
"chilli",3030,13,100
"chilli",3030,14,120
"chilli",3030,21,15
"chilli",3030,22,30
"chilli",3030,23,50
"chilli",3030,24,75
"chilli",3030,31,10
"chilli",3030,32,25
"chilli",3030,33,40
"chilli",3030,34,75
"chilli",3030,61,15
"chilli",3030,62,25
"chilli",3030,63,40
"chilli",3030,81,1500
"chilli",3030,82,2000
"chilli",3030,83,2500
"cocoa",3040,11,20
"cocoa",3040,12,50
"cocoa",3040,13,100
"cocoa",3040,14,120
"cocoa",3040,21,15
"cocoa",3040,22,30
"cocoa",3040,23,50
"cocoa",3040,24,75
"cocoa",3040,31,10
"cocoa",3040,32,25
"cocoa",3040,33,40
"cocoa",3040,34,75
"cocoa",3040,61,15
"cocoa",3040,62,25
"cocoa",3040,63,40
"cocoa",3040,81,1500
"cocoa",3040,82,2000
"cocoa",3040,83,2500
"cocoa pod",3041,11,20
"cocoa pod",3041,12,50
"cocoa pod",3041,13,100
"cocoa pod",3041,14,120
"cocoa pod",3041,21,15
"cocoa pod",3041,22,30
"cocoa pod",3041,23,50
"cocoa pod",3041,24,75
"cocoa pod",3041,31,10
"cocoa pod",3041,32,25
"cocoa pod",3041,33,40
"cocoa pod",3041,34,75
"cocoa pod",3041,61,15
"cocoa pod",3041,62,25
"cocoa pod",3041,63,40
"cocoa pod",3041,81,1500
"cocoa pod",3041,82,2000
"cocoa pod",3041,83,2500
"cocoa beans",3042,11,20
"cocoa beans",3042,12,50
"cocoa beans",3042,13,100
"cocoa beans",3042,14,120
"cocoa beans",3042,21,15
"cocoa beans",3042,22,30
"cocoa beans",3042,23,50
"cocoa beans",3042,24,75
"cocoa beans",3042,31,10
"cocoa beans",3042,32,25
"cocoa beans",3042,33,40
"cocoa beans",3042,34,75
"cocoa beans",3042,61,15
"cocoa beans",3042,62,25
"cocoa beans",3042,63,40
"cocoa beans",3042,81,1500
"cocoa beans",3042,82,2000
"cocoa beans",3042,83,2500
"coconut",3050,11,20
"coconut",3050,12,50
"coconut",3050,13,100
"coconut",3050,14,120
"coconut",3050,21,15
"coconut",3050,22,30
"coconut",3050,23,50
"coconut",3050,24,75
"coconut",3050,31,10
"coconut",3050,32,25
"coconut",3050,33,40
"coconut",3050,34,75
"coconut",3050,41,5
"coconut",3050,42,8
"coconut",3050,43,15
"coconut",3050,51,3
"coconut",3050,61,15
"coconut",3050,62,25
"coconut",3050,63,40
"coconut",3050,81,1500
"coconut",3050,82,2000
"coconut",3050,83,2500
"coffe",3060,11,20
"coffe",3060,12,50
"coffe",3060,13,100
"coffe",3060,14,120
"coffe",3060,21,15
"coffe",3060,22,30
"coffe",3060,23,50
"coffe",3060,24,75
"coffe",3060,31,10
"coffe",3060,32,25
"coffe",3060,33,40
"coffe",3060,34,75
"coffe",3060,61,15
"coffe",3060,62,25
"coffe",3060,63,40
"coffe",3060,81,1500
"coffe",3060,82,2000
"coffe",3060,83,2500
"cofee arabica",3061,11,20
"cofee arabica",3061,12,50
"cofee arabica",3061,13,100
"cofee arabica",3061,14,120
"cofee arabica",3061,21,15
"cofee arabica",3061,22,30
"cofee arabica",3061,23,50
"cofee arabica",3061,24,75
"cofee arabica",3061,31,10
"cofee arabica",3061,32,25
"cofee arabica",3061,33,40
"cofee arabica",3061,34,75
"cofee arabica",3061,61,15
"cofee arabica",3061,62,25
"cofee arabica",3061,63,40
"cofee arabica",3061,81,1500
"cofee arabica",3061,82,2000
"cofee arabica",3061,83,2500
"coffee robuster",3062,11,20
"coffee robuster",3062,12,50
"coffee robuster",3062,13,100
"coffee robuster",3062,14,120
"coffee robuster",3062,21,15
"coffee robuster",3062,22,30
"coffee robuster",3062,23,50
"coffee robuster",3062,24,75
"coffee robuster",3062,31,10
"coffee robuster",3062,32,25
"coffee robuster",3062,33,40
"coffee robuster",3062,34,75
"coffee robuster",3062,61,15
"coffee robuster",3062,62,25
"coffee robuster",3062,63,40
"coffee robuster",3062,81,1500
"coffee robuster",3062,82,2000
"coffee robuster",3062,83,2500
"date palm",3070,11,20
"date palm",3070,12,50
"date palm",3070,13,100
"date palm",3070,14,120
"date palm",3070,21,15
"date palm",3070,22,30
"date palm",3070,23,50
"date palm",3070,24,75
"date palm",3070,31,10
"date palm",3070,32,25
"date palm",3070,33,40
"date palm",3070,34,75
"date palm",3070,41,5
"date palm",3070,42,8
"date palm",3070,43,15
"date palm",3070,61,15
"date palm",3070,62,25
"date palm",3070,63,40
"date palm",3070,81,1500
"date palm",3070,82,2000
"date palm",3070,83,2500
"grape fruit",3080,11,20
"grape fruit",3080,12,50
"grape fruit",3080,13,100
"grape fruit",3080,14,120
"grape fruit",3080,21,15
"grape fruit",3080,22,30
"grape fruit",3080,23,50
"grape fruit",3080,24,75
"grape fruit",3080,31,10
"grape fruit",3080,32,25
"grape fruit",3080,33,40
"grape fruit",3080,34,75
"grape fruit",3080,61,15
"grape fruit",3080,62,25
"grape fruit",3080,63,40
"grape fruit",3080,81,1500
"grape fruit",3080,82,2000
"grape fruit",3080,83,2500
"guava",3090,11,20
"guava",3090,12,50
"guava",3090,13,100
"guava",3090,14,120
"guava",3090,21,15
"guava",3090,22,30
"guava",3090,23,50
"guava",3090,24,75
"guava",3090,31,10
"guava",3090,32,25
"guava",3090,33,40
"guava",3090,34,75
"guava",3090,61,15
"guava",3090,62,25
"guava",3090,63,40
"guava",3090,81,1500
"guava",3090,82,2000
"guava",3090,83,2500
"jute",3100,11,20
"jute",3100,12,50
"jute",3100,13,100
"jute",3100,14,120
"jute",3100,21,15
"jute",3100,22,30
"jute",3100,23,50
"jute",3100,24,75
"jute",3100,31,10
"jute",3100,32,25
"jute",3100,33,40
"jute",3100,34,75
"jute",3100,61,15
"jute",3100,62,25
"jute",3100,63,40
"kolanut",3110,11,20
"kolanut",3110,12,50
"kolanut",3110,13,100
"kolanut",3110,14,120
"kolanut",3110,21,15
"kolanut",3110,22,30
"kolanut",3110,23,50
"kolanut",3110,24,75
"kolanut",3110,31,10
"kolanut",3110,32,25
"kolanut",3110,33,40
"kolanut",3110,34,75
"kolanut",3110,61,15
"kolanut",3110,62,25
"kolanut",3110,63,40
"kolanut",3110,81,1500
"kolanut",3110,82,2000
"kolanut",3110,83,2500
"kolanut unshelled",3111,11,20
"kolanut unshelled",3111,12,50
"kolanut unshelled",3111,13,100
"kolanut unshelled",3111,14,120
"kolanut unshelled",3111,21,15
"kolanut unshelled",3111,22,30
"kolanut unshelled",3111,23,50
"kolanut unshelled",3111,24,75
"kolanut unshelled",3111,31,10
"kolanut unshelled",3111,32,25
"kolanut unshelled",3111,33,40
"kolanut unshelled",3111,34,75
"kolanut unshelled",3111,61,15
"kolanut unshelled",3111,62,25
"kolanut unshelled",3111,63,40
"kolanut unshelled",3111,71,60
"kolanut unshelled",3111,81,1500
"kolanut unshelled",3111,82,2000
"kolanut unshelled",3111,83,2500
"kolanut shelled",3112,11,20
"kolanut shelled",3112,12,50
"kolanut shelled",3112,13,100
"kolanut shelled",3112,14,120
"kolanut shelled",3112,21,15
"kolanut shelled",3112,22,30
"kolanut shelled",3112,23,50
"kolanut shelled",3112,24,75
"kolanut shelled",3112,31,10
"kolanut shelled",3112,32,25
"kolanut shelled",3112,33,40
"kolanut shelled",3112,34,75
"kolanut shelled",3112,61,15
"kolanut shelled",3112,62,25
"kolanut shelled",3112,63,40
"kolanut shelled",3112,81,1500
"kolanut shelled",3112,82,2000
"kolanut shelled",3112,83,2500
"bitter kola",3113,11,20
"bitter kola",3113,12,50
"bitter kola",3113,13,100
"bitter kola",3113,14,120
"bitter kola",3113,21,15
"bitter kola",3113,22,30
"bitter kola",3113,23,50
"bitter kola",3113,24,75
"bitter kola",3113,31,10
"bitter kola",3113,32,25
"bitter kola",3113,33,40
"bitter kola",3113,34,75
"bitter kola",3113,61,15
"bitter kola",3113,62,25
"bitter kola",3113,63,40
"bitter kola",3113,81,1500
"bitter kola",3113,82,2000
"bitter kola",3113,83,2500
"lemon",3120,11,20
"lemon",3120,12,50
"lemon",3120,13,100
"lemon",3120,14,120
"lemon",3120,21,15
"lemon",3120,22,30
"lemon",3120,23,50
"lemon",3120,24,75
"lemon",3120,31,10
"lemon",3120,32,25
"lemon",3120,33,40
"lemon",3120,34,75
"lemon",3120,61,15
"lemon",3120,62,25
"lemon",3120,63,40
"lemon",3120,81,1500
"lemon",3120,82,2000
"lemon",3120,83,2500
"lime",3130,11,20
"lime",3130,12,50
"lime",3130,13,100
"lime",3130,14,120
"lime",3130,21,15
"lime",3130,22,30
"lime",3130,23,50
"lime",3130,24,75
"lime",3130,31,10
"lime",3130,32,25
"lime",3130,33,40
"lime",3130,34,75
"lime",3130,61,15
"lime",3130,62,25
"lime",3130,63,40
"lime",3130,71,60
"lime",3130,72,85
"lime",3130,73,110
"lime",3130,74,150
"lime",3130,81,1500
"lime",3130,82,2000
"lime",3130,83,2500
"locust bean",3140,11,20
"locust bean",3140,12,50
"locust bean",3140,13,100
"locust bean",3140,14,120
"locust bean",3140,21,15
"locust bean",3140,22,30
"locust bean",3140,23,50
"locust bean",3140,24,75
"locust bean",3140,31,10
"locust bean",3140,32,25
"locust bean",3140,33,40
"locust bean",3140,34,75
"locust bean",3140,61,15
"locust bean",3140,62,25
"locust bean",3140,63,40
"locust bean",3140,81,1500
"locust bean",3140,82,2000
"locust bean",3140,83,2500
"mandarin",3150,11,20
"mandarin",3150,12,50
"mandarin",3150,13,100
"mandarin",3150,14,120
"mandarin",3150,21,15
"mandarin",3150,22,30
"mandarin",3150,23,50
"mandarin",3150,24,75
"mandarin",3150,31,10
"mandarin",3150,32,25
"mandarin",3150,33,40
"mandarin",3150,34,75
"mandarin",3150,61,15
"mandarin",3150,62,25
"mandarin",3150,63,40
"mandarin",3150,81,1500
"mandarin",3150,82,2000
"mandarin",3150,83,2500
"mango",3160,11,20
"mango",3160,12,50
"mango",3160,13,100
"mango",3160,14,120
"mango",3160,21,15
"mango",3160,22,30
"mango",3160,23,50
"mango",3160,24,75
"mango",3160,31,10
"mango",3160,32,25
"mango",3160,33,40
"mango",3160,34,75
"mango",3160,61,15
"mango",3160,62,25
"mango",3160,63,40
"mango",3160,71,60
"mango",3160,72,85
"mango",3160,73,110
"mango",3160,74,150
"mango",3160,81,1500
"mango",3160,82,2000
"mango",3160,83,2500
"orange",3170,11,20
"orange",3170,12,50
"orange",3170,13,100
"orange",3170,14,120
"orange",3170,21,15
"orange",3170,22,30
"orange",3170,23,50
"orange",3170,24,75
"orange",3170,31,10
"orange",3170,32,25
"orange",3170,33,40
"orange",3170,34,75
"orange",3170,41,5
"orange",3170,52,5
"orange",3170,61,15
"orange",3170,62,25
"orange",3170,63,40
"orange",3170,81,1500
"orange",3170,82,2000
"orange",3170,83,2500
"orange",3170,92,20
"oil palm tree",3180,11,20
"oil palm tree",3180,12,50
"oil palm tree",3180,13,100
"oil palm tree",3180,14,120
"oil palm tree",3180,21,15
"oil palm tree",3180,22,30
"oil palm tree",3180,23,50
"oil palm tree",3180,24,75
"oil palm tree",3180,31,10
"oil palm tree",3180,32,25
"oil palm tree",3180,33,40
"oil palm tree",3180,34,75
"oil palm tree",3180,41,5
"oil palm tree",3180,42,8
"oil palm tree",3180,43,15
"oil palm tree",3180,61,15
"oil palm tree",3180,62,25
"oil palm tree",3180,63,40
"oil palm tree",3180,71,60
"oil palm tree",3180,72,85
"oil palm tree",3180,81,1500
"oil palm tree",3180,82,2000
"oil palm tree",3180,83,2500
"oil palm tree",3180,91,10
"oil palm tree",3180,92,20
"oil palm tree",3180,93,25
"fresh fruit bunch",3181,11,20
"fresh fruit bunch",3181,12,50
"fresh fruit bunch",3181,13,100
"fresh fruit bunch",3181,14,120
"fresh fruit bunch",3181,21,15
"fresh fruit bunch",3181,22,30
"fresh fruit bunch",3181,23,50
"fresh fruit bunch",3181,24,75
"fresh fruit bunch",3181,31,10
"fresh fruit bunch",3181,32,25
"fresh fruit bunch",3181,33,40
"fresh fruit bunch",3181,34,75
"fresh fruit bunch",3181,41,5
"fresh fruit bunch",3181,42,8
"fresh fruit bunch",3181,43,15
"fresh fruit bunch",3181,61,15
"fresh fruit bunch",3181,62,25
"fresh fruit bunch",3181,63,40
"fresh fruit bunch",3181,81,1500
"fresh fruit bunch",3181,82,2000
"fresh fruit bunch",3181,83,2500
"fresh nut",3182,11,20
"fresh nut",3182,12,50
"fresh nut",3182,13,100
"fresh nut",3182,14,120
"fresh nut",3182,21,15
"fresh nut",3182,22,30
"fresh nut",3182,23,50
"fresh nut",3182,24,75
"fresh nut",3182,31,10
"fresh nut",3182,32,25
"fresh nut",3182,33,40
"fresh nut",3182,34,75
"fresh nut",3182,61,15
"fresh nut",3182,62,25
"fresh nut",3182,63,40
"fresh nut",3182,81,1500
"fresh nut",3182,82,2000
"fresh nut",3182,83,2500
"palm oil",3183,11,20
"palm oil",3183,13,100
"palm oil",3183,22,30
"palm oil",3183,31,10
"palm oil",3183,32,25
"palm oil",3183,33,40
"palm oil",3183,34,75
"palm oil",3183,91,10
"palm oil",3183,92,20
"palm oil",3183,93,25
"palm oil",3183,94,50
"palm oil",3183,95,200
"palm kernel",3184,11,20
"palm kernel",3184,12,50
"palm kernel",3184,13,100
"palm kernel",3184,14,120
"palm kernel",3184,21,15
"palm kernel",3184,22,30
"palm kernel",3184,23,50
"palm kernel",3184,24,75
"palm kernel",3184,31,10
"palm kernel",3184,32,25
"palm kernel",3184,33,40
"palm kernel",3184,34,75
"palm kernel",3184,41,5
"palm kernel",3184,42,8
"palm kernel",3184,43,15
"palm kernel",3184,61,15
"palm kernel",3184,62,25
"palm kernel",3184,63,40
"palm kernel",3184,71,60
"palm kernel",3184,72,85
"palm kernel",3184,73,110
"palm kernel",3184,74,150
"palm kernel",3184,81,1500
"palm kernel",3184,82,2000
"palm kernel",3184,83,2500
"agbono - oro seed",3190,11,20
"agbono - oro seed",3190,12,50
"agbono - oro seed",3190,13,100
"agbono - oro seed",3190,14,120
"agbono - oro seed",3190,21,15
"agbono - oro seed",3190,22,30
"agbono - oro seed",3190,23,50
"agbono - oro seed",3190,24,75
"agbono - oro seed",3190,31,10
"agbono - oro seed",3190,32,25
"agbono - oro seed",3190,33,40
"agbono - oro seed",3190,34,75
"agbono - oro seed",3190,61,15
"agbono - oro seed",3190,62,25
"agbono - oro seed",3190,63,40
"agbono - oro seed",3190,81,1500
"agbono - oro seed",3190,82,2000
"agbono - oro seed",3190,83,2500
"oil bean",3200,11,20
"oil bean",3200,12,50
"oil bean",3200,13,100
"oil bean",3200,14,120
"oil bean",3200,21,15
"oil bean",3200,22,30
"oil bean",3200,23,50
"oil bean",3200,24,75
"oil bean",3200,31,10
"oil bean",3200,32,25
"oil bean",3200,33,40
"oil bean",3200,34,75
"oil bean",3200,61,15
"oil bean",3200,62,25
"oil bean",3200,63,40
"pawpaw",3210,11,20
"pawpaw",3210,12,50
"pawpaw",3210,13,100
"pawpaw",3210,14,120
"pawpaw",3210,21,15
"pawpaw",3210,22,30
"pawpaw",3210,23,50
"pawpaw",3210,24,75
"pawpaw",3210,31,10
"pawpaw",3210,32,25
"pawpaw",3210,33,40
"pawpaw",3210,34,75
"pawpaw",3210,41,5
"pawpaw",3210,51,3
"pawpaw",3210,61,15
"pawpaw",3210,62,25
"pawpaw",3210,63,40
"pawpaw",3210,71,60
"pawpaw",3210,72,85
"pawpaw",3210,73,110
"pawpaw",3210,74,150
"pawpaw",3210,81,1500
"pawpaw",3210,82,2000
"pawpaw",3210,83,2500
"pear",3220,11,20
"pear",3220,12,50
"pear",3220,13,100
"pear",3220,14,120
"pear",3220,21,15
"pear",3220,22,30
"pear",3220,23,50
"pear",3220,24,75
"pear",3220,31,10
"pear",3220,32,25
"pear",3220,33,40
"pear",3220,34,75
"pear",3220,61,15
"pear",3220,62,25
"pear",3220,63,40
"pear",3220,81,1500
"pear",3220,82,2000
"pear",3220,83,2500
"avocado pear",3221,11,20
"avocado pear",3221,12,50
"avocado pear",3221,13,100
"avocado pear",3221,14,120
"avocado pear",3221,21,15
"avocado pear",3221,22,30
"avocado pear",3221,23,50
"avocado pear",3221,24,75
"avocado pear",3221,31,10
"avocado pear",3221,32,25
"avocado pear",3221,33,40
"avocado pear",3221,34,75
"avocado pear",3221,61,15
"avocado pear",3221,62,25
"avocado pear",3221,63,40
"avocado pear",3221,71,60
"avocado pear",3221,72,85
"avocado pear",3221,73,110
"avocado pear",3221,74,150
"avocado pear",3221,81,1500
"avocado pear",3221,82,2000
"avocado pear",3221,83,2500
"rubber",3230,11,20
"rubber",3230,12,50
"rubber",3230,13,100
"rubber",3230,14,120
"rubber",3230,21,15
"rubber",3230,22,30
"rubber",3230,23,50
"rubber",3230,24,75
"rubber",3230,31,10
"rubber",3230,32,25
"rubber",3230,33,40
"rubber",3230,34,75
"rubber",3230,61,15
"rubber",3230,62,25
"rubber",3230,63,40
"rubber",3230,91,10
"rubber",3230,92,20
"rubber",3230,93,25
"rubber",3230,94,50
"rubber",3230,95,200
"rubber paint",3231,11,20
"rubber paint",3231,12,50
"rubber paint",3231,13,100
"rubber paint",3231,14,120
"rubber paint",3231,21,15
"rubber paint",3231,22,30
"rubber paint",3231,23,50
"rubber paint",3231,24,75
"rubber paint",3231,31,10
"rubber paint",3231,32,25
"rubber paint",3231,33,40
"rubber paint",3231,34,75
"rubber paint",3231,61,15
"rubber paint",3231,62,25
"rubber paint",3231,63,40
"rubber paint",3231,91,10
"rubber paint",3231,92,20
"rubber paint",3231,93,25
"rubber paint",3231,94,50
"rubber paint",3231,95,200
"rubber sheet",3232,11,20
"rubber sheet",3232,12,50
"rubber sheet",3232,13,100
"rubber sheet",3232,14,120
"rubber sheet",3232,21,15
"rubber sheet",3232,22,30
