"cropname","agcropid","nscode","conversion"
"maize",1080,14,120
"maize",1080,21,15
"maize",1080,22,30
"maize",1080,23,50
"maize",1080,24,75
"maize",1080,31,10
"maize",1080,32,25
"maize",1080,33,40
"maize",1080,34,75
"maize",1080,41,5
"maize",1080,42,8
"maize",1080,52,5
"maize",1080,61,15
"maize",1080,62,25
"maize",1080,63,40
"maize",1080,71,60
"maize",1080,72,85
"maize",1080,73,110
"maize",1080,74,150
"maize",1080,81,1500
"maize",1080,82,2000
"maize",1080,83,2500
"maize",1080,91,10
"unshelled maize (cob)",1081,11,20
"unshelled maize (cob)",1081,12,50
"unshelled maize (cob)",1081,13,100
"unshelled maize (cob)",1081,14,120
"unshelled maize (cob)",1081,21,15
"unshelled maize (cob)",1081,22,30
"unshelled maize (cob)",1081,23,50
"unshelled maize (cob)",1081,24,75
"unshelled maize (cob)",1081,31,10
"unshelled maize (cob)",1081,32,25
"unshelled maize (cob)",1081,33,40
"unshelled maize (cob)",1081,34,75
"unshelled maize (cob)",1081,61,15
"unshelled maize (cob)",1081,62,25
"unshelled maize (cob)",1081,63,40
"unshelled maize (cob)",1081,71,60
"unshelled maize (cob)",1081,72,85
"unshelled maize (cob)",1081,73,110
"unshelled maize (cob)",1081,74,150
"shelled maize (grain)",1082,11,20
"shelled maize (grain)",1082,12,50
"shelled maize (grain)",1082,13,100
"shelled maize (grain)",1082,14,120
"shelled maize (grain)",1082,21,15
"shelled maize (grain)",1082,22,30
"shelled maize (grain)",1082,23,50
"shelled maize (grain)",1082,24,75
"shelled maize (grain)",1082,31,10
"shelled maize (grain)",1082,32,25
"shelled maize (grain)",1082,33,40
"shelled maize (grain)",1082,34,75
"shelled maize (grain)",1082,61,15
"shelled maize (grain)",1082,62,25
"shelled maize (grain)",1082,63,40
"shelled maize (grain)",1082,71,60
"shelled maize (grain)",1082,72,85
"shelled maize (grain)",1082,73,110
"shelled maize (grain)",1082,74,150
"pop corn maize",1083,11,20
"pop corn maize",1083,12,50
"pop corn maize",1083,13,100
"pop corn maize",1083,14,120
"pop corn maize",1083,21,15
"pop corn maize",1083,22,30
"pop corn maize",1083,23,50
"pop corn maize",1083,24,75
"pop corn maize",1083,31,10
"pop corn maize",1083,32,25
"pop corn maize",1083,33,40
"pop corn maize",1083,34,75
"pop corn maize",1083,61,15
"pop corn maize",1083,62,25
"pop corn maize",1083,63,40
"pop corn maize",1083,71,60
"pop corn maize",1083,72,85
"pop corn maize",1083,73,110
"pop corn maize",1083,74,150
"melon",1090,11,20
"melon",1090,12,50
"melon",1090,13,100
"melon",1090,14,120
"melon",1090,21,15
"melon",1090,22,30
"melon",1090,23,50
"melon",1090,24,75
"melon",1090,31,10
"melon",1090,32,25
"melon",1090,33,40
"melon",1090,34,75
"melon",1090,41,5
"melon",1090,61,15
"melon",1090,62,25
"melon",1090,63,40
"melon",1090,71,60
"melon",1090,72,85
"melon",1090,73,110
"melon",1090,74,150
"melon",1090,81,1500
"melon",1090,82,2000
"melon",1090,83,2500
"unshelled melon",1091,11,20
"unshelled melon",1091,12,50
"unshelled melon",1091,13,100
"unshelled melon",1091,14,120
"unshelled melon",1091,21,15
"unshelled melon",1091,22,30
"unshelled melon",1091,23,50
"unshelled melon",1091,24,75
"unshelled melon",1091,31,10
"unshelled melon",1091,32,25
"unshelled melon",1091,33,40
"unshelled melon",1091,34,75
"unshelled melon",1091,61,15
"unshelled melon",1091,62,25
"unshelled melon",1091,63,40
"unshelled melon",1091,81,1500
"unshelled melon",1091,82,2000
"unshelled melon",1091,83,2500
"shelled melon",1092,11,20
"shelled melon",1092,12,50
"shelled melon",1092,13,100
"shelled melon",1092,14,120
"shelled melon",1092,21,15
"shelled melon",1092,22,30
"shelled melon",1092,23,50
"shelled melon",1092,24,75
"shelled melon",1092,31,10
"shelled melon",1092,32,25
"shelled melon",1092,33,40
"shelled melon",1092,34,75
"shelled melon",1092,61,15
"shelled melon",1092,62,25
"shelled melon",1092,63,40
"shelled melon",1092,81,1500
"shelled melon",1092,82,2000
"shelled melon",1092,83,2500
"water melon",1093,11,20
"water melon",1093,12,50
"water melon",1093,13,100
"water melon",1093,14,120
"water melon",1093,21,15
"water melon",1093,22,30
"water melon",1093,23,50
"water melon",1093,24,75
"water melon",1093,31,10
"water melon",1093,32,25
"water melon",1093,33,40
"water melon",1093,34,75
"water melon",1093,61,15
"water melon",1093,62,25
"water melon",1093,63,40
"water melon",1093,71,60
"water melon",1093,72,85
"water melon",1093,73,110
"water melon",1093,74,150
"water melon",1093,81,1500
"water melon",1093,82,2000
"water melon",1093,83,2500
"millet/maiwa",1100,11,20
"millet/maiwa",1100,12,50
"millet/maiwa",1100,13,100
"millet/maiwa",1100,14,120
"millet/maiwa",1100,21,15
"millet/maiwa",1100,22,30
"millet/maiwa",1100,23,50
"millet/maiwa",1100,24,75
"millet/maiwa",1100,31,10
"millet/maiwa",1100,32,25
"millet/maiwa",1100,33,40
"millet/maiwa",1100,34,75
"millet/maiwa",1100,61,15
"millet/maiwa",1100,62,25
"millet/maiwa",1100,63,40
"millet/maiwa",1100,92,20
"rice",1110,11,20
"rice",1110,12,50
"rice",1110,13,100
