"zone","state","lga","sector","ea","hhid","qno1","qno2","hhno","tracked_obs"
2,2,207,2,1302,20095,2,2,2,0
2,2,207,2,1302,20096,2,2,11,0
2,2,207,2,1302,20097,2,2,12,0
2,2,207,2,1302,20098,2,2,9,0
2,2,207,2,1302,20099,2,2,7,0
2,2,207,2,1302,20100,2,2,4,0
2,2,205,2,712,20101,2,2,28,0
2,2,205,2,712,20102,3,3,19,0
2,2,205,2,712,20103,2,2,30,0
2,2,205,2,712,20104,2,2,6,0
2,2,205,2,712,20105,2,2,26,0
2,2,205,2,712,20106,2,2,21,0
2,2,205,2,712,20107,2,2,12,0
2,2,205,2,712,20108,2,2,8,0
2,2,205,2,712,20109,2,2,15,0
2,2,205,2,712,20110,2,2,17,0
2,2,218,2,1592,20111,2,2,44,0
2,2,218,2,1592,20112,2,2,19,0
2,2,218,2,1592,20113,2,2,23,0
2,2,218,2,1592,20114,2,2,12,0
2,2,218,2,1592,20115,2,2,15,0
2,2,218,2,1592,20116,2,2,1,0
2,2,218,2,1592,20117,2,2,41,0
2,2,218,2,1592,20118,2,2,30,0
2,2,218,2,1592,20119,2,2,33,0
2,2,218,2,1592,20120,2,2,26,0
5,3,331,1,2322,30005,2,2,13,0
5,3,331,1,516,30011,2,2,1,0
5,3,331,1,516,30012,2,2,3,0
5,3,331,1,0,30014,,,0,1
5,3,331,1,516,30020,2,2,39,0
5,3,316,2,874,30021,2,2,1,0
5,3,316,2,874,30023,2,2,,0
5,3,316,2,0,30029,,,0,1
5,3,309,2,478,30031,2,2,17,0
5,3,309,2,478,30032,2,2,35,0
5,3,309,2,478,30033,2,2,41,0
5,3,309,2,478,30034,2,2,53,0
5,3,309,2,478,30036,2,2,65,0
5,3,309,2,478,30037,2,2,71,0
5,3,309,2,478,30039,2,2,83,0
5,3,309,2,478,30040,2,2,89,0
5,3,307,1,634,30043,2,2,3,0
5,3,307,1,634,30048,2,2,8,0
5,3,307,1,634,30049,2,2,10,0
5,3,321,2,364,30051,2,2,15,0
5,3,321,2,364,30052,2,2,20,0
5,3,321,2,364,30054,2,2,30,0
5,3,321,2,364,30055,2,2,39,0
5,3,321,2,364,30056,2,2,44,0
5,3,321,2,364,30057,2,2,49,0
5,3,321,2,364,30058,2,2,0,0
5,3,321,2,364,30059,2,2,59,0
5,3,321,2,364,30060,2,2,68,0
5,3,329,2,696,30061,2,2,4,0
5,3,329,2,696,30062,2,2,9,0
5,3,329,2,696,30063,2,2,15,0
5,3,308,1,0,30064,,,0,1
5,3,329,2,696,30068,2,2,41,0
5,3,329,2,696,30069,2,2,47,0
5,3,329,2,696,30070,2,2,57,0
5,3,323,2,580,30072,2,2,11,0
5,3,323,2,580,30074,2,2,36,0
5,3,323,2,580,30076,2,2,47,0
5,3,323,2,580,30077,2,2,52,0
5,3,323,2,580,30078,2,2,62,0
5,3,323,2,580,30079,2,2,67,0
5,3,323,2,580,30080,2,2,72,0
5,3,318,2,1136,30081,2,2,4,0
5,3,318,2,1136,30084,2,2,17,0
5,3,318,2,1136,30085,2,2,20,0
5,3,318,2,1136,30086,2,2,27,0
5,3,318,2,1136,30087,2,2,30,0
5,3,318,2,1136,30088,2,2,33,0
5,3,318,2,1136,30090,2,2,43,0
5,3,313,2,70,30091,2,2,2,0
5,3,313,2,70,30093,2,2,18,0
5,3,313,2,70,30094,2,2,20,0
5,3,313,2,0,30095,,,0,1
5,3,313,2,70,30096,2,2,25,0
5,3,313,2,70,30097,2,2,27,0
5,3,313,2,70,30098,2,2,29,0
5,3,313,2,70,30099,2,2,31,0
5,3,313,2,70,30100,2,2,34,0
5,3,301,1,1198,30101,2,2,17,0
5,3,301,1,1198,30102,2,2,21,0
5,3,301,1,1198,30105,2,2,35,0
5,3,301,1,1198,30108,2,2,48,0
5,3,301,1,1198,30109,2,2,53,0
5,3,301,1,1198,30110,2,2,57,0
5,3,326,2,74,30111,2,2,1,0
5,3,326,2,74,30113,2,2,6,0
5,3,326,2,74,30114,2,2,10,0
5,3,326,2,74,30115,2,2,15,0
5,3,326,2,74,30116,2,2,19,0
5,3,326,2,74,30117,2,2,21,0
