"zone","state","lga","sector","ea","hhid","network_cd","s12q2","s12q2b","s12q3","tracked_obs"
4,1,108,2,904,10107,"N1",1,,1,0
4,1,108,2,904,10107,"N2",9,,2,0
4,1,108,2,904,10107,"N3",8,,2,0
4,1,108,2,904,10108,"N1",1,,1,0
4,1,108,2,904,10108,"N2",10,,2,0
4,1,108,2,904,10109,"N1",1,,1,0
4,1,108,2,904,10109,"N2",10,,1,0
4,1,108,2,904,10110,"N1",10,,1,0
2,2,209,2,1040,20001,"N1",9,,1,0
2,2,209,2,1040,20001,"N2",2,,1,0
2,2,209,2,1040,20002,"N1",1,,1,0
2,2,209,2,1040,20002,"N2",9,,2,0
2,2,209,2,1040,20002,"N3",2,,1,0
2,2,209,2,1040,20002,"N4",2,,1,0
2,2,209,2,1040,20002,"N5",9,,2,0
2,2,209,2,1040,20002,"N6",9,,2,0
2,2,209,2,1040,20004,"N1",10,,4,0
2,2,209,2,1040,20005,"N1",4,,2,0
2,2,209,2,1040,20005,"N2",12,,2,0
2,2,209,2,1040,20005,"N3",2,,1,0
2,2,209,2,1040,20005,"N4",1,,2,0
2,2,209,2,1040,20005,"N5",2,,1,0
2,2,209,2,1040,20006,"N1",9,,2,0
2,2,209,2,1040,20006,"N2",2,,1,0
2,2,209,2,1040,20006,"N3",2,,1,0
2,2,209,2,1040,20006,"N4",9,,1,0
2,2,209,2,1040,20007,"N1",2,,1,0
2,2,209,2,1040,20007,"N2",10,,2,0
2,2,209,2,1040,20008,"N1",9,,2,0
2,2,209,2,1040,20009,"N1",2,,1,0
2,2,209,2,1040,20009,"N2",9,,2,0
2,2,209,2,1040,20009,"N3",9,,2,0
2,2,209,2,1040,20009,"N4",2,,1,0
2,2,209,2,1040,20009,"N5",2,,1,0
2,2,209,2,1040,20010,"N1",1,,1,0
2,2,209,2,1040,20010,"N2",12,,2,0
2,2,209,2,1040,20010,"N3",1,,1,0
2,2,209,2,1040,20010,"N4",4,,1,0
2,2,209,2,1040,20010,"N5",2,,1,0
2,2,221,2,18,20011,"N1",2,,1,0
2,2,221,2,18,20011,"N2",3,,1,0
2,2,221,2,18,20011,"N3",9,,2,0
2,2,221,2,18,20012,"N1",1,,2,0
2,2,221,2,18,20012,"N2",2,,2,0
2,2,221,2,18,20013,"N1",1,,1,0
2,2,221,2,18,20013,"N2",9,,2,0
2,2,221,2,18,20013,"N3",9,,2,0
2,2,221,2,18,20013,"N4",28,,2,0
2,2,221,2,18,20013,"N5",9,,2,0
2,2,221,2,18,20014,"N1",9,,2,0
2,2,221,2,18,20014,"N2",3,,1,0
2,2,221,2,18,20014,"N3",2,,2,0
2,2,221,2,18,20014,"N4",9,,2,0
2,2,221,2,18,20014,"N5",9,,1,0
2,2,221,2,18,20014,"N6",15,,2,0
2,2,221,2,18,20015,"N1",2,,1,0
2,2,221,2,18,20015,"N2",1,,1,0
2,2,221,2,18,20015,"N3",1,,1,0
2,2,221,2,18,20015,"N4",10,,2,0
2,2,221,2,18,20015,"N5",1,,1,0
2,2,221,2,18,20015,"N6",10,,2,0
2,2,221,2,18,20015,"N7",12,,2,0
2,2,221,2,18,20015,"N8",1,,1,0
2,2,221,2,18,20015,"N9",29,,3,0
2,2,221,2,18,20016,"N1",2,,1,0
2,2,221,2,18,20016,"N2",2,,2,0
2,2,221,2,18,20017,"N1",2,,1,0
2,2,221,2,18,20017,"N2",6,,1,0
2,2,221,2,18,20017,"N3",9,,2,0
2,2,221,2,18,20018,"N1",3,,1,0
2,2,221,2,18,20018,"N2",9,,2,0
2,2,221,2,18,20018,"N3",15,,2,0
2,2,221,2,18,20018,"N4",9,,2,0
2,2,221,2,18,20018,"N5",9,,1,0
2,2,221,2,18,20019,"N1",4,,3,0
2,2,221,2,18,20019,"N2",12,,4,0
2,2,221,2,18,20019,"N3",17,,5,0
2,2,221,2,18,20019,"N4",2,,1,0
2,2,221,2,18,20019,"N5",10,,2,0
2,2,221,2,18,20020,"N1",12,,2,0
2,2,221,2,18,20020,"N2",9,,1,0
2,2,221,2,18,20020,"N3",9,,2,0
2,2,221,2,18,20020,"N4",7,,2,0
2,2,221,2,18,20020,"N5",8,,1,0
2,2,221,2,18,20020,"N6",2,,1,0
2,2,221,2,18,20020,"N7",10,,2,0
2,2,221,2,18,20020,"N8",9,,2,0
2,2,201,2,60,20021,"N1",9,,1,0
2,2,201,2,60,20021,"N2",1,,1,0
2,2,201,2,60,20022,"N1",9,,1,0
2,2,201,2,60,20022,"N2",7,,1,0
2,2,201,2,60,20023,"N1",1,,1,0
2,2,201,2,60,20023,"N2",15,,4,0
2,2,201,2,60,20024,"N1",9,,1,0
2,2,201,2,60,20024,"N2",9,,1,0
2,2,201,2,60,20024,"N3",9,,2,0
2,2,201,2,60,20024,"N4",9,,1,0
2,2,201,2,60,20025,"N1",1,,7,0
2,2,201,2,60,20025,"N2",1,,1,0
2,2,201,2,60,20025,"N3",1,,1,0
2,2,201,2,60,20025,"N4",12,,2,0
2,2,201,2,60,20025,"N5",12,,2,0
2,2,201,2,60,20025,"N6",9,,1,0
2,2,201,2,60,20025,"N7",10,,2,0
2,2,201,2,60,20025,"N8",2,,1,0
2,2,201,2,60,20025,"N9",1,,1,0
2,2,201,2,60,20026,"N1",1,,1,0
2,2,201,2,60,20027,"N1",8,,4,0
2,2,201,2,60,20027,"N2",2,,1,0
2,2,201,2,60,20028,"N1",9,,1,0
2,2,201,2,60,20028,"N2",8,,1,0
2,2,201,2,60,20029,"N1",9,,2,0
2,2,201,2,60,20029,"N2",2,,2,0
2,2,201,2,60,20030,"N1",31,"UNCLE",1,0
2,2,201,2,60,20030,"N10",2,,1,0
2,2,201,2,60,20030,"N2",31,"SON",1,0
2,2,201,2,60,20030,"N3",12,,5,0
2,2,201,2,60,20030,"N4",10,,2,0
2,2,201,2,60,20030,"N5",2,,1,0
2,2,201,2,60,20030,"N6",1,,1,0
2,2,201,2,60,20030,"N7",6,,2,0
2,2,201,2,60,20030,"N8",9,,2,0
2,2,201,2,60,20030,"N9",10,,2,0
2,2,216,2,200,20031,"N1",9,,2,0
2,2,216,2,200,20031,"N2",2,,1,0
2,2,216,2,200,20031,"N3",9,,3,0
2,2,216,2,200,20031,"N4",9,,3,0
2,2,216,2,200,20032,"N1",9,,1,0
2,2,216,2,200,20032,"N2",2,,1,0
2,2,216,2,200,20032,"N3",9,,1,0
2,2,216,2,200,20032,"N4",9,,1,0
