"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11fq1a","s11fq1b","s11fq2","s11fq2b","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq4c","s11fq5","s11fq6","s11fq7","s11fq8","s11fq9","s11fq9b","s11fq10","s11fq11","s11fq11b","s11fq12","tracked_obs"
4,1,106,2,880,10027,2,3,"PUMKIN",2190,35,1,4,,4,2012,28,62,1,2,,,,,,,,,,0
4,1,106,2,880,10027,2,4,"PEPPER",2140,860,3,4,,4,2012,4,31,3,2,,,,,,,,,,0
4,1,106,2,880,10027,2,5,"GARDEN EGG",2080,1000,3,4,,4,2012,6,22,3,2,,,,,,,,,,0
4,1,106,2,880,10027,3,1,"YAM",1120,75,1,4,,4,2012,4,52,3,2,,,,,,,,,,0
4,1,106,2,880,10027,3,2,"COCOYAM",1040,84,1,4,,3,2012,2,51,3,2,,,,,,,,,,0
4,1,106,2,880,10027,3,3,"THREE LEAF YAM",1124,45,1,4,,4,2012,3,51,3,2,,,,,,,,,,0
4,1,106,2,880,10027,3,4,"CASSAVA",1020,400,1,4,,4,2012,2,23,3,2,,,,,,,,,,0
4,1,106,2,880,10029,1,1,"CASSAVA",1020,150,1,4,,4,2012,10,25,,2,,,,,,,,,,0
4,1,106,2,880,10029,1,2,"MAIZE",1080,100,3,4,,3,2012,5,32,,2,,,,,,,,,,0
4,1,106,2,880,10029,1,3,"PUMKIN",2191,100,1,4,,3,2012,6,61,,2,,,,,,,,,,0
4,1,106,2,880,10029,1,4,"PALM TREE",3180,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,1,5,"PLAINTAIN",2170,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,2,1,"CASSAVA",1020,130,1,4,,4,2012,10,25,,2,,,,,,,,,,0
4,1,106,2,880,10029,2,2,"MELON",1090,100,1,4,,4,2012,4,31,,2,,,,,,,,,,0
4,1,106,2,880,10029,2,3,"MAIZE",1080,120,3,4,,4,2012,8,32,,2,,,,,,,,,,0
4,1,106,2,880,10029,2,4,"BANANA",2030,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,2,5,"PALM TREE",3180,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,1,"YAM",1120,200,3,4,,4,2012,400,52,3,2,,,,,,,,,,0
4,1,106,2,880,10030,1,4,"CASSAVA",1020,800,1,4,,4,2012,2000,51,3,2,,,,,,,,,,0
4,1,106,2,880,10030,1,5,"MAIZE",1080,100,3,4,,4,2012,20,31,1,2,,,,,,,,,,0
4,1,106,2,880,10030,2,1,"MELON",1090,150,1,4,,4,2012,4,25,1,2,,,,,,,,,,0
4,1,106,2,880,10030,2,2,"CASSAVA",1020,630,1,4,,4,2012,2500,51,3,2,,,,,,,,,,0
4,1,106,2,880,10030,2,3,"MAIZE",1080,170,3,4,,4,2012,15,31,1,2,,,,,,,,,,0
4,1,106,2,880,10030,2,4,"PUMKIN",2190,150,1,4,,4,2012,50,61,1,2,,,,,,,,,,0
4,1,106,2,880,10030,3,1,"CASSAVA",1020,197,1,4,,4,2012,2300,51,3,2,,,,,,,,,,0
4,1,106,2,880,10030,3,2,"MAIZE",1080,90,3,4,,4,2012,12,31,1,2,,,,,,,,,,0
4,1,106,2,880,10030,4,1,"CSSAVA",1020,250,1,4,,4,2012,1500,51,3,2,,,,,,,,,,0
4,1,106,2,880,10030,4,2,"THREE LEAF YAM",1124,50,1,4,,4,2012,300,52,3,2,,,,,,,,,,0
4,1,106,2,880,10030,4,3,"OKRO",2120,100,1,4,,4,2012,4,31,1,2,,,,,,,,,,0
4,1,111,1,1146,10034,1,1,"YAM",1120,50,1,4,,3,2012,6,41,3,2,,,,,,,,,,0
4,1,111,1,1146,10034,1,2,"MAIZE",1080,320,3,4,,3,2012,3,31,1,2,,,,,,,,,,0
4,1,102,1,1690,10057,1,1,"YAM",1120,30,1,1,,3,2012,45,52,3,2,,,,,,,,,,0
4,1,102,1,1690,10057,1,2,"OKRO",2120,55,3,1,,3,2012,1,31,3,2,,,,,,,,,,0
4,1,107,2,1044,10061,1,1,"CASSAVA",1020,2400,1,1,,4,2012,4,22,3,2,,,,,,,,,,0
4,1,107,2,1044,10061,2,1,"CASSAVA",1020,320,1,4,,4,2012,1,22,3,2,,,,,,,,,,0
4,1,107,2,1044,10061,2,2,"MAIZE",1080,110,3,4,,4,2012,2,22,1,2,,,,,,,,,,0
4,1,107,2,1044,10061,3,1,"CASSAVA",1020,215,1,4,,4,2012,2,22,3,2,,,,,,,,,,0
4,1,107,2,1044,10061,3,2,"MAIZE",1080,96,3,4,,4,2012,1,22,1,2,,,,,,,,,,0
4,1,107,2,1044,10061,4,1,"YAM",1120,42,1,1,,4,2012,50,52,3,2,,,,,,,,,,0
4,1,107,2,1044,10061,4,2,"PUMKIN",2193,14,1,1,,4,2012,72,62,1,2,,,,,,,,,,0
4,1,107,2,1044,10061,4,3,"PEPPER",2140,40,1,1,,4,2012,3,31,3,2,,,,,,,,,,0
4,1,107,2,1044,10061,4,4,"CASSAVA",1020,200,1,1,,4,2012,5,22,3,2,,,,,,,,,,0
4,1,107,2,1044,10062,1,1,"CASSAVA",1020,2100,1,4,,6,2012,6,22,3,2,,,,,,,,,,0
4,1,107,2,1044,10062,1,2,"MAIZE",1080,1200,3,4,,6,2012,4,22,1,2,,,,,,,,,,0
4,1,107,2,1044,10062,1,3,"PUMKIN",2190,25,1,4,,4,2012,45,62,1,2,,,,,,,,,,0
4,1,107,2,1044,10062,1,4,"MELON",1090,100,1,4,,6,2012,12,31,1,2,,,,,,,,,,0
4,1,107,2,1044,10062,2,1,"CASSAVA",1020,700,1,4,,6,2012,2,22,3,2,,,,,,,,,,0
4,1,107,2,1044,10062,2,2,"MAIZE",1080,200,3,4,,6,2012,1,22,1,2,,,,,,,,,,0
4,1,107,2,1044,10062,2,3,"PUMKIN",2190,14,1,4,,4,2012,20,62,1,2,,,,,,,,,,0
4,1,107,2,1044,10062,2,4,"MELON",1090,25,1,4,,6,2012,4,31,1,2,,,,,,,,,,0
4,1,107,2,1044,10062,3,1,"CASSAVA",1020,3500,1,4,,5,2012,8,22,3,2,,,,,,,,,,0
4,1,107,2,1044,10063,1,1,"CASSAVA",1020,1200,3,4,,3,2012,18,31,3,2,,,,,,,,,,0
4,1,107,2,1044,10063,1,2,"MAIZE",1080,800,3,4,,3,2012,5,31,1,2,,,,,,,,,,0
4,1,107,2,1044,10063,1,3,"PUMKIN",2190,40,1,4,,3,2012,6,61,1,2,,,,,,,,,,0
4,1,107,2,1044,10063,2,1,"CASSAVA",1020,1000,3,4,,4,2012,15,31,3,2,,,,,,,,,,0
4,1,107,2,1044,10063,2,2,"MAIZE",1080,550,3,3,,4,2012,3,31,1,2,,,,,,,,,,0
4,1,107,2,1044,10063,2,3,"PUMKIN",2190,50,1,4,,4,2012,7,61,1,2,,,,,,,,,,0
4,1,107,2,1044,10063,2,4,"OIL PALM TREE",3180,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,3,1,"CASSAVA",1020,1200,3,4,,2,2012,18,31,3,2,,,,,,,,,,0
4,1,107,2,1044,10063,3,2,"MAIZE",1080,1000,3,4,,2,2012,8,31,1,2,,,,,,,,,,0
4,1,107,2,1044,10064,1,1,"THREE LAEF YAM",1124,50,1,4,,3,2012,150,51,3,2,,,,,,,,,,0
4,1,107,2,1044,10064,1,2,"CASSAVA",1020,2420,3,4,,3,2012,415,51,3,2,,,,,,,,,,0
4,1,107,2,1044,10064,1,3,"PLAINTAIN",2170,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,2,1,"CASSAVA",1020,1750,3,4,,4,2012,250,51,3,2,,,,,,,,,,0
4,1,107,2,1044,10064,2,2,"GARDEN EGG",2080,1000,3,4,,4,2012,12,21,1,2,,,,,,,,,,0
4,1,107,2,1044,10064,2,3,"PUMKIN",2190,50,3,4,,4,2012,10,61,3,2,,,,,,,,,,0
4,1,107,2,1044,10064,3,1,"CASSAVA",1020,1400,3,4,,4,2012,300,51,3,2,,,,,,,,,,0
4,1,107,2,1044,10064,3,2,"MAIZE",1080,1000,3,4,,4,2012,8,25,1,2,,,,,,,,,,0
