"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11gq1a","s11gq1b","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","tracked_obs"
2,2,209,2,1040,20002,1,1,"MILLET",1100,1,5,50,1992,,,,,,2,,,,,0
2,2,209,2,1040,20002,1,2,"GUINEA CORN",1070,1,5,50,1992,,,,,,2,,,,,0
2,2,209,2,1040,20002,1,3,"BEANS",1010,1,5,50,1992,,,,,,2,,,,,0
2,2,209,2,1040,20004,1,1,"GUNEA CORN",1070,2,4,2,2005,,,,,,2,,,,,0
2,2,209,2,1040,20007,1,1,"MAIZE",1080,5,2,5,1999,,,,,,2,,,,,0
2,2,221,2,18,20013,1,1,"MAIZE",1080,1,6,4,1950,,,,,,2,,,,,0
2,2,221,2,18,20013,1,2,"BEANS",1010,1,6,4,1950,,,,,,2,,,,,0
2,2,221,2,18,20013,1,3,"MILLET",1100,1,6,4,1970,,,,,,2,,,,,0
2,2,221,2,18,20013,2,1,"GUINEA CORN",1070,1,6,12,1997,,,,,,2,,,,,0
2,2,221,2,18,20016,1,1,"GUINEA CORN",1070,,,0,,,,,,,2,,,,,0
2,2,221,2,18,20016,2,2,"MAIZE",1080,,,0,,,,,,,2,,,,,0
2,2,221,2,18,20018,1,1,"GUINEA CORN",1070,1,6,4,1995,,,,,,2,,,,,0
2,2,221,2,18,20018,2,2,"MAIZE",1080,1,6,12,1989,,,,,,2,,,,,0
2,2,221,2,18,20018,3,3,"COTTON",1050,1,6,2,1992,,,,,,2,,,,,0
2,2,203,2,1224,20047,1,1,"MAIZE",1080,4,5,4,1999,,,,,,2,,,,,0
2,2,203,2,1224,20047,2,1,"MAIZE",1080,5,5,5,2001,,,,,,2,,,,,0
2,2,203,2,1224,20047,3,1,"RICE",1110,1,4,1,2001,,,,,,2,,,,,0
2,2,203,2,1224,20047,4,1,"RICE",1110,8,5,8,1998,,,,,,2,,,,,0
2,2,212,2,956,20056,1,1,"MAIZE",1080,10,2,10,1994,1,1,2012,,,2,,,,,0
2,2,214,1,898,20072,1,1,"MAIZE",1082,4,4,4,2009,4,2,2009,,,2,,,,,0
2,2,214,1,898,20075,1,1,"G.CORN",1070,2,4,999,2004,0,,,,,2,,,0,,0
2,2,214,1,898,20075,2,1,"MAIZE",1080,2,4,999,2003,0,,,,,2,,,0,,0
2,2,214,1,898,20075,3,1,"MAIZE",1080,1,4,999,2009,0,,,,,2,,,0,,0
2,2,214,1,898,20075,4,1,"BEANS",1010,3,4,999,2000,0,,,,,2,,,0,,0
2,2,215,1,8,20086,1,1,"G.CORN",1070,4,4,4,2000,0,,,,,2,,,0,,0
2,2,215,1,8,20086,2,1,"MAIZE",1082,6,4,6,2005,0,,,,,2,,,0,,0
2,2,215,1,8,20089,1,1,"MAIZE",1080,16,3,2,2008,1,8,2011,,,2,,,0,,0
2,2,205,2,712,20102,1,1,"MAIZE",1080,9526.5,3,15,2012,15,,,,,2,,,,,0
2,2,205,2,712,20106,1,1,"MAIZE",1080,13,4,13,2003,2,6,2012,,,2,,,,,0
2,2,218,2,1592,20117,1,1,"GUINEA CORN",1070,4,4,4,2000,1,1,2000,,,2,,,,,0
5,3,309,2,478,30037,3,1,"PALM TREE",3180,40,3,40,1998,0,2,2012,10,2012,1,11,"NATURAL DISASTE",4000,3,0
5,3,309,2,478,30040,1,1,"CASSAVA",1020,44,3,44,1988,0,9,2012,10,2012,2,,,32000,1,0
5,3,307,1,634,30049,4,1,"OIL PALM TREE",3180,45,2,45,1988,0,1,2012,8,2012,2,,,80000,1,0
5,3,321,2,364,30058,3,1,"OIL PALM TREE",3180,140,3,140,1958,0,3,2012,8,2012,2,,,66000,3,0
5,3,323,2,580,30077,1,1,"OIL PALM TREE",3180,68,3,68,1994,0,2,2012,7,2012,2,,,6000,41,0
5,3,313,2,70,30093,1,1,"OIL PALM",3180,30,3,30,1997,0,1,2012,9,2012,2,,,60000,1,0
5,3,313,2,70,30098,1,1,"CASSAVA",1020,20,3,20,1996,0,1,2012,9,2012,2,,,50000,1,0
5,3,313,2,70,30099,1,1,"CASSAVA",1020,7,3,7,2004,0,4,2012,10,2012,2,,,3000,3,0
5,3,313,2,70,30100,1,1,"OIL PALM TREE",3180,40,3,40,1997,40,1,2012,10,2012,2,,,70000,1,0
5,3,301,1,1198,30105,4,1,"OIL PALM TREE",3180,100,3,100,2011,0,,,,,2,,,0,,0
5,3,301,1,1198,30108,1,1,"OIL PALM TREE",3180,66,3,40,1984,0,1,2012,8,2012,2,,,14000,3,0
5,3,301,1,1198,30110,1,1,"OIL PALM TREE",3180,375,3,375,2011,0,,,,,2,,,0,,0
5,3,326,2,74,30113,1,1,"CASSAVA",1020,100,3,100,1995,0,3,2012,7,2012,2,,,44000,3,0
5,3,326,2,74,30116,1,1,"CASSAVA",1020,80,3,80,1980,0,1,2012,9,2012,2,,,40000,1,0
5,3,326,2,74,30119,1,1,"CASSAVA",1020,50,3,50,1980,0,4,2012,9,2012,2,,,22000,3,0
5,3,305,2,1542,30127,5,1,"OLI PALM TREE",3180,200,3,200,1980,0,1,2012,10,2012,1,10,,20000,1,0
