"zone","state","lga","sector","ea","hhid","item_cd","s11ic2","s11iq1","s11iq2","s11iq3","s11iq4a","s11iq4b","s11iq5a","s11iq5b","s11iq6","s11iq7","s11iq8","s11iq9","s11iq10","s11iq11","s11iq12a","s11iq12b","s11iq13","s11iq14","s11iq15","s11iq16","s11iq17","s11iq18a","s11iq18b","s11iq19a","s11iq19b","s11iq20","s11iq21a","s11iq21b","s11iq21c","s11iq21d","s11iq22","s11iq23a","s11iq23b","s11iq24a","s11iq24b","s11iq24c"
4,1,105,2,638,10100,114,,1,4,600,2,1,2,2,4,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,108,2,904,10102,110,,1,2,5000,1,,1,,2,0,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,0,,,,,
4,1,108,2,904,10102,114,,1,2,700,2,,2,,2,0,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,0,,,,,
4,1,108,2,904,10103,114,,1,6,800,2,,2,,4,2,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,0,,,,,
4,1,108,2,904,10107,110,,1,8,8000,1,,1,2,8,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,8,"N4",,11,,
4,1,108,2,904,10107,111,,1,2,9000,1,,1,2,2,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,2,"N4",,11,,
2,2,209,2,1040,20001,110,,1,3,6000,1,,6,,5,4,0,0,0,,,,,,4,2,8500,"N2",,,,1,,,,,,,,,,
2,2,209,2,1040,20001,114,,1,35,600,1,,6,,16,30,0,4,0,,,,,,6,0,,,,,9,2,,,,,,,,,,
2,2,209,2,1040,20002,110,,1,8,4000,,1,4,2,5,3,0,0,0,,,,0,0,0,0,,,,0,0,1,,1,,,,,,,,
2,2,209,2,1040,20002,114,,1,10,500,,1,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,110,,1,3,6000,1,,6,,4,0,0,0,0,,"N1",,,,,1,3000,"N3",,,,2,,,,,,,,,,
2,2,209,2,1040,20005,111,,1,1,8000,1,,6,,1,0,0,0,0,,"N1",,,,,0,,,,,,2,,,,,,,,,,
2,2,209,2,1040,20006,101,,1,8,25000,1,,4,2,5,3,0,0,0,,"N6","N7",0,0,0,0,,,,,,2,,,,,8,"N8",,4,3,8
2,2,209,2,1040,20006,102,,1,7,20000,1,,4,2,3,4,0,0,0,,,,,,0,0,,,,,,2,,,,,7,,,,,
2,2,209,2,1040,20006,103,,1,5,50000,1,,4,2,3,2,0,0,0,,,,,,,,,,,,,2,,,,,7,,,,,
2,2,209,2,1040,20006,105,,1,6,45000,1,,3,4,4,2,0,0,0,,,,,,,0,,,,0,0,,,,,,6,,,,,
2,2,209,2,1040,20006,106,,1,3,65000,1,,3,4,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,110,,1,6,5000,1,,4,4,3,3,0,0,0,,,,0,0,0,0,,,,,,2,,,,,6,,,,,
2,2,209,2,1040,20006,111,,1,9,14000,1,3,4,3,7,2,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,9,,,,,
2,2,209,2,1040,20006,114,,1,26,500,1,3,2,3,18,8,0,0,0,,,,2,0,0,0,,,,0,,1,1,3,,,,,,,,
2,2,209,2,1040,20006,118,,1,4,1000,4,,,2,,,,,,,,,,,1,,,,,0,,2,,,,,,,,,,
2,2,209,2,1040,20006,120,,1,16,650,1,,3,4,9,7,0,0,0,,,,0,0,0,0,,,,,,2,,,,,0,,,,,
2,2,209,2,1040,20007,110,,1,3,1500,1,2,1,2,3,,,,,,,,,,,,,,,,,2,,,,,2,,,,,
2,2,209,2,1040,20007,123,,1,1,200,1,2,1,2,1,,,,,,,,1,,,,,,,,,2,,,,,2,,,,,
2,2,209,2,1040,20008,110,,1,2,6500,2,,1,,3,,,,,,,,,,1,1,5000,"N1",,,1,2,,,,,,,,,,
2,2,209,2,1040,20008,114,,1,3,500,1,,1,,18,15,,,,,,,,,3,15,7000,"N2",,,10,1,3,,,,,,,,,
2,2,209,2,1040,20009,110,,1,6,8000,7,,7,,3,3,0,0,0,,,,0,0,0,0,,,,,0,2,,,,,2,,,,,
2,2,209,2,1040,20010,114,,1,12,200,1,2,1,2,5,7,0,0,0,,,,,,,,,,,,,2,,,,,2,,,,,
2,2,221,2,18,20011,110,,1,4,5000,1,,4,5,2,1,0,0,1,3400,"N3",,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,221,2,18,20011,123,,1,1,200,1,,2,3,1,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,221,2,18,20014,106,,1,2,100000,1,,4,5,2,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,2,"N6",,4,,
2,2,221,2,18,20014,110,,1,3,4000,1,2,4,5,10,7,0,0,0,,,,0,0,0,7,35000,"N7","N8",0,0,2,,,,,0,,,,,
2,2,221,2,18,20014,114,,1,20,600,1,,4,5,20,30,0,0,0,,,,0,0,6,0,,,,0,8,2,,,,,0,,,,,
2,2,221,2,18,20014,118,,1,9,700,1,,4,5,2,10,0,0,0,,,,0,0,1,0,,,,0,2,1,3,0,,,0,,,,,
2,2,221,2,18,20015,110,,1,10,5000,1,,7,,8,3,0,0,0,,,,0,0,0,1,6500,"N4",,0,0,2,,,,,7,"N5",,4,,
2,2,221,2,18,20015,114,,1,18,400,1,,7,,10,10,0,0,0,,,,0,0,0,2,1700,"N4",,0,0,2,,,,,0,,,,,
2,2,221,2,18,20016,105,,1,35,70000,1,,1,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,1,10,0,,,10,"N6",,,,
2,2,221,2,18,20016,106,,1,6,102000,1,,1,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,1,2,0,,,2,"N6",,,,
2,2,221,2,18,20017,110,,1,1,0,1,,3,,3,0,0,0,0,,,,0,0,2,0,,,,0,0,2,,,,,0,,,,,
2,2,221,2,18,20017,114,,1,8,0,1,3,,,1,7,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,221,2,18,20018,110,,1,11,8000,2,8,2,8,6,5,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,221,2,18,20018,118,,1,30,800,1,,1,,4,26,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,221,2,18,20020,101,,1,2,10000,1,,1,3,0,2,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,0,,,,,
2,2,221,2,18,20020,105,,1,2,40000,1,,3,4,2,0,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,,,,,,
2,2,221,2,18,20020,107,,1,3,100000,1,,3,4,3,0,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,0,,,,,
2,2,221,2,18,20020,110,,1,40,4000,1,2,3,4,30,16,0,0,0,,,,0,0,3,0,,,,0,,1,4,2,,,11,,,,,
2,2,221,2,18,20020,111,,1,4,8000,1,,3,3,4,0,0,0,4,5000,"N3",,0,0,0,0,,,,0,,2,,,,,0,,,,,
2,2,221,2,18,20020,114,,1,42,500,1,4,4,5,16,38,0,0,0,,,,0,0,0,12,4000,"N4","N5",0,4,2,,,,,0,,,,,
2,2,221,2,18,20020,118,,1,2,800,5,,5,,0,0,0,0,2,800,"N3",,0,0,0,0,,,,0,,2,,,,,0,,,,,
2,2,201,2,60,20021,110,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,114,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,118,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20022,101,,1,2,10000,1,,1,2,0,2,,,,,"N8","N4",,,,,,,,,,2,,,,,0,,,,,
2,2,201,2,60,20022,102,,1,1,10000,1,,1,2,0,1,,,,,"N8","N4",,,,,,,,,,2,,,,,0,,,,,
2,2,201,2,60,20022,103,,1,4,50000,1,,1,2,4,,,,,,"N8","N4",,,,,,,,,,2,,,,,0,,,,,
2,2,201,2,60,20022,105,,1,4,40000,1,,1,2,4,,,,,,"N8","N4",,,,,,,,,,2,,,,,0,,,,,
2,2,201,2,60,20022,106,,1,1,70000,1,,1,2,1,,,,,,"N8","N4",,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20022,107,,1,2,65000,1,,1,2,2,,,,,,"N8","N4",1,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20022,110,,1,26,4000,1,,1,2,38,8,,,,,"N8","N4",,,,2,11800,"N8",,,,2,,,,,0,,,,,
2,2,201,2,60,20023,114,,1,4,400,1,2,1,2,3,1,,,,,,,,,,,,,,,,2,,,,,,,,,,
2,2,201,2,60,20023,119,,1,5,600,1,2,1,2,2,3,,,,,,,,,,,,,,,,2,,,,,,,,,,
2,2,201,2,60,20028,107,,1,2,60000,1,,1,,2,,,,,,"N4",,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20028,118,,1,17,1000,1,,2,,11,6,,,,,"N3",,,,,,,,,,4,,,,,,,,,,,
2,2,216,2,200,20032,110,,1,3,5000,1,,2,,5,2,,,,,,,,,,2,10000,"N5",,,,2,,,,,2,,,,,
2,2,216,2,200,20032,112,,1,1,4000,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,216,2,200,20032,114,,1,11,500,1,,2,,26,15,,,,,,,,,,5,3000,"N3",,,4,2,,,,,2,,,,,
2,2,216,2,200,20033,110,,1,1,5000,1,,1,,0,,,,,,,,,,,,,,,,,2,,,,,2,,,,,
2,2,216,2,200,20033,112,,1,2,2000,1,,1,,0,,,,,,,,,,,,,,,,,2,,,,,2,,,,,
2,2,216,2,200,20033,114,,1,3,500,1,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,
2,2,216,2,200,20034,107,,1,6,90000,1,,1,,6,,,,,,"N1",,,,,,,,,,,2,,,,,,,,,,
2,2,216,2,200,20034,110,,1,8,5000,1,2,2,5,13,4,,,,,"N1",,,,,,,,,,,2,,,,,,,,,,
2,2,216,2,200,20034,111,,1,1,7000,1,,,1,1,,,,,,"N1",,,,,,,,,,,2,,,,,,,,,,
2,2,216,2,200,20034,112,,1,10,10000,1,8,2,8,10,6,,,,,"N1",,,,,,,,,,,2,,,,,,,,,,
2,2,216,2,200,20034,114,,1,30,500,1,2,1,2,16,18,,,,,"N3",,,,,,,,,,,1,,,,,,,,,,
2,2,216,2,200,20035,111,,1,1,5000,1,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20035,112,,1,1,7500,1,,1,,2,,,,,,,,,,,,7500,"N1",,,,,,,,,,,,,,
2,2,216,2,200,20035,114,,1,5,500,1,,3,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20037,110,,1,8,6000,1,,2,,4,4,,,,,,,,,,,,,,,,2,,,,,,,,,,
2,2,216,2,200,20037,112,,1,1,5000,1,,2,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,
2,2,216,2,200,20037,114,,1,6,300,1,,2,,8,12,,,,,,,,,,,1500,"N4",,,3,2,,,,,,,,,,
2,2,216,2,200,20038,114,,1,3,300,1,,1,,1,4,,,,,,,,,,,,,,,,2,,,,,2,,,,,
2,2,216,2,200,20040,107,,1,4,70000,1,,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20040,110,,1,10,5000,1,2,4,2,15,,,,,,,,,,,5,22000,"N2",,,,,,,,,,,,,,
2,2,216,2,200,20040,114,,1,15,600,2,,2,,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20041,110,,1,10,10000,1,2,1,2,5,5,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,2,,,,,
2,2,203,2,1224,20041,111,,1,6,15000,1,2,1,2,4,2,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,2,,,,,
2,2,203,2,1224,20042,110,,1,1,5000,3,,3,,0,0,0,1,0,,,,0,0,0,0,,,,0,0,2,,,,,2,,,,,
2,2,203,2,1224,20043,114,,1,4,400,1,,1,,2,2,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,2,,,,,
2,2,203,2,1224,20044,101,,1,4,45000,1,,1,,4,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,203,2,1224,20044,102,,1,4,40000,1,,1,,4,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,203,2,1224,20044,103,,1,4,20000,1,,1,,0,4,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,203,2,1224,20044,106,,1,3,75000,1,,1,,3,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,203,2,1224,20044,107,,1,4,120000,1,,1,,4,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,203,2,1224,20044,110,,1,15,6000,1,,1,,10,5,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,203,2,1224,20044,111,,1,4,12000,1,,1,,4,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,203,2,1224,20044,114,,1,20,500,1,,1,,5,30,0,0,0,,,,0,0,15,0,,,,0,0,2,,,,,0,,,,,
2,2,203,2,1224,20045,107,,1,8,80000,1,,,,8,0,0,0,0,,,,0,0,0,0,,,,0,0,1,,,,,8,"N2",,4,,
2,2,203,2,1224,20045,110,,1,2,4000,1,,4,,1,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,203,2,1224,20045,114,,1,15,600,1,,1,,5,10,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
