"zone","state","lga","sector","ea","hhid","item_cd","s11jq1","s11jq2a","s11jq2b","s11jq3a","s11jq3b","s11jq4"
2,5,501,2,60,50077,7,1,400,,"N4","N5",2
2,5,501,2,60,50079,2,1,3000,,"N9",,2
2,5,501,2,60,50079,7,1,500,,"N7","N8",2
2,5,501,2,60,50080,1,1,0,10000,"N5",,2
2,5,501,2,60,50080,2,1,600,0,"N3",,2
2,5,501,2,60,50080,3,1,3000,0,"N5",,2
2,5,516,2,942,50082,2,1,200,0,"N4",,2
2,5,516,2,942,50082,3,1,3600,0,"N3",,2
2,5,516,2,942,50082,6,1,500,0,"N5",,2
2,5,516,2,942,50083,2,1,5400,,"N1",,
2,5,516,2,942,50083,3,1,350,,"N2",,
2,5,516,2,942,50084,2,1,8400,0,"N2",,2
2,5,516,2,942,50088,2,1,10000,0,"N2",,2
2,5,516,2,942,50088,3,1,6500,0,"N3",,2
2,5,516,2,942,50089,2,1,6600,,"N8",,2
2,5,516,2,942,50089,3,1,300,,"N7",,2
2,5,516,2,942,50089,6,1,300,,"N9",,
2,5,516,2,942,50089,7,1,600,,"N10",,
2,5,516,2,942,50090,2,1,1200,,"N1",,2
2,5,508,2,984,50091,2,1,2200,,"N1",,2
2,5,508,2,984,50092,2,1,1000,,"N1",,2
2,5,508,2,984,50093,2,1,500,0,"N1",,2
2,5,508,2,984,50094,2,1,22700,,"N3",,
2,5,508,2,984,50097,2,1,22000,,"N2",,2
2,5,508,2,984,50098,2,1,30000,,"N6",,2
2,5,508,2,984,50099,2,1,3000,,"N6",,
2,5,508,2,984,50099,7,1,200,,"N5",,
2,5,508,2,984,50100,2,1,40000,,"N7",,2
2,5,508,2,984,50100,3,1,2000,,"N7",,2
2,5,508,2,984,50100,7,1,1000,,"N5",,2
2,5,514,1,2036,50101,2,1,2500,,"N1",,2
2,5,514,1,2036,50101,3,1,500,,"N2",,2
2,5,514,1,2036,50102,2,1,3800,,"N2",,2
2,5,514,1,2036,50103,2,1,5000,,"N1",,2
2,5,514,1,2036,50107,2,1,5000,,"N1",,2
2,5,514,1,2036,50107,3,1,200,,"N3",,2
2,5,508,2,718,50113,2,1,3000,,"N8",,2
2,5,508,2,718,50114,7,1,600,,"N3",,2
2,5,508,2,718,50115,2,1,1000,,"N2",,2
2,5,508,2,718,50118,2,1,200,0,"N2",,2
2,5,508,2,718,50119,2,1,600,0,"N1",,2
2,5,508,2,718,50120,2,1,700,0,"N1",,2
2,5,510,1,872,50126,2,1,2400,0,"N2",,
2,5,518,2,1588,50135,1,1,27000,0,"N9",,2
2,5,518,2,1588,50135,2,1,1000,0,"N9",,2
2,5,518,2,1588,50135,3,1,600,0,"N8",,2
2,5,518,2,1588,50136,7,1,500,,"N4","N5",
2,5,518,2,1588,50137,2,1,1400,0,"N1",,2
2,5,518,2,1588,50137,3,1,6000,0,"N1",,2
2,5,518,2,1588,50137,6,1,300,0,"N1",,2
2,5,518,2,1588,50139,2,1,2000,,"N6",,
2,5,518,2,1588,50140,2,1,200,,"N1",,2
2,5,510,2,1516,50141,2,1,1200,0,"N1",,2
2,5,510,2,1516,50142,2,1,12000,,"N1",,2
2,5,510,2,1516,50145,2,1,2000,,"N2",,2
2,5,510,2,1516,50145,3,1,1800,,"N2",,2
2,5,510,2,1516,50147,2,1,,,,,
2,5,510,2,1516,50149,2,1,10000,,"N4",,2
2,5,510,2,1516,50149,3,1,930,,"N3",,2
2,5,510,2,1516,50150,2,1,5000,,"N3","N4",2
2,5,510,2,1516,50150,3,1,600,,"N2",,2
2,5,518,2,1304,50151,2,1,22000,2000,"N3","N2",2
2,5,518,2,1304,50153,2,1,400,0,"N5",,2
2,5,518,2,1304,50153,3,1,1600,0,"N4",,2
2,5,518,2,1304,50153,6,1,1500,0,,,
2,5,518,2,1304,50153,7,1,500,0,"N4",,2
2,5,518,2,1304,50154,2,1,8000,0,"N3",,2
2,5,518,2,1304,50155,2,1,20000,0,"N4",,2
2,5,518,2,1304,50157,2,1,15000,,"N7",,
2,5,518,2,1304,50157,3,1,2000,,"N6",,
2,5,518,2,1304,50157,8,1,200,,"N4",,
2,5,518,2,1304,50159,2,1,500,0,"N1",,2
2,5,520,2,1756,50161,2,1,2000,0,"N1",,2
2,5,520,2,1756,50162,2,1,3500,0,"N1",,2
2,5,520,2,1756,50163,2,1,9800,,"N3",,2
2,5,520,2,1756,50163,3,1,4500,,"N2",,2
2,5,520,2,1756,50164,2,1,1500,0,"N1",,2
2,5,520,2,1756,50165,2,1,40000,,"N2",,2
2,5,520,2,1756,50165,3,1,4000,,"N2",,2
2,5,520,2,1756,50166,2,1,16000,0,"N1",,2
2,5,520,2,1756,50166,3,1,4500,0,"N2",,2
2,5,520,2,1756,50166,6,1,300,0,"N3",,2
2,5,520,2,1756,50167,2,1,18000,,"N3",,2
2,5,520,2,1756,50167,3,1,6000,,"N2",,2
2,5,520,2,1756,50169,2,1,13000,0,"N2",,2
2,5,520,2,1756,50169,3,1,3700,0,"N3",,2
2,5,520,2,1756,50170,2,1,9500,0,"N1",,2
2,5,520,2,1756,50170,3,1,2850,0,"N2",,2
5,6,601,2,640,60048,2,1,14000,0,"N2",,2
5,6,601,2,640,60048,5,1,6000,12000,"N3",,2
5,6,601,2,640,60048,6,1,12000,0,,,2
2,8,821,1,1448,80016,2,1,1500,,"N3",,2
2,8,821,1,5062,80025,2,1,20000,,"N3",,2
2,8,821,1,5062,80026,2,1,10000,3000,"N4",,2
2,8,821,1,5062,80026,3,1,500,,,,
2,8,821,1,5062,80026,6,1,100,200,"N2",,
2,8,816,2,1270,80031,2,1,4000,,,,2
2,8,816,2,1270,80031,3,1,1500,,,,2
2,8,816,2,1270,80031,4,1,12800,,,,2
2,8,816,2,1270,80031,6,1,1800,,,,2
2,8,816,2,1270,80035,2,1,5000,10000,"N4",,2
2,8,816,2,1270,80035,6,1,500,,"N2",,2
2,8,816,2,1270,80036,1,1,1440,1560,"N4",,2
2,8,816,2,1270,80036,3,1,150,,"N3",,2
2,8,816,2,1270,80038,4,1,,5000,"N1",,2
2,8,816,2,1270,80039,3,1,1000,0,"N3",,2
2,8,816,2,1270,80040,1,1,4200,,"N4",,2
2,8,816,2,1270,80040,4,1,5000,,"N4",,2
2,8,803,1,944,80041,2,1,5000,,,,
2,8,803,1,944,80041,6,1,500,,,,
2,8,803,1,944,80044,4,1,4000,,"N4",,2
2,8,803,1,944,80045,2,1,3000,0,"N2",,2
2,8,803,1,944,80045,3,1,1600,0,"N2",,2
2,8,803,1,944,80045,5,1,500,0,"N3",,2
2,8,803,1,944,80045,6,1,700,0,"N3",,2
2,8,803,1,944,80049,2,1,10000,,,,
2,8,803,1,944,80049,7,1,300,,,,
2,8,811,1,1558,80057,2,1,2300,0,"N3",,2
2,8,811,1,1558,80057,5,1,700,0,"N4",,2
2,8,811,2,390,80061,1,1,12000,,"N5",,2
2,8,811,2,390,80061,2,1,150000,,"N6",,2
2,8,811,2,390,80061,3,1,8000,,"N4",,2
2,8,811,2,390,80063,2,1,10000,5000,"N2",,2
2,8,811,2,390,80063,5,1,1000,100,"N5",,2
2,8,811,2,390,80063,6,1,1500,,"N2",,2
2,8,811,2,390,80065,3,1,500,0,"N2",,2
2,8,811,2,390,80068,1,1,5000,,"N4",,2
2,8,811,2,390,80068,2,1,4000,,"N3",,1
2,8,811,2,390,80068,3,1,10000,,"N3","N4",1
2,8,811,2,390,80068,5,1,8000,,"N1",,2
2,8,811,2,390,80068,6,1,5000,,"N2",,2
2,8,802,2,1152,80072,1,1,16000,3000,,,1
2,8,802,2,1152,80072,2,1,5000,1000,,,2
2,8,802,2,1152,80072,3,1,30000,0,,,1
2,8,802,2,1152,80072,6,1,0,800,,,2
2,8,802,2,1152,80078,3,1,6000,,"N2",,2
2,8,802,2,1152,80078,4,1,10000,,"N3",,2
2,8,802,2,1152,80079,3,1,2500,0,"N3",,2
2,8,812,2,866,80081,1,1,1000,50,,,
2,8,812,2,866,80088,2,1,6000,,"N1",,2
2,8,812,2,866,80088,3,1,1700,,"N3",,2
2,8,812,2,866,80088,7,1,500,,,,2
2,8,805,2,46,80100,2,1,21000,,"N1",,
2,8,805,2,46,80100,3,1,800,,"N1",,
2,8,827,2,804,80102,2,1,1500,100,"N3",,2
2,8,827,2,804,80102,4,1,600,300,"N4",,2
2,8,827,2,804,80102,6,1,2000,1000,"N3",,2
2,8,827,2,804,80106,2,1,3000,,"N4",,2
2,8,827,2,804,80106,3,1,500,,"N3",,2
2,8,827,2,804,80107,3,1,4000,0,"N3",,2
2,8,807,2,946,80111,2,1,5000,,"N1",,2
2,8,807,2,946,80111,3,1,7000,,"N2",,2
2,8,807,2,946,80113,1,1,3000,,,,
2,8,807,2,946,80113,2,1,6000,,,,
2,8,807,2,946,80113,3,1,5000,,,,
2,8,807,2,946,80113,6,1,1000,,,,
2,8,807,2,946,80114,1,1,3000,0,"N4",,
2,8,807,2,946,80114,2,1,1200,0,"N1",,
2,8,807,2,946,80114,6,1,500,0,"N5",,
2,8,807,2,946,80114,7,1,600,0,"N6",,
2,8,807,2,946,80116,3,1,0,0,"N1",,2
2,8,807,2,946,80117,3,1,150,0,,,2
2,8,807,2,946,80119,2,1,20000,,"N3",,2
2,8,807,2,2396,80123,2,1,5000,3000,"N1",,2
2,8,807,2,2396,80123,6,1,200,,,,2
2,8,807,2,2396,80125,7,1,300,,"N3",,2
2,8,807,2,2396,80126,3,1,2800,0,"N3",,2
2,8,807,2,2396,80127,2,1,20000,,"N5",,
2,8,807,2,2396,80127,3,1,55000,,"N5",,2
2,8,807,2,2396,80129,2,1,3000,,"N4",,2
2,8,807,2,2396,80129,3,1,3000,,"N4",,2
2,8,807,2,1438,80132,2,1,1200,,"N2",,2
2,8,807,2,1438,80132,3,1,2400,,"N2",,2
2,8,807,2,1438,80132,7,1,300,,"N3",,2
2,8,807,2,1438,80136,3,1,200,0,"N3",,2
2,8,807,2,1438,80137,2,1,3200,,"N5",,
2,8,807,2,1438,80137,3,1,500,,"N6",,
2,8,807,2,1438,80138,2,1,19000,,"N5",,2
2,8,807,2,1438,80138,3,1,8000,,"N3","N4",2
2,8,807,2,1438,80139,2,1,30000,,"N3",,2
2,8,807,2,1438,80139,3,1,6500,,"N1",,2
2,8,807,2,1438,80140,1,1,2000,,,,
2,8,807,2,1438,80140,2,1,8000,,,,
2,8,807,2,1438,80140,3,1,2000,,,,
2,8,807,2,1438,80140,6,1,3000,,,,
2,8,820,2,1030,80141,3,1,1400,,"N2",,2
2,8,820,2,1030,80143,2,1,100,,,,2
2,8,820,2,1030,80143,6,1,100,,"N1",,2
2,8,824,2,768,80151,1,1,,6000,"N2",,2
2,8,817,1,2476,80167,2,1,50000,,"N2",,2
2,8,823,2,548,80172,5,1,300,200,"N1",,2
2,8,823,2,548,80178,1,1,1600,,"N4",,2
2,8,823,2,548,80178,2,1,10000,,"N3",,2
2,8,823,2,548,80178,6,1,1000,,"N2",,2
2,8,823,2,548,80179,3,1,2000,0,"N5",,2
2,8,823,2,548,80180,3,1,150,,"N4",,2
2,8,809,2,1748,80181,5,1,2700,,"N2",,2
2,8,809,2,1748,80182,2,1,3000,300,"N1",,2
2,8,826,2,926,80193,2,1,15000,2000,"N1",,2
2,8,826,2,926,80193,3,1,1500,,"N1",,2
2,8,826,2,926,80193,6,1,100,200,"N1",,2
2,8,826,2,926,80195,2,1,1000,,"N1",,2
2,8,826,2,926,80195,3,1,2800,,"N1",,2
2,8,826,2,926,80195,5,1,0,2000,"N2",,2
2,8,826,2,926,80198,2,1,20000,,"N4",,2
2,8,826,2,926,80199,2,1,600,,"N1",,2
2,8,826,2,926,80199,3,1,800,,"N2",,2
2,8,826,2,926,80200,2,1,4500,,"N1",,2
2,8,826,2,926,80200,3,1,1300,,"N3",,2
2,8,815,2,362,80203,3,1,500,,,,
2,8,815,2,362,80203,6,1,50,,"N3",,2
5,9,908,1,278,90010,2,1,1000,0,"N3",,2
5,9,918,2,834,90092,3,1,5000,,"N4",,2
5,10,1014,2,80,100008,1,1,150,,"N6",,1
5,10,1014,2,80,100008,2,1,1000,,"N5",,2
5,10,1014,2,80,100008,9,1,500,,"N5",,2
5,10,1001,2,172,100015,3,1,1500,,"N5",,2
5,10,1005,2,1374,100083,2,1,300,,"N3",,2
5,10,1018,1,634,100115,3,1,3000,0,"N1",,2
4,11,1108,2,492,110059,1,1,360000,,,,
4,11,1108,2,492,110059,2,1,840000,,,,
4,11,1108,2,492,110059,3,1,2500,,,,
4,11,1108,2,492,110059,4,1,240000,,,,
4,11,1108,2,492,110059,6,1,120000,,,,
5,12,1211,1,2856,120007,2,1,1000,,"N1",,2
5,12,1208,2,526,120045,2,1,1700,750,"N3","N4",2
5,12,1208,2,526,120046,3,1,500,,"N3",,1
5,12,1208,2,526,120047,2,1,2700,,"N1",,2
5,12,1208,2,526,120049,3,1,1500,,"N3",,2
5,12,1216,2,618,120052,2,1,600,200,"N2","N3",2
5,12,1216,2,618,120058,2,1,1500,300,"N3","N4",2
5,12,1210,2,462,120064,2,1,,300,"N1",,2
5,12,1210,2,462,120066,2,1,,200,"N1",,2
5,12,1210,2,462,120068,2,1,100,,"N2",,2
5,12,1204,2,736,120080,9,1,1000,,"N2",,2
6,13,1307,1,268,130025,3,1,700,,"N3",,2
6,13,1305,1,1232,130046,2,1,1200,,"N1",,2
6,13,1309,2,674,130051,2,1,2000,,"N3",,2
6,13,1309,2,674,130057,2,1,1600,,"N2",,2
6,13,1309,2,674,130058,2,1,,200,"N2",,2
6,13,1305,2,10,130064,2,1,400,,"N3",,2
4,14,1401,2,1116,140001,1,1,3000,0,"N3","N4",2
4,14,1407,2,68,140019,1,1,20000,4000,,,2
4,14,1408,2,1996,140021,1,1,4000,0,"N1",,2
