"zone","state","lga","sector","ea","hhid","prod_cd","s11kc2","s11kq1","s11kq2","s11kq3a","s11kq3b","s11kq3c","s11kq4","s11kq5a","s11kq5b","s11kq5c","s11kq6"
4,11,1112,2,78,110027,2,,1,2,10,4,,2,,,,
4,11,1112,2,78,110028,2,,1,2,15,4,,2,,,,
4,11,1112,2,78,110029,2,,1,2,7,2,,2,,,,
4,11,1112,2,78,110030,2,,1,2,10,4,,2,,,,
4,11,1110,2,714,110031,2,,1,2,15,4,,2,,,,
4,11,1110,2,714,110032,2,,1,2,12,4,,2,,,,
4,11,1110,2,714,110033,2,,1,2,8,4,,2,,,,
4,11,1110,2,714,110034,2,,1,2,8,4,,2,,,,
4,11,1110,2,714,110035,2,,1,2,5,4,,2,,,,
4,11,1110,2,714,110036,2,,1,2,6,4,,2,,,,
4,11,1110,2,714,110039,2,,1,1,5,4,,2,,,,
4,11,1110,2,2752,110041,2,,1,3,11,4,,2,,,,
4,11,1110,2,2752,110043,2,,1,3,15,4,,2,,,,
4,11,1110,2,2752,110044,2,,1,2,20,4,,2,,,,
4,11,1110,2,2752,110045,2,,1,3,15,4,,2,,,,
4,11,1110,2,2752,110047,2,,1,1,5,5,,2,,,,
4,11,1110,2,2752,110049,2,,1,1,12,4,,2,,,,
4,11,1110,2,2752,110050,2,,1,2,15,4,,2,,,,
4,11,1108,2,492,110059,2,,1,2,175,5,,1,,,,
4,11,1105,2,100,110061,2,,1,2,8,4,,2,,,,
4,11,1105,2,100,110062,2,,1,2,12,4,,2,,,,
4,11,1105,2,100,110064,2,,1,2,1,4,,2,,,,
4,11,1105,2,100,110066,2,,1,1,24,4,,2,,,,
4,11,1105,2,100,110067,2,,1,2,20,4,,2,,,,
4,11,1105,2,100,110068,2,,1,2,8,4,,2,,,,
4,11,1106,2,446,110072,2,,1,2,15,4,,2,,,,
4,11,1106,2,446,110073,2,,1,3,16,4,,2,,,,
4,11,1106,2,446,110074,2,,1,2,12,4,,2,,,,
4,11,1106,2,446,110075,2,,1,2,13,4,,2,,,,
4,11,1104,2,434,110081,2,,1,2,16,4,,2,,,,
4,11,1104,2,434,110082,2,,1,2,12,4,,2,,,,
4,11,1104,2,434,110083,2,,1,1,13,5,,2,,,,
4,11,1104,2,434,110084,2,,1,2,10,4,,2,,,,
4,11,1104,2,434,110085,2,,1,2,20,4,,2,,,,
4,11,1104,2,434,110086,2,,1,1,13,4,,2,,,,
4,11,1104,2,434,110087,2,,1,1,14,5,,2,,,,
4,11,1104,2,434,110088,2,,1,3,9,4,,2,,,,
4,11,1104,2,434,110090,2,,1,2,7,1,,2,,,,
4,11,1107,2,1034,110091,2,,1,2,9,4,,2,,,,
4,11,1107,2,1034,110092,2,,1,2,28,4,,2,,,,
4,11,1107,2,1034,110093,2,,1,12,2,4,,2,,,,
4,11,1107,2,1034,110094,2,,1,2,6,4,,2,,,,
4,11,1107,2,1034,110095,2,,1,2,25,4,,2,,,,
4,11,1107,2,1034,110096,2,,1,2,12,4,,2,,,,
4,11,1107,2,1034,110097,2,,1,2,16,4,,2,,,,
4,11,1107,2,1034,110098,2,,1,2,10,4,,2,,,,
4,11,1107,2,1034,110099,2,,1,2,14,4,,2,,,,
4,11,1107,2,1034,110100,2,,1,2,14,4,,2,,,,
4,11,1109,2,672,110101,2,,1,2,8,4,,2,,,,
4,11,1109,2,672,110102,2,,1,2,10,4,,2,,,,
4,11,1109,2,672,110103,2,,1,2,14,4,,2,,,,
4,11,1109,2,672,110105,2,,1,2,16,4,,2,,,,
4,11,1109,2,672,110107,2,,1,2,27,4,,2,,,,
4,11,1109,2,672,110108,2,,1,10,2,4,,2,,,,
4,11,1109,2,672,110109,2,,1,2,8,4,,2,,,,
4,11,1109,2,672,110110,2,,1,2,31,4,,2,,,,
4,11,1113,2,954,110111,2,,1,2,33,5,,2,,,,
4,11,1113,2,954,110112,2,,1,2,16,4,,2,,,,
4,11,1113,2,954,110114,2,,1,2,12,4,,2,,,,
4,11,1113,2,954,110115,2,,1,2,10,4,,1,4,4,,100
4,11,1113,2,954,110116,2,,1,2,6,4,,2,,,,
4,11,1113,2,954,110117,2,,1,2,10,5,,2,,,,
4,11,1113,2,954,110118,2,,1,2,14,4,,2,,,,
4,11,1113,2,954,110119,2,,1,2,15,4,,2,,,,
4,11,1113,2,954,110120,2,,1,2,12,4,,2,,,,
4,11,1102,2,936,110122,2,,1,2,16,4,,2,,,,
4,11,1102,2,936,110129,2,,1,2,8,4,,2,,,,
4,11,1101,2,154,110131,2,,1,2,18,4,,2,,,,
4,11,1101,2,154,110132,2,,1,2,12,4,,2,,,,
4,11,1101,2,154,110133,2,,1,2,12,4,,2,,,,
4,11,1101,2,154,110134,2,,1,2,12,4,,2,,,,
4,11,1101,2,154,110135,2,,1,2,14,4,,2,,,,
4,11,1101,2,154,110136,2,,1,1,28,3,,2,,,,
4,11,1101,2,154,110137,2,,1,1,32,4,,2,,,,
4,11,1101,2,154,110138,2,,1,2,7,4,,2,,,,
4,11,1101,2,154,110139,2,,1,2,7,4,,2,,,,
5,12,1211,1,2856,120007,2,,1,2,2,5,,1,2,5,,1000
5,12,1208,2,526,120047,2,,1,1,4,4,,2,,,,
5,12,1208,2,526,120047,5,,1,6,2,2,,2,,,,
5,12,1208,2,526,120047,6,,1,1,20,4,,2,,,,
5,12,1208,2,526,120049,5,,1,6,2,6,,2,,,,
5,12,1216,2,618,120052,2,,1,1,6,4,,2,,,,
5,12,1216,2,618,120052,5,,1,4,20,3,,1,2,3,,1000
5,12,1216,2,618,120058,2,,1,2,2,5,,2,,,,
5,12,1216,2,618,120058,5,,1,3,12,3,,1,6,3,,1200
5,12,1210,2,462,120063,2,,1,2,60,5,,2,,,,
5,12,1210,2,462,120064,2,,1,1,6,4,,2,,,,
5,12,1210,2,462,120064,5,,1,2,1,3,,2,,,,
5,12,1210,2,462,120066,2,,1,1,5,4,,2,,,,
5,12,1210,2,462,120066,5,,1,3,4,3,,1,2,3,,800
5,12,1210,2,462,120066,6,,1,3,700,2,,2,,,,
5,12,1210,2,462,120068,2,,1,1,6,4,,2,,,,
5,12,1210,2,462,120068,5,,1,1,800,2,,2,,,,
5,12,1210,2,462,120069,5,,1,3,5,3,,2,,,,
6,13,1314,1,6,130017,2,,1,1,1,5,,2,,,,
6,13,1314,1,6,130019,5,,1,1,,,,2,,,,
6,13,1309,2,674,130051,2,,1,10,800,2,,2,,,,
6,13,1309,2,674,130055,2,,1,1,10,4,,2,,,,
4,14,1401,2,1116,140007,7,,1,6,40,1,,1,35,1,,8000
4,14,1408,2,1996,140027,7,,1,12,200,1,,1,180,1,,250000
4,14,1413,2,670,140072,5,,1,,50,3,,1,50,1,,4000
4,14,1413,2,670,140073,5,,1,,60,4,,1,60,4,,3000
2,15,1508,2,1682,150012,1,,1,3,100,1,,2,,,,
2,15,1502,2,590,150038,1,,1,5,400,1,,1,350,1,,200000
2,15,1506,1,148,150077,1,,1,7,200,1,,1,150,1,,60000
4,16,1610,2,1006,160011,2,,1,2,18,4,,2,,,,
4,16,1624,1,286,160028,8,"PALM OIL",1,1,3,1,,2,,,,
4,16,1620,2,106,160078,2,,1,1,12,5,,1,144,5,,79200
4,16,1618,2,1060,160088,7,,1,8,10,1,,1,20,1,,10000
4,16,1618,2,1060,160090,5,,1,3,3,4,,1,45,4,,4000
4,16,1606,2,590,160103,7,,1,4,10,1,,1,25,1,,5000
3,17,1706,2,284,170001,1,,1,10,50,1,,1,40,1,,3000
3,17,1706,2,284,170001,2,,1,5,3,5,,1,2,5,,900
3,17,1706,2,284,170005,1,,1,1,25,1,,1,20,1,,2000
3,17,1706,2,284,170005,2,,1,1,6,5,,1,2,5,,1000
3,17,1706,2,284,170007,1,,1,10,300,1,,1,250,1,,30000
3,17,1706,2,284,170007,2,,1,5,600,4,,1,500,4,,10000
3,17,1719,2,1354,170013,2,,1,,24,5,,2,,,,
3,17,1704,2,1080,170022,2,,1,3,120,5,,1,3,5,,600
3,17,1722,2,96,170041,2,,1,4,400,4,,1,300,4,,6000
3,17,1722,2,96,170043,2,,1,3,200,5,,1,3,5,,2000
3,17,1722,2,96,170044,2,,1,4,13,5,,1,5,5,,2500
3,18,1805,2,534,180058,1,,1,5,5,1,,1,5,1,,1000
3,18,1805,2,534,180059,2,,1,6,3,5,,2,,,,
3,18,1808,2,1726,180078,2,,1,3,1,5,,2,,,,
3,18,1814,2,678,180112,1,,1,12,1600,1,,1,1000,1,,60000
3,18,1814,2,678,180113,1,,1,12,7000,1,,1,5000,1,,120000
3,18,1814,2,678,180114,8,,1,3,4,1,,1,4,1,,250
3,18,1814,2,678,180115,8,,1,3,3,1,,1,3,1,,1200
3,18,1814,2,678,180116,1,,1,12,20,1,,1,18,1,,10000
3,18,1814,2,678,180117,1,,1,12,1000,1,,1,6000,1,,9000
3,18,1814,2,678,180118,1,,1,2,40,1,,1,20,1,,1000
3,18,1814,2,678,180118,2,,1,50,54,4,,2,,,,
3,18,1814,2,678,180119,1,,1,12,12000,1,,1,9000,1,,200000
3,19,1943,2,668,190024,2,,1,3,50,,,2,,,,
3,19,1943,2,668,190025,2,,1,4,3,5,,2,,,,
3,19,1943,2,668,190026,2,,1,2,5,5,,2,,,,
3,19,1943,2,668,190027,2,,1,4,20,2,,2,,,,
3,19,1943,2,668,190028,2,,1,2,40,2,,2,,,,
3,19,1943,2,668,190029,2,,1,5,20,2,,2,,,,
3,19,1916,2,1516,190033,2,,1,2,1,5,,2,,,,
3,19,1916,2,1516,190038,2,,1,2,2,5,,2,,,,
3,19,1916,2,1516,190040,2,,1,5,3,5,,2,,,,
3,19,1901,2,640,190041,2,,1,3,5,5,,2,,,,
3,19,1901,2,640,190042,2,,1,3,1,5,,2,,,,
3,19,1901,2,640,190043,2,,1,4,1,5,,2,,,,
3,19,1901,2,640,190044,2,,1,3,1,5,,2,,,,
3,19,1901,2,640,190045,1,,1,3,5,5,,2,,,,
3,19,1901,2,640,190046,2,,1,3,2,5,,2,,,,
3,19,1937,2,432,190051,2,,1,3,2,5,,2,,,,
3,19,1937,2,432,190059,2,,1,3,2,5,,2,,,,
3,19,1936,2,1994,190061,1,,1,3,7,1,,1,4,1,,4000
3,19,1936,2,1994,190061,2,,1,3,5,5,,1,3,5,,1500
3,19,1936,2,1994,190062,1,,1,4,10,1,,1,6,1,,7000
3,19,1936,2,1994,190062,2,,1,3,12,5,,1,10,5,,2500
3,19,1936,2,1994,190063,2,,1,3,4,5,,2,,,,
3,19,1936,2,1994,190064,1,,1,5,25,2,,1,10,1,,10000
3,19,1936,2,1994,190064,2,,1,3,5,5,,1,4,5,,2000
3,19,1936,2,1994,190065,1,,1,4,10,1,,1,8,1,,6000
3,19,1936,2,1994,190065,2,,1,3,3,5,,1,2,5,,1000
3,19,1936,2,1994,190068,2,,1,5,1500,2,,1,1300,2,,19500
3,19,1936,2,1994,190069,2,,1,6,1000,2,,1,800,1,,12000
3,19,1936,2,1994,190070,1,,1,5,20,2,,1,12,1,,9000
3,19,1936,2,1994,190070,2,,1,3,6,5,,1,4,5,,1800
3,19,1902,2,52,190071,1,,1,6,360,1,,1,300,1,,7500
3,19,1902,2,52,190077,1,,1,3,15,1,,2,,,,
3,19,1902,2,52,190077,2,".",1,4,5,5,,2,,,,
3,19,1902,2,52,190079,2,,1,3,1,5,,2,,,,
3,19,1902,2,52,190080,2,,1,3,1,5,,2,,,,
3,19,1914,2,934,190081,2,,1,4,5,5,,2,,,,
3,19,1914,2,934,190082,2,,1,6,7,2,,2,,,,
3,19,1914,2,934,190088,2,,1,5,10,1,,2,,,,
3,19,1914,2,934,190090,2,,1,3,3,5,,2,,,,
3,19,1941,2,518,190097,2,"3",1,2,5,2,,2,,,,
3,19,1941,2,518,190100,2,,1,3,6,5,,1,4,5,,2400
3,19,1908,2,284,190143,2,,1,4,5,5,,1,3,5,,750
3,19,1908,2,284,190144,1,,1,6,10,1,,1,220,1,,110000
3,19,1908,2,284,190146,1,,1,10,35,1,,1,250,1,,25000
3,19,1908,2,284,190147,1,,1,4,80,1,,1,50,1,,5000
3,19,1908,2,284,190149,1,,1,4,30,1,,1,25,1,,1000
3,19,1908,2,284,190149,2,,1,3,200,1,,1,200,1,,1600
3,19,1934,2,386,190158,1,,1,10,800,1,,1,500,1,,3600
3,19,1919,2,366,190161,2,,1,4,10,5,,1,8,5,,2400
3,19,1919,2,366,190162,1,,1,3,1000,1,,1,600,1,,1000
3,19,1919,2,366,190162,2,,1,6,10,5,,1,6,5,,1800
3,19,1919,2,366,190164,2,,1,4,10,5,,1,8,5,,2400
3,19,1928,2,526,190175,2,,1,3,10,5,,1,4,5,,1200
3,19,1928,2,526,190176,2,,1,4,6,5,,1,5,5,,1500
3,19,1923,2,284,190195,2,,1,3,9,5,,2,,,,
3,20,2018,2,1134,200016,1,,1,12,500,1,,1,500,1,,10000
3,20,2018,2,1134,200017,1,,1,12,500,1,,1,400,1,,6000
3,20,2018,2,1134,200018,1,,1,12,300,1,,1,300,1,,4000
3,20,2005,2,970,200029,1,,1,9,800,1,,1,500,1,,3500
3,20,2009,2,240,200136,2,,1,1,2,5,,1,1,5,,420
3,20,2008,2,1474,200141,1,,1,4,50,1,,1,45,1,,3500
3,20,2008,2,1474,200141,2,,1,1,4,5,,1,4,5,,2600
1,22,2209,1,792,220047,2,,1,4,5,5,,1,4,5,,2400
1,22,2205,2,2432,220064,8,"PALM OIL",1,2,120,1,,1,240,1,,36000
1,22,2205,2,2432,220067,8,"PALM KERNEL",1,2,200,3,,1,200,3,,24000
1,22,2214,2,1354,220082,2,,1,1,1,1,,2,,,,
1,22,2203,2,530,220101,2,,1,2,20,5,,2,,,,
1,22,2203,2,266,220116,8,"PALM OIL",1,3,3,6,"DRUM",1,3,6,"DRUM",120000
1,23,2302,2,1982,230091,1,,1,2,200,1,,1,140,1,,20000
1,23,2302,2,1982,230092,1,,1,6,2700,1,,1,1800,1,,54000
1,23,2302,2,1982,230092,8,,1,6,1080,3,,1,720,3,,120000
1,23,2302,2,1982,230093,1,,1,6,200,1,,2,,,,
1,23,2302,2,1982,230094,1,,1,12,150,1,,1,120,1,,6000
1,23,2302,2,1982,230095,1,,1,6,900,1,,1,600,1,,18000
1,23,2302,2,1982,230095,8,,1,6,360,3,,1,240,3,,40000
1,23,2302,2,1982,230096,1,,1,2,55,1,,2,,,,
1,23,2302,2,1982,230097,1,,1,6,400,1,,2,,,,
1,23,2302,2,1982,230098,1,,1,12,240,1,,1,200,1,,10000
1,23,2302,2,1982,230099,1,,1,5,200,1,,2,,,,
1,23,2302,2,1982,230100,1,,1,8,120,1,,1,80,1,,4000
1,25,2504,2,222,250017,2,,1,,20,4,,2,,,,
1,25,2502,2,728,250053,1,,1,12,50,1,,2,,,,
1,25,2502,2,728,250055,1,,1,9,50,1,,2,,,,
1,25,2502,2,728,250057,1,,1,12,250,1,,1,200,1,,50000
1,25,2502,2,728,250059,1,,1,10,200,1,,2,,,,
1,25,2502,2,728,250060,1,,1,10,25,1,,2,,,,
1,26,2618,2,1276,260023,2,,1,2,9,4,,2,,,,
1,26,2618,2,1276,260029,2,,1,2,13,,,2,,,,
1,26,2618,2,494,260034,2,,1,3,12,4,,2,,,,
1,26,2615,2,2196,260051,1,,1,12,100,1,,1,80,1,,4000
1,26,2615,2,2196,260052,1,,1,200,20,1,,1,110,1,,12000
1,26,2615,2,2196,260053,1,,1,1,200,1,,1,100,1,,25000
1,26,2615,2,2196,260054,1,,1,12,500,1,,1,200,1,,25000
1,26,2615,2,2196,260055,1,,1,4,10,1,,2,,,,
1,26,2615,2,2196,260056,1,,1,9,60,1,,1,50,1,,3000
1,26,2615,2,2196,260057,1,,1,8,40,1,,2,,,,
1,26,2615,2,2196,260057,2,,1,2,31,4,,1,18,4,,180
1,26,2615,2,2196,260058,1,,1,9,65,1,,1,45,1,,4000
1,26,2615,2,2196,260059,1,,1,9,50,1,,2,,,,
1,26,2615,2,2196,260060,2,,1,25,74,1,,1,60,1,,4000
1,26,2615,2,2178,260064,2,,1,1,5,4,,2,,,,
1,26,2615,2,2178,260069,2,,1,1,4,4,,2,,,,
1,26,2621,2,100,260071,1,,1,9,30,1,,2,,,,
1,26,2621,2,100,260071,2,,1,3,1,6,,2,,,,
1,26,2621,2,100,260072,1,,1,9,30,1,,2,,,,
1,26,2621,2,100,260073,1,,1,100,20,1,,2,,,,
1,26,2621,2,100,260075,1,,1,6,10,1,,1,10,1,,1700
1,26,2621,2,100,260077,1,,1,4,25,1,,1,25,1,,1500
1,26,2621,2,100,260078,1,,1,9,20,1,,2,,,,
1,26,2621,2,100,260079,1,,1,9,25,1,,2,,,,
1,26,2605,2,594,260093,1,,1,5,50,1,,1,40,1,,5000
1,26,2601,2,822,260143,1,,1,12,50,1,,1,150,1,,10000
1,26,2601,2,822,260148,1,,1,12,45,1,,1,45,1,,6000
1,26,2616,2,254,260161,2,,1,3,34,4,,2,,,,
6,27,2703,1,1612,270061,2,,1,2,12,4,,2,,,,
6,28,2806,1,802,280001,2,,1,2,15,4,,2,,,,
6,28,2811,2,588,280051,2,,1,1,10,4,,2,,,,
6,28,2811,2,588,280053,2,,1,2,14,4,,2,,,,
6,28,2811,2,588,280054,2,,1,2,20,4,,2,,,,
6,28,2815,2,1164,280065,2,,1,2,30,4,,2,,,,
6,29,2920,1,1210,290153,8,,1,2,515,3,,2,,,,
6,29,2914,1,214,290161,2,,1,12,105,5,,1,1236,5,,716880
6,29,2914,1,214,290163,2,,1,2,10,4,,2,,,,
6,29,2920,2,1628,290172,8,"GARI/CASSAVA FL",1,4,555,1,,2,,,,
6,29,2920,2,1628,290173,8,,1,4,15,3,,2,,,,
6,29,2920,2,1628,290176,8,"PEPPER",1,4,8,1,,2,,,,
6,29,2920,2,1628,290180,8,"COCOYAM,PEPPER,",1,5,730,1,,2,,,,
6,30,3018,2,914,300028,1,,1,6,3000,1,,1,2500,1,,150000
6,30,3018,2,914,300030,8,"Chees",1,9,25,1,,1,20,1,,6000
6,30,3005,1,2942,300098,2,,1,161,260,5,,1,240,5,,130000
6,30,3033,2,554,300187,1,,1,5,1800,1,,1,1600,1,,80000
6,30,3033,2,554,300188,1,,1,5,1500,1,,1,1200,1,,60000
6,30,3015,2,1688,300193,2,,1,12,20,4,,2,,,,
1,31,3109,2,1026,310076,1,,1,4,16,1,,2,,,,
1,31,3109,2,1026,310078,1,,1,4,20,1,,2,,,,
1,31,3103,2,874,310101,1,"5",1,1,60,1,,1,10,1,,500
5,32,3201,2,2034,320119,2,"EGGS",1,3,20,4,,2,,,,
5,32,3203,2,2644,320128,2,,1,3,25,4,,2,,,,
5,32,3202,2,84,320139,2,,1,3,30,4,,2,,,,
5,32,3216,2,1184,320147,2,,1,3,30,4,,2,,,,
3,33,3321,1,1182,330005,2,,1,2,3,5,,2,,,,
3,33,3311,1,702,330018,2,,1,2000,0,,,2,,,,
3,33,3323,2,92,330032,1,,1,12,120,1,,1,80,1,,800
3,33,3323,2,92,330033,1,,1,12,1600,1,,1,1200,1,,20000
3,33,3323,2,92,330038,1,,1,3,360,1,,2,,,,
3,33,3323,2,92,330040,1,,1,5,50,1,,2,,,,
3,33,3304,2,418,330061,1,,1,12,50,1,,1,30,1,,5000
3,33,3307,2,688,330075,1,,1,0,30,1,,2,,,,
2,34,3401,2,526,340001,1,,1,12,6000,1,,1,1000,1,,30000
2,34,3401,2,526,340002,2,,1,2,100,4,,1,100,4,,1000
2,34,3401,2,526,340003,1,,1,8,90,1,,1,60,1,,12000
2,34,3401,2,526,340004,1,,1,2,9,1,,1,3,1,,300
2,34,3401,2,526,340005,1,,1,8,180,1,,1,150,1,,6000
2,34,3401,2,526,340007,1,,1,8,500,1,,1,400,1,,450
2,34,3401,2,526,340008,1,,1,7,70,1,,1,60,1,,13000
2,34,3401,2,526,340009,2,,1,2,30,4,,1,30,5,,600
2,34,3401,2,526,340010,1,,1,8,2000,1,,1,1500,1,,100000
2,34,3405,2,1706,340021,1,,1,3,40,1,,2,,,,
2,34,3405,2,1706,340023,1,,1,1,20,,,2,,,,
2,34,3405,2,1706,340025,2,,1,1,13,1,,2,,,,
2,34,3405,2,1706,340030,2,,1,2,30,4,,2,,,,
2,34,3410,2,42,340047,1,,1,12,40,1,,2,,,,
2,35,3503,1,54,350004,1,,1,3,,,,2,,,,
2,35,3507,2,746,350013,2,,1,1,15,3,,2,,,,
2,35,3507,2,746,350016,1,"5",1,5,300,4,,1,150,4,,1000
2,35,3515,2,316,350027,1,,1,4,5,1,,2,,,,
2,35,3516,2,1632,350033,1,,1,3,60,1,,2,,,,
2,35,3516,2,1632,350035,1,,1,6,40,1,,2,,,,
2,35,3516,2,1632,350035,2,,1,4,1,2,,2,,,,
2,35,3506,2,1040,350044,1,,1,3,30,2,,2,,,,
2,35,3506,2,1040,350046,1,,1,10,84,1,,1,840,1,,15000
2,35,3506,2,1040,350047,2,,1,2,5100,,,2,,,,
2,35,3506,2,1040,350049,1,,1,3,150,3,,2,,,,
2,35,3506,2,1040,350050,1,,1,3,25,1,,1,75,1,,9000
2,35,3513,2,576,350062,2,,1,2,1,1,,2,,,,
2,35,3501,2,1228,350084,1,,1,6,500,2,,2,,,,
2,35,3509,2,1310,350105,2,,1,3,2,,,2,,,,
