"zone","state","lga","sector","ea","hhid","plotid","cropid","s11eq1","s11eq2","s11eq3","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq6c","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq10c","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15","s11eq16","s11eq17a","s11eq17b","s11eq17c","s11eq18","s11eq19","s11eq19b","s11eq20","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27","s11eq28a","s11eq28b","s11eq28c","s11eq29","s11eq30","s11eq30b","s11eq31","s11eq32","s11eq33","s11eq34","s11eq35"
4,1,104,2,1364,10017,2,2,"PUMKIN",2193,1,1,2193,1,3,"BUNCH",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,1,"YAM",1120,1,2,,,,,,,2,,,,,,,,,,1,"N1",1121,300,3,"PIECE",0,1,,3000,1,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,2,"CASSAVA",1020,1,1,1020,5,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,3,"MAIZE",1080,1,1,1080,6,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,4,"PEPPER",2140,1,1,2140,20,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,5,"PUMKIN",2191,1,1,2191,7,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,6,"PLAINTAIN",2170,1,1,2170,6,3,"SOCKER",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,2,1,"CASSAVA",1020,1,1,1020,6,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,1,1,"WATER YAM",1123,1,1,1123,100,2,,1,,2,,,,,,,,,,1,"N1",1123,20,3,"PIECE",0,1,,1050,1,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10019,1,2,"CASSAVA",1020,1,1,1020,10,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,1,3,"MAIZE",1080,1,1,1080,50,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,1,4,"PUMKIN LEAVE",2191,1,1,2191,10,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,1,5,"PEPPER",2140,1,1,2140,20,3,"NURSERY",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,2,1,"WHITE YAM",1121,1,1,1121,100,3,"PIECE",1,,2,,,,,,,,,,1,"N1",1121,40,3,"PIECE",0,1,,2000,1,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10019,2,2,"CASSAVA",1020,1,1,1020,10,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,2,3,"MAIZE",1080,1,1,1080,20,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,2,4,"PUMKIN",2191,1,1,2191,6,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,2,5,"PEPPER",2140,1,1,2140,20,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10020,1,1,"CASSAVA",1020,1,1,1020,10,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10020,2,1,"CASSAVA",1020,1,1,1020,10,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,1,1,"PINEAPPLE",2160,1,1,2160,5600,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,2,1,"PINEAPPLE",2160,1,1,2160,500,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,3,1,"CASSAVA",1020,1,1,1020,10,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,3,2,"MAIZE",1080,1,1,1080,2,1,,1,,2,,,,,,,,,,1,"N3",1080,30,3,"PIECE",200,3,,5000,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10021,3,3,"GARDEN EGG",2080,1,1,2080,40,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,4,1,"YAM",1120,1,2,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
