"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11gq1a","s11gq1b","s11gq1c","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","s11gq8c"
4,4,415,1,2108,40045,2,2,2120,7,3,,7,2007,0,8,2010,11,2010,2,,,1,2,
4,4,415,1,2108,40045,2,3,2030,5,3,,5,2007,0,8,2010,11,2010,2,,,1,2,
4,4,413,2,1540,40054,2,3,3180,5,3,,5,1980,0,11,2009,11,2009,2,,,0,,
4,4,413,2,1540,40055,1,1,1080,2,3,,2,1980,0,3,2010,9,2010,2,,,3,2,
4,4,413,2,1540,40055,2,1,1080,2,3,,2,1990,0,3,2010,9,2010,2,,,3,2,
4,4,413,2,1540,40056,1,1,1120,1,3,,1,1980,0,3,2010,9,2010,2,,,4,2,
4,4,413,2,1540,40056,2,1,1040,1,3,,1,1980,0,3,2010,9,2010,2,,,4,2,
4,4,419,2,296,40081,1,6,3180,3,3,,3,1978,0,2,2010,7,,2,,,10,2,
4,4,419,2,296,40085,1,1,1020,10,3,,10,1972,0,8,2010,,,2,,,30,2,
4,4,419,2,296,40086,4,4,3180,50,3,,50,,0,8,2009,8,2010,2,,,100,2,
4,4,401,1,1460,40094,1,4,3180,3,3,,3,,,5,2010,8,2010,2,,,6,2,
4,4,412,2,2592,40107,1,6,2170,46,3,,46,1998,0,4,2010,9,2010,2,,,10,2,
4,4,412,2,2592,40107,1,7,3210,3,3,,8,1999,0,1,2010,6,2010,2,,,20,3,
4,4,412,2,2592,40107,1,8,3180,13,3,,13,1970,0,1,2010,6,2010,2,,,20,2,
4,4,412,2,2592,40107,2,5,2170,6,3,,6,1998,0,1,2010,6,2010,2,,,6,2,
4,4,412,2,2592,40107,2,6,3210,5,2,,5,1998,0,1,2010,6,2010,2,,,10,3,
4,4,412,2,2592,40108,1,5,2170,6,3,,6,1985,0,1,2010,9,2010,2,,,10,2,
4,4,412,2,2592,40108,1,6,3210,2,3,,2,1987,0,3,2010,7,2010,2,,,6,3,
4,4,412,2,2592,40109,1,4,3180,5,3,,5,1970,0,3,2010,5,2010,2,,,12,2,
4,4,412,2,2592,40109,1,5,2030,12,3,,12,2000,0,8,2010,11,2010,2,,,2,2,
4,4,412,2,2592,40109,1,6,3160,1,3,,1,1986,0,2,2010,4,2010,2,,,2,4,"BASKET"
4,4,412,2,2592,40110,1,4,2120,10,3,,10,2003,0,7,2010,11,2010,2,,,3,2,
4,4,412,2,2592,40110,1,5,3180,8,3,,8,1986,0,2,2010,5,2010,2,,,25,2,
4,4,412,2,2592,40110,1,6,3050,1,3,,1,1971,0,5,2010,12,2010,2,,,0,,
4,4,412,2,1606,40115,1,7,3170,1,3,,1,1975,0,9,2009,,0,2,,,0,,
4,4,412,2,1606,40116,1,6,2170,2,3,,2,1985,0,1,2010,8,2010,2,,,10,2,
4,4,412,2,1606,40117,1,6,2170,5,3,,5,1985,0,2,2010,9,2010,2,,,15,2,
4,4,412,2,1606,40118,1,3,2170,10,3,,10,2005,0,7,2010,11,2010,2,,,0,,
4,4,412,2,1606,40118,1,4,3060,1,3,,1,2002,0,1,2010,12,2010,2,,,0,,
4,4,412,2,1606,40118,1,5,3210,1,3,,1,2009,0,8,2010,11,2010,2,,,0,,
4,4,412,2,1606,40119,1,3,2170,10,3,,10,2004,0,7,2010,4,2010,2,,,3,2,
4,4,412,2,1606,40120,1,4,2030,12,3,,12,2002,0,7,2010,11,2010,2,,,1,2,
4,4,412,2,1606,40120,1,5,3180,2,3,,2,1988,0,2,2010,5,2010,2,,,4,2,
4,4,410,2,4036,40123,1,1,1020,2,3,,2,2000,0,,,,,2,,,0,,
4,4,410,2,4036,40123,1,2,1040,1,3,,1,1999,0,8,2009,8,2010,2,,,1,4,"BASKET"
4,4,410,2,4036,40123,1,3,3221,1,3,,1,1975,0,3,2009,3,2010,2,,,2,4,"BASKET"
4,4,410,2,4036,40123,1,4,3220,3,3,,3,1975,0,5,2010,8,2010,2,,,4,2,
4,4,410,2,4036,40123,2,1,1040,7,3,,7,1975,0,5,2010,8,2010,2,,,6,2,
4,4,410,2,4036,40123,2,2,1020,2,3,,2,1998,0,5,2010,8,2010,2,,,5,2,
4,4,410,2,4036,40123,2,3,3180,1,3,,1,1980,0,,,,,,,,,,
4,4,410,2,4036,40124,1,1,1040,3,3,,3,1970,0,1,2010,8,2010,2,,,5,2,
4,4,407,2,796,40135,3,2,2170,5,3,,5,2007,0,2,2009,2,2010,2,,,6,2,
4,4,407,2,796,40136,1,1,1110,15,3,,15,2007,0,7,2009,7,2010,2,,,8,2,
4,4,410,1,3192,40144,6,3,3180,30,3,,30,1972,0,8,2009,8,2010,2,,,50,2,
4,4,410,1,3192,40146,3,2,3180,25,3,,25,1970,0,8,2009,8,2010,2,,,40,2,
4,4,410,1,3414,40155,1,1,1120,10,3,,10,2005,0,8,2009,8,2010,2,,,5,2,
4,4,401,1,738,40163,1,4,3180,3,3,,3,,0,11,2009,11,2009,2,,,0,,
4,4,401,1,738,40164,1,5,3180,4,3,,4,,,7,2010,3,2011,2,,,8,2,
4,4,401,1,738,40166,1,5,3180,10,3,,10,,0,8,2009,8,2010,2,,,40,2,
4,4,421,1,800,40172,1,5,2170,20,3,,20,2006,0,8,2009,8,2010,2,,,7,2,
4,4,411,1,1486,40181,1,4,3220,2,3,,2,1972,0,7,2010,9,2010,2,,,1,4,"BASKETS"
