"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11hq1","s11hq2a","s11hq2b","s11hq2c","s11hq3","s11hq4","s11hq5a","s11hq5b","s11hq5c","s11hq6","s11hq7a","s11hq7b","s11hq8","s11hq9","s11hq9b","s11hq10","s11hq11","s11hq12a","s11hq12b","s11hq12c","s11hq13","s11hq14a","s11hq14b","s11hq15","s11hq16","s11hq16b","s11hq17a","s11hq17b","s11hq17c","s11hq18a","s11hq18b","s11hq18c","s11hq19a","s11hq19b","s11hq19c","s11hq20a","s11hq20b","s11hq20c","s11hq20d","s11hq21","s11hq21b","s11hq22","s11hq23","s11hq23b","s11hq24a","s11hq24b","s11hq24c","s11hq25a","s11hq25b","s11hq25c","s11hq26a","s11hq26b","s11hq26c"
4,1,104,2,1364,10018,1,2,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10018,1,3,1080,1,900,3,,12600,"N1",800,3,,10000,2,,0,1,,2,,,,,,,,,,,0,,,0,,,70,3,,0,,,,,,1,5,"SMOKING",30,3,,2,,,3,,
4,1,104,2,1364,10018,1,4,2140,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10018,1,5,2191,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10018,1,6,2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10018,2,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,1,1,1123,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,1,2,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,1,3,1080,1,350,3,,7000,"N1",250,3,,5000,1,,0,1,,2,,,,,,,,,,,0,,,0,,,50,3,,0,,,,,,1,5,"SMOKING",50,3,,2,,,3,,
4,1,104,2,1364,10019,1,4,2191,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,1,5,2140,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,2,1,1121,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,2,2,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,2,3,1080,1,300,3,,6000,"N1",200,3,,4000,1,,0,1,,2,,,,,,,,,,,0,,,0,,,50,3,,0,,,,,,1,5,"SMOKING",50,3,,2,,,3,,
4,1,104,2,1364,10019,2,4,2191,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,2,5,2140,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10020,1,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10020,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10021,1,1,2160,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10021,2,1,2160,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10021,3,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10021,3,2,1080,1,100,1,,15000,"N4",,,,,,,300,2,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10021,3,3,2080,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10021,4,1,1121,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10021,4,2,1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10021,4,3,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10021,4,4,2193,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10022,1,1,1120,1,10,3,,2000,"N2",10,3,,2000,1,2,100,4,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10022,1,2,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10022,1,3,2193,1,8,2,,3500,"N3",8,2,,2000,2,,,,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10022,1,4,1080,1,12,4,"BASIN",4000,"N3",12,4,"BASIN",4000,2,,,,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10022,2,1,2160,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10022,3,1,2160,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10022,3,2,3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,106,2,880,10023,1,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
