"zone","state","lga","sector","ea","hhid","source_cd","s11lc2","s11l2q1","s11l2q2a","s11l2q2b","s11l2q2c","s11l2q2d","s11l2q3","s11l2q4","s11l2q5","s11l2q6","s11l2q7","s11l2q8","s11l2q9"
4,14,1411,2,1066,140119,11,"X","X",,,,,0,,,,2,,1
4,14,1411,2,1066,140120,1,"X","X",1,,,,1,,,,2,,1
4,14,1411,2,1066,140120,11,"X","X",1,,,,0,,,,2,,1
4,14,1416,2,2314,140121,12,"X","X",1,,,,,,,,,,
4,14,1416,2,2314,140121,13,,"X",,,,,,,,,2,,2
4,14,1416,2,2314,140121,14,"X","X",1,,,,0,,,,2,,2
4,14,1416,2,2314,140122,12,"X","X",1,,,,0,,,,2,,3
4,14,1416,2,2314,140123,12,"X","X",,,,,0,,,,2,,1
4,14,1416,2,2314,140129,1,"X","X",1,,,,1,,,,2,,1
4,14,1416,2,2314,140129,11,"X","X",,,,,0,,,,2,,2
4,14,1416,2,2314,140130,1,"X","X",1,,,,1,,,,2,,1
4,14,1416,2,2314,140130,11,"X","X",1,,,,1,,,,2,,1
2,15,1506,1,398,150002,1,,"X",3,,,,3,2,2,,,,
2,15,1508,2,1682,150012,1,,"X",1,,,,3,0,0,,1,500,1
2,15,1508,2,1682,150012,2,,"X",1,,,,2,0,0,,1,300,1
2,15,1508,2,1682,150018,11,"X","X",1,,,,3,3,0,,2,,1
2,15,1510,2,616,150045,10,,"X",1,,,,6,,,,2,,1
2,15,1510,2,616,150047,1,,"X",1,,,,2,0,0,,2,,1
2,15,1503,2,634,150067,1,,"X",2,,,,3,3,0,,2,,1
2,15,1503,2,634,150070,2,,"X",1,,,,0,3,3,,2,,1
2,15,1506,1,148,150077,2,,"X",1,3,,,0,,6,,1,10000,1
2,15,1506,1,148,150078,2,,"X",1,,,,0,0,3,,2,,1
4,16,1626,2,1546,160008,14,"PROF SELF ADVIC","X",2,,,,0,,0,0,2,,1
4,16,1610,2,1006,160013,1,,"X",1,,,,0,,1,,2,,1
4,16,1624,1,136,160024,14,"TRADITIONAL","X",1,2,,,0,,0,0,2,,2
4,16,1624,1,136,160025,14,"TRADITIONAL","X",1,2,,,0,,0,0,2,,2
4,16,1602,2,1576,160026,14,"TRADINTIONAL","X",1,2,,,0,,0,0,2,,2
4,16,1624,1,136,160033,14,"TRADITIONAL","X",1,2,3,,0,,0,0,2,,2
4,16,1624,1,136,160041,14,"TRADITIONAL","X",1,2,,,0,,0,0,2,,2
4,16,1622,2,18,160042,14,"TRADITIONAL","X",1,,,,0,,0,0,2,,2
4,16,1622,2,18,160043,14,"TRADITIONAL","X",1,,,,0,,0,0,2,,2
4,16,1622,2,18,160044,14,"TRADITIONAL","X",2,,,,0,,0,0,2,,2
4,16,1612,2,414,160046,11,,"X",2,,,,2,0,1,1,2,,1
4,16,1602,2,1576,160048,14,"TRADITIONAL","X",1,2,,,0,,0,0,2,,1
4,16,1602,2,1576,160049,14,"TRADITIONAL","X",1,2,,,0,,0,0,2,,2
4,16,1602,2,1576,160050,14,"TRADITIONAL","X",1,2,,,0,,0,0,2,,2
4,16,1616,2,296,160061,1,,"X",1,,,,2,2,0,,,,
4,16,1616,2,296,160061,12,,"X",1,,,,,,,,,,
4,16,1616,2,296,160064,1,,"X",2,,,,2,0,0,,2,,1
4,16,1616,2,296,160067,9,,"X",1,2,,,15,15,16,3,2,,1
4,16,1620,2,106,160078,2,,"X",1,,,,0,,2,,2,,1
4,16,1601,2,954,160092,1,,"X",1,,,,3,1,1,,1,0,1
4,16,1601,2,954,160092,8,,"X",1,,,,,,,12,2,,1
4,16,1624,1,286,160102,11,,"X",1,,,,0,,1,,2,,1
4,16,1606,2,590,160107,14,"TRADITIONAL","X",1,2,,,0,,0,0,2,,1
4,16,1606,2,590,160108,14,"TRADITIONAL","X",1,3,,,0,,0,0,2,,2
4,16,1606,2,590,160109,14,"TRADITIONAL","X",1,2,6,,0,,0,0,2,,2
4,16,1624,1,286,160110,1,"X","X",,,,,0,,2,0,2,,1
4,16,1624,1,286,160113,11,,"X",1,,,,1,,,0,2,,2
4,16,1610,2,1006,160114,11,"X","X",1,2,,,0,,3,3,2,,1
4,16,1610,2,1006,160115,11,"X","X",1,,,,0,,2,,2,,2
4,16,1610,2,1006,160116,11,"X","X",2,,,,0,,3,0,2,,1
4,16,1624,1,286,160132,11,,"X",1,,,,0,,1,1,2,,1
4,16,1624,1,286,160133,11,,"X",1,,,,0,,1,1,2,,1
4,16,1609,2,738,160158,14,"TRADITIONAL","X",2,1,,,0,,0,0,2,,1
4,16,1608,2,1104,160167,14,"TRADITIONAL","X",1,2,,,0,,0,0,2,,1
4,16,1609,2,738,160169,14,"TRADITIONAL","X",1,2,,,0,,0,0,2,,1
4,16,1609,2,738,160172,14,"TRADITIONAL","X",2,,,,0,,0,0,2,,2
4,16,1612,2,108,160186,1,,"X",1,,,,4,4,2,2,2,,1
4,16,1612,2,108,160186,5,,"X",1,,,,3,3,4,4,2,,1
3,17,1706,2,284,170006,11,,"X",1,3,,,,,,,2,,2
3,17,1706,2,284,170009,11,,"X",1,,,,1,1,0,0,2,,1
3,17,1719,2,1354,170015,11,,"X",1,,,,1,0,0,0,2,,1
3,17,1719,2,1354,170015,12,,"X",1,,,,1,0,0,0,2,,1
3,17,1719,2,1354,170016,11,,"X",1,,,,2,0,0,0,2,,2
3,17,1719,2,1354,170019,1,,"X",1,,,,1,0,0,,2,,1
3,17,1704,1,2074,170038,9,,"X",1,,,,1,1,1,1,1,150,1
3,17,1722,2,96,170043,9,,"X",1,,,,1,1,0,1,2,,1
3,17,1722,2,96,170047,3,,"X",1,,,,2,0,0,,2,,1
3,17,1715,2,2244,170054,2,,"X",1,,,,3,0,0,,1,600,1
3,17,1715,2,2244,170059,11,,"X",1,,,,1,0,0,2,1,120,1
3,17,1710,2,546,170061,1,,"X",1,,,,1,0,0,1,1,1000,1
3,17,1713,1,226,170079,1,,"X",1,,,,1,1,0,1,2,,1
3,17,1716,2,1452,170081,1,,"X",1,,,,3,1,0,3,1,600,1
3,17,1716,2,1452,170087,1,,"X",1,,,,3,0,0,3,1,540,1
3,17,1702,2,510,170091,2,,"X",1,,,,3,0,0,3,1,1500,1
3,17,1702,2,510,170100,2,,"X",1,,,,2,0,0,2,1,800,1
3,17,1727,2,634,170106,1,,"X",1,,,,4,0,0,4,1,500,1
3,17,1727,2,634,170109,2,,"X",1,,,,3,3,0,6,1,500,1
3,17,1712,2,794,170113,2,,"X",1,,,,3,0,0,3,1,3000,1
3,18,1804,1,2690,180003,11,"X","X",1,,,,2,0,0,,2,,2
3,18,1804,1,2690,180008,5,"X","X",1,,,,0,,0,0,2,,1
3,18,1803,2,840,180032,2,"X","X",1,,,,2,0,0,3,2,,1
3,18,1803,2,840,180033,11,"X","X",1,,,,0,,0,,2,,2
3,18,1803,2,840,180034,11,"X","X",1,,,,0,,4,,2,,2
3,18,1803,2,840,180037,5,"X","X",,,,,2,0,2,,2,,1
3,18,1803,2,840,180038,2,"X","X",1,3,,,5,4,0,,2,,2
3,18,1803,2,840,180038,11,"X","X",1,3,,,5,4,0,,2,,2
3,18,1816,1,378,180042,1,"X","X",1,1,1,1,5,0,2,2,2,,1
3,18,1816,1,378,180048,1,"X","X",1,,,,0,,1,,2,,1
3,18,1816,1,378,180048,5,"X","X",1,,,,2,1,0,,2,,1
3,18,1816,1,378,180049,4,"X","X",1,,,,4,0,0,2,2,,1
3,18,1805,2,534,180052,11,"X","X",1,,,,6,0,0,,2,,3
3,18,1805,2,534,180054,11,"X","X",1,,,,1,0,0,,2,,3
3,18,1805,2,534,180056,11,"X","X",1,,,,0,,1,,2,,3
3,18,1805,2,534,180058,1,"X","X",,,,,1,,1,,2,,2
3,18,1817,2,370,180064,2,"X","X",1,,,,0,,1,,2,,2
3,18,1817,2,370,180064,11,"X","X",1,,,,0,,5,,2,,3
3,18,1817,2,370,180065,2,"X","X",1,,,,0,,1,,2,,3
3,18,1817,2,370,180065,11,"X","X",1,,,,0,,3,,2,,2
3,18,1808,2,1726,180073,11,"X","X",1,,,,0,,1,,2,,1
3,18,1808,2,1726,180077,11,"X","X",1,,,,2,0,0,,2,,1
3,18,1808,2,1726,180078,11,"X","X",1,,,,3,0,3,,2,,1
3,18,1811,2,364,180082,11,"X","X",1,,,,0,,7,,2,,2
3,18,1811,2,364,180082,12,"X","X",1,2,5,,,,,,,,2
3,18,1811,2,364,180085,11,"X","X",1,2,,,4,0,1,,2,,2
3,18,1811,2,364,180087,10,"X","X",1,,,,10,,10,,2,,1
3,18,1811,2,364,180090,12,"X","X",1,,,,5,,5,5,2,,1
3,18,1820,2,450,180094,11,"X","X",1,2,,,2,,4,,2,,1
3,18,1820,2,450,180096,11,"X","X",1,,,,2,0,0,,2,,2
3,18,1820,2,450,180098,11,"X","X",1,,,,0,,10,,2,,1
3,18,1820,2,450,180098,12,"X","X",,,,,,,,,,,2
3,18,1822,2,1654,180105,11,"X","X",1,,,,3,0,3,,2,,1
3,18,1822,2,1654,180107,5,"X","X",1,,,,6,6,6,4,2,,1
3,18,1814,2,678,180112,11,"X","X",1,3,,,3,,2,,2,,2
3,18,1814,2,678,180113,11,"X","X",1,,,,2,0,1,,2,,2
3,18,1814,2,678,180113,12,"X","X",1,,,,,,,,,,2
3,18,1814,2,678,180117,11,"X","X",1,,,,8,,4,,2,,2
3,18,1814,2,678,180119,11,"X","X",1,,,,5,0,5,,2,,1
3,18,1814,2,678,180119,12,"X","X",1,,,,,,,,,,2
3,19,1943,2,668,190021,1,,"X",,,,,2,,,,2,,
3,19,1943,2,668,190021,2,,"X",,,,,2,,,,2,,
3,19,1943,2,668,190021,3,,"X",,,,,1,,,,2,,
3,19,1925,1,2858,190101,1," X","X",1,,,,1,0,0,,2,,2
3,19,1925,1,2858,190101,2,,"X",,,,,,,,,2,,
3,19,1925,1,2858,190101,3,,"X",,,,,,,,,2,,
3,19,1925,1,2858,190101,4,,"X",,,,,,,,,2,,
3,19,1925,1,2858,190101,5,,"X",,,,,,,,,2,,
3,19,1925,1,2858,190101,6,,"X",,,,,,,,,2,,
3,19,1925,1,2858,190101,7,,"X",,,,,,,,,2,,2
3,19,1925,1,2858,190101,8,"X","X",1,,,,0,,0,0,2,,2
3,19,1925,1,2858,190101,9,,"X",,,,,,,,0,2,,2
3,19,1925,1,2858,190101,10,,"X",,,,,,,,,2,,
3,19,1925,1,2858,190101,11,"X","X",1,,,,1,0,0,,2,,
3,19,1925,1,2858,190101,12,,"X",,,,,,,,,2,,
3,19,1925,1,2858,190101,13,,"X",,,,,,,,,2,,
3,19,1925,1,2858,190101,14,,"X",,,,,,,,0,2,,2
3,19,1925,1,2858,190102,1,"x","X",1,,,,,,,,2,,1
3,19,1925,1,2858,190102,8,"x","X",1,,,,,,,,2,,1
3,19,1925,1,2858,190102,11,"x","X",1,,,,,,,,2,,1
3,19,1925,1,2858,190103,8,"X","X",1,,,,,,,,,,
3,19,1925,1,2858,190103,11,"X","X",,,,,,,,,2,,1
3,19,1925,1,2858,190104,10,"X","X",1,1,1,1,2,0,0,1,2,,1
3,19,1925,1,2858,190105,1,,"X",3,1,,,1,0,1,,2,,1
3,19,1925,1,2858,190105,8,,"X",3,,,,,,,,2,,1
3,19,1925,1,2858,190105,11,,"X",3,,,,,,,,,,
3,19,1925,1,2858,190106,1,"X","X",1,,,,,,,,2,,1
3,19,1925,1,2858,190106,8,"X","X",1,,,,,,,,2,,1
3,19,1925,1,2858,190107,1,"X","X",3,1,,,2,0,2,,2,,1
3,19,1925,1,2858,190107,8,"X","X",3,,,,,,,,2,,1
3,19,1925,1,2858,190107,11,"X","X",3,,,,,,,,,,
3,19,1925,1,2858,190108,1,"X","X",1,,,,2,2,0,2,2,,1
3,19,1925,1,2858,190109,7,,"X",,,,,1,0,0,,,,1
3,19,1925,1,2858,190109,8,"X","X",1,,,,,,,1,2,,
3,19,1925,1,2858,190109,11,"X","X",1,,,,,1,0,1,2,,1
3,19,1905,2,1290,190124,11,"X","X",1,,,,0,0,0,0,,,
3,19,1905,2,1290,190125,1,"X","X",,,,,,,,,2,,1
3,19,1905,2,1290,190125,10,"X","X",1,,,,,,,,,,
3,19,1905,2,1290,190128,2,"X","X",1,,,,1,0,1,,2,,1
3,19,1905,2,1290,190128,5,"X","X",1,,,,1,0,1,,2,,1
3,19,1910,2,808,190131,1,"X","X",1,,,,2,2,0,0,2,,1
3,19,1910,2,808,190137,2,"X","X",1,,,,2,1,1,,2,,1
3,19,1910,2,808,190139,2,"X","X",,,,,,,,,2,,1
3,19,1910,2,808,190139,11,"X","X",,,,,,,,,2,,1
3,19,1934,2,386,190156,10,"X","X",1,,,,2,2,,2,2,,1
3,19,1919,2,366,190163,2,"X","X",1,,,,0,,0,0,2,,1
3,19,1928,2,526,190177,2,"X","X",1,,,,0,,0,0,2,,1
3,19,1928,2,526,190177,11,"X","X",,,,,2,2,1,2,2,,1
3,19,1932,2,562,190187,2,"X","X",1,,,,0,,,0,2,,2
3,19,1923,2,284,190195,2,"X","X",1,,,,1,,0,0,2,,1
3,19,1923,2,284,190195,11,"X","X",,,,,3,,0,3,2,,1
3,20,2018,2,1134,200016,12,,"X",1,0,0,0,,,,,,,
3,20,2018,2,1134,200016,13,,"X",,,,,,,,,,,2
3,20,2018,2,1134,200017,12,,"X",1,,,,,,,,,,
3,20,2018,2,1134,200017,14,,"X",,,,,,,,,,,4
3,20,2018,2,1134,200018,12,,"X",1,,,,,,,,,,2
3,20,2005,2,970,200029,13,,"X",1,,,,,,,,,,3
3,20,2005,2,970,200030,12,,"X",1,,,,,,,,,,1
3,20,2003,2,784,200035,11,,"X",1,,,,,,2,,2,,4
3,20,2003,2,784,200036,11,,"X",1,,,,0,,1,,2,,1
3,20,2003,2,784,200039,12,,"X",1,,,,,,,,,,4
3,20,2003,2,784,200040,12,,"X",1,,,,,,,,,,4
3,20,2030,2,1050,200044,11,,"X",1,,,,0,,1,,2,,4
3,20,2015,2,1746,200072,10,,"X",1,,,,0,,1,,2,,1
3,20,2015,2,1746,200072,12,,"X",1,,,,,,,,,,1
3,20,2001,2,1354,200095,12,,"X",3,,,,0,,0,,2,,2
3,20,2001,2,1354,200097,12,,"X",1,,,,,,,,,,
3,20,2025,2,1304,200113,5,,"X",1,,,,0,,0,,2,,2
3,20,2025,2,1304,200113,12,,"X",1,,,,0,,0,,1,,
3,20,2008,2,1474,200143,12,,"X",,1,,,,,,,,,1
3,20,2008,2,1474,200148,10,,"X",1,,,,,,,,2,,1
3,20,2008,2,1474,200148,12,,"X",1,,,,,,,,2,,1
3,20,2013,2,1232,200156,12,,"X",1,,,,,,,,,,
3,20,2028,2,498,200163,11,,"X",1,,,,,,,,,,
3,20,2028,2,498,200163,12,,"X",1,,,,0,,,,2,,3
3,20,2028,2,498,200163,13,,"X",,,,,0,,,,2,,2
3,20,2028,2,498,200164,2,,"X",1,,,,0,,2,,2,,1
3,20,2028,2,498,200164,5,,"X",1,,,,0,,3,,2,,1
3,20,2028,2,498,200164,12,,"X",1,,,,0,,,,2,,1
3,20,2028,2,498,200167,2,,"X",1,,,,,,1,,2,,2
3,20,2028,2,498,200167,5,,"X",1,,,,,,3,,2,,1
3,20,2028,2,498,200167,12,,"X",,,,,0,,,,,,1
3,21,2106,2,2822,210002,11,"X","X",2,1,,,2,2,0,,2,,1
3,21,2106,2,2822,210007,1,"X","X",1,2,,,1,1,0,,1,1000,1
3,21,2106,2,236,210011,1,"X","X",1,,,,3,3,0,,2,,2
3,21,2106,2,236,210016,11,"X","X",1,,,,0,,2,,2,,1
3,21,2106,2,236,210018,11,"X","X",1,,,,0,,2,,1,0,1
3,21,2106,2,236,210019,11,"X","X",1,,,,0,,3,,2,,1
3,21,2109,2,38,210021,11,"X","X",1,,,,3,3,0,,2,,1
3,21,2109,2,38,210023,11,"X","X",1,,,,0,,2,2,1,,
3,21,2109,2,38,210026,12,"X","X",1,,,,4,0,4,,2,,1
3,21,2109,2,38,210030,11,"X","X",1,,,,0,,2,,2,,1
3,21,2119,2,3956,210031,11,"X","X",1,,,,0,,2,,2,,1
3,21,2119,2,3956,210034,11,"X","X",1,,,,2,2,1,,2,,1
3,21,2119,2,3956,210037,11,"X","X",1,,,,0,,2,,2,,2
3,21,2119,2,2146,210041,1,"X","X",1,,,,2,2,0,,2,,1
3,21,2119,2,2146,210046,1,"X","X",1,,,,1,1,0,,2,,1
3,21,2119,2,2146,210046,11,"X","X",1,,,,0,,2,,2,,1
3,21,2119,2,2146,210047,1,"X","X",1,,,,3,0,1,,2,,1
3,21,2119,2,2146,210048,1,"X","X",1,,,,0,,4,,2,,1
3,21,2119,2,2146,210049,11,"X","X",1,,,,2,,2,,2,,1
3,21,2117,2,554,210062,11,"X","X",1,,,,2,2,0,,2,,1
3,21,2117,2,554,210064,1,"X","X",1,,,,3,0,2,,2,,1
3,21,2117,2,554,210067,1,"X","X",1,,,,4,0,5,,2,,1
3,21,2117,2,554,210068,11,"X","X",1,,,,0,,2,,2,,2
3,21,2108,1,520,210072,1,"X","X",1,,,,3,0,0,,2,,1
3,21,2108,1,520,210076,11,"X","X",,,,,0,,2,,2,,2
3,21,2108,1,520,210078,11,"X","X",,,,,0,,1,,2,,2
3,21,2102,2,1124,210082,11,"X","X",2,,,,2,,2,,2,,1
3,21,2102,2,1124,210083,11,"X","X",0,,,,,,2,,2,,1
3,21,2102,2,1124,210086,1,"X","X",1,,,,2,0,0,,2,,1
3,21,2102,2,1124,210087,11,"X","X",,,,,0,,1,,2,,1
3,21,2102,2,1124,210089,11,"X","X",1,,,,0,,1,,2,,1
3,21,2111,2,180,210095,11,"X","X",,,,,0,,2,,2,,2
3,21,2111,2,180,210096,11,"X","X",,,,,0,,1,,2,,1
3,21,2111,2,180,210099,11,"X","X",,,,,0,,2,,2,,1
1,22,2211,1,806,220005,1,,"X",,,,,0,,0,,,,
1,22,2209,1,792,220047,14,"FRIEND","X",1,2,3,,0,,0,2,2,,1
1,23,2308,1,5180,230003,12,,"X",1,2,3,,,,,,,,1
1,23,2308,1,5180,230008,12,,"X",1,2,,,,,,,,,1
1,23,2308,1,5180,230009,12,,"X",1,2,,,,,,,,,1
1,23,2307,1,2316,230019,12,,"X",1,,,,,,,,,,1
1,23,2307,1,78,230024,12,,"X",1,2,,,,,,,,,1
1,23,2307,1,78,230027,12,,"X",2,,,,,,,,,,1
1,23,2307,1,78,230030,12,,"X",1,,,,,,,,,,1
1,23,2306,1,970,230031,12,,"X",4,,,,,,,,,,1
1,23,2315,2,924,230051,1,,"X",1,,,,1,0,0,,2,,1
1,23,2315,2,924,230051,12,,"X",1,,,,,,,,,,1
1,23,2304,2,322,230071,12,,"X",1,2,,,,,,,,,1
1,23,2304,2,322,230079,12,,"X",1,2,,,,,,,,,1
1,23,2302,2,1982,230092,14,,"X",1,,,,1,0,2,0,2,,1
1,23,2302,2,1982,230097,11,,"X",1,,,,1,1,1,,2,,2
