"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11fq1a","s11fq1b","s11fq1c","s11fq2","s11fq2b","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq4c","s11fq4d"
4,1,106,2,880,10024,2,2,1080,200,3,,4,,4,2010,120,1,,
4,1,106,2,880,10024,3,1,3180,,,,,,,,,,,
4,1,106,2,880,10025,1,1,1020,100,1,,4,,4,2010,1000,1,,
4,1,106,2,880,10025,1,2,2190,10,1,,4,,3,2010,150,2,,
4,1,106,2,880,10025,1,3,1120,10,1,,4,,3,2010,170,3,,
4,1,106,2,880,10025,2,1,1020,98,1,,4,,4,2010,1100,1,,
4,1,106,2,880,10025,2,2,1080,90,3,,4,,4,2010,1000,3,,
4,1,106,2,880,10025,3,1,1020,85,1,,4,,4,2010,1000,1,,
4,1,106,2,880,10025,3,2,3180,,,,,,,,,,,
4,1,106,2,880,10026,1,1,1020,1000,1,,4,,4,2010,1700,1,,
4,1,106,2,880,10026,1,2,1080,350,3,,4,,4,2010,800,3,,
4,1,106,2,880,10026,2,1,1020,980,1,,4,,4,2010,1900,1,,
4,1,106,2,880,10026,2,2,1080,500,3,,4,,4,2010,1000,3,,
4,1,106,2,880,10026,3,1,1020,1000,1,,4,,4,2010,1800,1,,
4,1,106,2,880,10026,3,2,1080,400,3,,4,,4,2010,900,3,,
4,1,106,2,880,10026,3,3,3180,,,,,,,,,,,
4,1,106,2,880,10027,1,1,2080,4360,3,,4,,3,2010,200,1,,
4,1,106,2,880,10027,1,2,1080,460,3,,4,,3,2010,460,3,,2
4,1,106,2,880,10027,2,1,1020,725,1,,4,,3,2010,6,1,,
4,1,106,2,880,10027,2,2,1080,375,3,,4,,3,2010,375,3,,2
4,1,106,2,880,10027,3,1,1020,1135,1,,4,,3,2010,2,1,,
4,1,106,2,880,10027,3,2,1080,420,3,,4,,3,2010,420,3,,2
4,1,106,2,880,10027,4,1,2160,250,3,,1,,5,2010,300,3,,
4,1,106,2,880,10029,1,1,1020,600,3,,4,,5,2010,15,4,"BAGS",
4,1,106,2,880,10029,1,2,1080,,3,,4,,5,2010,550,3,,
4,1,106,2,880,10029,2,1,1020,500,3,,1,,8,2010,10,4,"BAGS",
4,1,106,2,880,10029,3,1,1121,1000,1,,4,,4,2010,100,3,,
4,1,106,2,880,10029,3,2,1020,,3,,4,,4,2010,30,4,"BAGS",
4,1,106,2,880,10029,3,3,1080,,3,,4,,4,2010,200,3,,
4,1,106,2,880,10029,3,4,2170,,3,,4,,4,2010,12,4,"SOCKER",
4,1,106,2,880,10029,3,5,2160,,3,,4,,3,2010,15,3,,
4,1,106,2,880,10029,3,6,3050,,,,,,,,,,,
4,1,106,2,880,10029,3,7,3180,,,,,,,,,,,
4,1,106,2,880,10029,3,8,3170,,,,,,,,,,,
4,1,106,2,880,10029,3,9,3090,,,,,,,,,,,
