"zone","state","lga","sector","ea","activity_cd","sc3bq2c","sc3bq3","sc3bq4","sc3bq5","sc3bq6","sc3bq7","sc3bq8","sc3bq9","sc3bq10","sc3bq11","sc3bq12"
1,26,2615,2,2178,6,1060,1,3,1,900,2,,1,500,1,3500
1,26,2615,2,2196,1,1070,1,1,1,500,2,,2,,1,2500
1,26,2615,2,2196,2,1080,1,1,1,500,2,,2,,1,2500
1,26,2615,2,2196,3,1010,1,1,1,500,2,,2,,1,2500
1,26,2615,2,2196,4,1070,1,1,1,400,2,,2,,1,2800
1,26,2615,2,2196,5,1080,1,1,1,400,2,,2,,1,2800
1,26,2615,2,2196,6,1010,1,1,1,350,2,,2,,1,1400
1,26,2616,2,254,1,1080,1,3,1,500,2,,1,250,1,3500
1,26,2616,2,254,2,1070,1,3,1,500,2,,1,250,1,3500
1,26,2618,2,494,1,1080,1,3,1,1000,2,,1,1000,1,5000
1,26,2618,2,494,6,1121,1,3,1,800,2,,1,800,1,
1,26,2618,2,494,5,1070,1,3,1,700,2,,1,700,1,
1,26,2618,2,494,2,1070,1,3,1,1000,2,,1,1000,1,5000
1,26,2618,2,494,4,1080,1,3,1,1000,2,,1,700,1,
1,26,2618,2,494,3,1120,1,3,1,1000,2,,1,1000,1,5000
1,26,2618,2,1276,6,1080,2,,,,,,,,,
1,26,2618,2,1276,3,1080,1,1,1,800,2,,1,800,1,4500
1,26,2618,2,1276,4,1120,2,,,,,,,,,
1,26,2618,2,1276,1,1120,1,1,1,1000,2,,1,800,1,4500
1,26,2618,2,1276,2,1070,1,1,1,800,2,,1,800,1,4500
1,26,2618,2,1276,8,,2,,,,,,,,,
1,26,2618,2,1276,5,1070,2,,,,,,,,,
1,26,2618,2,1276,7,,2,,,,,,,,,
1,26,2621,2,100,5,1100,1,3,1,1000,2,,2,,1,1000
1,26,2621,2,100,3,1110,1,3,1,300,2,,2,,1,1500
1,26,2621,2,100,2,1100,1,3,1,300,2,,2,,1,1500
1,26,2621,2,100,1,1070,1,3,1,300,2,,2,,1,1500
1,26,2621,2,100,4,1070,1,3,1,1000,2,,2,,1,1000
1,26,2621,2,100,6,1110,1,3,1,1000,2,,2,,1,4000
1,26,2621,1,940,4,1070,1,3,1,400,1,400,1,300,1,2800
1,26,2621,1,940,5,1080,1,3,1,400,1,400,1,300,1,2800
1,26,2621,1,940,8,,1,3,1,500,1,500,1,300,1,4500
1,26,2621,1,940,3,2140,1,3,1,300,1,300,1,200,1,4200
1,26,2621,1,940,2,1080,1,3,1,300,1,300,1,200,1,4200
1,26,2621,1,940,6,2140,1,3,1,500,1,500,1,300,1,10500
1,26,2621,1,940,7,,1,3,1,1000,1,1000,1,200,1,5000
1,26,2621,1,940,1,1070,1,3,1,300,1,300,1,200,1,4200
1,26,2623,2,1688,3,1070,1,1,1,2000,2,,1,500,1,7000
1,26,2623,2,1688,7,,1,1,1,2000,1,2000,1,1000,1,14000
1,26,2623,2,1688,1,1080,1,1,1,2000,2,,1,500,1,7000
1,26,2623,2,1688,4,1080,1,1,1,1250,1,1250,1,600,1,4500
1,26,2623,2,1688,6,1070,1,1,1,1250,1,1250,1,600,1,4500
1,26,2623,2,1688,8,,1,1,1,1600,1,1200,1,1100,1,22400
1,26,2623,2,1688,5,1124,1,1,1,18750,2,,2,,2,
1,26,2623,2,1688,2,1120,1,1,1,2000,2,,1,950,1,7000
1,26,2625,2,926,7,,1,3,1,1000,2,,1,500,2,
1,26,2625,2,926,5,1100,1,3,1,1500,2,,1,500,2,
1,26,2625,2,926,2,1100,1,3,1,1500,2,,1,500,2,
1,26,2625,2,926,8,,1,3,1,1000,2,,1,500,2,
1,26,2625,2,926,6,1010,1,3,1,1500,2,,1,500,2,
1,26,2625,2,926,4,1080,1,3,1,1500,2,,1,500,2,
1,26,2625,2,926,3,1010,1,3,1,1500,2,,1,500,2,
1,26,2625,2,926,1,1080,1,3,1,1500,2,,1,500,1,
1,31,3101,2,604,4,1080,1,3,1,400,1,350,1,350,2,
1,31,3101,2,604,5,2180,1,3,1,400,1,350,1,350,2,
1,31,3101,2,604,2,2180,1,1,1,400,1,350,1,250,2,
1,31,3101,2,604,3,1070,1,1,1,400,1,350,1,250,2,
1,31,3101,2,604,6,1070,1,3,1,400,1,350,1,350,2,
1,31,3101,2,604,7,,2,,2,,2,,2,,2,
1,31,3101,2,604,1,1080,1,1,1,400,1,350,1,250,2,
1,31,3101,2,604,8,,1,3,1,400,1,400,2,,1,3000
1,31,3103,2,874,5,1070,1,3,1,100,1,800,1,600,1,2000
1,31,3103,2,874,8,,1,3,1,500,1,500,1,250,1,1500
1,31,3103,2,874,3,2010,1,3,1,1500,1,1200,1,500,1,2000
1,31,3103,2,874,1,1080,1,3,1,1500,1,1000,1,600,1,2500
1,31,3103,2,874,7,,1,3,1,1500,1,1200,1,100,1,1500
1,31,3103,2,874,2,1070,1,3,1,1500,1,1200,1,500,1,2500
1,31,3103,2,874,4,1080,1,3,1,1000,1,800,1,600,1,2000
1,31,3103,2,874,6,2010,1,3,1,100,1,800,1,600,1,2000
1,31,3105,1,2914,7,,1,2,1,500,1,400,2,,1,10500
1,31,3105,1,2914,6,1100,1,3,1,500,1,500,2,,2,
1,31,3105,1,2914,5,1070,1,3,1,500,1,500,2,,2,
1,31,3105,1,2914,1,1080,1,3,1,500,1,500,2,,2,
1,31,3105,1,2914,8,,1,2,1,500,1,400,2,,1,10500
1,31,3105,1,2914,2,1070,1,3,1,500,1,500,2,,2,
1,31,3105,1,2914,4,1080,1,3,1,500,1,500,2,,2,
1,31,3105,1,2914,3,1100,1,3,1,800,1,600,2,,2,
1,31,3107,1,724,3,1100,1,3,1,300,1,200,1,100,1,4000
1,31,3107,1,724,5,1070,1,3,1,200,1,150,1,150,1,1800
1,31,3107,1,724,1,1080,1,3,1,300,1,200,1,100,1,3500
1,31,3107,1,724,4,1080,1,3,1,200,1,150,1,150,1,1500
1,31,3107,1,724,2,1070,1,3,1,300,1,200,1,100,1,4000
1,31,3107,1,724,6,1110,1,3,1,200,1,150,1,150,1,150
1,31,3107,1,724,8,,1,3,1,200,1,150,1,100,1,1000
1,31,3107,1,724,7,,1,3,1,150,1,100,1,100,1,1000
1,31,3107,2,1092,2,1100,1,1,1,150,2,,1,100,1,1000
1,31,3107,2,1092,6,1100,1,1,1,250,1,150,1,100,2,
1,31,3107,2,1092,1,1060,1,1,1,150,2,,1,100,1,1000
1,31,3107,2,1092,3,1080,1,1,1,150,2,,1,100,1,1000
1,31,3107,2,1092,4,1060,1,1,1,280,1,130,1,130,2,
1,31,3107,2,1092,5,1080,1,1,1,260,1,150,1,100,2,
1,31,3107,2,1092,8,,2,,2,,2,,2,,2,
1,31,3107,2,1092,7,,2,,2,,2,,2,,2,
1,31,3109,2,1026,7,,2,,2,,2,,2,,2,
1,31,3109,2,1026,8,,1,1,1,200,1,150,1,100,2,
1,31,3109,2,1026,3,1100,1,1,1,200,1,150,1,100,2,
1,31,3109,2,1026,1,1080,1,1,1,200,1,150,1,100,2,
1,31,3109,2,1026,5,1110,1,1,1,200,2,,2,,1,1000
1,31,3109,2,1026,4,1080,1,1,1,200,2,,2,,1,1000
1,31,3109,2,1026,2,1070,1,1,1,200,1,150,1,100,2,
1,31,3109,2,1026,6,1100,1,1,1,200,2,,2,,1,1000
1,31,3111,2,2966,1,1080,1,3,1,500,1,450,1,300,1,
1,31,3111,2,2966,7,,1,3,1,1000,1,800,1,600,2,
1,31,3111,2,2966,6,2010,1,3,1,1000,1,800,1,500,2,
1,31,3111,2,2966,2,2180,1,3,1,50,1,450,1,300,1,
1,31,3111,2,2966,3,2010,1,3,1,500,1,450,1,300,2,
1,31,3111,2,2966,5,2180,1,3,1,1000,1,800,1,500,2,
1,31,3111,2,2966,8,,1,3,1,1000,1,800,1,600,2,
1,31,3111,2,2966,4,1080,1,3,1,1000,1,800,1,500,2,
1,31,3112,2,350,4,1060,1,1,1,400,2,,2,,1,3000
1,31,3112,2,350,1,1060,1,1,1,400,2,,2,,1,12000
1,31,3112,2,350,6,1120,1,1,1,400,2,,2,,1,2000
1,31,3112,2,350,3,1120,1,1,1,400,2,,2,,1,12000
1,31,3112,2,350,5,1070,1,1,1,400,2,,2,,1,3000
1,31,3112,2,350,7,,2,,2,,2,,2,,2,
1,31,3112,2,350,8,,1,1,1,,2,,2,,1,3000
1,31,3112,2,350,2,1070,1,1,1,400,2,,2,,1,12000
1,31,3113,2,332,7,,2,,2,,2,,2,,2,
1,31,3113,2,332,6,2010,1,1,1,350,1,250,1,250,2,
1,31,3113,2,332,3,2010,1,3,1,350,1,250,1,250,1,10000
1,31,3113,2,332,8,,1,1,1,350,1,250,1,250,2,
1,31,3113,2,332,2,1070,1,3,1,350,1,250,1,250,1,10000
1,31,3113,2,332,4,1100,1,1,1,350,1,250,1,250,2,
1,31,3113,2,332,1,1100,1,3,1,350,1,250,1,250,1,10000
1,31,3113,2,332,5,1070,1,1,1,350,1,250,1,250,2,
1,31,3115,2,680,8,,1,2,1,480,1,400,1,400,1,400
1,31,3115,2,680,3,2180,1,2,1,400,1,300,1,300,1,4000
1,31,3115,2,680,5,2010,1,,2,,1,400,1,400,1,4000
1,31,3115,2,680,7,,1,2,1,400,1,300,1,350,1,400
1,31,3115,2,680,1,1080,1,2,1,400,1,300,1,300,1,4000
1,31,3115,2,680,4,1100,1,,2,,1,400,1,400,1,4000
1,31,3115,2,680,2,2010,1,2,1,400,1,300,1,300,1,4000
1,31,3115,2,680,6,2180,1,,2,,1,400,1,400,1,4000
1,31,3116,2,1344,5,1100,1,3,1,400,1,400,1,400,1,1000
1,31,3116,2,1344,6,1110,1,3,1,400,1,400,1,400,1,1000
1,31,3116,2,1344,3,1120,1,3,1,500,1,400,1,350,1,2500
1,31,3116,2,1344,1,1080,1,3,1,500,1,400,1,350,1,2500
1,31,3116,2,1344,2,1070,1,3,1,500,1,400,1,350,1,2500
1,31,3116,2,1344,4,1120,1,3,1,2000,1,2000,1,1500,1,4000
1,37,3702,1,972,6,2194,1,1,1,1000,2,,2,,1,15000
1,37,3702,1,972,1,1120,1,1,1,2000,2,,2,,1,20000
1,37,3702,1,972,8,,1,1,1,1500,2,,2,,1,14000
1,37,3702,1,972,3,2194,1,1,1,2000,2,,2,,1,15000
1,37,3702,1,972,7,,1,1,1,700,2,,2,,1,14500
1,37,3702,1,972,2,1070,1,1,1,2000,2,,2,,1,20000
1,37,3702,1,972,5,1070,1,1,1,1100,2,,2,,1,15000
1,37,3702,1,972,4,1120,1,1,1,1100,2,,2,,1,15000
1,37,3706,2,6,6,1080,1,3,1,1000,2,,2,,1,6000
1,37,3706,2,6,3,1080,1,3,1,1000,2,,2,,1,12000
1,37,3706,2,6,5,1070,1,3,1,1000,2,,2,,1,6000
1,37,3706,2,6,4,1120,1,3,1,1200,2,,2,,1,9000
1,37,3706,2,6,2,1070,1,3,1,1000,2,,2,,1,12000
1,37,3706,2,6,7,,1,3,1,1500,2,,2,,1,5000
1,37,3706,2,6,8,,1,3,1,1500,2,,2,,1,4000
1,37,3706,2,6,1,1120,1,3,1,1200,2,,2,,1,27000
1,37,3706,1,156,3,1020,1,3,1,1000,2,,1,500,1,8000
1,37,3706,1,156,8,,1,3,1,1000,2,,1,500,1,12000
1,37,3706,1,156,5,1080,1,3,1,1000,2,,1,500,1,8000
1,37,3706,1,156,4,1070,1,3,1,1000,2,,1,500,1,8000
1,37,3706,1,156,2,1080,1,3,1,800,2,,1,500,1,8000
1,37,3706,1,156,1,1070,1,3,1,1000,2,,1,500,1,8000
1,37,3706,1,156,6,1020,1,3,1,1000,2,,1,500,1,8000
1,37,3706,1,156,7,,1,3,1,1000,2,,1,500,1,12000
1,37,3706,1,4144,4,1070,1,2,1,1500,2,,1,250,1,5000
1,37,3706,1,4144,3,1080,1,2,1,2000,2,,1,1000,1,10000
1,37,3706,1,4144,6,1080,1,3,1,500,2,,1,250,1,5000
1,37,3706,1,4144,5,1010,1,2,1,500,2,,1,250,1,5000
1,37,3706,1,4144,2,1010,1,2,1,2000,2,,1,1000,1,1000
1,37,3706,1,4144,1,1070,1,2,1,2000,2,,1,1000,1,1000
2,2,201,2,60,2,1070,1,1,1,1000,1,650,1,250,1,1500
2,2,201,2,60,7,1120,1,1,1,1000,1,650,1,250,1,2500
2,2,201,2,60,3,1070,1,1,1,1000,1,650,1,250,1,2500
2,2,201,2,60,6,1120,1,1,1,1000,1,650,1,250,1,1500
2,2,201,2,60,4,1080,1,1,1,1000,1,650,1,250,1,1500
2,2,201,2,60,1,,1,1,1,1000,1,650,1,250,1,27000
2,2,201,2,60,5,1080,1,1,1,1000,1,650,1,250,1,2500
2,2,203,2,1224,4,1070,1,1,1,200,1,200,1,150,1,200
2,2,203,2,1224,2,1010,1,1,1,200,1,200,1,150,1,100
2,2,203,2,1224,1,,2,,2,,2,,2,,,
2,2,203,2,1224,5,1070,1,1,1,200,1,200,1,150,1,500
2,2,203,2,1224,3,1010,1,1,1,200,1,200,1,150,1,500
2,2,203,2,1224,6,1080,1,1,1,200,1,200,1,150,1,200
2,2,203,2,1224,8,,1,1,1,200,1,200,1,180,1,200
2,2,203,2,1224,7,1080,1,1,1,200,1,200,1,150,1,500
2,2,205,2,712,2,,1,3,1,700,1,700,1,600,1,5000
2,2,205,2,712,8,1110,1,3,1,1000,1,1000,1,600,1,3000
2,2,205,2,712,3,1060,1,3,1,600,1,500,1,600,1,1500
2,2,205,2,712,7,1110,1,3,1,600,1,500,1,600,1,1500
2,2,205,2,712,1,,1,3,1,300,1,300,1,200,1,1000
2,2,205,2,712,6,1080,1,3,1,900,1,900,1,600,1,2000
2,2,205,2,712,4,1060,1,3,1,900,1,900,1,600,1,2500
2,2,205,2,712,5,1080,1,3,1,600,1,500,1,600,1,1500
2,2,207,2,1302,8,,2,,2,,2,,2,,,
2,2,207,2,1302,7,1080,1,3,1,800,1,800,2,,,
2,2,207,2,1302,2,1010,1,3,1,700,2,,2,,,
2,2,207,2,1302,5,1070,1,3,1,800,1,800,2,,,
2,2,207,2,1302,6,1080,1,3,1,700,2,,2,,,
2,2,207,2,1302,4,1070,1,3,1,700,2,,2,,,
2,2,207,2,1302,3,1010,1,3,1,800,1,800,2,,,
2,2,207,2,1302,1,,1,3,1,800,1,1000,2,,,
2,2,209,2,1040,1,1070,1,1,1,400,1,400,1,400,1,5000
2,2,209,2,1040,2,1080,1,1,1,400,1,400,1,400,1,5000
2,2,209,2,1040,3,1110,1,1,1,400,1,400,1,400,1,5000
2,2,210,2,1300,7,1080,1,3,1,500,1,500,2,,,
2,2,210,2,1300,4,1070,1,3,1,400,1,400,2,,,
2,2,210,2,1300,8,,2,,2,,2,,2,,,
2,2,210,2,1300,1,,1,3,1,800,1,800,2,,,
2,2,210,2,1300,5,1070,1,3,1,500,1,500,2,,,
2,2,210,2,1300,2,1010,1,3,1,400,1,400,2,,,
2,2,210,2,1300,3,1010,1,3,1,500,1,500,2,,,
2,2,210,2,1300,6,1080,1,3,1,400,1,400,2,,,
2,2,212,2,956,5,1070,1,3,1,300,1,300,1,150,2,
2,2,212,2,956,1,,1,3,1,2500,2,,1,2000,2,
2,2,212,2,956,6,1070,1,3,1,300,1,300,1,200,2,
2,2,212,2,956,7,1080,1,3,1,300,1,300,1,150,2,
2,2,212,2,956,8,1080,1,3,1,300,1,300,1,200,2,
2,2,212,2,956,3,1010,1,3,1,300,1,300,1,150,2,
2,2,212,2,956,4,1010,1,3,1,300,1,300,1,200,2,
2,2,212,2,956,2,,1,3,1,150,2,,1,150,2,
2,2,214,2,898,1,,1,1,1,500,1,500,2,,,
2,2,214,2,898,6,1070,1,3,1,500,1,500,2,,,
2,2,214,2,898,2,,1,3,1,500,1,500,1,400,1,3500
2,2,214,2,898,3,1060,1,3,1,500,1,500,2,,,
2,2,214,2,898,8,1080,1,3,1,800,1,700,2,,,
2,2,214,2,898,5,1070,1,3,1,400,1,500,2,,,
2,2,214,2,898,4,1060,1,3,1,600,1,600,2,,,
2,2,214,2,898,7,1080,1,3,1,600,1,600,2,,,
2,2,215,1,8,1,,1,1,1,500,1,500,2,,,
2,2,215,1,8,2,,1,3,1,500,1,500,1,350,1,2500
2,2,215,1,8,4,1060,1,3,1,800,1,800,2,,,
2,2,215,1,8,5,1070,1,3,1,500,1,500,2,,,
2,2,215,1,8,7,1080,1,3,1,350,1,350,2,,,
2,2,215,1,8,3,1060,1,3,1,600,1,600,2,,,
2,2,215,1,8,8,1080,1,3,1,500,1,500,2,,,
2,2,215,1,8,6,1070,1,3,1,600,1,600,2,,,
2,2,216,2,200,5,1070,1,3,1,400,2,,2,,,
2,2,216,2,200,3,,1,3,1,2000,1,2000,1,1000,1,25000
2,2,216,2,200,1,,1,3,1,150,2,,2,,,
2,2,216,2,200,2,,1,3,1,300,2,,2,,,
2,2,216,2,200,4,1010,1,3,1,400,2,,2,,,
2,2,216,2,200,6,1080,1,3,1,400,2,,2,,,
2,2,218,2,1592,1,1010,1,3,1,600,2,,1,400,1,3500
2,2,218,2,1592,2,1010,1,3,1,600,2,,2,,,
2,2,218,2,1592,7,,2,,2,,2,,2,,,
2,2,218,2,1592,3,1080,1,3,1,400,2,,1,300,1,2000
2,2,218,2,1592,4,1080,1,3,1,600,2,,2,,,
2,2,218,2,1592,5,1110,1,3,1,800,2,,1,600,1,6000
2,2,218,2,1592,6,1110,1,3,1,800,2,,2,,,
2,2,221,2,18,4,,1,1,1,4000,1,4000,2,,,
2,2,221,2,18,5,1010,1,1,1,1500,1,1500,1,,1,700
2,2,221,2,18,1,,1,1,1,200,2,,2,,,
2,2,221,2,18,7,1080,1,1,1,1500,1,1500,1,,1,700
2,2,221,2,18,3,,1,1,1,400,1,400,2,,,
2,2,221,2,18,6,1070,1,1,1,1500,1,1500,1,,1,700
2,2,221,2,18,2,,1,1,1,400,1,400,1,,1,200
2,5,501,2,60,5,1080,1,1,1,500,2,,1,500,1,400
2,5,501,2,60,7,,1,1,1,200,2,,1,200,1,200
2,5,501,2,60,3,1110,1,1,1,300,2,,1,200,1,400
2,5,501,2,60,8,,1,1,1,700,2,,1,500,,1400
2,5,501,2,60,4,1070,1,1,1,500,2,,1,500,1,400
2,5,501,2,60,6,1110,1,1,1,500,2,,1,500,1,400
2,5,501,2,60,2,1080,1,1,1,300,2,,1,200,1,400
2,5,501,2,60,1,1070,1,1,1,300,2,,1,200,1,400
2,5,502,1,2194,5,1110,1,,1,400,2,,1,200,2,
2,5,502,1,2194,6,1070,1,,1,400,2,,1,200,2,
2,5,502,1,2194,2,1110,1,3,1,400,2,,1,200,2,
2,5,502,1,2194,1,1080,1,3,1,400,2,,1,200,2,
2,5,502,1,2194,4,1080,1,,1,400,2,,1,200,2,
2,5,502,1,2194,3,1070,1,3,1,400,2,,1,200,2,
2,5,502,2,3878,3,1010,1,1,1,600,2,,1,250,1,350
2,5,502,2,3878,6,1010,1,1,1,500,2,,1,150,1,200
2,5,502,2,3878,4,1070,1,1,1,500,2,,1,150,1,200
2,5,502,2,3878,1,1070,1,1,1,600,2,,1,250,1,350
2,5,502,2,3878,7,,1,1,1,700,2,,1,100,1,150
2,5,502,2,3878,2,1080,1,1,1,600,2,,1,250,1,350
2,5,502,2,3878,8,,1,1,1,1000,2,,1,300,1,1500
2,5,502,2,3878,5,1080,1,1,1,500,2,,1,150,1,200
2,5,504,2,708,3,1010,1,3,1,500,2,,1,300,1,2500
2,5,504,2,708,2,1070,1,2,1,500,2,,1,200,1,300
2,5,504,2,708,4,1060,1,3,1,400,2,,1,200,1,2500
2,5,504,2,708,1,1100,1,2,1,1000,2,,1,200,1,300
2,5,506,2,830,3,1060,1,1,1,400,1,200,1,150,1,500
2,5,506,2,830,4,1070,1,1,1,400,1,200,1,150,1,500
2,5,506,2,830,5,1080,1,1,1,400,1,200,1,150,1,500
2,5,506,2,830,6,1060,1,1,1,350,1,200,1,150,1,500
2,5,506,2,830,2,1080,1,1,1,400,1,250,1,150,1,500
2,5,506,2,830,7,,1,3,1,500,1,300,1,250,1,1000
2,5,506,2,830,1,1070,1,1,1,400,1,200,1,150,1,500
2,5,508,2,718,3,1100,1,1,1,500,1,300,1,200,1,500
2,5,508,2,718,8,,1,1,1,1000,1,600,1,250,1,5000
2,5,508,2,718,1,1110,1,1,1,500,1,300,1,200,1,500
2,5,508,2,718,5,2040,1,1,1,800,1,500,1,150,1,1000
2,5,508,2,718,4,1110,1,1,1,800,1,500,1,150,1,1000
2,5,508,2,718,6,1070,1,1,1,500,1,500,1,150,1,1000
2,5,508,2,718,7,,1,1,1,500,1,300,1,150,1,700
2,5,508,2,718,2,1070,1,1,1,500,1,300,1,200,1,500
2,5,508,2,984,5,1100,1,1,1,100,2,,1,50,1,1000
2,5,508,2,984,3,1080,1,1,1,200,2,,1,100,1,1000
2,5,508,2,984,6,1080,1,1,1,100,2,,1,50,1,1000
2,5,508,2,984,2,1100,1,1,1,200,2,,1,100,1,1000
2,5,508,2,984,7,,1,1,1,500,2,,1,200,1,5000
2,5,508,2,984,1,1070,1,1,1,200,2,,1,100,1,1000
2,5,508,2,984,4,1070,1,1,1,100,2,,1,50,1,1000
2,5,510,1,872,5,1070,1,3,1,250,2,,2,,2,
2,5,510,1,872,8,,1,3,1,500,2,,2,,2,
2,5,510,1,872,4,1100,1,3,1,350,2,,2,,2,
2,5,510,1,872,1,1100,1,3,1,200,2,,2,,2,
2,5,510,1,872,2,1070,1,3,1,200,2,,2,,2,
2,5,510,1,872,7,,1,3,1,300,2,,2,,2,
2,5,510,1,872,3,1010,1,3,1,200,2,,2,,2,
2,5,510,1,872,6,1010,1,3,1,250,2,,2,,2,
2,5,510,2,1516,7,,1,3,1,400,2,,2,,2,
2,5,510,2,1516,2,1100,1,3,1,300,2,,2,,2,
2,5,510,2,1516,4,1070,1,3,1,250,2,,1,100,2,
2,5,510,2,1516,1,1070,1,3,1,300,2,,2,,2,
2,5,510,2,1516,3,1010,1,3,1,300,2,,2,,2,
2,5,510,2,1516,8,,1,3,1,500,2,,2,,2,
2,5,510,2,1516,6,1010,1,3,1,250,2,,1,100,2,
2,5,510,2,1516,5,1100,1,3,1,250,2,,1,100,2,
2,5,513,2,348,3,1010,1,3,1,300,2,,1,100,1,600
2,5,513,2,348,1,1100,1,3,1,300,2,,1,100,1,600
2,5,513,2,348,6,1010,1,3,1,400,2,,1,150,1,600
2,5,513,2,348,5,1070,1,3,1,400,2,,1,150,1,600
2,5,513,2,348,8,,1,3,1,600,2,,1,200,1,1000
2,5,513,2,348,2,1070,1,3,1,300,2,,1,100,1,600
2,5,513,2,348,4,1100,1,3,1,400,2,,1,150,1,600
2,5,513,2,348,7,,1,3,1,300,2,,1,100,1,500
2,5,514,2,710,8,,1,3,1,400,2,,1,200,2,
2,5,514,2,710,1,1100,1,3,1,250,2,,2,,,
2,5,514,2,710,7,,1,3,1,200,2,,1,100,2,
2,5,514,2,710,5,1070,1,3,1,300,2,,1,150,2,
2,5,514,2,710,3,1010,1,3,1,250,2,,2,,,
2,5,514,2,710,4,1100,1,3,1,300,2,,1,200,2,
2,5,514,2,710,6,1010,1,3,1,300,2,,1,150,2,
2,5,514,2,710,2,1070,1,3,1,200,2,,2,,,
2,5,514,1,2036,6,1010,1,3,1,350,2,,1,200,2,1100
2,5,514,1,2036,7,,1,3,1,200,2,,1,100,2,1000
2,5,514,1,2036,8,,1,3,1,500,2,,1,300,2,3000
2,5,514,1,2036,2,1070,1,3,1,300,2,,1,150,2,1000
2,5,514,1,2036,3,1010,1,3,1,300,2,,1,150,2,1000
2,5,514,1,2036,4,1100,1,3,1,350,2,,1,200,2,1100
2,5,514,1,2036,1,1100,1,3,1,300,2,,1,150,2,1000
2,5,514,1,2036,5,1070,1,3,1,350,2,,1,200,2,1100
2,5,515,2,18,7,,,,,,,,,,,
2,5,515,2,18,1,1070,1,3,1,300,2,,2,,2,
2,5,515,2,18,6,1010,1,3,1,400,2,,2,,2,
2,5,515,2,18,3,1010,1,3,1,300,2,,2,,2,
2,5,515,2,18,4,1070,1,3,1,400,2,,2,,2,
2,5,515,2,18,2,1100,1,3,1,300,2,,2,,2,
2,5,515,2,18,5,1100,1,3,1,400,2,,2,,2,
2,5,516,2,942,2,1070,1,3,1,200,2,,2,,2,
2,5,516,2,942,4,1100,1,3,1,250,2,,1,100,2,
2,5,516,2,942,6,1062,1,3,1,250,2,,1,100,2,
2,5,516,2,942,3,1062,1,3,1,200,2,,2,,2,
2,5,516,2,942,1,1100,1,3,1,200,2,,2,,2,
2,5,516,2,942,7,,1,3,1,300,2,,1,150,2,
2,5,516,2,942,5,1070,1,3,1,250,2,,1,100,2,
2,5,516,2,942,8,,1,3,1,350,2,,2,,2,
2,5,518,2,1304,6,2220,1,1,1,500,2,,1,300,2,
2,5,518,2,1304,4,1080,1,1,1,500,2,,1,300,2,
2,5,518,2,1304,5,1070,1,1,1,500,2,,1,300,2,
2,5,518,2,1304,8,,1,1,1,700,2,,1,300,2,
2,5,518,2,1304,3,2220,1,1,1,1000,2,,1,300,2,
2,5,518,2,1304,2,1070,1,1,1,1000,2,,1,300,2,
2,5,518,2,1304,1,1080,1,1,1,1000,2,,1,300,2,
2,5,518,2,1304,7,,1,1,1,500,2,,1,300,2,
2,5,518,2,1588,3,1060,1,3,1,500,2,,1,200,2,
2,5,518,2,1588,7,,1,3,1,500,2,,1,150,2,
2,5,518,2,1588,6,1060,1,3,1,600,2,,1,300,2,
2,5,518,2,1588,2,1080,1,3,1,500,2,,1,200,2,
2,5,518,2,1588,5,1080,1,3,1,600,2,,1,300,2,
2,5,518,2,1588,8,,1,3,1,600,2,,1,300,2,
2,5,518,2,1588,4,1070,1,3,1,600,2,,1,300,2,
2,5,518,2,1588,1,1070,1,3,1,500,2,,1,200,2,
2,5,520,2,1756,7,,2,,,,,,,,,
2,5,520,2,1756,1,1100,1,2,1,150,2,,2,,2,
2,5,520,2,1756,3,1010,1,2,1,150,2,,2,,2,
2,5,520,2,1756,8,,1,2,1,200,2,,2,,2,
2,5,520,2,1756,6,1010,1,2,1,100,2,,1,70,2,
2,5,520,2,1756,2,1070,1,2,1,150,2,,2,,2,
2,5,520,2,1756,4,1070,1,2,1,100,2,,1,70,2,
2,5,520,2,1756,5,1100,1,2,1,100,2,,1,70,2,
2,8,809,2,1748,3,1060,1,1,1,500,2,,2,,,
2,8,809,2,1748,4,1060,2,,,,2,,2,,,
2,8,809,2,1748,2,1010,2,,,,2,,2,,,
2,8,809,2,1748,1,1010,1,1,1,500,2,,2,,,
2,8,809,2,1748,5,1100,1,1,1,,2,,2,,,
2,8,809,2,1748,6,1100,1,1,1,500,2,,2,,,2000
2,8,820,2,1030,1,1100,1,2,1,500,2,,1,150,1,3000
2,8,820,2,1030,5,1010,1,,1,400,1,400,1,150,2,
2,8,820,2,1030,4,1100,1,,1,400,1,400,1,150,2,
2,8,820,2,1030,2,1010,1,2,1,500,2,,1,150,1,3000
2,8,820,2,1030,3,1060,1,2,1,500,2,,1,150,1,3000
2,8,820,2,1030,6,1060,1,,1,400,1,400,1,150,2,
2,8,821,1,5062,1,1010,1,1,1,4000,2,,1,3000,,
2,8,821,1,5062,4,1062,1,1,1,4000,2,,2,,1,2000
2,8,821,1,5062,6,1100,1,1,1,4000,2,,2,,1,2000
2,8,821,1,5062,2,1010,1,1,1,4000,2,,2,,1,2000
2,8,821,1,5062,5,1100,1,1,1,4000,2,,1,3000,,
2,8,821,1,5062,3,1062,1,1,1,4000,2,,1,3000,,
2,15,1502,2,590,8,,1,1,1,300,1,200,2,,2,
2,15,1502,2,590,7,,1,1,1,300,1,200,2,,2,
2,15,1502,2,590,2,1010,2,,,,,,,,,
2,15,1502,2,590,3,1080,2,,,,,,,,,
2,15,1502,2,590,1,1070,2,,,,,,,,,
