"zone","state","lga","sector","ea","activity_cd","sc3bq2c","sc3bq3","sc3bq4","sc3bq5","sc3bq6","sc3bq7","sc3bq8","sc3bq9","sc3bq10","sc3bq11","sc3bq12"
1,7,722,2,234,1,1120,1,1,1,500,2,,1,500,1,5000
1,7,722,2,234,2,1060,1,1,1,300,2,,1,300,1,3700
1,7,722,2,234,4,1120,2,,2,,2,,2,,,
1,7,722,2,234,5,1060,2,,2,,2,,2,,,
1,7,722,2,892,1,1120,1,1,1,500,2,,1,500,1,6000
1,7,722,2,892,7,,1,,2,,1,200,1,,,
1,7,722,2,892,4,1120,2,,2,,2,,2,,,
1,7,722,2,892,5,1020,2,,2,,2,,2,,,
1,7,722,2,892,2,1020,1,1,1,500,2,,1,500,1,6000
1,7,722,2,892,6,1060,2,,2,,2,,2,,,
1,7,722,2,892,3,1060,1,1,1,400,2,,1,400,1,4500
1,22,2201,2,422,6,1080,2,,,,,,,,,
1,22,2201,2,422,1,1120,1,2,1,500,2,,2,,2,
1,22,2201,2,422,3,1080,1,2,1,500,2,,2,,2,
1,22,2201,2,422,5,1020,2,,,,,,,,,
1,22,2201,2,422,4,1120,2,,,,,,,,,
1,22,2201,2,422,2,1020,1,2,1,500,2,,2,,2,
1,22,2203,2,266,1,2260,1,3,1,500,2,,2,,1,4000
1,22,2203,2,266,5,1020,1,1,1,500,2,,2,,2,
1,22,2203,2,266,6,1120,1,1,1,500,2,,2,,2,
1,22,2203,2,266,2,1020,1,3,1,500,2,,2,,1,4000
1,22,2203,2,266,8,,1,3,1,500,2,,2,,2,
1,22,2203,2,266,4,2260,1,1,1,500,2,,2,,2,
1,22,2203,2,266,3,1120,1,3,1,500,2,,2,,1,4000
1,22,2203,2,266,7,,1,1,1,500,2,,2,,2,
1,22,2203,2,530,7,,1,3,1,300,1,300,1,250,1,500
1,22,2203,2,530,5,1020,1,3,1,500,1,300,1,200,1,1000
1,22,2203,2,530,2,1020,1,3,1,500,1,300,1,200,1,3000
1,22,2203,2,530,4,1120,1,3,1,500,2,,2,,2,
1,22,2203,2,530,1,1120,1,3,1,500,1,300,1,200,1,3000
1,22,2203,2,530,8,,1,3,1,500,1,400,1,300,1,3000
1,22,2203,2,530,3,1080,1,3,1,500,1,300,1,200,1,3000
1,22,2203,2,530,6,1080,1,3,1,500,1,300,1,200,1,500
1,22,2205,2,664,5,1080,1,3,1,500,2,,2,,1,3000
1,22,2205,2,664,2,1080,1,3,1,500,2,,2,,1,3000
1,22,2205,2,664,1,1120,1,3,1,500,2,,2,,1,3000
1,22,2205,2,664,3,1020,1,3,1,500,2,,2,,1,3000
1,22,2205,2,664,7,,1,1,1,500,2,,2,,1,3000
1,22,2205,2,664,4,1120,1,3,1,500,2,,2,,1,4000
1,22,2205,2,664,8,,1,1,1,500,2,,1,300,1,1200
1,22,2205,2,2432,2,1080,1,1,1,400,2,,1,200,1,6000
1,22,2205,2,2432,3,1020,1,1,1,400,2,,1,200,1,6000
1,22,2205,2,2432,7,,2,,2,,2,,2,,2,
1,22,2205,2,2432,1,1120,1,1,1,400,2,,1,200,1,6000
1,22,2205,2,2432,5,1080,1,1,1,400,2,,2,,1,3500
1,22,2205,2,2432,4,1120,1,1,1,400,2,,2,,1,3500
1,22,2205,2,2432,8,,1,1,1,400,2,,1,200,1,2500
1,22,2205,2,2432,6,1020,1,1,1,400,2,,2,,1,3500
1,22,2209,1,792,8,,1,1,1,1000,2,,1,600,2,
1,22,2209,1,792,4,1080,1,,2,,1,600,1,600,2,
1,22,2209,1,792,2,1120,1,3,1,1000,2,,1,800,1,6000
1,22,2209,1,792,6,1020,1,1,1,1000,2,,1,600,2,
1,22,2209,1,792,3,1020,1,3,1,1000,2,,1,800,1,6000
1,22,2209,1,792,1,1080,1,3,1,1000,2,,1,800,1,6000
1,22,2209,1,792,5,1120,1,1,1,1000,2,,2,,,
1,22,2209,1,792,7,,1,1,1,600,1,600,1,600,2,600
1,22,2211,2,594,6,1060,1,1,1,500,2,,2,,1,500
1,22,2211,2,594,1,1110,1,1,1,500,2,,2,,1,5000
