"zone","state","lga","sector","ea","cluster_id","serial_id","c1q2","c1q3","c1q4a","c1q4b","c1q4_os","c1q5","c1q6"
5,10,1022,1,386,"1022-386",4,1,43,5,,,7,422
5,10,1022,1,386,"1022-386",5,1,57,8,,,13,16
5,10,1022,1,386,"1022-386",6,2,39,8,,,5,26
5,10,1023,2,346,"1023-346",1,1,88,1,,,88,0
5,10,1023,2,346,"1023-346",2,1,62,11,,"COMMUNITY CHAIRMAN",62,16
5,10,1023,2,346,"1023-346",3,1,43,12,,,5,422
5,10,1023,2,346,"1023-346",4,2,40,8,,,40,26
5,10,1023,2,346,"1023-346",5,1,65,3,,,9,422
5,10,1025,2,1774,"1025-1774",1,1,69,1,,,12,412
5,10,1025,2,1774,"1025-1774",2,1,42,12,,,42,26
5,10,1025,2,1774,"1025-1774",3,2,43,5,,,3,422
5,10,1025,2,1774,"1025-1774",5,1,38,9,,,4,412
5,10,1025,2,1774,"1025-1774",6,2,35,7,,,2,35
5,10,1025,2,1774,"1025-1774",7,2,35,8,,,5,16
4,1,104,2,1020,"104-1020",1,1,88,1,,,40,422
4,1,104,2,1020,"104-1020",2,2,68,2,,,35,422
4,1,104,2,1020,"104-1020",3,1,65,3,,,30,16
4,1,104,2,1020,"104-1020",4,1,72,6,,,29,16
4,1,104,2,1020,"104-1020",5,2,66,9,,,34,13
4,1,104,2,412,"104-412",1,1,60,1,,,40,16
4,1,104,2,412,"104-412",2,2,39,2,,,25,26
4,1,104,2,412,"104-412",3,2,75,8,,,45,16
4,1,104,2,412,"104-412",4,1,24,12,,,6,26
4,1,104,2,412,"104-412",5,1,26,7,,,8,26
4,1,104,2,412,"104-412",6,2,40,6,,,30,14
4,1,104,2,412,"104-412",7,2,28,9,,,2,26
4,1,105,2,638,"105-638",1,1,82,1,,,35,16
4,1,105,2,638,"105-638",2,2,50,2,,,20,16
4,1,105,2,638,"105-638",3,2,28,8,,,10,26
4,1,105,2,638,"105-638",4,1,48,3,,,21,26
4,1,105,2,638,"105-638",5,1,46,9,,,15,26
4,1,107,2,10,"107-10",1,1,62,1,,,21,26
4,1,107,2,10,"107-10",2,1,55,11,,"VILLAGE HEAD",55,15
4,1,107,2,10,"107-10",3,1,53,12,,,53,15
4,1,107,2,10,"107-10",4,1,41,8,11,"VILLAGE CHAIRMAN",41,14
4,1,107,2,10,"107-10",5,2,41,11,,"WOMEN LEADER",41,13
4,1,107,2,1044,"107-1044",1,1,74,1,,,74,16
4,1,107,2,1044,"107-1044",2,1,59,4,,,59,34
4,1,107,2,1044,"107-1044",3,1,51,11,,"VILLAGE CHAIRMAN",51,26
4,1,107,2,1044,"107-1044",4,1,56,3,,,10,423
4,1,107,2,1044,"107-1044",5,1,41,12,,,41,26
4,1,107,2,1044,"107-1044",6,2,55,8,11,"WOMEN LEADER",55,26
4,1,107,2,1044,"107-1044",7,1,53,8,11,"MARKET CHAIRMAN",53,16
4,1,107,2,1322,"107-1322",1,1,57,1,,,57,16
4,1,107,2,1322,"107-1322",2,1,72,11,,"COMMUNITY LEADER",72,321
4,1,107,2,1322,"107-1322",3,1,34,12,,,6,411
4,1,107,2,1322,"107-1322",4,2,65,8,11,"WOMEN LEADER",65,26
4,1,107,2,1322,"107-1322",5,1,53,8,11,"MARKET CHAIRMAN",53,16
4,1,108,2,904,"108-904",1,1,81,1,,,45,16
4,1,108,2,904,"108-904",2,2,60,2,,,35,16
4,1,108,2,904,"108-904",3,1,55,3,,,21,16
4,1,108,2,904,"108-904",4,1,65,6,,,19,16
4,1,108,2,904,"108-904",5,1,85,9,,,40,0
4,1,109,2,1214,"109-1214",1,1,78,11,,"VILLAGE CHIEF",78,16
4,1,109,2,1214,"109-1214",2,1,53,1,,,53,16
4,1,109,2,1214,"109-1214",3,1,39,12,,,39,26
4,1,109,2,1214,"109-1214",4,2,57,11,,"WOMEN LEADER",6,34
4,1,109,2,1214,"109-1214",5,1,56,9,,,56,26
4,1,109,2,1792,"109-1792",1,1,62,1,,,62,26
4,1,109,2,1792,"109-1792",2,1,56,3,,,56,26
4,1,109,2,1792,"109-1792",3,1,37,12,,,37,26
4,1,109,2,1792,"109-1792",4,1,65,11,,"VILLAGE CHAIRMAN",65,16
4,1,109,2,1792,"109-1792",5,2,55,2,11,"WOMEN LEADER",55,25
4,1,109,2,1996,"109-1996",1,1,52,1,,,52,24
4,1,109,2,1996,"109-1996",2,1,51,11,,"VILLAGE CHAIRMAN",51,25
4,1,109,2,1996,"109-1996",3,1,38,12,,,38,26
4,1,109,2,1996,"109-1996",4,2,41,11,,"WOMEN LEADER",41,26
4,1,109,2,1996,"109-1996",5,1,70,9,,,70,16
4,1,109,2,1996,"109-1996",6,1,72,4,11,"RETIRED HEAD MASTER",72,34
4,1,110,2,338,"110-338",1,1,46,1,,,35,23
4,1,110,2,338,"110-338",2,2,41,2,,,20,16
4,1,110,2,338,"110-338",3,1,62,3,,,37,16
4,1,110,2,338,"110-338",4,1,65,6,,,26,16
4,1,110,2,338,"110-338",5,2,25,8,,,15,13
4,1,110,2,338,"110-338",6,1,41,12,,,18,22
4,11,1101,2,154,"1101-154",1,1,58,1,,,58,16
4,11,1101,2,154,"1101-154",2,1,54,4,,,6,43
4,11,1101,2,154,"1101-154",3,1,46,9,,,6,43
4,11,1101,2,154,"1101-154",4,1,61,3,,,61,26
4,11,1101,2,154,"1101-154",5,1,59,5,,,9,34
4,11,1101,2,154,"1101-154",7,1,58,12,,,58,26
4,11,1101,2,154,"1101-154",8,2,57,8,,,38,0
4,11,1102,2,936,"1102-936",1,1,59,1,,,59,422
4,11,1102,2,936,"1102-936",2,1,65,8,,,65,411
4,11,1102,2,936,"1102-936",3,1,53,9,,,53,422
4,11,1102,2,936,"1102-936",4,1,35,12,,,35,412
4,11,1102,2,936,"1102-936",5,2,62,8,,,37,16
4,11,1104,2,1610,"1104-1610",1,1,75,1,,,75,16
4,11,1104,2,1610,"1104-1610",2,1,58,9,,,58,16
4,11,1104,2,1610,"1104-1610",3,1,43,12,,,43,26
4,11,1104,2,1610,"1104-1610",4,1,46,4,,,7,43
4,11,1104,2,1610,"1104-1610",5,1,48,8,,,30,0
4,11,1104,1,2028,"1104-2028",1,1,46,1,,,12,43
4,11,1104,1,2028,"1104-2028",2,1,62,8,,,15,421
4,11,1104,1,2028,"1104-2028",3,1,72,8,,,20,23
4,11,1104,1,2028,"1104-2028",4,2,44,8,,,10,34
4,11,1104,1,2028,"1104-2028",5,2,45,8,,,8,26
4,11,1104,2,434,"1104-434",1,1,65,1,,,65,0
4,11,1104,2,434,"1104-434",2,1,48,9,,,48,16
4,11,1104,2,434,"1104-434",3,2,60,8,,,35,0
4,11,1104,2,434,"1104-434",4,1,55,5,,,15,34
4,11,1104,2,434,"1104-434",5,1,36,12,,,36,26
4,11,1104,2,434,"1104-434",6,1,58,8,,,58,26
4,11,1104,2,914,"1104-914",1,1,60,1,,,60,43
4,11,1104,2,914,"1104-914",2,1,66,9,,,13,26
4,11,1104,2,914,"1104-914",3,1,61,8,,,61,15
4,11,1104,2,914,"1104-914",4,1,66,8,,,66,16
4,11,1104,2,914,"1104-914",5,2,41,2,,,19,34
4,11,1105,2,1092,"1105-1092",1,1,47,1,,,47,23
4,11,1105,2,1092,"1105-1092",2,1,57,3,,,57,26
4,11,1105,2,1092,"1105-1092",3,1,52,8,,,52,26
4,11,1105,2,1092,"1105-1092",4,1,55,5,,,15,34
4,11,1105,2,1092,"1105-1092",5,1,45,9,,,7,26
4,11,1105,2,1092,"1105-1092",6,2,50,8,,,23,0
4,11,1106,2,1366,"1106-1366",2,1,45,3,8,,45,16
4,11,1106,2,1366,"1106-1366",3,2,50,8,,,31,16
4,11,1106,2,1366,"1106-1366",4,1,28,12,,,28,34
4,11,1106,2,1366,"1106-1366",5,1,52,9,,,12,43
4,11,1106,2,1366,"1106-1366",6,2,48,2,,,31,16
4,11,1109,2,1556,"1109-1556",1,1,66,1,,,66,13
4,11,1109,2,1556,"1109-1556",2,1,50,9,,,6,16
4,11,1109,2,1556,"1109-1556",3,2,56,2,,,28,0
4,11,1109,2,1556,"1109-1556",4,1,46,12,,,46,412
4,11,1109,2,1556,"1109-1556",5,2,42,5,,,25,34
4,1,111,1,1146,"111-1146",1,1,57,1,,,28,26
4,1,111,1,1146,"111-1146",2,2,52,2,,,20,26
4,1,111,1,1146,"111-1146",3,2,58,8,,,32,16
4,1,111,1,1146,"111-1146",4,1,60,3,,,32,16
4,1,111,1,1146,"111-1146",5,1,35,9,,,18,26
4,1,111,2,118,"111-118",1,1,45,1,,,45,26
4,1,111,2,118,"111-118",2,2,37,2,,,21,31
4,1,111,2,118,"111-118",3,1,55,3,,,25,16
4,1,111,2,118,"111-118",4,1,61,6,,,36,16
4,1,111,2,118,"111-118",5,1,50,9,,,19,26
4,11,1112,2,78,"1112-78",1,1,44,1,,,44,16
4,11,1112,2,78,"1112-78",2,1,28,12,,,28,34
4,11,1112,2,78,"1112-78",3,1,47,9,,,7,43
4,11,1112,2,78,"1112-78",4,2,61,8,,,42,0
4,11,1112,2,78,"1112-78",5,2,36,2,,,15,26
4,11,1112,2,78,"1112-78",6,1,28,5,,,8,34
4,11,1113,2,954,"1113-954",1,1,60,1,,,60,16
4,11,1113,2,954,"1113-954",2,1,40,12,,,40,26
4,11,1113,2,954,"1113-954",3,2,45,8,,,26,26
4,11,1113,2,954,"1113-954",4,2,42,5,,,22,34
4,11,1113,2,954,"1113-954",5,1,48,9,,,10,43
4,1,112,2,266,"112-266",1,1,70,8,11,"MEMBER LANDLORD ASSOCIATION",31,422
4,1,112,2,266,"112-266",2,1,60,8,11,"MEMBER LANDLORD ASSOCIATION",32,26
4,1,112,2,266,"112-266",3,1,56,8,11,"MEMBER LANDLORD ASSOCIATION",16,16
4,1,112,2,266,"112-266",4,2,49,11,,"MEMBER LANDLORD ASSOCIATION",13,23
4,1,112,2,266,"112-266",5,1,50,11,,"MEMBER LANDLORD ASSOCIATION",21,16
4,1,112,2,556,"112-556",1,1,72,1,,,50,422
4,1,112,2,556,"112-556",2,1,58,3,,,19,16
4,1,112,2,556,"112-556",3,1,40,12,,,30,26
4,1,112,2,556,"112-556",4,1,55,11,,"SECURITY OFFICER",45,16
4,1,112,2,556,"112-556",5,2,46,2,11,"WOMEN PRESIDENT",5,422
4,1,112,2,556,"112-556",6,2,71,11,,"WOMEN CHAIRLADY",51,14
4,1,113,2,284,"113-284",1,1,76,3,11,"ASSISTANT CHIEF",76,16
4,1,113,2,284,"113-284",2,1,80,1,,,80,16
4,1,113,2,284,"113-284",3,1,52,11,,"COMMUNITY CHAIRMAN",52,16
4,1,113,2,284,"113-284",4,1,35,12,,,35,26
4,1,113,2,284,"113-284",5,2,78,11,,"WOMEN LEADER",78,16
4,1,113,2,284,"113-284",6,2,65,8,11,"MARKET LEADER",65,16
4,1,113,2,44,"113-44",2,1,79,11,,"VILLAGE ELDER",79,16
4,1,113,2,44,"113-44",3,1,46,11,,"VIGILANTE CHAIMAN",6,26
4,1,113,2,44,"113-44",4,1,43,12,,,4,26
4,1,113,2,44,"113-44",6,1,45,11,,"VILLAGE CHAIRMAN",45,422
4,1,113,2,44,"113-44",7,1,70,11,,"VILLAGE ELDER",70,321
4,1,113,2,44,"113-44",8,2,59,11,,"WOMEN LEADER",59,16
4,1,113,2,6,"113-6",1,1,82,1,,,21,422
4,1,113,2,6,"113-6",2,1,71,11,,"VILLAGE CHAIRMAN",50,14
4,1,113,2,6,"113-6",3,1,41,11,,"VICE YOUTH LEADER",28,26
4,1,113,2,6,"113-6",4,1,60,9,,,15,26
4,1,113,2,6,"113-6",5,2,70,11,,"WOMEN LEADER",21,422
4,1,113,2,6,"113-6",6,1,49,8,12,,10,422
4,1,115,1,176,"115-176",1,1,60,1,,,9,26
4,1,115,1,176,"115-176",2,2,49,2,,,9,34
4,1,115,1,176,"115-176",3,1,74,3,,,59,26
4,1,115,1,176,"115-176",4,1,58,6,,,35,16
4,1,115,1,176,"115-176",5,1,39,9,,,15,26
4,1,115,1,550,"115-550",1,1,68,1,,,28,16
4,1,115,1,550,"115-550",2,2,42,2,,,28,16
4,1,115,1,550,"115-550",3,2,43,8,,,18,16
4,1,115,1,550,"115-550",4,1,56,3,,,19,26
4,1,115,1,550,"115-550",5,1,61,6,,,25,16
4,1,115,1,670,"115-670",1,1,60,1,,,15,43
4,1,115,1,670,"115-670",2,2,56,2,,,15,43
4,1,115,1,670,"115-670",3,1,55,6,,,10,43
4,1,115,1,670,"115-670",4,1,51,4,,,8,43
4,1,115,1,670,"115-670",5,2,60,7,,,9,43
4,1,115,1,670,"115-670",6,1,49,8,,,7,43
4,1,117,2,560,"117-560",1,1,72,1,,,50,16
4,1,117,2,560,"117-560",2,2,53,2,,,35,16
4,1,117,2,560,"117-560",3,1,56,3,,,23,16
4,1,117,2,560,"117-560",4,1,62,6,,,32,16
4,1,117,2,560,"117-560",5,1,62,9,,,25,16
4,1,117,2,800,"117-800",1,1,77,1,,,45,16
4,1,117,2,800,"117-800",2,2,60,2,,,45,31
4,1,117,2,800,"117-800",3,1,56,3,,,15,16
4,1,117,2,800,"117-800",4,1,77,6,,,42,16
4,1,117,2,800,"117-800",5,2,51,9,,,25,16
5,12,1201,2,320,"1201-320",1,1,43,3,,,30,43
5,12,1201,2,320,"1201-320",2,2,27,8,,,19,34
5,12,1201,2,320,"1201-320",3,1,31,12,,,25,26
5,12,1201,2,320,"1201-320",4,1,85,1,,,42,43
5,12,1201,2,320,"1201-320",5,1,50,6,,,33,26
5,12,1201,2,320,"1201-320",6,1,41,9,,,13,321
5,12,1201,2,320,"1201-320",7,1,56,5,,,9,43
5,12,1203,1,334,"1203-334",1,1,84,1,,,84,0
5,12,1203,1,334,"1203-334",2,2,80,2,,,80,0
5,12,1203,1,334,"1203-334",3,1,75,3,,,35,33
5,12,1203,1,334,"1203-334",4,1,45,5,,,9,34
5,12,1203,1,334,"1203-334",5,2,56,8,,,17,31
5,12,1203,1,334,"1203-334",6,1,45,9,,,7,422
5,12,1203,1,334,"1203-334",7,1,35,12,,,15,422
5,12,1207,1,144,"1207-144",1,1,62,1,,,40,43
5,12,1207,1,144,"1207-144",2,1,67,6,,,35,321
5,12,1207,1,144,"1207-144",3,1,55,3,,,27,26
5,12,1207,1,144,"1207-144",4,2,51,8,,,15,23
5,12,1207,1,144,"1207-144",5,2,38,7,,,7,35
5,12,1207,1,144,"1207-144",6,2,58,8,,,27,24
5,12,1207,1,144,"1207-144",7,1,42,12,,,14,424
5,12,1208,2,526,"1208-526",1,1,75,1,,,35,0
5,12,1208,2,526,"1208-526",2,1,83,3,,,52,0
5,12,1208,2,526,"1208-526",3,1,35,12,,,10,26
5,12,1208,2,526,"1208-526",4,2,59,8,,,32,15
5,12,1208,2,526,"1208-526",5,1,58,6,,,27,26
5,12,1208,2,526,"1208-526",6,1,62,4,,,20,43
5,12,1208,2,526,"1208-526",7,2,32,9,,,8,26
5,12,1208,2,630,"1208-630",1,1,77,1,,,25,16
5,12,1208,2,630,"1208-630",2,2,62,2,,,34,16
5,12,1208,2,630,"1208-630",3,1,83,3,,,40,16
5,12,1208,2,630,"1208-630",4,1,36,12,,,24,31
5,12,1208,2,630,"1208-630",5,2,47,8,,,21,26
5,12,1208,2,630,"1208-630",6,2,38,5,,,15,31
5,12,1208,2,76,"1208-76",1,1,85,1,,,62,33
5,12,1208,2,76,"1208-76",2,1,78,3,,,45,33
5,12,1208,2,76,"1208-76",3,1,48,9,,,22,16
5,12,1208,2,76,"1208-76",4,1,35,12,,,19,26
5,12,1208,2,76,"1208-76",5,2,22,7,,,19,26
5,12,1208,2,76,"1208-76",6,2,55,2,,,30,0
5,12,1208,2,76,"1208-76",7,2,46,8,,,20,26
5,12,1209,1,226,"1209-226",1,2,65,2,,,27,16
5,12,1209,1,226,"1209-226",2,1,72,1,,,33,33
5,12,1209,1,226,"1209-226",3,1,45,5,,,6,34
5,12,1209,1,226,"1209-226",4,2,54,8,,,41,16
5,12,1209,1,226,"1209-226",5,1,61,9,,,33,51
5,12,1209,1,226,"1209-226",6,1,42,8,,,12,26
5,12,1209,1,226,"1209-226",7,1,37,10,,,5,26
5,12,1209,1,566,"1209-566",1,1,74,1,,,43,0
5,12,1209,1,566,"1209-566",2,1,74,3,,,32,33
5,12,1209,1,566,"1209-566",3,1,30,12,,,20,411
5,12,1209,1,566,"1209-566",4,2,64,2,,,54,0
5,12,1209,1,566,"1209-566",5,2,45,8,,,16,16
5,12,1209,1,566,"1209-566",6,2,27,8,,,0,412
5,12,1209,1,566,"1209-566",7,2,68,9,,,43,0
5,12,1209,1,566,"1209-566",8,1,40,8,,,20,26
5,12,1211,1,1250,"1211-1250",1,1,64,1,9,,16,26
5,12,1211,1,1250,"1211-1250",2,1,67,3,8,,17,16
5,12,1211,1,1250,"1211-1250",3,1,66,8,,,11,26
5,12,1211,1,1250,"1211-1250",4,2,65,2,8,,25,0
5,12,1211,1,1250,"1211-1250",5,1,46,8,,,14,26
5,12,1211,1,1250,"1211-1250",6,1,35,12,,,19,412
5,12,1211,1,1250,"1211-1250",7,2,47,8,,,4,412
5,12,1211,1,1250,"1211-1250",8,1,59,6,,,37,34
5,12,1211,1,2856,"1211-2856",1,1,80,1,8,,20,26
5,12,1211,1,2856,"1211-2856",2,2,51,2,,,20,26
5,12,1211,1,2856,"1211-2856",3,1,58,3,8,,46,321
5,12,1211,1,2856,"1211-2856",4,1,51,11,,"Secretary to head.",40,411
5,12,1211,1,2856,"1211-2856",5,1,53,8,,,15,26
5,12,1211,1,2856,"1211-2856",6,2,75,6,8,,45,16
5,12,1211,1,2856,"1211-2856",7,1,42,8,12,,42,26
5,12,1211,1,2856,"1211-2856",8,1,39,8,,,6,26
5,12,1211,1,2856,"1211-2856",9,1,45,8,,,12,26
5,12,1211,1,446,"1211-446",1,1,81,1,,,37,33
5,12,1211,1,446,"1211-446",2,2,61,2,8,,36,31
5,12,1211,1,446,"1211-446",3,1,37,3,,,13,25
5,12,1211,1,446,"1211-446",4,2,48,8,,,25,26
5,12,1211,1,446,"1211-446",5,1,39,12,,,39,412
5,12,1211,1,446,"1211-446",6,2,60,8,,,42,26
5,12,1211,1,446,"1211-446",7,1,65,6,,,52,16
5,12,1212,1,2598,"1212-2598",1,1,56,1,8,,30,412
5,12,1212,1,2598,"1212-2598",2,2,50,2,8,,30,26
5,12,1212,1,2598,"1212-2598",3,1,72,3,8,,39,26
5,12,1212,1,2598,"1212-2598",4,1,53,10,,,14,411
5,12,1212,1,2598,"1212-2598",5,2,42,8,,,17,23
5,12,1212,1,2598,"1212-2598",6,1,54,4,,,13,412
5,12,1212,1,2598,"1212-2598",7,1,41,8,12,,27,411
5,12,1214,2,452,"1214-452",1,1,86,1,6,,13,0
5,12,1214,2,452,"1214-452",2,2,57,2,8,,10,23
5,12,1214,2,452,"1214-452",3,1,59,3,6,,10,26
5,12,1214,2,452,"1214-452",4,1,62,6,7,,6,28
5,12,1214,2,452,"1214-452",5,2,58,6,8,,50,0
5,12,1214,2,452,"1214-452",7,1,36,6,,,4,422
5,12,1214,2,452,"1214-452",8,1,45,6,,,8,24
5,12,1215,2,810,"1215-810",1,1,54,1,,,15,14
5,12,1215,2,810,"1215-810",2,2,49,2,,,15,16
5,12,1215,2,810,"1215-810",3,1,53,3,,,12,16
5,12,1215,2,810,"1215-810",4,1,57,6,,,11,16
5,12,1215,2,810,"1215-810",5,2,50,8,,,11,13
5,12,1215,2,810,"1215-810",6,1,35,12,,,10,26
5,12,1216,2,618,"1216-618",1,1,60,1,,,42,0
5,12,1216,2,618,"1216-618",2,2,47,2,,,40,0
5,12,1216,2,618,"1216-618",3,1,82,3,,,42,0
5,12,1216,2,618,"1216-618",4,1,40,6,,,12,26
5,12,1216,2,618,"1216-618",5,1,25,12,,,15,26
5,12,1216,2,618,"1216-618",6,2,42,8,,,30,0
5,12,1216,1,694,"1216-694",1,1,62,1,6,,39,16
5,12,1216,1,694,"1216-694",2,2,40,2,8,,40,26
5,12,1216,1,694,"1216-694",3,1,67,3,,,44,14
5,12,1216,1,694,"1216-694",4,1,70,6,,,40,13
5,12,1216,1,694,"1216-694",5,2,38,8,,,20,23
5,12,1216,1,694,"1216-694",6,1,49,12,,,30,16
5,12,1216,1,694,"1216-694",7,2,53,6,,,53,14
5,12,1216,1,694,"1216-694",8,1,92,3,,,92,0
5,12,1218,1,196,"1218-196",1,1,83,1,,,83,28
5,12,1218,1,196,"1218-196",2,2,50,2,8,,24,26
5,12,1218,1,196,"1218-196",3,1,78,6,11,"Secretary",27,34
5,12,1218,1,196,"1218-196",4,1,78,3,6,,30,26
5,12,1218,1,196,"1218-196",5,1,58,6,12,,58,16
5,12,1218,1,196,"1218-196",6,2,60,8,,,60,16
5,12,1218,1,196,"1218-196",7,1,63,6,,,32,16
5,12,1218,1,196,"1218-196",8,1,59,3,6,,28,422
5,12,1218,1,196,"1218-196",9,1,56,6,,,20,26
6,13,1301,1,688,"1301-688",1,1,64,1,9,,30,321
6,13,1301,1,688,"1301-688",2,2,62,2,8,,30,26
6,13,1301,1,688,"1301-688",3,1,38,12,,,15,422
6,13,1301,1,688,"1301-688",4,2,56,8,,,9,34
6,13,1301,1,688,"1301-688",5,1,58,8,,,15,422
6,13,1303,1,626,"1303-626",1,1,86,1,,,86,43
6,13,1303,1,626,"1303-626",2,2,62,2,,,41,34
