"zone","state","lga","sector","ea","hhid","plotid","indiv","s11c1q1a","s11c1q1b","s11c1q1c","s11c1q1d_1","s11c1q1d_2","s11c1q1d_3","s11c1q1d_4","s11c1q1d_5","s11c1q1d_6"
4,1,107,2,1044,10064,3,1,1,6,7,1,1,1,0,0,0
4,1,107,2,1044,10064,3,6,1,1,3,0,1,1,0,0,0
4,1,107,2,1044,10064,3,5,1,2,3,0,1,1,0,0,0
4,1,107,2,1044,10064,3,7,2,,,,,,,,
4,1,107,2,1044,10064,3,2,1,5,4,0,1,1,0,0,0
4,1,107,2,1044,10064,3,4,1,4,5,0,1,1,0,0,0
4,1,102,1,0,10065,1,3,1,5,5,0,1,0,0,1,0
4,1,102,1,0,10065,1,8,2,,,,,,,,
4,1,102,1,0,10065,1,2,1,25,5,0,1,0,0,1,1
4,1,102,1,0,10065,1,7,1,20,6,1,1,0,1,1,0
4,1,102,1,0,10065,1,5,1,10,5,0,1,0,1,1,0
4,1,102,1,0,10065,1,6,1,10,5,0,1,0,1,0,0
4,1,102,1,0,10065,2,5,1,5,5,0,1,0,1,1,0
4,1,102,1,0,10065,2,6,1,5,5,0,1,1,0,0,0
4,1,102,1,0,10065,2,8,1,5,5,0,1,1,0,0,0
4,1,102,1,0,10065,2,2,1,20,5,0,1,1,0,1,1
4,1,102,1,0,10065,2,7,1,15,5,1,1,0,1,0,0
4,1,102,1,0,10065,2,3,2,,,,,,,,
4,1,107,2,1044,10066,1,5,1,30,4,1,1,0,0,0,0
4,1,107,2,1044,10066,1,3,1,25,3,1,0,1,1,0,0
4,1,107,2,1044,10066,1,7,1,35,3,0,1,1,0,0,0
4,1,107,2,1044,10066,1,6,1,40,3,1,1,0,0,0,0
4,1,107,2,1044,10066,1,4,1,20,4,1,0,1,0,0,0
4,1,107,2,1044,10066,1,2,1,95,5,1,1,1,1,0,1
4,1,107,2,1044,10066,2,7,1,20,3,0,1,1,0,0,0
4,1,107,2,1044,10066,2,3,1,15,4,0,1,1,0,0,0
4,1,107,2,1044,10066,2,5,1,15,4,1,1,0,0,0,0
4,1,107,2,1044,10066,2,6,1,10,3,1,0,0,1,0,0
4,1,107,2,1044,10066,2,2,1,65,6,1,1,1,1,0,1
4,1,107,2,1044,10066,2,4,1,12,3,1,0,0,1,0,0
4,1,107,2,1044,10067,1,7,1,18,4,0,1,1,0,0,0
4,1,107,2,1044,10067,1,1,1,40,5,1,1,0,0,0,1
4,1,107,2,1044,10067,1,2,1,45,7,1,1,1,0,0,1
4,1,107,2,1044,10067,1,6,1,25,3,1,0,0,1,0,0
4,1,107,2,1044,10067,2,2,1,42,6,1,1,1,1,0,1
4,1,107,2,1044,10067,2,6,1,20,3,1,0,0,1,0,0
4,1,107,2,1044,10067,2,1,1,35,5,1,1,1,0,0,1
4,1,107,2,1044,10067,2,7,1,15,3,0,1,1,0,0,0
4,1,107,2,1044,10067,4,7,1,4,2,0,0,1,0,0,0
4,1,107,2,1044,10067,4,6,1,5,2,1,1,0,0,0,0
4,1,107,2,1044,10067,4,1,1,12,3,1,1,0,0,0,1
4,1,107,2,1044,10067,4,2,1,15,4,1,0,1,0,0,0
4,1,107,2,1044,10068,1,2,1,24,4,0,1,1,0,0,0
4,1,107,2,1044,10068,1,3,1,40,6,1,0,0,1,0,1
4,1,107,2,1044,10068,1,4,1,20,4,0,1,1,0,1,0
4,1,107,2,1044,10068,2,2,1,15,5,0,1,1,0,1,0
4,1,107,2,1044,10068,2,4,1,25,5,0,1,1,0,0,0
4,1,107,2,1044,10068,2,3,1,35,6,1,0,0,1,1,1
4,1,107,2,1044,10069,1,13,1,24,5,1,1,0,0,0,0
4,1,107,2,1044,10069,1,1,2,,,,,,,,
4,1,107,2,1044,10069,2,1,2,,,,,,,,
4,1,107,2,1044,10069,2,13,1,15,4,1,1,0,0,0,0
4,1,107,2,0,10070,1,2,1,35,6,1,1,1,0,0,1
4,1,107,2,0,10070,1,10,1,20,4,1,1,1,0,0,0
4,1,107,2,0,10070,2,2,1,30,6,1,1,1,0,0,0
4,1,107,2,0,10070,2,10,1,20,15,1,1,1,0,0,0
4,1,117,2,560,10071,1,1,1,40,6,1,0,0,1,0,0
4,1,117,2,560,10071,1,4,2,,,,,,,,
4,1,117,2,560,10071,1,6,2,,,,,,,,
4,1,117,2,560,10071,1,3,2,,,,,,,,
4,1,117,2,560,10071,1,5,2,,,,,,,,
4,1,117,2,560,10071,1,2,2,,,,,,,,
4,1,117,2,560,10071,2,4,2,,,,,,,,
4,1,117,2,560,10071,2,1,1,48,6,1,1,0,1,0,0
4,1,117,2,560,10071,2,6,2,,,,,,,,
4,1,117,2,560,10071,2,3,1,15,4,0,1,0,0,0,0
4,1,117,2,560,10071,2,2,1,40,6,0,1,1,0,0,0
4,1,117,2,560,10071,2,5,2,,,,,,,,
4,1,117,2,560,10071,3,5,2,,,,,,,,
4,1,117,2,560,10071,3,4,1,10,3,0,1,0,0,0,0
4,1,117,2,560,10071,3,3,1,10,3,0,1,0,1,0,0
4,1,117,2,560,10071,3,6,2,,,,,,,,
4,1,117,2,560,10071,3,1,1,5,4,0,0,0,1,0,0
4,1,117,2,560,10071,3,2,1,20,5,0,0,1,1,0,0
4,1,117,2,560,10072,1,5,2,,,,,,,,
4,1,117,2,560,10072,1,4,2,,,,,,,,
4,1,117,2,560,10072,1,2,1,28,8,0,1,1,0,0,0
4,1,117,2,560,10072,1,3,1,15,6,0,0,0,1,0,0
4,1,117,2,560,10072,1,6,2,,,,,,,,
4,1,117,2,560,10072,1,1,1,40,6,1,0,0,0,0,1
4,1,117,2,560,10072,1,7,2,,,,,,,,
4,1,117,2,560,10072,1,8,2,,,,,,,,
4,1,117,2,560,10072,2,2,1,30,6,0,1,1,0,0,0
4,1,117,2,560,10072,2,8,2,,,,,,,,
4,1,117,2,560,10072,2,5,2,,,,,,,,
4,1,117,2,560,10072,2,7,2,,,,,,,,
4,1,117,2,560,10072,2,6,2,,,,,,,,
4,1,117,2,560,10072,2,3,1,26,8,1,1,0,0,0,0
4,1,117,2,560,10072,2,1,1,32,6,1,0,0,1,0,0
4,1,117,2,560,10072,2,4,1,12,6,0,1,0,0,0,0
4,1,117,2,560,10073,1,1,1,30,8,0,1,1,0,0,1
4,1,117,2,560,10073,1,2,1,20,8,1,0,0,1,0,0
4,1,117,2,560,10073,1,3,1,24,6,0,1,1,0,0,0
4,1,117,2,560,10073,1,4,2,,,,,,,,
4,1,117,2,560,10074,1,6,2,,,,,,,,
4,1,117,2,560,10074,1,5,2,,,,,,,,
4,1,117,2,560,10074,1,1,2,,,,,,,,
4,1,117,2,560,10074,1,2,1,45,8,1,1,0,0,0,0
4,1,117,2,560,10074,1,4,1,50,6,0,1,1,0,0,0
4,1,117,2,560,10075,1,1,2,,,,,,,,
4,1,117,2,560,10075,1,2,2,,,,,,,,
4,1,117,2,560,10075,1,3,1,38,7,1,1,0,0,1,1
4,1,117,2,560,10075,2,2,2,,,,,,,,
4,1,117,2,560,10075,2,3,1,28,6,1,1,0,1,1,0
4,1,117,2,560,10075,2,1,2,,,,,,,,
4,1,117,2,560,10076,1,2,1,42,7,0,1,1,1,0,0
4,1,117,2,560,10076,1,1,1,38,7,1,0,0,1,0,1
4,1,117,2,560,10076,2,1,1,30,7,1,0,0,1,1,1
4,1,117,2,560,10076,2,2,1,28,7,0,1,1,0,1,1
4,1,117,2,560,10077,1,2,1,25,4,1,1,0,1,0,0
4,1,117,2,560,10078,1,4,2,,,,,,,,
4,1,117,2,560,10079,1,2,1,42,7,0,1,1,1,1,0
4,1,117,2,560,10079,1,1,1,36,8,1,1,0,0,1,1
4,1,117,2,560,10079,2,2,1,30,7,0,0,1,1,1,0
4,1,117,2,560,10079,2,1,1,28,7,1,1,0,0,1,1
4,1,117,2,560,10080,1,13,2,,,,,,,,
4,1,117,2,560,10080,1,10,2,,,,,,,,
4,1,117,2,560,10080,1,14,2,,,,,,,,
4,1,117,2,560,10080,1,11,2,,,,,,,,
4,1,117,2,560,10080,1,1,1,48,8,0,1,1,0,0,1
4,1,117,2,560,10080,2,14,2,,,,,,,,
4,1,117,2,560,10080,2,11,2,,,,,,,,
4,1,117,2,560,10080,2,13,2,,,,,,,,
4,1,117,2,560,10080,2,1,1,42,6,0,1,1,0,0,1
4,1,117,2,560,10080,2,10,2,,,,,,,,
4,1,105,2,638,10091,1,2,1,48,4,0,1,1,0,0,0
4,1,105,2,638,10091,1,5,1,28,6,1,1,0,0,0,0
4,1,105,2,638,10091,2,5,1,25,6,1,0,1,0,0,0
4,1,105,2,638,10091,2,2,1,20,4,0,1,1,0,0,0
4,1,105,2,638,10092,1,1,1,36,6,0,1,1,0,0,0
4,1,105,2,638,10092,1,3,2,,,,,,,,
4,1,105,2,638,10092,1,2,1,40,3,0,1,1,0,0,0
4,1,105,2,638,10092,1,4,2,,,,,,,,
4,1,105,2,638,10092,2,4,2,,,,,,,,
4,1,105,2,638,10092,2,2,1,32,6,0,1,0,1,0,0
4,1,105,2,638,10092,2,3,2,,,,,,,,
4,1,105,2,638,10092,2,1,1,42,6,0,1,1,1,0,0
5,3,322,2,0,10093,2,2,1,10,3,0,1,1,0,0,1
5,3,322,2,0,10093,2,1,2,,,,,,,,
5,3,322,2,0,10093,2,3,1,8,4,1,1,0,0,0,1
5,3,322,2,0,10093,3,2,1,9,3,0,1,1,0,0,1
5,3,322,2,0,10093,3,1,2,,,,,,,,
5,3,322,2,0,10093,3,3,1,6,4,1,1,0,0,0,1
5,3,322,2,0,10093,4,3,1,10,5,1,1,1,0,0,1
5,3,322,2,0,10093,4,1,2,,,,,,,,
5,3,322,2,0,10093,4,2,1,8,4,1,1,0,0,0,1
5,3,322,2,0,10093,6,2,1,8,3,0,1,1,0,0,1
5,3,322,2,0,10093,6,3,1,10,5,1,1,1,0,0,1
5,3,322,2,0,10093,6,1,2,,,,,,,,
5,3,322,2,0,10093,7,2,1,8,3,0,1,1,0,0,1
5,3,322,2,0,10093,7,3,1,6,4,1,1,0,0,0,1
5,3,322,2,0,10093,7,1,2,,,,,,,,
4,1,105,2,638,10094,1,3,2,,,,,,,,
4,1,105,2,638,10094,1,1,1,64,6,1,0,0,1,0,0
4,1,105,2,638,10094,1,7,2,,,,,,,,
4,1,105,2,638,10094,1,4,2,,,,,,,,
4,1,105,2,638,10094,1,6,2,,,,,,,,
4,1,105,2,638,10094,1,5,2,,,,,,,,
4,1,105,2,638,10094,1,2,1,20,6,0,0,1,0,0,0
4,1,105,2,638,10094,2,6,2,,,,,,,,
4,1,105,2,638,10094,2,1,1,20,8,1,0,0,1,0,0
4,1,105,2,638,10094,2,3,1,10,4,0,1,0,0,0,0
4,1,105,2,638,10094,2,2,1,20,6,0,1,1,0,0,0
4,1,105,2,638,10094,2,7,2,,,,,,,,
4,1,105,2,638,10094,2,4,2,,,,,,,,
4,1,105,2,638,10094,2,5,2,,,,,,,,
4,1,105,2,638,10096,1,5,1,18,8,1,1,0,0,0,1
4,1,105,2,638,10096,1,3,2,,,,,,,,
4,1,105,2,638,10096,2,5,1,14,7,1,1,0,0,0,1
4,1,105,2,638,10096,2,3,2,,,,,,,,
4,1,105,2,638,10097,1,4,2,,,,,,,,
4,1,105,2,638,10097,1,2,1,14,8,0,1,1,0,0,0
4,1,105,2,638,10097,1,8,1,8,8,0,1,1,0,0,0
4,1,105,2,638,10097,1,7,1,8,8,0,0,1,0,1,0
4,1,105,2,638,10097,1,1,1,8,5,1,0,0,0,0,1
4,1,105,2,638,10097,1,6,1,12,8,1,1,0,0,0,0
4,1,105,2,638,10097,2,8,1,18,7,0,1,1,0,0,1
4,1,105,2,638,10097,2,6,1,10,8,1,1,0,0,0,0
4,1,105,2,638,10097,2,2,1,8,8,1,0,1,0,0,0
4,1,105,2,638,10097,2,4,2,,,,,,,,
4,1,105,2,638,10097,2,7,1,14,7,1,0,1,0,0,0
4,1,105,2,638,10097,2,1,1,10,8,1,0,0,0,0,1
4,1,105,2,638,10097,3,2,1,10,7,0,1,1,0,0,0
4,1,105,2,638,10097,3,8,1,12,7,1,1,1,1,0,0
4,1,105,2,638,10097,3,4,2,,,,,,,,
4,1,105,2,638,10097,3,1,2,,,,,,,,
4,1,105,2,638,10097,3,7,1,12,7,0,1,1,1,1,0
4,1,105,2,638,10097,3,6,1,18,7,1,1,0,0,0,0
4,1,105,2,638,10099,1,1,1,8,2,0,0,0,0,0,1
4,1,105,2,638,10100,1,2,1,16,6,0,1,1,0,0,0
4,1,105,2,638,10100,1,1,1,12,6,1,1,0,0,0,1
4,1,105,2,638,10100,2,1,1,10,6,0,0,1,0,1,0
4,1,105,2,638,10100,2,2,1,8,7,0,0,1,0,0,1
4,1,105,2,638,10100,3,2,1,16,7,0,0,1,0,1,0
