"hhid","zone","state","lga","sector","ea","cluster","strata","wt_wave4","wt_longpanel","old_new","hhidyn","hhsmlc","rspavl","constn","InterviewStart","ag1a","ag2a","ag4","ag5","interview_result","tracked_obs"
10073,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,1,1,1,1,1848813727000,1,1,2,2,1,0
10074,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,1,1,1,1,1848826457000,1,1,1,1,1,0
10075,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,1,1,1,1,1848813546000,1,1,2,2,1,0
10076,4,1,117,2,560,"117-560",4,2226.93994140625,19236.10546875,1,1,1,1,1,1848825225000,1,1,2,2,1,0
10077,4,1,117,2,560,"117-560",4,2226.93994140625,21958.107421875,1,1,1,1,1,1848895482000,1,2,2,2,1,0
10078,4,1,117,2,560,"117-560",4,2226.93994140625,18002.2734375,1,1,1,1,1,1848907819000,1,1,2,2,1,0
10079,4,1,117,2,560,"117-560",4,2226.93994140625,21958.107421875,1,1,1,1,1,1848899222000,1,1,2,2,1,0
10080,4,1,117,2,560,"117-560",4,2226.93994140625,19236.10546875,1,1,1,1,1,1848815830000,1,1,1,2,1,0
10091,4,1,105,2,638,"105-638",4,1866.33715820312,15790.6865234375,1,1,1,1,1,1848370584000,1,1,1,1,1,0
10092,4,1,105,2,638,"105-638",4,1866.33715820312,10198.1533203125,1,1,1,1,1,1848368343000,1,1,2,2,1,0
10093,5,3,322,2,0,"105-638",4,1866.33715820312,11882.37109375,1,1,1,1,1,1850027643000,1,2,1,2,1,0
10094,4,1,105,2,638,"105-638",4,1866.33715820312,12911.767578125,1,1,1,1,1,1848303331000,1,2,2,2,1,0
10096,4,1,105,2,638,"105-638",4,1866.33715820312,15790.6865234375,1,1,1,1,1,1848388974000,1,1,2,2,1,0
10097,4,1,105,2,638,"105-638",4,1866.33715820312,16890.853515625,1,1,1,1,1,1848368515000,1,1,2,2,1,0
10098,4,1,105,2,638,"105-638",4,1866.33715820312,15790.6865234375,1,1,1,1,1,1848310702000,2,1,2,2,1,0
10099,4,1,105,2,638,"105-638",4,1866.33715820312,20335.125,1,1,1,1,1,1848305544000,1,2,2,2,1,0
10100,4,1,105,2,638,"105-638",4,1866.33715820312,11882.37109375,1,1,1,1,1,1848303534000,1,1,1,2,1,0
10102,4,1,108,2,904,"108-904",4,5453.29833984375,33552.953125,1,1,1,1,1,1849421363000,1,1,1,2,1,0
10103,4,1,108,2,904,"108-904",4,5453.29833984375,26054.6328125,1,1,1,1,1,1849496472000,1,1,2,2,1,0
10104,4,1,108,2,904,"108-904",4,5453.29833984375,42921.1875,1,1,1,1,1,1849511880000,1,1,2,2,1,0
10105,4,1,108,2,904,"108-904",4,5453.29833984375,26054.6328125,1,1,1,1,1,1849496568000,1,1,2,2,1,0
10106,4,1,108,2,904,"108-904",4,5453.29833984375,30209.3046875,1,1,1,1,1,1849432763000,1,1,2,2,1,0
10107,4,1,108,2,904,"108-904",4,5453.29833984375,33552.953125,1,1,1,1,1,1849499033000,1,1,2,2,1,0
10108,4,1,108,2,904,"108-904",4,5453.29833984375,42921.1875,1,1,1,1,1,1849420414000,1,1,2,2,1,0
10109,4,1,108,2,904,"108-904",4,5453.29833984375,30209.3046875,1,1,1,1,1,1849510388000,1,1,2,2,1,0
10110,4,1,108,2,904,"108-904",4,5453.29833984375,33552.953125,1,1,1,1,1,1849427005000,1,1,2,2,1,0
19001,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850384899000,2,2,2,2,1,0
19002,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850370575000,2,2,2,2,1,0
19005,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850363231000,2,2,2,2,1,0
19006,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850373472000,2,2,2,2,1,0
19007,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850376190000,2,2,2,2,1,0
19008,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850361929000,1,2,1,2,1,0
19009,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850365323000,2,2,2,2,1,0
19010,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850361572000,2,2,2,2,1,0
19011,4,1,102,1,46,"102-46",4,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1850441618000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,0
19012,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850441852000,2,2,2,2,1,0
19013,4,1,102,1,806,"102-806",4,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1850188718000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,0
19014,4,1,102,1,806,"102-806",4,5176.703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850199456000,2,1,1,2,1,0
19015,4,1,102,1,806,"102-806",4,5176.703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850277310000,2,2,2,2,1,0
19016,4,1,102,1,806,"102-806",4,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1850190435000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,0
19017,4,1,102,1,806,"102-806",4,5176.703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850187098000,2,2,2,2,1,0
19018,4,1,102,1,806,"102-806",4,5176.703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850195504000,2,2,2,2,1,0
19019,4,1,102,1,806,"102-806",4,5176.703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850187282000,2,2,2,2,1,0
19020,4,1,102,1,806,"102-806",4,5176.703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850290778000,2,2,2,2,1,0
19021,4,1,102,1,806,"102-806",4,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1850187424000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,0
19022,4,1,102,1,806,"102-806",4,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1850193279000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,0
19023,4,1,102,1,806,"102-806",4,5176.703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850189161000,2,1,2,2,1,0
19024,4,1,102,1,806,"102-806",4,5176.703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850193898000,2,2,2,2,1,0
19025,4,1,102,1,2486,"102-2486",4,4284.16796875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1849932229000,2,2,2,2,1,0
19026,4,1,102,1,2486,"102-2486",4,4284.16796875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1849935225000,2,2,2,2,1,0
19027,4,1,102,1,2486,"102-2486",4,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1849948781000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,0
19028,4,1,102,1,2486,"102-2486",4,1.79769313486232e+308,1.79769313486232e+308,2,1,1.79769313486232e+308,2,1.79769313486232e+308,1850024227000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,6,0
19029,4,1,102,1,2486,"102-2486",4,4284.16796875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1849944972000,2,2,2,2,1,0
19031,4,1,102,1,2486,"102-2486",4,4284.16796875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1849936717000,2,2,2,2,1,0
19032,4,1,102,1,2486,"102-2486",4,4284.16796875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1849939496000,2,2,2,2,1,0
19033,4,1,102,1,2486,"102-2486",4,4284.16796875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850010646000,2,1,2,2,1,0
19034,4,1,102,1,2486,"102-2486",4,4284.16796875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1849937102000,2,2,2,2,1,0
19035,4,1,102,1,2486,"102-2486",4,4284.16796875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1849939380000,2,1,2,2,1,0
19036,4,1,102,1,2486,"102-2486",4,4284.16796875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850015050000,2,1,2,2,1,0
19037,4,1,104,2,412,"104-412",4,1890.3896484375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847601790000,2,2,2,2,1,0
19038,4,1,104,2,412,"104-412",4,1890.3896484375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847612059000,1,1,2,2,1,0
19039,4,1,104,2,412,"104-412",4,1890.3896484375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847521433000,1,1,2,2,1,0
19040,4,1,104,2,412,"104-412",4,1890.3896484375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847604914000,2,2,2,2,1,0
19041,4,1,104,2,412,"104-412",4,1890.3896484375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847536340000,1,2,2,2,1,0
19043,4,1,104,2,412,"104-412",4,1890.3896484375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847521719000,1,1,2,2,1,0
19044,4,1,104,2,412,"104-412",4,1890.3896484375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847687714000,1,2,2,2,1,0
19045,4,1,104,2,412,"104-412",4,1890.3896484375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847604908000,1,2,2,2,1,0
19047,4,1,104,2,412,"104-412",4,1890.3896484375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847616068000,1,2,1,2,1,0
19048,4,1,104,2,412,"104-412",4,1890.3896484375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847622479000,1,1,1,2,1,0
19049,4,1,104,2,1020,"104-1020",4,5403.970703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847865466000,1,2,1,1,1,0
19050,4,1,104,2,1020,"104-1020",4,5403.970703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847885621000,2,2,1,1,1,0
19051,4,1,104,2,1020,"104-1020",4,5403.970703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847782818000,1,1,2,1,1,0
19052,4,1,104,2,1020,"104-1020",4,5403.970703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847951444000,1,2,1,1,1,0
19054,4,1,104,2,1020,"104-1020",4,5403.970703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847948468000,1,1,2,2,1,0
19055,4,1,104,2,1020,"104-1020",4,5403.970703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847872782000,1,1,2,2,1,0
19056,4,1,104,2,1020,"104-1020",4,5403.970703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847796938000,1,2,1,2,1,0
19057,4,1,104,2,1020,"104-1020",4,1.79769313486232e+308,1.79769313486232e+308,2,1,1.79769313486232e+308,2,1.79769313486232e+308,1847875081000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,6,0
19058,4,1,104,2,1020,"104-1020",4,5403.970703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847796115000,1,2,2,2,1,0
19060,4,1,104,2,1020,"104-1020",4,5403.970703125,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1847871424000,1,2,2,2,1,0
19061,4,1,107,2,10,"107-10",4,4115.0234375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1848029832000,1,1,2,2,1,0
19062,4,1,107,2,10,"107-10",4,4115.0234375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1848117022000,1,1,2,2,1,0
19063,4,1,107,2,10,"107-10",4,4115.0234375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1848041899000,1,1,2,2,1,0
19064,4,1,107,2,10,"107-10",4,4115.0234375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1848029636000,1,1,1,2,1,0
19066,4,1,107,2,10,"107-10",4,4115.0234375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1848114850000,1,1,1,2,1,0
19068,4,1,107,2,10,"107-10",4,4115.0234375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1848041382000,1,1,1,1,1,0
19069,4,1,107,2,10,"107-10",4,4115.0234375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1848030039000,1,1,2,2,1,0
19070,4,1,107,2,10,"107-10",4,4115.0234375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1848032300000,1,1,2,2,1,0
19071,4,1,107,2,10,"107-10",4,4115.0234375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1848032524000,1,1,2,2,1,0
19072,4,1,107,2,10,"107-10",4,4115.0234375,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1848041638000,1,1,2,2,1,0
