"zone","state","lga","sector","ea","cluster_id","InterviewDate"
2,5,505,2,1292,"505-1292",1/24/2019 06:32:37
2,5,505,2,1716,"505-1716",1/26/2019 07:38:44
2,5,506,2,696,"506-696",1/17/2019 05:41:53
2,5,506,2,830,"506-830",1/11/2019 08:05:53
2,5,507,2,230,"507-230",1/9/2019 09:07:02
2,5,508,2,2196,"508-2196",1/28/2019 08:12:48
2,5,508,2,984,"508-984",1/24/2019 04:21:00
2,5,509,2,1064,"509-1064",1/20/2019 05:02:34
2,5,511,2,796,"511-796",1/15/2019 05:33:13
2,5,513,2,348,"513-348",1/20/2019 04:55:11
2,5,514,2,1964,"514-1964",1/22/2019 04:49:52
2,5,516,2,134,"516-134",1/17/2019 05:09:47
2,5,517,2,1424,"517-1424",1/9/2019 03:43:50
2,5,518,2,1304,"518-1304",1/13/2019 03:58:21
2,5,518,2,1588,"518-1588",1/22/2019 04:34:55
2,5,518,2,1788,"518-1788",1/26/2019 03:09:36
2,5,518,2,2802,"518-2802",1/28/2019 04:43:19
2,5,520,2,1756,"520-1756",1/7/2019 09:13:38
5,6,601,2,16,"601-16",1/20/2019 02:15:49
5,6,601,2,640,"601-640",1/17/2019 08:46:15
5,6,602,2,1356,"602-1356",1/23/2019 15:02:06
5,6,604,1,858,"604-858",1/15/2019 10:13:59
5,6,605,2,162,"605-162",2/2/2019 03:23:53
5,6,606,2,790,"606-790",1/26/2019 07:55:46
5,6,607,2,1892,"607-1892",1/30/2019 06:20:26
5,6,608,2,1288,"608-1288",1/10/2019 05:27:15
1,7,701,2,104,"701-104",1/10/2019 02:31:04
1,7,702,2,954,"702-954",1/19/2019 07:20:46
1,7,704,2,10,"704-10",1/11/2019 03:43:12
1,7,705,1,3834,"705-3834",1/12/2019 04:24:19
1,7,708,2,754,"708-754",1/9/2019 01:19:33
1,7,709,2,1226,"709-1226",1/17/2019 07:26:18
1,7,711,2,2532,"711-2532",1/15/2019 09:12:49
1,7,713,2,304,"713-304",1/31/2019 06:21:51
1,7,713,1,694,"713-694",1/29/2019 02:51:37
1,7,715,2,780,"715-780",1/24/2019 08:13:35
1,7,716,2,458,"716-458",1/12/2019 03:21:41
1,7,717,2,478,"717-478",1/8/2019 04:45:03
1,7,718,2,1228,"718-1228",1/22/2019 11:09:16
1,7,718,2,1640,"718-1640",1/22/2019 05:57:40
1,7,718,2,504,"718-504",1/26/2019 03:16:25
1,7,719,2,270,"719-270",1/15/2019 12:18:22
1,7,721,2,2400,"721-2400",1/25/2019 02:39:13
1,7,723,2,1088,"723-1088",1/14/2019 09:42:43
2,8,805,2,46,"805-46",1/28/2019 04:34:34
2,8,821,1,12,"821-12",1/8/2019 05:25:32
2,8,821,1,1448,"821-1448",1/14/2019 03:59:24
2,8,821,1,1628,"821-1628",1/19/2019 02:44:30
2,8,827,2,804,"827-804",1/25/2019 03:53:19
5,9,901,2,398,"901-398",1/9/2019 09:58:22
5,9,905,2,2128,"905-2128",1/15/2019 11:14:37
5,9,908,1,278,"908-278",1/12/2019 10:29:22
5,9,908,1,78,"908-78",1/28/2019 08:42:14
5,9,909,1,506,"909-506",1/21/2019 12:19:35
5,9,910,2,370,"910-370",1/23/2019 02:56:57
5,9,910,2,730,"910-730",1/24/2019 02:43:26
5,9,913,2,1510,"913-1510",1/30/2019 10:15:01
5,9,915,1,1390,"915-1390",1/8/2019 09:48:25
5,9,917,2,2282,"917-2282",2/1/2019 06:34:50
5,9,918,2,834,"918-834",1/17/2019 05:40:23
