"zone","state","lga","sector","ea","cluster_id","amenities_cd","c5q1"
5,10,1008,2,1314,"1008-1314",527,5
5,10,1008,2,1314,"1008-1314",528,4
5,10,1008,2,1314,"1008-1314",529,1
5,10,1008,2,1314,"1008-1314",530,4
5,10,1008,2,1314,"1008-1314",531,1
5,10,1008,2,1314,"1008-1314",532,2
5,10,1008,2,1314,"1008-1314",533,1
5,10,1008,2,1314,"1008-1314",534,2
5,10,1012,2,1106,"1012-1106",501,3
5,10,1012,2,1106,"1012-1106",502,2
5,10,1012,2,1106,"1012-1106",503,6
5,10,1012,2,1106,"1012-1106",505,4
5,10,1012,2,1106,"1012-1106",506,3
5,10,1012,2,1106,"1012-1106",507,1
5,10,1012,2,1106,"1012-1106",508,2
5,10,1012,2,1106,"1012-1106",509,2
5,10,1012,2,1106,"1012-1106",510,4
5,10,1012,2,1106,"1012-1106",512,5
5,10,1012,2,1106,"1012-1106",513,5
5,10,1012,2,1106,"1012-1106",514,5
5,10,1012,2,1106,"1012-1106",516,5
5,10,1012,2,1106,"1012-1106",517,5
5,10,1012,2,1106,"1012-1106",518,4
5,10,1012,2,1106,"1012-1106",519,4
5,10,1012,2,1106,"1012-1106",520,5
5,10,1012,2,1106,"1012-1106",522,4
5,10,1012,2,1106,"1012-1106",523,4
5,10,1012,2,1106,"1012-1106",524,2
5,10,1012,2,1106,"1012-1106",525,2
5,10,1012,2,1106,"1012-1106",526,3
5,10,1012,2,1106,"1012-1106",527,5
5,10,1012,2,1106,"1012-1106",528,1
5,10,1012,2,1106,"1012-1106",529,1
5,10,1012,2,1106,"1012-1106",530,2
5,10,1012,2,1106,"1012-1106",531,3
5,10,1012,2,1106,"1012-1106",532,3
5,10,1012,2,1106,"1012-1106",533,1
5,10,1012,2,1106,"1012-1106",534,2
5,10,1012,2,428,"1012-428",501,2
5,10,1012,2,428,"1012-428",502,4
5,10,1012,2,428,"1012-428",503,6
5,10,1012,2,428,"1012-428",505,1
5,10,1012,2,428,"1012-428",506,5
5,10,1012,2,428,"1012-428",507,1
5,10,1012,2,428,"1012-428",508,3
5,10,1012,2,428,"1012-428",509,3
5,10,1012,2,428,"1012-428",510,5
5,10,1012,2,428,"1012-428",512,2
5,10,1012,2,428,"1012-428",513,2
5,10,1012,2,428,"1012-428",514,5
5,10,1012,2,428,"1012-428",516,5
5,10,1012,2,428,"1012-428",517,1
5,10,1012,2,428,"1012-428",518,5
5,10,1012,2,428,"1012-428",519,5
5,10,1012,2,428,"1012-428",520,5
5,10,1012,2,428,"1012-428",522,4
5,10,1012,2,428,"1012-428",523,5
5,10,1012,2,428,"1012-428",524,4
5,10,1012,2,428,"1012-428",525,1
5,10,1012,2,428,"1012-428",526,4
5,10,1012,2,428,"1012-428",527,5
5,10,1012,2,428,"1012-428",528,5
5,10,1012,2,428,"1012-428",529,2
5,10,1012,2,428,"1012-428",530,3
5,10,1012,2,428,"1012-428",531,1
5,10,1012,2,428,"1012-428",532,2
5,10,1012,2,428,"1012-428",533,2
5,10,1012,2,428,"1012-428",534,1
5,10,1013,2,1054,"1013-1054",501,5
5,10,1013,2,1054,"1013-1054",502,4
5,10,1013,2,1054,"1013-1054",503,5
5,10,1013,2,1054,"1013-1054",505,3
5,10,1013,2,1054,"1013-1054",506,2
5,10,1013,2,1054,"1013-1054",507,2
5,10,1013,2,1054,"1013-1054",508,3
5,10,1013,2,1054,"1013-1054",509,6
5,10,1013,2,1054,"1013-1054",510,4
5,10,1013,2,1054,"1013-1054",512,5
5,10,1013,2,1054,"1013-1054",513,5
5,10,1013,2,1054,"1013-1054",514,4
5,10,1013,2,1054,"1013-1054",516,3
5,10,1013,2,1054,"1013-1054",517,4
5,10,1013,2,1054,"1013-1054",518,4
5,10,1013,2,1054,"1013-1054",519,6
5,10,1013,2,1054,"1013-1054",520,5
5,10,1013,2,1054,"1013-1054",522,4
5,10,1013,2,1054,"1013-1054",523,5
5,10,1013,2,1054,"1013-1054",524,1
5,10,1013,2,1054,"1013-1054",525,3
5,10,1013,2,1054,"1013-1054",526,3
5,10,1013,2,1054,"1013-1054",527,3
5,10,1013,2,1054,"1013-1054",528,5
5,10,1013,2,1054,"1013-1054",529,3
5,10,1013,2,1054,"1013-1054",530,3
5,10,1013,2,1054,"1013-1054",531,4
5,10,1013,2,1054,"1013-1054",532,5
5,10,1013,2,1054,"1013-1054",533,1
5,10,1013,2,1054,"1013-1054",534,2
5,10,1013,2,410,"1013-410",501,3
5,10,1013,2,410,"1013-410",502,4
5,10,1013,2,410,"1013-410",503,5
5,10,1013,2,410,"1013-410",505,3
5,10,1013,2,410,"1013-410",506,5
5,10,1013,2,410,"1013-410",507,2
5,10,1013,2,410,"1013-410",508,3
5,10,1013,2,410,"1013-410",509,3
5,10,1013,2,410,"1013-410",510,5
5,10,1013,2,410,"1013-410",512,5
5,10,1013,2,410,"1013-410",513,4
5,10,1013,2,410,"1013-410",514,5
5,10,1013,2,410,"1013-410",516,3
5,10,1013,2,410,"1013-410",517,3
5,10,1013,2,410,"1013-410",518,4
5,10,1013,2,410,"1013-410",519,3
5,10,1013,2,410,"1013-410",520,5
5,10,1013,2,410,"1013-410",522,3
5,10,1013,2,410,"1013-410",523,3
5,10,1013,2,410,"1013-410",524,2
5,10,1013,2,410,"1013-410",525,2
5,10,1013,2,410,"1013-410",526,6
5,10,1013,2,410,"1013-410",527,4
5,10,1013,2,410,"1013-410",528,5
5,10,1013,2,410,"1013-410",529,3
5,10,1013,2,410,"1013-410",530,2
5,10,1013,2,410,"1013-410",531,3
5,10,1013,2,410,"1013-410",532,5
5,10,1013,2,410,"1013-410",533,2
5,10,1013,2,410,"1013-410",534,1
5,10,1013,2,88,"1013-88",501,1
5,10,1013,2,88,"1013-88",502,3
5,10,1013,2,88,"1013-88",503,3
5,10,1013,2,88,"1013-88",505,5
5,10,1013,2,88,"1013-88",506,5
5,10,1013,2,88,"1013-88",507,5
5,10,1013,2,88,"1013-88",508,5
5,10,1013,2,88,"1013-88",509,3
5,10,1013,2,88,"1013-88",510,6
5,10,1013,2,88,"1013-88",512,2
5,10,1013,2,88,"1013-88",513,3
5,10,1013,2,88,"1013-88",514,4
5,10,1013,2,88,"1013-88",516,4
5,10,1013,2,88,"1013-88",517,4
5,10,1013,2,88,"1013-88",518,4
5,10,1013,2,88,"1013-88",519,3
5,10,1013,2,88,"1013-88",520,3
5,10,1013,2,88,"1013-88",522,5
5,10,1013,2,88,"1013-88",523,5
5,10,1013,2,88,"1013-88",524,6
