"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iq3","sa3iq4","sa3iq4_os","sa3iq4a1","sa3iq4a2","sa3iq4b","sa3iq4c","sa3iq5","sa3iq6i","sa3iq6ii","sa3iq6_4","sa3iq6_2","sa3iq6_conv","sa3iq6a","sa3iq6b","sa3iq6c1","sa3iq6c2","sa3iq6d1","sa3iq6d2","sa3iq6d4","sa3iq6d2a","sa3iq6d_conv","sa3iq6e_1","sa3iq6e_2","sa3iq6e_3","sa3iq6e_4","sa3iq6e_5","sa3iq6e_6","sa3iq6e_7","sa3iq6e_8"
1,7,711,2,2532,70063,2,1110,1,,,11,2018,2,,,3,130,11,2,50,39000,1,12,2018,,,,,,2,,,,,,,
1,7,711,2,2532,70063,3,1020,1,,,12,2018,2,,,5,140,2,,45.2999992370605,2000,1,1,2019,,,,,,2,,,,,,,
1,7,711,2,2532,70064,1,1020,2,11,"CASSAVA INMATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,711,2,2532,70064,2,2180,1,,,11,2018,2,,,20,150,0,,,20000,1,12,2018,,,,,,1,,,,,,,
1,7,711,2,2532,70066,1,1020,1,,,11,2018,2,,,3,170,,,99.3000030517578,8000,1,1,2019,,,,,,1,,,,,,,
1,7,711,2,2532,70066,2,1060,1,,,8,2018,2,,,1,130,12,2,100,9000,1,9,2018,,,,,,1,,,,,,,
1,7,711,2,2532,70067,1,1020,1,,,11,2018,2,,,4,130,12,,100,12000,1,12,2018,,,,,,1,,,,,,,
1,7,711,2,2532,70067,1,2180,1,,,12,2018,2,,,5,150,0,,,10000,1,12,2018,,,,,,1,,,,,,,
1,7,711,2,2532,70067,2,1110,1,,,12,2018,2,,,2,130,12,2,100,24000,1,12,2018,,,,,,1,,,,,,,
1,7,711,2,2532,70068,1,1020,1,,,11,2018,2,,,5,130,12,,100,15000,1,12,2018,,,,,,1,,,,,,,
1,7,711,2,2532,70068,2,2181,1,,,11,2018,2,,,8,150,1,,21.2450008392334,16000,1,12,2018,,,,,,1,,,,,,,
1,7,711,2,2532,70069,1,1121,1,,,12,2018,2,,,4,150,0,,21.1000003814697,50000,1,12,2018,,,,,,1,,,,,,,
1,7,711,2,2532,70069,2,1020,1,,,1,2019,1,1,66,10,150,2,,46,15000,2,,,5,150,2,,46,1,,,,,,,
1,7,711,2,2532,70069,3,1060,1,,,11,2018,2,,,3,150,2,1,14.5075006484985,6000,1,11,2018,,,,,,1,,,,,,,
1,7,711,2,2532,70070,1,1020,1,,,12,2018,1,1,33,1,130,11,,50,2500,2,,,5,130,10,,25,1,,,,,,,
1,7,711,2,2532,70070,2,2181,1,,,10,2018,2,,,1,130,11,,50,3500,1,12,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70071,1,1121,1,,,11,2018,2,,,1000,211,0,,2.08999991416931,100000,1,12,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70071,2,1060,1,,,8,2018,2,,,10,130,12,2,100,200000,1,8,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70071,2,1070,1,,,11,2018,2,,,7,130,12,,100,49000,1,12,2018,,,,,,1,2,,,,,,
1,7,709,2,1226,70071,4,1020,1,,,10,2018,2,,,5,130,12,,100,25000,1,10,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70072,1,1121,1,,,11,2018,2,,,400,211,0,,2.08999991416931,40000,1,12,2018,,,,,,1,5,,,,,,
1,7,709,2,1226,70072,2,2040,1,,,11,2018,2,,,3,150,2,,15.6000003814697,30000,1,11,2018,,,,,,1,5,,,,,,
1,7,709,2,1226,70072,3,1070,1,,,10,2018,2,,,2,130,11,,50,20000,1,11,2018,,,,,,1,5,,,,,,
1,7,709,2,1226,70072,3,2220,1,,,10,2018,2,,,2,130,11,2,50,20000,1,11,2018,,,,,,1,5,,,,,,
1,7,709,2,1226,70072,4,1070,1,,,12,2018,2,,,2,130,11,,50,22000,1,12,2018,,,,,,1,5,,,,,,
1,7,709,2,1226,70073,1,1121,1,,,12,2018,2,,,200,211,1,,2.95499992370605,20000,1,12,2018,,,,,,1,2,,,,,,
1,7,709,2,1226,70073,2,1060,1,,,8,2018,2,,,5,130,12,2,100,90000,1,9,2018,,,,,,1,2,,,,,,
1,7,709,2,1226,70073,3,1020,1,,,9,2018,2,,,10,130,11,,50,30000,1,10,2018,,,,,,1,2,,,,,,
1,7,709,2,1226,70074,1,1020,2,10,,,,,,,,,,,,,,,,2,130,12,,100,2,,,,,,,
1,7,709,2,1226,70074,1,1121,1,,,11,2018,2,,,500,211,1,,2.95499992370605,200000,1,12,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70074,2,1060,1,,,8,2018,2,,,50,130,12,2,100,500000,1,9,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70074,2,1070,1,,,12,2018,2,,,10,130,12,,100,70000,1,12,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70074,3,1020,1,,,11,2018,2,,,2,130,12,,100,7000,1,12,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70074,3,2142,1,,,8,2018,2,,,3,130,12,,100,90000,1,12,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70074,4,1070,1,,,11,2018,2,,,4,130,12,,100,40000,1,12,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70074,4,2220,1,,,11,2018,2,,,5,130,12,2,100,75000,1,12,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70075,1,1121,1,,,11,2018,2,,,250,211,1,,2.95499992370605,20000,1,12,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70075,2,2142,1,,,10,2018,2,,,1,130,10,,25,20000,1,11,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70075,3,2020,1,,,9,2018,2,,,1,130,11,,50,30000,1,10,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70076,1,1121,1,,,11,2018,2,,,200,211,1,,2.95499992370605,16000,1,12,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70076,2,1060,1,,,8,2018,2,,,2,130,12,2,100,18000,1,9,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70076,2,1070,1,,,11,2018,2,,,1,130,12,,100,7000,1,12,2018,,,,,,2,,,,,,,
1,7,709,2,1226,70076,3,1020,2,10,,,,,,,,,,,,,,,,5,130,12,,100,2,,,,,,,
1,7,709,2,1226,70077,1,1060,1,,,8,2018,2,,,15,130,12,1,70,105000,1,8,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70077,1,1121,1,,,10,2018,2,,,500,211,1,,2.95499992370605,55000,1,12,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70077,2,2142,1,,,9,2018,2,,,3,130,10,,25,30000,1,11,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70078,1,1060,1,,,7,2018,2,,,30,130,12,1,70,210000,1,8,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70078,2,1070,1,,,8,2018,2,,,2,130,11,,50,12000,1,1,2019,,,,,,1,,,,,,,
1,7,709,2,1226,70078,2,1121,1,,,9,2018,2,,,150,211,1,,2.95499992370605,20000,1,1,2019,,,,,,1,,,,,,,
1,7,709,2,1226,70078,6,1060,1,,,7,2018,2,,,30,130,12,1,70,210000,1,8,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70078,6,1080,1,,,9,2018,2,,,4,130,11,2,50,40000,1,10,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70078,7,2142,1,,,11,2018,2,,,3,130,10,,25,30000,1,11,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70079,1,1121,1,,,11,2018,2,,,17,130,12,,100,60000,1,1,2019,,,,,,1,,,,,,,
1,7,709,2,1226,70079,1,1123,1,,,11,2018,2,,,5,170,,,53.9049987792969,25000,1,12,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70079,2,1070,1,,,11,2018,2,,,50,1,,,1,3000,1,12,2018,,,,,,1,,,,,,,
1,7,709,2,1226,70080,1,1121,1,,,9,2018,2,,,700,211,2,,5.88000011444092,210000,1,9,2018,,,,,,3,,,,,,,
1,7,709,2,1226,70080,2,1060,1,,,10,2018,2,,,7,130,12,1,70,21000,1,10,2018,,,,,,3,,,,,,,
1,7,718,2,1640,70121,1,1020,1,,,1,2019,1,1,25,5,150,2,,46,5000,2,,,5,150,2,,46,1,2,,,,,,
1,7,718,2,1640,70121,2,1121,1,,,10,2018,2,,,420,211,1,,2.95499992370605,42000,1,1,2019,,,,,,1,,,,,,,
1,7,718,2,1640,70121,3,1070,1,,,1,2019,2,,,2,150,1,,5.17999982833862,2000,1,1,2019,,,,,,1,,,,,,,
1,7,718,2,1640,70122,1,1020,2,10,,,,,,,,,,,,,,,,8,150,2,,46,2,,,,,,,
1,7,718,2,1640,70122,2,1020,2,10,,,,,,,,,,,,,,,,5,150,2,,46,2,,,,,,,
1,7,718,2,1640,70122,2,1080,1,,,8,2018,2,,,1,140,0,1,1.34819996356964,500,1,9,2018,,,,,,2,,,,,,,
1,7,718,2,1640,70123,1,1020,2,10,,,,,,,,,,,,,,,,60,130,12,,100,3,,,,,,,
1,7,718,2,1640,70123,2,1121,1,,,8,2018,2,,,800,211,1,,2.95499992370605,120000,1,12,2018,,,,,,3,6,,,,,,
1,7,718,2,1640,70124,1,1080,1,,,10,2018,2,,,1,130,11,2,50,4000,1,10,2018,,,,,,1,,,,,,,
1,7,718,2,1640,70124,1,1121,1,,,9,2018,2,,,1300,211,1,,2.95499992370605,195000,1,1,2019,,,,,,1,2,,,,,,
1,7,718,2,1640,70124,1,1123,1,,,12,2018,1,1,75,1300,211,0,,2.08999991416931,65000,2,,,200,211,0,,2.08999991416931,1,,,,,,,
1,7,718,2,1640,70124,2,1020,1,,,1,2019,1,1,50,15,130,12,,100,12000,2,,,15,130,12,,100,1,2,,,,,,
1,7,718,2,1640,70124,2,1080,1,,,10,2018,2,,,1,130,11,2,50,4000,1,11,2018,,,,,,1,2,,,,,,
1,7,718,2,1640,70124,3,1020,2,10,,,,,,,,,,,,,,,,67,130,12,,100,1,2,,,,,,
1,7,718,2,1640,70124,3,1080,1,,,10,2018,2,,,1,130,11,2,50,4000,1,11,2018,,,,,,1,2,,,,,,
1,7,718,2,1640,70125,1,1020,1,,,10,2018,1,1,33,6,150,1,,25.25,4800,2,,,12,150,1,,25.25,1,2,,,,,,
1,7,718,2,1640,70125,1,1080,1,,,9,2018,2,,,7,11,,2,3.58999991416931,2800,1,10,2018,,,,,,1,2,,,,,,
1,7,718,2,1640,70125,2,1020,2,10,,,,,,,,,,,,,,,,5,170,,,99.3000030517578,1,,,,,,,
1,7,718,2,1640,70125,2,1121,1,,,9,2018,2,,,350,211,1,,2.95499992370605,70000,1,12,2018,,,,,,1,,,,,,,
1,7,718,2,1640,70125,2,1123,1,,,12,2018,2,,,400,211,1,,2.95499992370605,60000,1,1,2019,,,,,,1,,,,,,,
1,7,718,2,1640,70125,3,1020,2,10,,,,,,,,,,,,,,,,10,170,,,99.3000030517578,1,2,,,,,,
1,7,718,2,1640,70125,3,1060,1,,,9,2018,2,,,7,11,,1,1.208899974823,2100,1,9,2018,,,,,,1,2,,,,,,
1,7,718,2,1640,70125,3,1080,1,,,9,2018,2,,,5,11,,2,3.58999991416931,2000,1,10,2018,,,,,,1,2,,,,,,
1,7,718,2,1640,70126,1,1020,1,,,10,2018,2,,,10,130,11,,50,20000,2,,,15,130,11,,50,1,2,,,,,,
1,7,718,2,1640,70126,2,1121,1,,,12,2018,2,,,600,211,2,,5.88000011444092,180000,1,1,2019,,,,,,1,2,,,,,,
1,7,718,2,1640,70126,2,1123,1,,,12,2018,2,,,1,150,2,,58,5000,1,1,2019,,,,,,1,2,,,,,,
1,7,718,2,1640,70126,3,1020,2,10,,,,,,,,,,,,,,,,17,130,11,,50,1,2,,,,,,
1,7,718,2,1640,70126,3,1080,1,,,8,2018,2,,,1.5,130,11,2,50,13500,1,8,2018,,,,,,1,2,,,,,,
1,7,718,2,1640,70127,1,1020,2,10,,,,,,,,,,,,,,,,15,150,2,,46,2,,,,,,,
1,7,718,2,1640,70127,1,1080,1,,,8,2018,2,,,1,150,1,2,23.2700004577637,3600,1,9,2018,,,,,,2,,,,,,,
1,7,718,2,1640,70127,2,1121,1,,,1,2019,2,,,230,211,1,,2.95499992370605,23000,1,1,2019,,,,,,2,,,,,,,
1,7,718,2,1640,70127,2,1123,1,,,1,2019,2,,,200,211,0,,2.08999991416931,16000,1,1,2019,,,,,,2,,,,,,,
1,7,718,2,1640,70127,3,1020,2,10,,,,,,,,,,,,,,,,50,150,2,,46,2,,,,,,,
1,7,718,2,1640,70127,3,1080,1,,,8,2018,2,,,5,150,1,2,23.2700004577637,18000,1,9,2018,,,,,,2,,,,,,,
1,7,718,2,1640,70128,1,1020,1,,,11,2018,1,1,33,5,130,11,,50,10000,2,,,8,130,11,,50,1,,,,,,,
1,7,718,2,1640,70128,1,1060,1,,,7,2018,2,,,1,150,1,1,7.16449975967407,2000,1,8,2018,,,,,,1,,,,,,,
1,7,718,2,1640,70128,1,1080,1,,,9,2018,2,,,2,130,11,2,50,18000,1,10,2018,,,,,,1,,,,,,,
1,7,718,2,1640,70128,2,1020,2,10,,,,,,,,,,,,,,,,15,130,11,,50,1,,,,,,,
1,7,718,2,1640,70128,2,1080,1,,,9,2018,2,,,1.5,130,11,2,50,13500,1,10,2018,,,,,,1,,,,,,,
1,7,718,2,1640,70128,2,1121,1,,,12,2018,2,,,500,211,1,,2.95499992370605,100000,1,1,2019,,,,,,1,,,,,,,
1,7,718,2,1640,70128,2,1123,1,,,12,2018,1,4,75,1,150,1,,44.5149993896484,5000,1,1,2019,,,,,,1,,,,,,,
1,7,718,2,1640,70129,1,1020,1,,,12,2018,1,1,33,9,170,,,99.3000030517578,13500,2,,,18,170,,,99.3000030517578,3,,,,,,,
1,7,718,2,1640,70129,1,1080,1,,,8,2018,2,,,12,11,,2,3.58999991416931,4800,1,10,2018,,,,,,3,,,,,,,
1,7,718,2,1640,70129,2,1020,2,10,,,,,,,,,,,,,,,,3,170,,,99.3000030517578,3,,,,,,,
1,7,718,2,1640,70129,2,1121,1,,,9,2018,2,,,320,211,1,,2.95499992370605,80000,1,1,2019,,,,,,3,,,,,,,
1,7,718,2,1640,70129,2,1123,1,,,12,2018,2,,,270,211,1,,2.95499992370605,54000,1,1,2019,,,,,,3,,,,,,,
1,7,718,2,1640,70129,3,1020,1,,,12,2018,1,1,50,5,170,,,99.3000030517578,7500,2,,,5,170,,,99.3000030517578,3,,,,,,,
1,7,718,2,1640,70129,3,1080,1,,,8,2018,2,,,6,11,,2,3.58999991416931,2400,1,10,2018,,,,,,3,,,,,,,
1,7,718,2,1640,70129,3,2120,1,,,8,2018,2,,,7,11,,,2.03299999237061,2100,1,10,2018,,,,,,3,20,,,,,,
1,7,718,2,1640,70130,1,1020,2,10,,,,,,,,,,,,,,,,30,130,12,,100,10,,,,,,,
1,7,718,2,1640,70130,1,1080,1,,,8,2018,2,,,1,130,11,2,50,4000,1,9,2018,,,,,,10,,,,,,,
1,7,718,2,1640,70130,2,1121,1,,,9,2018,2,,,450,211,1,,2.95499992370605,67500,1,12,2018,,,,,,8,10,,,,,,
1,7,718,2,1640,70130,2,1123,1,,,8,2018,2,,,450,211,0,,2.08999991416931,22500,1,12,2018,,,,,,10,,,,,,,
1,7,718,2,1640,70130,3,1020,1,,,9,2018,1,1,75,30,130,12,,100,24000,2,,,10,130,12,,100,10,,,,,,,
1,7,715,2,780,70131,1,1121,1,,,9,2018,1,1,75,300,211,1,,2.95499992370605,45000,2,,,150,211,1,,2.95499992370605,1,,,,,,,
1,7,715,2,780,70131,2,1020,2,10,,,,,,,,,,,,,,,,50,130,12,,100,1,,,,,,,
1,7,715,2,780,70132,1,1121,1,,,9,2018,1,1,33,300,211,1,,2.95499992370605,45000,2,,,900,211,1,,2.95499992370605,2,,,,,,,
1,7,715,2,780,70132,2,1020,2,10,,,,,,,,,,,,,,,,30,130,12,,100,2,,,,,,,
1,7,715,2,780,70133,1,1020,2,10,,,,,,,,,,,,,,,,60,130,12,,100,1,,,,,,,
1,7,715,2,780,70133,2,1121,1,,,8,2018,1,1,25,200,211,1,,2.95499992370605,30000,2,,,800,211,1,,2.95499992370605,1,,,,,,,
1,7,715,2,780,70134,1,1020,1,,,11,2018,2,,,8,130,11,,50,16000,2,,,3,130,11,,50,1,2,,,,,,
1,7,715,2,780,70134,2,1121,2,10,,,,,,,,,,,,,,,,1200,211,1,,2.95499992370605,1,,,,,,,
1,7,715,2,780,70134,3,1020,2,10,,,,,,,,,,,,,,,,8,130,11,,50,1,,,,,,,
1,7,715,2,780,70135,1,1020,2,9,,,,,,,,,,,,,,,,16,170,,,99.3000030517578,1,,,,,,,
1,7,715,2,780,70136,1,1020,2,10,,,,,,,,,,,,,,,,30,150,2,,46,1,,,,,,,
1,7,715,2,780,70136,2,1121,1,,,8,2018,2,,,150,211,1,,2.95499992370605,18000,1,1,2019,,,,,,1,,,,,,,
1,7,715,2,780,70137,2,1020,2,10,,,,,,,,,,,,,,,,57,150,2,,46,1,,,,,,,
1,7,715,2,780,70137,3,1121,1,,,9,2018,2,,,1400,211,1,,2.95499992370605,168000,1,1,2019,,,,,,1,,,,,,,
1,7,715,2,780,70139,1,1020,2,10,,,,,,,,,,,,,,,,9,170,,,99.3000030517578,1,,,,,,,
1,7,715,2,780,70139,1,1121,1,,,10,2018,1,1,66,500,211,1,,2.95499992370605,100000,2,,,250,211,1,,2.95499992370605,1,,,,,,,
1,7,715,2,780,70139,2,1020,1,,,11,2018,2,,,18,170,,,99.3000030517578,28800,1,12,2018,,,,,,1,,,,,,,
1,7,715,2,780,70139,3,1020,2,10,,,,,,,,,,,,,,,,20,170,,,99.3000030517578,1,,,,,,,
1,7,715,2,780,70140,1,1020,2,10,,,,,,,,,,,,,,,,5,150,1,,25.25,1,,,,,,,
1,7,715,2,780,70140,1,1121,1,,,9,2018,2,,,380,211,1,,2.95499992370605,95000,1,12,2018,,,,,,1,,,,,,,
1,7,715,2,780,70140,1,1122,1,,,11,2018,2,,,200,211,0,,2.08999991416931,60000,1,12,2018,,,,,,1,,,,,,,
1,7,715,2,780,70140,2,1020,2,10,,,,,,,,,,,,,,,,54,170,,,99.3000030517578,1,,,,,,,
1,7,715,2,780,70140,5,1020,2,10,,,,,,,,,,,,,,,,48,170,,,99.3000030517578,1,,,,,,,
1,7,713,2,304,70151,1,1080,1,,,8,2018,2,,,15,130,11,1,18,37500,1,8,2018,,,,,,1,,,,,,,
1,25,2503,2,0,70152,2,2040,1,,,11,2018,2,,,1,130,11,,50,19000,1,11,2018,,,,,,1,,,,,,,
1,7,713,2,304,70154,1,1080,1,,,8,2018,2,,,20,130,11,2,50,100000,1,9,2018,,,,,,1,,,,,,,
1,7,713,2,304,70155,1,1080,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70156,1,2120,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70156,2,1080,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70157,1,1080,1,,,8,2018,2,,,8,130,11,2,50,96000,1,9,2018,,,,,,1,2,,,,,,
1,7,713,2,304,70159,1,1080,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70159,2,2120,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70160,1,1080,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70160,2,2194,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,701,2,104,79002,1,1121,2,11,"CROP DESTROTYED BY FALANI",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,701,2,104,79002,2,1020,2,11,"IT WAS DESTROYED FALANI",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,701,2,104,79004,1,1020,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,701,2,104,79004,2,1121,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,701,2,104,79005,1,1020,1,,,10,2018,2,,,100,90,1,,21.6149997711182,150000,2,,,150,90,1,,21.6149997711182,1,2,,,,,,
1,7,701,2,104,79005,1,1121,1,,,11,2018,1,1,66,300,211,1,,2.95499992370605,60000,2,,,250,211,1,,2.95499992370605,1,2,,,,,,
1,7,701,2,104,79005,1,1123,2,9,,,,,,,,,,,,,,,,5,140,2,,25.6350002288818,1,2,,,,,,
1,7,701,2,104,79005,2,1020,2,9,,,,,,,,,,,,,,,,300,90,1,,21.6149997711182,1,2,,,,,,
1,7,701,2,104,79005,2,1080,1,,,5,2018,2,,,2,130,12,1,36,3000,1,7,2018,,,,,,1,2,,,,,,
1,7,701,2,104,79005,3,1110,1,,,9,2018,2,,,3,130,12,1,100,12000,1,12,2018,,,,,,1,2,,,,,,
1,7,701,2,104,79005,4,2040,1,,,9,2018,1,3,50,1,150,1,,8.51000022888184,5000,2,,,1,150,0,,2.25999999046326,1,2,,,,,,
1,7,701,2,104,79006,1,1020,1,,,11,2018,1,1,50,10,130,11,,50,12000,2,,,10,130,11,,50,1,,,,,,,
1,7,701,2,104,79006,1,1121,1,,,1,2019,1,1,25,100,211,1,,2.95499992370605,15000,2,,,400,211,1,,2.95499992370605,1,,,,,,,
1,7,701,2,104,79006,1,1123,2,10,,,,,,,,,,,,,,,,700,211,1,,2.95499992370605,1,,,,,,,
1,7,701,2,104,79006,2,1020,1,,,11,2018,2,,,4,130,11,,50,8000,2,,,12,130,11,,50,1,,,,,,,
1,7,701,2,104,79006,2,1080,2,11,"LOST DUE TO BUSH ANIMAL",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,701,2,104,79007,2,1020,2,10,,,,,,,,,,,,,,,,30,170,,,99.3000030517578,1,,,,,,,
1,7,701,2,104,79008,1,1020,1,,,10,2018,1,1,33,8,170,,,99.3000030517578,16000,2,,,16,170,,,99.3000030517578,1,,,,,,,
1,7,701,2,104,79008,2,1121,1,,,10,2018,2,,,2400,211,1,,2.95499992370605,600000,1,12,2018,,,,,,1,,,,,,,
1,7,701,2,104,79008,3,1110,1,,,11,2018,2,,,9,150,1,1,,49500,1,11,2018,,,,,,1,,,,,,,
1,7,701,2,104,79009,1,1040,1,,,12,2018,1,8,50,1,140,0,,2.90799999237061,3000,2,,,1,140,0,,2.90799999237061,1,,,,,,,
1,7,701,2,104,79009,2,1020,1,,,11,2018,1,8,33,1,130,11,,50,3500,2,,,2,130,11,,50,1,,,,,,,
1,7,701,2,104,79010,1,1040,2,10,,,,,,,,,,,,,,,,1500,211,1,,0.194999992847443,1,,,,,,,
1,7,701,2,104,79010,1,1121,1,,,12,2018,2,,,1200,211,1,,2.95499992370605,240000,1,12,2018,,,,,,1,,,,,,,
1,7,701,2,104,79010,1,1123,1,,,12,2018,1,3,75,700,211,0,,2.08999991416931,14000,1,12,2018,,,,,,1,,,,,,,
1,7,701,2,104,79010,2,1020,1,,,11,2018,2,,,600,211,1,,1.5900000333786,9000,2,,,8000,211,1,,1.5900000333786,1,,,,,,,
1,7,701,2,104,79011,1,1080,1,,,9,2018,2,,,6,130,11,2,50,54000,1,9,2018,,,,,,1,,,,,,,
1,7,701,2,104,79011,2,1080,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,701,2,104,79011,2,1110,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,701,2,104,79011,3,1020,1,,,9,2018,2,,,30,130,11,,50,51000,1,11,2018,,,,,,1,,,,,,,
1,7,701,2,104,79011,4,1121,1,,,1,2019,1,1,50,250,211,1,,2.95499992370605,25000,2,,,300,211,1,,2.95499992370605,1,,,,,,,
1,7,701,2,104,79011,4,2120,1,,,10,2018,2,,,2,150,2,,15.664999961853,4000,1,10,2018,,,,,,1,,,,,,,
1,7,701,2,104,79012,1,1121,1,,,10,2018,1,1,50,450,211,1,,2.95499992370605,90000,2,,,300,211,1,,2.95499992370605,1,,,,,,,
1,7,701,2,104,79012,1,1123,1,,,11,2018,1,1,50,250,211,0,,2.08999991416931,37500,2,,,200,211,0,,2.08999991416931,1,,,,,,,
1,7,702,2,954,79014,1,1121,1,,,10,2018,2,,,700,211,1,,2.95499992370605,140000,1,1,2019,,,,,,1,2,,,,,,
1,7,702,2,954,79014,2,1070,1,,,12,2018,2,,,2,130,11,,50,24000,1,1,2019,,,,,,1,2,,,,,,
1,7,702,2,954,79014,3,1020,1,,,11,2018,1,1,25,2,130,11,,50,5000,2,,,10,130,11,,50,1,2,,,,,,
1,7,702,2,954,79015,1,1121,1,,,10,2018,2,,,300,211,1,,2.95499992370605,60000,2,,,130,211,1,,2.95499992370605,1,,,,,,,
1,7,702,2,954,79015,2,1070,1,,,12,2018,2,,,2,130,11,,50,24000,1,1,2019,,,,,,1,,,,,,,
1,7,702,2,954,79015,3,1090,1,,,12,2018,2,,,3,150,1,1,,72000,1,1,2019,,,,,,1,,,,,,,
1,7,702,2,954,79016,1,1121,1,,,10,2018,2,,,400,211,1,,2.95499992370605,70000,2,,,100,211,1,,2.95499992370605,1,2,,,,,,
1,7,702,2,954,79016,2,1080,1,,,9,2018,2,,,1,130,10,2,25,3000,1,9,2018,,,,,,1,2,,,,,,
1,7,702,2,954,79016,2,1110,1,,,9,2018,2,,,4,130,12,1,100,40000,1,10,2018,,,,,,1,2,,,,,,
1,7,702,2,954,79016,3,2142,1,,,9,2018,2,,,1,140,1,,6.36999988555908,4000,1,10,2018,,,,,,1,2,,,,,,
1,7,702,2,954,79017,1,1080,1,,,9,2018,2,,,2,130,11,2,50,14000,1,9,2018,,,,,,1,,,,,,,
1,7,702,2,954,79017,1,1121,1,,,10,2018,2,,,400,211,1,,2.95499992370605,40000,2,,,500,211,1,,2.95499992370605,1,,,,,,,
1,7,702,2,954,79017,1,2142,1,,,10,2018,2,,,3,130,11,,50,24000,1,10,2018,,,,,,1,,,,,,,
1,7,702,2,954,79017,2,1110,1,,,12,2018,2,,,5,130,11,1,50,40000,1,12,2018,,,,,,1,,,,,,,
1,7,702,2,954,79017,3,1020,1,,,12,2018,1,1,75,40,130,11,,50,16000,2,,,15,130,11,,50,1,,,,,,,
1,7,702,2,954,79018,1,1121,1,,,1,2019,2,,,900,211,1,,2.95499992370605,90000,1,1,2019,,,,,,1,2,,,,,,
1,7,702,2,954,79018,1,1123,1,,,1,2019,2,,,64,211,1,,2.95499992370605,4000,1,1,2019,,,,,,1,2,,,,,,
1,7,702,2,954,79018,2,1020,1,,,12,2018,1,1,75,10,130,11,,50,4000,2,,,3,130,11,,50,1,,,,,,,
1,7,702,2,954,79018,3,1010,1,,,11,2018,2,,,2,130,11,2,50,30000,1,12,2018,,,,,,1,2,,,,,,
1,7,702,2,954,79018,3,1080,1,,,8,2018,2,,,2,130,11,2,50,12000,1,11,2018,,,,,,1,,,,,,,
1,7,702,2,954,79018,4,1070,1,,,12,2018,2,,,2,130,11,,50,24000,1,12,2018,,,,,,1,2,,,,,,
1,7,702,2,954,79019,1,1121,1,,,8,2018,1,1,66,800,211,1,,2.95499992370605,160000,2,,,100,211,1,,2.95499992370605,1,,,,,,,
1,7,702,2,954,79019,2,1090,1,,,9,2018,2,,,7,150,2,2,,49000,1,9,2018,,,,,,1,2,,,,,,
1,7,702,2,954,79019,3,1070,1,,,11,2018,2,,,4,130,12,,100,40000,1,12,2018,,,,,,1,2,,,,,,
1,7,702,2,954,79019,4,1080,1,,,8,2018,2,,,4,11,,2,3.58999991416931,1600,1,9,2018,,,,,,1,,,,,,,
1,7,702,2,954,79019,5,1020,2,10,,,,,,,,,,,,,,,,7,150,2,,46,1,,,,,,,
