"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iq3","sa3iq4","sa3iq4_os","sa3iq4a1","sa3iq4a2","sa3iq4b","sa3iq4c","sa3iq5","sa3iq6i","sa3iq6ii","sa3iq6_4","sa3iq6_2","sa3iq6_conv","sa3iq6a","sa3iq6b","sa3iq6c1","sa3iq6c2","sa3iq6d1","sa3iq6d2","sa3iq6d4","sa3iq6d2a","sa3iq6d_conv","sa3iq6e_1","sa3iq6e_2","sa3iq6e_3","sa3iq6e_4","sa3iq6e_5","sa3iq6e_6","sa3iq6e_7","sa3iq6e_8"
4,1,107,2,1044,10067,1,1020,2,9,,,,,,,,,,,,,,,,6,170,,,104.400001525879,1,2,,,,,,
4,1,107,2,1044,10067,1,1080,1,,,6,2018,2,,,10,130,11,1,18,15000,1,8,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10067,1,1121,1,,,9,2018,2,,,56,211,1,,2.95499992370605,16800,1,12,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10067,2,1080,1,,,6,2018,2,,,12,130,11,1,18,18000,1,8,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10067,4,1121,1,,,9,2018,2,,,48,211,1,,2.95499992370605,14400,1,12,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10067,4,2142,2,11,"NOT PLANTED",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,4,3030,1,,,7,2018,1,4,33,12,11,,,1.51199996471405,12000,1,8,2018,,,,,,2,,,,,,,
4,1,107,2,1044,10068,1,1020,2,10,,,,,,,,,,,,,,,,27,130,11,,50,2,3,,,,,,
4,1,107,2,1044,10068,1,1080,1,,,9,2018,2,,,6,130,11,1,18,12000,1,10,2018,,,,,,2,3,,,,,,
4,1,107,2,1044,10068,1,2190,1,,,5,2018,2,,,15,80,2,,6.1100001335144,10500,1,11,2018,,,,,,2,3,,,,,,
4,1,107,2,1044,10068,2,1020,2,10,,,,,,,,,,,,,,,,35,130,11,,50,2,3,,,,,,
4,1,107,2,1044,10068,2,1080,1,,,6,2018,2,,,10,130,11,1,18,20000,1,10,2018,,,,,,2,3,,,,,,
4,1,107,2,1044,10069,1,1020,2,9,,,,,,,,,,,,,,,,15,130,11,,50,1,,,,,,,
4,1,107,2,1044,10069,1,1080,1,,,6,2018,2,,,7,130,10,1,9,7000,1,7,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10069,1,1124,2,9,,,,,,,,,,,,,,,,1,170,,,53.9049987792969,1,,,,,,,
4,1,107,2,1044,10069,1,2120,1,,,5,2018,2,,,2,140,1,,9.33100032806396,5000,1,5,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10069,2,2142,1,,,8,2018,1,4,33,3,11,,,1.51199996471405,3000,1,11,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10069,2,2190,1,,,12,2018,2,,,5,150,1,,,15000,1,12,2018,,,,,,1,,,,,,,
4,1,107,2,0,10070,1,1020,2,9,,,,,,,,,,,,,,,,20,130,11,,50,2,,,,,,,
4,1,107,2,0,10070,2,1020,2,9,,,,,,,,,,,,,,,,6,130,11,,50,2,,,,,,,
4,1,117,2,560,10071,1,1020,2,9,,,,,,,,,,,,,,,,15,130,11,,50,1,,,,,,,
4,1,117,2,560,10071,1,1080,1,,,7,2018,2,,,6,130,11,1,18,6000,1,9,2018,,,,,,1,,,,,,,
4,1,117,2,560,10071,2,1020,2,9,,,,,,,,,,,,,,,,20,130,11,,50,1,,,,,,,
4,1,117,2,560,10071,2,1080,1,,,7,2018,2,,,10,130,11,1,18,10000,1,7,2018,,,,,,1,,,,,,,
4,1,117,2,560,10071,2,1123,1,,,11,2018,2,,,45,211,1,,2.95499992370605,18000,1,11,2018,,,,,,1,,,,,,,
4,1,117,2,560,10071,2,2120,1,,,8,2018,2,,,1.5,10,,,4.63299989700317,4500,1,11,2018,,,,,,1,,,,,,,
4,1,117,2,560,10071,2,2190,1,,,6,2018,2,,,12,160,1,,0.620000004768372,8000,1,10,2018,,,,,,1,,,,,,,
4,1,117,2,560,10071,3,1020,2,9,,,,,,,,,,,,,,,,8,130,11,,50,1,,,,,,,
4,1,117,2,560,10072,1,1020,2,9,,,,,,,,,,,,,,,,15,130,11,,50,1,,,,,,,
4,1,117,2,560,10072,1,1080,1,,,8,2018,2,,,6,130,11,1,18,6000,1,9,2018,,,,,,1,,,,,,,
4,1,117,2,560,10072,1,2190,1,,,6,2018,2,,,6,160,1,,0.620000004768372,2000,1,11,2018,,,,,,1,,,,,,,
4,1,117,2,560,10072,2,1020,2,9,,,,,,,,,,,,,,,,20,130,11,,50,1,,,,,,,
4,1,117,2,560,10072,2,1080,1,,,6,2018,2,,,10,130,11,1,18,10000,1,9,2018,,,,,,1,,,,,,,
4,1,117,2,560,10073,1,1020,2,9,,,,,,,,,,,,,,,,12,150,1,,28.0330009460449,1,,,,,,,
4,1,117,2,560,10073,1,1040,2,9,,,,,,,,,,,,,,,,2,150,0,,15.5900001525879,1,,,,,,,
4,1,117,2,560,10073,1,1080,1,,,8,2018,2,,,6,150,1,1,6.99228000640869,4000,1,9,2018,,,,,,1,,,,,,,
4,1,117,2,560,10073,1,1123,1,,,12,2018,2,,,5,150,0,,12.375,7000,2,,,1,150,0,,12.375,1,,,,,,,
4,1,117,2,560,10074,1,1020,2,9,,,,,,,,,,,,,,,,8,130,10,,25,2,,,,,,,
4,1,117,2,560,10074,1,1080,1,,,8,2018,1,4,33,1,130,10,1,9,1200,1,8,2018,,,,,,1,2,,,,,,
4,1,117,2,560,10074,1,2120,1,,,8,2018,1,4,33,1,150,0,,3.34999990463257,600,1,9,2018,,,,,,1,2,,,,,,
4,1,117,2,560,10074,1,2190,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10075,1,1020,2,9,,,,,,,,,,,,,,,,15,130,10,,25,1,,,,,,,
