"zone","state","lga","sector","ea","hhid","s11eq12","s11eq19"
2,2,203,2,1224,20044,,
2,2,203,2,1224,20045,,
2,2,203,2,1224,20046,,
2,2,203,2,1224,20047,,
2,2,203,2,1224,20048,,
2,2,203,2,1224,20049,,
2,2,203,2,1224,20050,,
2,2,210,2,1300,20061,,200
2,2,210,2,1300,20062,,200
2,2,210,2,1300,20063,200,
2,2,210,2,1300,20064,100,200
2,2,210,2,1300,20065,,100
2,2,210,2,1300,20066,200,
2,2,210,2,1300,20068,,1200
2,2,210,2,1300,20069,,
2,2,210,2,1300,20070,,
2,2,207,2,1302,20091,100,
2,2,207,2,1302,20092,,
2,2,207,2,1302,20093,100,
2,2,207,2,1302,20094,,
2,2,207,2,1302,20095,,
2,2,207,2,1302,20096,,700
2,2,207,2,1302,20097,,
2,2,207,2,1302,20098,,5000
2,2,207,2,1302,20099,100,100
2,2,207,2,1302,20100,,
2,2,205,2,712,20101,,
2,2,205,2,712,20102,,
2,2,205,2,712,20103,,
2,2,205,2,712,20104,,
2,2,205,2,712,20106,300,
2,2,205,2,712,20107,,
2,2,205,2,712,20108,,
2,2,205,2,712,20110,,
2,2,204,2,144,29001,,500
2,2,204,2,144,29002,,
2,2,204,2,144,29003,,
2,2,204,2,144,29004,,
2,2,204,2,144,29005,,
2,2,204,2,144,29006,,200
2,2,204,2,144,29007,,100
2,2,204,2,144,29008,,
2,2,204,2,144,29009,,
2,2,204,2,144,29010,,
2,2,205,2,206,29013,,
2,2,205,2,206,29014,,
2,2,205,2,206,29018,,250
2,2,205,2,206,29019,,
2,2,205,2,206,29020,,
2,2,205,2,206,29021,,100
2,2,205,2,206,29022,,
2,2,205,2,206,29023,,150
2,2,205,2,206,29024,,
2,2,207,2,158,29025,,
2,2,207,2,158,29026,,
2,2,207,2,158,29028,100,
2,2,207,2,158,29029,,600
2,2,207,2,158,29031,,500
2,2,207,2,158,29032,,550
2,2,207,2,158,29033,100,
2,2,207,2,158,29034,,
2,2,207,2,158,29035,,
2,2,207,2,158,29036,,600
2,2,208,2,300,29037,,800
2,2,208,2,300,29038,,800
2,2,208,2,300,29039,,1000
2,2,208,2,300,29041,,250
2,2,208,2,300,29042,,500
2,2,208,2,300,29044,,
2,2,208,2,300,29045,,
2,2,208,2,300,29046,,100
2,2,208,2,300,29047,,
2,2,208,2,300,29048,,
2,2,209,2,10,29050,,800
2,2,209,2,10,29051,,1000
2,2,209,2,10,29052,,
2,2,209,2,10,29053,,
2,2,209,2,10,29054,,200
2,2,209,2,10,29055,,
2,2,209,2,10,29056,,150
2,2,209,2,10,29057,,
2,2,209,2,10,29058,,
2,2,209,2,10,29060,,
2,2,210,2,924,29061,,200
2,2,210,2,924,29062,,200
2,2,210,2,924,29063,,
2,2,210,2,924,29064,100,
2,2,210,2,924,29065,200,
2,2,210,2,924,29066,100,
2,2,210,2,924,29068,100,100
2,2,210,2,924,29070,,
2,2,210,2,924,29071,,700
2,2,210,2,924,29072,,
2,2,211,2,344,29073,,
2,2,211,2,344,29074,100,100
2,2,211,2,344,29076,,300
2,2,211,2,344,29077,,500
2,2,211,2,344,29078,,
2,2,211,2,344,29079,,
2,2,211,2,344,29080,,2000
2,2,211,2,344,29082,,
2,2,211,2,344,29083,,
2,2,211,2,344,29084,,
2,2,211,2,532,29085,,
2,2,211,2,532,29086,,
2,2,211,2,532,29087,,
2,2,211,2,532,29089,100,
2,2,211,2,532,29090,150,
2,2,211,2,532,29091,,
2,2,211,2,532,29092,,600
2,2,211,2,532,29094,,
2,2,211,2,532,29095,,
2,2,211,2,532,29096,,
2,2,211,2,668,29097,,
2,2,211,2,668,29099,,
2,2,211,2,668,29100,,
2,2,211,2,668,29101,,
2,2,211,2,668,29102,300,
2,2,211,2,668,29103,,
2,2,211,2,668,29104,,
2,2,211,2,668,29105,,
2,2,211,2,668,29107,,
2,2,211,2,668,29108,,100
2,2,212,2,100,29109,,
2,2,212,2,100,29110,,
2,2,212,2,100,29111,,500
2,2,212,2,100,29112,700,700
2,2,212,2,100,29113,,
2,2,212,2,100,29115,,
2,2,212,2,100,29116,,
2,2,212,2,100,29118,,100
2,2,212,2,100,29119,,500
2,2,212,2,100,29120,,500
2,2,212,2,1254,29121,,600
2,2,212,2,1254,29122,,1000
2,2,212,2,1254,29123,,
2,2,212,2,1254,29124,,
2,2,212,2,1254,29126,,
2,2,212,2,1254,29127,,
2,2,212,2,1254,29128,,
2,2,212,2,1254,29130,,
2,2,212,2,1254,29131,,300
2,2,212,2,1254,29132,,150
2,2,213,1,1010,29133,,
2,2,213,1,1010,29134,,
2,2,213,1,1010,29135,,
2,2,213,1,1010,29138,,100
2,2,213,1,1010,29139,,300
2,2,213,1,1010,29140,,200
2,2,213,1,1010,29142,,150
2,2,213,1,1010,29143,,
2,2,213,1,1010,29144,100,
2,2,213,2,1282,29147,,
2,2,213,2,1282,29148,,
2,2,213,2,1282,29149,100,100
2,2,213,2,1282,29150,100,
2,2,213,2,1282,29151,100,
2,2,213,2,1282,29152,,
2,2,213,2,1282,29153,,600
2,2,213,2,1282,29154,300,
2,2,213,2,1282,29155,100,500
2,2,213,2,1282,29156,,100
2,2,213,2,1406,29158,,
