"zone","state","lga","sector","ea","hhid","plotid","cropcode","s11fq0","s11fq1","s11fq2a","s11fq3d_1","s11fq3d_2","s11fq3d_2_os","s11fq3d_3","s11fq3b","s11fq3aa","s11fq3c","s11fq3e","s11fq3f","s11fq3_1","s11fq3_2","s11fq4aa","s11fq4","s11fq5aa","s11fq6","s11fq7","s11fq7a","s11fq8aa","s11fq8a","s11fq8b","s11fq8c","s11fq8d","s11fq9","s11fq10","s11fq10_os","s11fq11a","s11fq11b","s11fq11b_os","s11fq11c","s11fq11d","s11fq12a","s11fq12b","s11fq12b_os","s11fq12c","s11fq12d","s11fq13"
4,1,102,1,0,10065,2,1020,1,75,2,7,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,10,130,,11,,1
4,1,102,1,0,10065,2,1080,1,25,2,3,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,5,130,,11,1,1
4,1,107,2,1044,10066,1,1020,1,100,2,10,100,,2,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,20,130,,11,,1
4,1,107,2,1044,10066,1,1080,1,25,2,5,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,20,130,,10,1,1
4,1,107,2,1044,10066,1,2190,1,33,2,5,11,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,75,100,,1,,1
4,1,107,2,1044,10066,1,3030,2,,,,,,,,,,,,,,1,25,2,2018,2,2,1,6,2018,7,2018,1,5,,25,11,,,,50,11,,,,1
4,1,107,2,1044,10066,2,1020,1,100,2,10,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,36,130,,11,,1
4,1,107,2,1044,10066,2,1080,1,33,2,3,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,35,130,,11,1,1
4,1,107,2,1044,10067,1,1020,1,100,2,6,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,36,130,,11,,1
4,1,107,2,1044,10067,1,1080,1,100,2,6,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,28,130,,11,1,1
4,1,107,2,1044,10067,1,1121,1,100,2,150,1,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,30,130,,10,,1
4,1,107,2,1044,10067,2,1080,1,100,1,8,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,32,130,,10,1,1
4,1,107,2,1044,10067,4,1121,1,100,2,300,1,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,18,130,,10,,1
4,1,107,2,1044,10067,4,2142,1,100,2,3,13,,,2,,,,,5,2018,,,,,,,,,,,,,,,,,,,,16,11,,,,1
4,1,107,2,1044,10067,4,3030,2,,,,,,,,,,,,,,1,33,3,2018,3,2,2,,,,,,,,,,,,,20,11,,,,1
4,1,107,2,1044,10068,1,1020,1,75,2,6,100,,2,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,20,130,,11,,1
4,1,107,2,1044,10068,1,1080,1,50,2,3,13,,,2,,,,,2,2018,,,,,,,,,,,,,,,,,,,,5,130,,12,1,1
4,1,107,2,1044,10068,1,2190,1,25,2,1,70,,1,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,10,100,,1,,1
4,1,107,2,1044,10068,2,1020,1,75,2,4,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,10,130,,11,,1
4,1,107,2,1044,10068,2,1080,1,50,2,2,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,7,130,,11,1,1
4,1,107,2,1044,10069,1,1020,1,75,2,4,100,,2,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,20,130,,11,,1
4,1,107,2,1044,10069,1,1080,1,50,2,4,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,7,130,,11,1,1
4,1,107,2,1044,10069,1,1124,1,25,2,15,211,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,1,150,,2,,1
4,1,107,2,1044,10069,1,2120,1,25,2,5,2,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,1,150,,0,,1
4,1,107,2,1044,10069,2,2142,1,75,2,1,2,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,3,130,,10,,1
4,1,107,2,1044,10069,2,2190,1,25,2,1,70,,0,2,,,,,2,2018,,,,,,,,,,,,,,,,,,,,8,100,,1,,1
4,1,107,2,0,10070,1,1020,1,100,1,6,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,15,130,,11,,1
4,1,107,2,0,10070,2,1020,1,100,1,6,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,13,130,,11,,1
4,1,117,2,560,10071,1,1020,1,100,2,3,100,,1,2,,,,,5,2018,,,,,,,2,,,,,,,,,,,,,20,170,,,,1
4,1,117,2,560,10071,1,1080,1,100,2,2,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,25,90,,1,1,1
4,1,117,2,560,10071,2,1020,1,100,2,5,100,,1,2,,,,,5,2018,,,,,,,2,,,,,,,,,,,,,25,170,,,,1
4,1,117,2,560,10071,2,1080,1,100,2,2,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,12,150,,0,1,1
