"zone","state","lga","sector","ea","cluster_id","item_cd","c7q1","c7q1_os","c7q2","c7q2_os","c7q3","c7q4__1","c7q4__2","c7q4__3","c7q4__4","c7q4__5","c7q4__6","c7q4__7","c7q4__8","c7q4__9","c7q4__10","c7q4_os"
5,10,1012,2,1106,"1012-1106",707,2,,,,,,,,,,,,,,,
5,10,1012,2,1106,"1012-1106",708,1,,10,,2,,,,,,,,,,,
5,10,1012,2,1106,"1012-1106",709,2,,,,,,,,,,,,,,,
5,10,1012,2,1106,"1012-1106",710,1,,10,,2,,,,,,,,,,,
5,10,1012,2,1106,"1012-1106",711,2,,,,,,,,,,,,,,,
5,10,1012,2,1106,"1012-1106",712,2,,,,,,,,,,,,,,,
5,10,1012,2,1106,"1012-1106",713,2,,,,,,,,,,,,,,,
5,10,1012,2,1106,"1012-1106",714,2,,,,,,,,,,,,,,,
5,10,1012,2,1106,"1012-1106",715,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",701,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",702,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",703,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",704,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",705,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",706,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",707,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",708,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",709,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",710,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",711,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",712,1,,3,,1,0,1,0,0,0,0,0,1,0,0,
5,10,1012,2,428,"1012-428",713,2,,,,,,,,,,,,,,,
5,10,1012,2,428,"1012-428",714,1,,10,,1,0,0,0,0,0,0,0,0,1,0,
5,10,1012,2,428,"1012-428",715,2,,,,,,,,,,,,,,,
