"zone","state","lga","sector","ea","hhid","s9q29a_1","s9q29a_2","s9q29a_3","s9q29a_os","s9q29_1","s9q29_2","s9q29_3","s9q29_os","s9q30a","s9q30_1","s9q30_2","s9q30_3","s9q30_os"
4,1,104,2,1020,19049,1,8,,,1,8,3,,,,,,
4,1,104,2,1020,19050,5,7,,,3,7,8,,,,,,
4,1,104,2,1020,19051,,,,,,,,,2,,,,
4,1,104,2,1020,19052,,,,,,,,,1,1,11,12,
4,1,104,2,1020,19054,,,,,,,,,2,,,,
4,1,104,2,1020,19055,4,8,3,,8,3,1,,,,,,
4,1,104,2,1020,19056,,,,,,,,,2,,,,
4,1,104,2,1020,19058,4,,,,6,,,,,,,,
4,1,104,2,1020,19060,5,,,,5,8,,,,,,,
4,1,107,2,10,19061,3,7,96,"CAPITAL",7,8,3,,,,,,
4,1,107,2,10,19062,96,10,,"CAPITAL",96,6,,"HIGH COMPETITION",,,,,
4,1,107,2,10,19063,,,,,,,,,2,,,,
4,1,107,2,10,19064,,,,,,,,,2,,,,
4,1,107,2,10,19066,,,,,,,,,1,4,11,10,
4,1,107,2,10,19068,,,,,,,,,1,96,10,,"CAPITAL"
4,1,107,2,10,19069,3,4,8,,10,11,,,,,,,
4,1,107,2,10,19070,8,3,5,,3,5,8,,,,,,
4,1,107,2,10,19071,4,8,,,10,11,,,,,,,
4,1,107,2,10,19072,3,4,8,,3,4,8,,,,,,
4,1,107,2,1322,19073,96,10,4,"INITIAL CAPITAL",8,4,,,,,,,
4,1,107,2,1322,19075,96,4,10,"INITIAL CAPITAL",3,7,8,,,,,,
4,1,107,2,1322,19076,,,,,,,,,2,,,,
4,1,107,2,1322,19077,7,8,3,,3,8,7,,,,,,
4,1,107,2,1322,19079,,,,,,,,,2,,,,
4,1,107,2,1322,19080,96,4,10,"INITIAL CAPITAL",96,4,8,"HIGH COMPETITION",,,,,
4,1,107,2,1322,19081,96,4,,"FINANCES",4,3,,,,,,,
4,1,107,2,1322,19082,8,3,11,,11,8,3,,,,,,
4,1,107,2,1322,19084,4,96,,"I NEED FINANCIAL ASSISTANCE",7,4,,,,,,,
4,1,109,2,1214,19085,96,5,13,"CAPITAL",11,8,9,,,,,,
4,1,109,2,1214,19087,4,10,,,8,4,3,,,,,,
4,1,109,2,1214,19088,1,7,,,8,7,,,,,,,
4,1,109,2,1214,19089,,,,,,,,,2,,,,
4,1,109,2,1214,19091,,,,,,,,,2,,,,
4,1,109,2,1214,19092,,,,,,,,,2,,,,
4,1,109,2,1214,19093,,,,,,,,,2,,,,
4,1,109,2,1214,19094,1,3,,,1,3,,,,,,,
4,1,109,2,1214,19095,3,96,4,"CAPITAL",8,3,7,,,,,,
4,1,109,2,1214,19096,96,,,"CAPITAL",4,8,,,,,,,
4,1,109,2,1792,19097,4,,,,11,96,,"POOR PATRONAGE",,,,,
4,1,109,2,1792,19098,,,,,,,,,2,,,,
4,1,109,2,1792,19099,,,,,,,,,2,,,,
4,1,109,2,1792,19100,5,96,3,"CAPITAL",8,3,5,,,,,,
4,1,109,2,1792,19101,1,3,4,,1,3,11,,,,,,
4,1,109,2,1792,19103,,,,,,,,,1,8,4,10,
4,1,109,2,1792,19104,1,8,3,,1,4,8,,,,,,
4,1,109,2,1792,19105,96,,,"INTEREST IN THE LEARNING THE SKILL",8,,,,,,,,
4,1,109,2,1792,19106,4,8,,,3,7,,,,,,,
4,1,109,2,1792,19107,8,10,,,8,10,,,,,,,
4,1,109,2,1996,19110,4,,,,10,,,,,,,,
4,1,109,2,1996,19111,96,4,,"INITIAL CAPITAL",96,8,,"HIGH COMPETITION",,,,,
4,1,109,2,1996,19112,3,4,,,3,8,,,,,,,
4,1,109,2,1996,19113,,,,,,,,,2,,,,
4,1,109,2,1996,19115,,,,,,,,,2,,,,
4,1,109,2,1996,19116,,,,,,,,,2,,,,
4,1,109,2,1996,19117,96,4,11,"INITIAL CAPITAL",1,11,,,,,,,
4,1,109,2,1996,19118,96,,,"DETERMINATION TO ACQUIRE THE SKILL",8,,,,,,,,
4,1,109,2,1996,19119,,,,,,,,,1,96,4,3,"CAPITAL"
4,1,109,2,1996,19120,,,,,,,,,1,4,7,96,"CAPITAL"
4,1,110,2,338,19121,1,7,8,,1,8,12,,,,,,
4,1,110,2,338,19122,,,,,,,,,2,,,,
4,1,110,2,338,19123,,,,,,,,,2,,,,
4,1,110,2,338,19124,,,,,,,,,1,8,5,3,
4,1,110,2,338,19125,,,,,,,,,2,,,,
4,1,110,2,338,19126,,,,,,,,,2,,,,
4,1,110,2,338,19127,,,,,,,,,2,,,,
4,1,110,2,338,19129,3,5,,,3,8,5,,,,,,
4,1,110,2,338,19130,,,,,,,,,2,,,,
4,1,110,2,338,19131,,,,,,,,,2,,,,
4,1,111,2,118,19133,8,3,,,4,,,,,,,,
4,1,111,2,118,19135,,,,,,,,,2,,,,
4,1,111,2,118,19136,,,,,,,,,1,4,,,
4,1,111,2,118,19137,4,,,,3,,,,,,,,
4,1,111,2,118,19138,,,,,,,,,2,,,,
4,1,111,2,118,19139,,,,,,,,,2,,,,
4,1,111,2,118,19140,1,8,11,,1,11,8,,,,,,
4,1,111,2,118,19141,,,,,,,,,1,4,6,7,
4,1,111,2,118,19143,,,,,,,,,1,4,,,
4,1,111,2,118,19144,,,,,,,,,2,,,,
4,1,112,2,266,19145,4,,,,7,,,,,,,,
4,1,112,2,266,19146,4,11,,,12,,,,,,,,
4,1,112,2,266,19147,4,,,,3,4,,,,,,,
4,1,112,2,266,19148,,,,,,,,,1,4,11,3,
4,1,112,2,266,19149,4,10,7,,3,8,12,,,,,,
4,1,112,2,266,19150,96,,,"CAPITAL",4,10,8,,,,,,
4,1,112,2,266,19151,96,1,,"CAPITAL",1,,,,,,,,
4,1,112,2,266,19152,3,10,14,,3,4,10,,,,,,
4,1,112,2,266,19153,3,4,1,,3,8,,,,,,,
4,1,112,2,556,19158,4,,,,3,13,,,,,,,
4,1,112,2,556,19159,,,,,,,,,2,,,,
4,1,112,2,556,19160,,,,,,,,,2,,,,
4,1,112,2,556,19161,,,,,,,,,2,,,,
4,1,112,2,556,19163,3,8,4,,3,4,,,,,,,
4,1,112,2,556,19164,,,,,,,,,2,,,,
4,1,112,2,556,19165,,,,,,,,,2,,,,
4,1,112,2,556,19166,,,,,,,,,1,1,4,8,
4,1,112,2,556,19167,1,3,8,,1,3,8,,,,,,
4,1,112,2,556,19168,96,10,,"CAPITAL",96,10,14,"CAPITAL",,,,,
4,1,113,2,6,19169,,,,,,,,,2,,,,
4,1,113,2,6,19170,96,1,,"INITIAL CAPITAL",96,1,,"FINANCE",,,,,
4,1,113,2,6,19173,3,4,,,1,13,,,,,,,
4,1,113,2,6,19174,3,4,7,,4,7,8,,,,,,
4,1,113,2,6,19175,,,,,,,,,2,,,,
4,1,113,2,6,19177,,,,,,,,,2,,,,
4,1,113,2,6,19178,,,,,,,,,2,,,,
4,1,113,2,6,19179,4,7,3,,3,4,8,,,,,,
4,1,113,2,6,19180,,,,,,,,,2,,,,
4,1,113,2,44,19181,4,8,,,8,4,,,,,,,
4,1,113,2,44,19182,4,8,3,,3,96,4,"CAPITAL",,,,,
4,1,113,2,44,19183,,,,,,,,,2,,,,
4,1,113,2,44,19184,,,,,,,,,2,,,,
4,1,113,2,44,19185,8,,,,8,,,,,,,,
4,1,113,2,44,19186,,,,,,,,,1,5,7,,
4,1,113,2,44,19187,,,,,,,,,2,,,,
4,1,113,2,44,19188,,,,,,,,,2,,,,
