"zone","state","lga","sector","ea","cluster_id","farmer_id","activity_cd","crop_code","c9q5","c9q6","c9q7","c9q8","c9q9","c9q10"
5,10,1013,2,410,"1013-410",1,6,1020,1,2000,1,1500,2,
5,10,1013,2,410,"1013-410",2,1,,1,2000,1,1500,2,
5,10,1013,2,410,"1013-410",2,2,,1,2000,1,1500,2,
5,10,1013,2,410,"1013-410",2,4,,1,2000,1,1500,2,
5,10,1013,2,88,"1013-88",1,1,,1,1500,2,,2,
5,10,1013,2,88,"1013-88",1,4,,1,1500,2,,2,
5,10,1013,2,88,"1013-88",1,5,1020,1,1500,2,,2,
5,10,1013,2,88,"1013-88",1,6,1020,1,1500,2,,2,
5,10,1013,2,88,"1013-88",2,1,,1,1500,2,,2,
5,10,1013,2,88,"1013-88",2,4,,1,1500,1,1500,2,
5,10,1013,2,88,"1013-88",2,5,1020,1,1500,1,1500,2,
5,10,1013,2,88,"1013-88",2,6,1020,1,1500,1,1500,2,
5,10,1013,2,948,"1013-948",1,1,,1,1800,1,1800,2,
5,10,1013,2,948,"1013-948",1,2,,1,1800,1,1800,2,
5,10,1013,2,948,"1013-948",1,3,,1,1000,1,1000,2,
5,10,1013,2,948,"1013-948",1,4,,1,1800,1,1800,2,
5,10,1013,2,948,"1013-948",1,5,1020,1,1500,1,1500,2,
5,10,1013,2,948,"1013-948",1,6,1020,1,1800,1,1800,2,
5,10,1013,2,948,"1013-948",1,7,1020,2,,1,1500,2,
5,10,1013,2,948,"1013-948",2,1,,1,1800,1,1800,2,
5,10,1013,2,948,"1013-948",2,2,,1,1800,1,1800,2,
5,10,1013,2,948,"1013-948",2,3,,1,1000,1,1000,2,
5,10,1013,2,948,"1013-948",2,4,,1,1800,1,1800,2,
5,10,1013,2,948,"1013-948",2,5,1020,1,1500,1,1500,2,
5,10,1013,2,948,"1013-948",2,6,1020,1,1800,1,1800,2,
5,10,1013,2,948,"1013-948",2,7,1020,2,,1,1500,2,
5,10,1018,1,634,"1018-634",1,1,,1,1800,1,1800,2,
5,10,1018,1,634,"1018-634",1,2,,1,1800,1,1800,2,
5,10,1018,1,634,"1018-634",1,3,,1,1000,1,1000,2,
5,10,1018,1,634,"1018-634",1,4,,1,1800,1,1800,2,
5,10,1018,1,634,"1018-634",1,5,1020,1,1500,1,1500,2,
5,10,1018,1,634,"1018-634",1,6,1020,1,1500,1,1500,2,
5,10,1018,1,634,"1018-634",1,7,1020,1,1500,1,1500,2,
5,10,1018,1,634,"1018-634",2,1,,1,1800,1,1800,2,
5,10,1018,1,634,"1018-634",2,2,,1,1800,1,1800,2,
5,10,1018,1,634,"1018-634",2,3,,1,1000,1,1000,2,
5,10,1018,1,634,"1018-634",2,4,,1,1800,1,1800,2,
5,10,1018,1,634,"1018-634",2,5,1020,1,1500,1,1500,2,
5,10,1018,1,634,"1018-634",2,6,1020,1,1500,1,1500,2,
5,10,1018,1,634,"1018-634",2,7,1020,1,1500,1,1500,2,
4,1,102,1,806,"102-806",1,1,,1,1300,2,,2,
4,1,102,1,806,"102-806",1,2,,1,1500,2,,1,1000
4,1,102,1,806,"102-806",1,4,,2,,1,1000,2,
4,1,102,1,806,"102-806",2,1,,1,1200,2,,2,
4,1,102,1,806,"102-806",2,2,,1,1200,2,,2,
4,1,102,1,806,"102-806",2,4,,2,,1,1000,2,
5,10,1022,1,30,"1022-30",1,1,,1,1500,1,1500,2,
5,10,1022,1,30,"1022-30",1,2,,1,1500,1,1500,2,
5,10,1022,1,30,"1022-30",1,3,,1,1000,1,1000,2,
5,10,1022,1,30,"1022-30",1,4,,1,1500,1,1500,2,
5,10,1022,1,30,"1022-30",1,5,1020,1,1200,1,1200,2,
5,10,1022,1,30,"1022-30",1,6,1020,1,1500,1,1500,2,
5,10,1022,1,30,"1022-30",1,7,1020,2,,1,1200,2,
5,10,1022,1,30,"1022-30",2,1,,1,1500,1,1500,2,
5,10,1022,1,30,"1022-30",2,2,,1,1500,1,1500,2,
5,10,1022,1,30,"1022-30",2,3,,1,1000,1,1000,2,
5,10,1022,1,30,"1022-30",2,4,,1,1500,1,1500,2,
5,10,1022,1,30,"1022-30",2,5,1020,1,1200,1,1200,2,
5,10,1022,1,30,"1022-30",2,6,1020,1,1500,1,1500,2,
5,10,1022,1,30,"1022-30",2,7,1020,2,,1,1200,2,
5,10,1022,1,386,"1022-386",1,1,,1,1500,1,1500,2,
5,10,1022,1,386,"1022-386",1,2,,1,1500,1,1500,2,
