"zone","state","lga","sector","ea","hhid","s4aq16","s4aq17a__1","s4aq17a__2","s4aq17a__3","s4aq17a__4","s4aq17a__6","s4aq17a__5","s4aq17a_os","s4aq17b_1","s4aq17b_2","s4aq17b_3","s4aq17b_4","s4aq17b_5","s4aq17b_6","s4aq17b_7","s4aq17b_8","s4aq17b_9","s4aq17b_10","s4aq17c_1","s4aq17c_2","s4aq17c_3","s4aq17c_4","s4aq17c_5"
4,1,102,1,806,19020,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,806,19023,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,806,19024,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,2486,19025,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,2486,19026,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,2486,19029,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,2486,19031,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,2486,19032,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,2486,19033,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,2486,19034,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,2486,19035,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,2486,19036,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19037,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19038,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19039,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19040,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19041,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19043,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19044,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19045,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19047,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19048,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19049,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19050,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19051,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19052,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19054,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19055,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19056,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19058,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19060,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19061,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19062,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19063,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19064,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19066,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19068,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19069,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19070,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19071,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19072,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19073,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19075,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19076,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19077,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19079,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19080,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19081,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19082,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19084,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19085,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19087,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19088,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19089,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19091,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19092,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19093,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19094,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19095,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19096,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19097,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19098,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19099,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19100,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19101,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19103,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19104,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19105,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19106,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19107,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19110,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19111,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19112,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19113,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19115,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19116,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19117,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19118,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19119,2,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19120,2,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19121,2,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19122,2,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19123,2,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19124,2,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19125,2,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19126,2,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19127,2,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19129,2,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19130,2,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19131,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19133,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19135,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19136,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19137,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19138,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19139,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19140,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19141,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19143,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19144,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,266,19145,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,266,19146,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,266,19147,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,266,19148,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,266,19149,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,266,19150,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,266,19151,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,266,19152,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,266,19153,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,556,19158,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,556,19159,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,556,19160,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,556,19161,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,556,19163,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,556,19164,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,556,19165,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,556,19166,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,556,19167,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,556,19168,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19169,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19170,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19173,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19174,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19175,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19177,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19178,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19179,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19180,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,44,19181,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,44,19182,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,44,19183,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,44,19184,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,44,19185,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,44,19186,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,44,19187,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,44,19188,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,44,19191,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,44,19192,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,284,19193,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,284,19194,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,284,19195,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,284,19196,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,284,19197,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,
4,1,113,2,284,19198,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,284,19199,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,284,19201,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,284,19202,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,284,19204,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,176,19205,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,176,19206,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,176,19207,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,176,19208,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,176,19209,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,176,19211,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,176,19213,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,176,19214,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,176,19215,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,176,19216,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,550,19217,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,550,19218,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,550,19222,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,550,19224,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,550,19225,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,550,19226,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,550,19227,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,550,19228,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,800,19230,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,
4,1,117,2,800,19231,1,1,0,0,0,0,0,,1,2,3,4,,,,,,,,,,,
4,1,117,2,800,19232,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,800,19234,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,800,19235,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,800,19236,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,800,19238,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,800,19239,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,46,19242,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,806,19244,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,2486,19245,2,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19250,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19254,2,,,,,,,,,,,,,,,,,,,,,,
4,1,112,2,266,19266,2,,,,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19269,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,550,19277,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,
4,1,115,1,550,19278,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,800,19279,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,800,19280,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,806,19284,2,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,2,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,2,,,,,,,,,,,,,,,,,,,,,,
2,34,3401,2,0,20003,2,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,2,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,2,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20007,1,1,1,0,0,0,0,,1,,,,,,,,,,1,,,,
2,2,209,2,1040,20008,2,,,,,,,,,,,,,,,,,,,,,,
2,34,209,2,0,20009,2,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20010,2,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20041,2,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20042,2,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20043,2,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20044,2,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20045,2,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20046,2,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20047,2,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20048,2,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20049,2,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,20050,2,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,20061,2,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,20062,2,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,20063,2,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,20064,2,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,20065,2,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,20066,2,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,20068,2,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,20069,2,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,20070,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,20091,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,20092,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,20093,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,20094,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,20095,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,20096,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,20097,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,20098,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,20099,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,20100,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,20101,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,20102,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,20103,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,20104,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,20105,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,20106,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,20107,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,20108,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,20110,2,,,,,,,,,,,,,,,,,,,,,,
2,2,204,2,144,29001,2,,,,,,,,,,,,,,,,,,,,,,
2,2,204,2,144,29002,2,,,,,,,,,,,,,,,,,,,,,,
2,2,204,2,144,29003,2,,,,,,,,,,,,,,,,,,,,,,
2,2,204,2,144,29004,2,,,,,,,,,,,,,,,,,,,,,,
2,2,204,2,144,29005,2,,,,,,,,,,,,,,,,,,,,,,
2,2,204,2,144,29006,2,,,,,,,,,,,,,,,,,,,,,,
2,2,204,2,144,29007,2,,,,,,,,,,,,,,,,,,,,,,
2,2,204,2,144,29008,2,,,,,,,,,,,,,,,,,,,,,,
2,2,204,2,144,29009,2,,,,,,,,,,,,,,,,,,,,,,
2,2,204,2,144,29010,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,206,29013,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,206,29014,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,206,29017,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,206,29018,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,206,29019,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,206,29020,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,206,29021,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,206,29022,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,206,29023,2,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,206,29024,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29025,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29026,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29028,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29029,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29031,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29032,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29033,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29034,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29035,2,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29036,2,,,,,,,,,,,,,,,,,,,,,,
2,2,208,2,300,29037,2,,,,,,,,,,,,,,,,,,,,,,
2,2,208,2,300,29038,2,,,,,,,,,,,,,,,,,,,,,,
2,2,208,2,300,29039,2,,,,,,,,,,,,,,,,,,,,,,
2,2,208,2,300,29041,2,,,,,,,,,,,,,,,,,,,,,,
