"zone","state","lga","sector","ea","cluster_id","farmer_id","c9q1","c9q4","c9q2b"
5,12,1209,1,566,"1209-566",2,1,3,1020
5,12,1211,1,1250,"1211-1250",1,1,2,1020
5,12,1211,1,1250,"1211-1250",2,-92,,
5,12,1211,1,2856,"1211-2856",1,1,3,1020
5,12,1211,1,2856,"1211-2856",2,1,3,1020
5,12,1211,1,446,"1211-446",1,1,3,1020
5,12,1211,1,446,"1211-446",2,1,3,1020
5,12,1212,1,2598,"1212-2598",1,1,2,1020
5,12,1212,1,2598,"1212-2598",2,-92,,
5,12,1214,2,452,"1214-452",1,1,3,1020
5,12,1214,2,452,"1214-452",2,1,3,1020
5,12,1215,2,810,"1215-810",1,1,1,1020
5,12,1215,2,810,"1215-810",2,1,1,1020
5,12,1216,2,618,"1216-618",1,1,3,1020
5,12,1216,2,618,"1216-618",2,1,3,1020
5,12,1216,1,694,"1216-694",1,1,3,1020
5,12,1216,1,694,"1216-694",2,1,3,1020
5,12,1218,1,196,"1218-196",1,1,3,1121
5,12,1218,1,196,"1218-196",2,1,3,1020
6,13,1301,1,688,"1301-688",1,1,3,1121
6,13,1301,1,688,"1301-688",2,1,3,1121
6,13,1303,1,626,"1303-626",1,1,3,1020
6,13,1303,1,626,"1303-626",2,1,3,1020
6,13,1303,1,80,"1303-80",1,1,3,1020
6,13,1303,1,80,"1303-80",2,1,3,1020
6,13,1306,1,140,"1306-140",1,1,3,1020
6,13,1306,1,140,"1306-140",2,1,3,1020
6,13,1306,1,342,"1306-342",1,1,3,1020
6,13,1306,1,342,"1306-342",2,1,3,1020
6,13,1307,1,1002,"1307-1002",1,1,3,1020
6,13,1307,1,1002,"1307-1002",2,1,3,1020
6,13,1307,1,1178,"1307-1178",1,1,3,1020
6,13,1307,1,1178,"1307-1178",2,1,3,1020
6,13,1307,1,268,"1307-268",1,1,3,1121
6,13,1307,1,268,"1307-268",2,1,3,1020
6,13,1308,1,842,"1308-842",1,1,3,1020
6,13,1308,1,842,"1308-842",2,1,3,1020
6,13,1309,2,674,"1309-674",1,1,3,3040
6,13,1309,2,674,"1309-674",2,1,3,3040
6,13,1310,1,762,"1310-762",1,1,3,1121
6,13,1310,1,762,"1310-762",2,1,3,1121
6,13,1311,1,1134,"1311-1134",1,1,3,1020
6,13,1311,1,1134,"1311-1134",2,1,3,1020
6,13,1312,1,24,"1312-24",1,1,1,1020
6,13,1312,1,24,"1312-24",2,2,,
6,13,1315,1,264,"1315-264",1,1,3,1121
6,13,1315,1,264,"1315-264",2,1,3,1020
6,13,1316,1,1236,"1316-1236",1,1,3,1121
6,13,1316,1,1236,"1316-1236",2,1,3,1110
4,14,1401,2,1116,"1401-1116",1,1,3,1110
4,14,1401,2,1116,"1401-1116",2,1,3,1020
4,14,1401,2,386,"1401-386",1,1,3,1110
4,14,1401,2,386,"1401-386",2,1,3,1020
4,14,1401,2,746,"1401-746",1,1,3,1110
4,14,1401,2,746,"1401-746",2,1,3,1110
4,14,1402,2,1686,"1402-1686",1,1,3,1020
4,14,1402,2,1686,"1402-1686",2,1,3,1040
4,14,1403,1,1418,"1403-1418",1,1,2,1020
4,14,1403,1,1418,"1403-1418",2,1,2,1020
4,14,1403,1,306,"1403-306",1,1,3,1020
4,14,1403,1,306,"1403-306",2,1,3,1020
4,14,1403,2,944,"1403-944",1,1,2,1121
4,14,1403,2,944,"1403-944",2,1,3,1020
4,14,1405,1,846,"1405-846",1,1,3,1121
4,14,1405,1,846,"1405-846",2,1,3,1020
4,14,1406,2,1002,"1406-1002",1,1,3,1020
4,14,1406,2,1002,"1406-1002",2,1,3,1020
4,14,1406,2,694,"1406-694",1,1,3,1020
4,14,1406,2,694,"1406-694",2,1,3,1020
4,14,1408,2,1996,"1408-1996",1,1,3,1020
4,14,1408,2,1996,"1408-1996",2,1,3,1040
4,14,1410,2,236,"1410-236",1,1,3,1020
4,14,1410,2,236,"1410-236",2,1,3,1020
4,14,1411,2,1414,"1411-1414",1,1,3,1121
4,14,1411,2,1414,"1411-1414",2,1,3,1121
4,14,1411,2,836,"1411-836",1,1,3,1020
4,14,1411,2,836,"1411-836",2,1,3,1020
4,14,1413,2,670,"1413-670",1,1,3,1040
4,14,1413,2,670,"1413-670",2,1,3,1040
4,14,1416,2,1134,"1416-1134",1,1,3,1020
4,14,1416,2,1134,"1416-1134",2,1,3,1010
4,14,1416,2,2314,"1416-2314",1,1,3,1020
4,14,1416,2,2314,"1416-2314",2,1,3,1020
4,14,1417,2,36,"1417-36",1,1,3,1110
4,14,1417,2,36,"1417-36",2,1,3,1020
2,15,1502,2,1386,"1502-1386",1,1,1,1080
2,15,1502,2,1386,"1502-1386",2,1,1,2220
