"zone","state","lga","sector","ea","hhid","cropcode","phl_q02_1","phl_q03_1","phl_q04_1","phl_q05_1","phl_q06_1","phl_q07__1_1","phl_q07__2_1","phl_q07__3_1","phl_q07__4_1","phl_q02_2","phl_q03_2","phl_q04_2","phl_q05_2","phl_q06_2","phl_q07__1_2","phl_q07__2_2","phl_q07__3_2","phl_q07__4_2","phl_q02_3","phl_q03_3","phl_q04_3","phl_q05_3","phl_q06_3","phl_q07__1_3","phl_q07__2_3","phl_q07__3_3","phl_q07__4_3","phl_q08__1","phl_q09_1","phl_q10_1","phl_q11_1","phl_q12__1_1","phl_q12__2_1","phl_q12__3_1","phl_q12__4_1","phl_q08__2","phl_q09_2","phl_q10_2","phl_q11_2","phl_q12__1_2","phl_q12__2_2","phl_q12__3_2","phl_q12__4_2","phl_q08__3","phl_q09_3","phl_q10_3","phl_q11_3","phl_q12__1_3","phl_q12__2_3","phl_q12__3_3","phl_q12__4_3"
4,1,117,2,560,10072,2190,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10073,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10073,1123,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10074,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10074,2120,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10075,1040,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10075,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,1,2,1,1,1,0,0,0
4,1,117,2,560,10075,1090,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10075,1121,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10076,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10077,1080,2,,,,,,,,,1,3,2,2,1500,1,0,0,0,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10079,1080,2,,,,,,,,,1,1,3,6,700,0,1,0,0,2,,,,,,,,,1,2,2,4,0,1,0,0,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10079,1121,1,2,2,6,1000,0,1,0,0,2,,,,,,,,,2,,,,,,,,,1,2,2,6,0,1,0,0,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10080,1080,2,,,,,,,,,1,1,1,1,800,0,1,0,0,2,,,,,,,,,2,,,,,,,,1,2,1,5,0,1,0,0,2,,,,,,,
