"zone","state","lga","sector","ea","hhid","s12q8a","s12q8b","s12q8c","s12q8d","s12q8e","s12q8f","s12q8g","s12q8h","s12q8i","s12q8j","s12q2a","s12q2b1","s12q2b","s12q5","s12q6__1","s12q6__2","s12q6__3","s12q6__4","s12q6__5","s12q6__6","s12q6__7","s12q6__8","s12q6__9","s12q6__10","s12q6__11","s12q6__12","s12q6__13","s12q6__14","s12q6__15","s12q7_1","s12q7_2","s12q7_3","s12q7_os","Sec12_resp"
4,1,117,2,560,10080,1,1,1,1,1,2,1,1,1,1,3,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,,,,1
4,1,105,2,638,10091,1,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,105,2,638,10092,1,1,1,2,1,1,2,2,1,2,3,4,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,,,,1
5,3,322,2,0,10093,1,1,1,1,1,1,1,2,1,2,3,,3,2,,,,,,,,,,,,,,,,,,,,1
4,1,105,2,638,10094,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,1
4,1,105,2,638,10096,1,1,1,1,1,1,1,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,5
4,1,105,2,638,10097,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,105,2,638,10098,1,1,1,1,1,1,1,1,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,105,2,638,10099,1,1,1,1,1,1,1,1,1,1,2,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,,,,1
4,1,105,2,638,10100,1,1,1,1,1,2,1,2,1,1,2,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,,,,1
4,1,108,2,904,10102,1,1,1,2,1,1,1,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,108,2,904,10103,2,2,2,2,2,2,2,2,2,2,3,5,3,2,,,,,,,,,,,,,,,,,,,,1
