"zone","state","lga","sector","ea","hhid","livestock_cd","animal_cd","s11k3q1","s11k3q2","s11k3q2a","s11k3q3","s11k3q4","s11k3q4a","s11k3q5","s11k3q6","s11k3q7_1","s11k3q7_2","s11k3q7_3","s11k3q8"
2,2,213,1,1010,29140,5,117,2,,,,,,,,,,,
2,2,213,2,1282,29148,5,114,2,,,,,,,,,,,
2,2,213,2,1282,29156,5,114,2,,,,,,,,,,,
2,2,213,2,1406,29158,5,114,2,,,,,,,,,,,
2,2,213,2,1406,29161,5,114,2,,,,,,,,,,,
2,2,215,2,814,29171,5,114,2,,,,,,,,,,,
2,2,215,2,814,29171,5,118,2,,,,,,,,,,,
2,2,215,2,814,29178,5,114,1,5,1,43,3,43,2,,,,,
2,2,215,2,814,29179,5,114,2,,,,,,,,,,,
2,2,218,2,1624,29181,5,114,2,,,,,,,,,,,
2,2,218,2,1624,29181,5,117,2,,,,,,,,,,,
2,2,218,2,1624,29183,5,114,2,,,,,,,,,,,
2,2,218,2,1624,29187,5,114,2,,,,,,,,,,,
2,2,218,2,1624,29191,5,114,2,,,,,,,,,,,
2,2,219,2,124,29194,5,114,2,,,,,,,,,,,
2,2,219,2,124,29194,5,118,2,,,,,,,,,,,
2,2,219,2,124,29196,5,114,2,,,,,,,,,,,
2,2,219,2,124,29199,5,114,2,,,,,,,,,,,
2,2,219,2,124,29200,5,114,2,,,,,,,,,,,
2,2,219,2,124,29200,5,118,2,,,,,,,,,,,
2,2,219,2,124,29202,5,114,2,,,,,,,,,,,
2,2,219,2,124,29203,5,114,2,,,,,,,,,,,
2,2,220,2,112,29212,5,114,2,,,,,,,,,,,
2,2,221,1,750,29226,5,114,2,,,,,,,,,,,
5,3,305,2,0,30028,5,114,1,1,2,4,2,16,2,,,,,
5,3,316,2,874,30030,5,114,1,3,2,3,1,10,2,,,,,
5,3,307,1,634,30048,5,114,1,3,3,7,1,7,2,,,,,
5,3,318,2,1136,30081,5,114,2,,,,,,,,,,,
5,3,318,2,1136,30084,5,114,2,,,,,,,,,,,
5,3,318,2,0,30089,5,114,1,2,2,5,2,20,2,,,,,
5,3,318,2,1136,30090,5,114,1,12,3,5,2,25,2,,,,,
