"zone","state","lga","sector","ea","hhid","cropcode","indiv","phl_q01b","phl_q01c","phl_q01d__1","phl_q01d__2","phl_q01d__3","phl_q01d__4"
4,1,110,2,338,19131,1121,1,1,3,0,1,0,0
4,1,111,2,118,19133,1080,2,1,1,1,1,0,0
4,1,111,2,118,19133,1121,1,1,1,0,0,1,0
4,1,111,2,118,19133,2190,2,1,1,0,0,1,0
4,1,111,2,118,19135,1080,1,1,1,1,0,0,0
4,1,111,2,118,19135,1124,1,1,1,0,0,1,0
4,1,111,2,118,19135,2190,1,1,1,0,0,1,0
4,1,111,2,118,19136,1080,2,1,2,1,1,0,0
4,1,111,2,118,19136,1080,1,2,2,1,1,0,0
4,1,111,2,118,19136,1080,3,2,2,1,1,0,0
4,1,111,2,118,19136,2060,3,2,3,0,0,1,0
4,1,111,2,118,19136,2060,1,2,2,0,0,1,0
4,1,111,2,118,19136,2060,2,1,2,0,0,1,0
4,1,111,2,118,19137,1080,3,1,2,1,0,0,0
4,1,111,2,118,19137,1080,1,3,2,1,0,0,0
4,1,111,2,118,19137,1080,2,1,2,1,0,0,0
4,1,111,2,118,19137,2190,1,2,2,0,0,1,0
4,1,111,2,118,19138,1080,1,3,1,1,1,0,0
4,1,111,2,118,19138,1080,2,3,1,1,1,0,0
4,1,111,2,118,19139,1080,1,2,1,1,1,0,0
4,1,111,2,118,19143,1080,1,2,4,0,1,0,0
4,1,111,2,118,19143,1123,1,2,5,0,1,0,0
4,1,111,2,118,19143,2120,1,2,4,0,1,0,0
4,1,111,2,118,19143,2190,1,2,3,0,0,1,0
4,1,111,2,118,19144,1080,1,1,3,0,1,0,0
4,1,113,2,6,19169,1020,1,2,3,1,0,1,1
4,1,113,2,6,19169,1020,3,2,3,1,0,1,1
4,1,113,2,6,19169,1020,4,2,3,1,0,1,1
4,1,113,2,6,19169,1020,2,3,3,1,0,1,1
4,1,113,2,6,19170,1020,1,7,6,1,0,1,1
4,1,113,2,6,19170,1020,6,3,3,1,0,1,1
4,1,113,2,6,19170,1020,7,3,4,1,0,1,0
4,1,113,2,6,19173,1124,2,2,2,0,0,1,0
4,1,113,2,6,19173,1124,1,3,2,0,0,1,0
4,1,113,2,6,19177,1080,2,2,1,1,1,0,0
4,1,113,2,6,19179,1020,2,6,2,1,0,1,1
4,1,113,2,6,19179,1020,1,2,6,1,0,1,1
4,1,113,2,44,19182,1020,2,2,3,1,0,0,1
4,1,113,2,44,19183,1090,1,5,4,1,1,0,0
4,1,113,2,44,19185,1020,1,5,3,1,1,0,0
4,1,113,2,44,19185,1020,5,3,3,1,1,1,0
4,1,113,2,44,19185,1020,6,2,3,1,0,1,0
4,1,113,2,44,19185,1020,3,4,3,1,1,0,0
4,1,113,2,44,19185,1020,2,6,2,1,0,0,0
4,1,113,2,44,19187,1090,2,2,3,1,1,0,0
4,1,113,2,284,19194,1090,2,3,4,1,1,0,0
4,1,115,1,176,19205,1121,1,1,1,0,0,1,0
4,1,115,1,176,19205,1121,2,1,1,0,0,1,0
4,1,115,1,176,19206,1121,1,1,2,0,0,1,0
4,1,115,1,176,19206,1121,2,1,2,0,0,1,0
4,1,115,1,176,19207,1080,1,2,3,1,0,0,0
4,1,115,1,176,19207,1121,1,2,3,0,0,1,0
4,1,115,1,176,19208,1121,2,2,2,0,0,1,0
4,1,115,1,176,19208,1121,6,1,1,0,0,1,0
4,1,115,1,176,19208,1121,5,2,1,0,0,1,0
4,1,115,1,176,19211,1080,2,2,1,1,1,0,0
4,1,115,1,176,19215,1080,2,2,2,0,1,0,0
4,1,115,1,176,19215,1121,1,2,3,0,0,1,0
4,1,117,2,800,19231,1010,1,1,1,1,0,0,0
4,1,117,2,800,19235,1080,2,3,5,1,0,0,0
4,1,117,2,800,19235,1080,3,5,6,1,0,0,0
4,1,117,2,800,19236,1080,3,3,5,1,0,0,0
4,1,117,2,800,19238,1080,1,3,2,1,0,0,0
4,1,117,2,800,19239,1010,1,2,1,1,0,0,0
4,1,117,2,800,19239,1080,1,3,1,1,0,0,0
4,1,117,2,800,19239,1121,1,1,0.5,1,0,0,0
4,1,107,2,1322,19254,1080,2,4,2,1,1,0,1
4,1,117,2,800,19280,1040,2,2,2,0,0,1,0
4,1,117,2,800,19280,1080,2,3,2,0,1,0,0
4,1,117,2,800,19280,1121,2,3,3,0,1,0,0
2,2,209,2,1040,20001,1070,4,2,3,1,0,0,0
2,2,209,2,1040,20001,1080,4,2,2,1,0,0,0
2,2,209,2,1040,20002,1080,4,2,3,1,0,0,0
2,2,209,2,1040,20002,1080,5,2,3,1,0,0,0
2,2,209,2,1040,20002,1110,4,1,4,1,0,0,0
2,2,209,2,1040,20002,1110,5,1,4,1,0,0,0
2,34,3401,2,0,20003,1020,6,20,4,1,0,0,0
2,34,3401,2,0,20003,1020,4,20,3,1,0,0,0
2,34,3401,2,0,20003,1070,6,2,2,0,1,1,0
2,2,209,2,1040,20005,1080,4,2,2,1,0,0,0
2,2,209,2,1040,20005,1110,4,3,2,1,0,0,0
2,2,209,2,1040,20005,2220,4,2,2,1,0,0,0
2,2,209,2,1040,20006,1080,6,3,1,1,0,0,0
2,2,209,2,1040,20006,1110,6,2,1,1,0,0,0
2,2,209,2,1040,20006,1110,11,2,1,1,0,0,0
2,2,209,2,1040,20007,1080,4,3,3,1,1,0,0
2,2,209,2,1040,20007,1080,1,3,3,1,1,0,0
2,2,209,2,1040,20007,1080,3,4,3,1,1,0,0
2,2,209,2,1040,20007,1080,2,2,3,1,1,0,0
2,2,209,2,1040,20007,1110,1,2,3,1,1,0,0
2,2,209,2,1040,20007,1110,3,3,3,1,1,0,0
2,2,209,2,1040,20007,1110,2,2,3,1,1,0,0
2,2,209,2,1040,20007,1110,4,3,3,1,1,0,0
2,2,209,2,1040,20008,1070,6,2,6,1,0,0,0
2,2,209,2,1040,20008,1070,1,2,6,1,0,0,0
2,2,209,2,1040,20008,1070,5,2,6,1,0,0,0
2,2,209,2,1040,20008,1070,2,2,6,1,0,0,0
2,2,209,2,1040,20008,1080,5,3,6,1,0,0,0
2,2,209,2,1040,20008,1080,2,3,6,1,1,0,0
2,2,209,2,1040,20008,1080,6,3,6,1,0,0,0
2,2,209,2,1040,20008,1080,1,3,6,1,1,0,0
2,2,209,2,1040,20008,1110,1,3,6,1,1,0,0
2,2,209,2,1040,20008,1110,6,3,6,1,1,0,0
2,2,209,2,1040,20008,1110,5,3,6,1,1,0,0
2,2,209,2,1040,20008,1110,2,3,6,1,1,0,0
2,34,209,2,0,20009,1070,17,1,3,1,0,0,0
2,34,209,2,0,20009,1070,12,1,2,1,0,0,0
2,34,209,2,0,20009,1080,13,2,2,1,0,0,0
2,34,209,2,0,20009,1080,17,2,2,1,0,0,0
2,34,209,2,0,20009,1080,12,2,2,1,0,0,0
2,2,209,2,1040,20010,1080,6,1,2,1,0,0,0
2,2,209,2,1040,20010,1080,5,1,1,1,0,0,0
2,2,209,2,1040,20010,1080,3,1,2,1,0,0,0
2,2,209,2,1040,20010,1110,3,2,2,1,0,0,0
2,2,209,2,1040,20010,1110,5,1,2,1,0,0,0
2,2,209,2,1040,20010,1110,6,2,2,1,0,0,0
2,2,203,2,1224,20042,1060,1,1,2,0,0,0,1
2,2,203,2,1224,20042,1060,3,1,2,0,0,0,1
2,2,203,2,1224,20042,1060,2,2,2,0,0,0,1
2,2,203,2,1224,20042,1060,5,1,2,0,0,0,1
2,2,203,2,1224,20042,1080,4,1,2,1,0,0,0
2,2,203,2,1224,20042,1080,6,1,2,1,0,0,0
2,2,203,2,1224,20042,1080,5,1,2,1,0,0,0
2,2,203,2,1224,20042,1080,1,1,2,1,0,0,0
2,2,203,2,1224,20042,1080,3,1,2,1,0,0,0
2,2,203,2,1224,20042,1080,2,1,2,1,0,0,0
2,2,203,2,1224,20043,1080,2,1,4,1,0,0,0
2,2,203,2,1224,20043,1080,1,2,4,1,0,0,0
2,2,203,2,1224,20045,1080,4,8,2,1,1,0,0
2,2,203,2,1224,20045,1080,1,8,2,1,1,0,0
2,2,203,2,1224,20046,1060,2,7,9,1,1,0,1
2,2,203,2,1224,20046,1080,3,1,4,1,1,0,0
2,2,203,2,1224,20046,1080,4,1,4,1,1,0,0
2,2,203,2,1224,20046,1080,1,1,4,1,1,0,0
2,2,203,2,1224,20047,1060,1,8,6,1,0,0,0
2,2,203,2,1224,20047,1080,1,2,3,1,0,0,0
2,2,203,2,1224,20048,1080,1,2,4,1,0,0,0
2,2,203,2,1224,20048,1080,9,2,4,1,0,0,0
2,2,203,2,1224,20048,1080,5,2,4,1,0,0,0
2,2,203,2,1224,20048,1110,9,1,3,1,0,0,0
