"zone","state","lga","sector","ea","hhid","fishid","sa9aq1","sa9aq2","sa9aq3a","sa9aq3b","sa9aq4","sa9aq5","sa9aq6a","sa9aq6b","sa9aq7","sa9aq8a","sa9aq8b"
1,7,713,2,304,70153,1,1,30,60,151,1,12,30,151,25000,2,91
1,7,713,2,304,70153,2,2,,,,,,,,,,
1,7,713,2,304,70155,1,1,3,6,151,1,2,6,151,1000,1,150
1,7,713,2,304,70155,2,2,,,,,,,,,,
1,7,713,2,304,70156,1,1,3,7,142,1,1,1,82,500,1,142
1,7,713,2,304,70156,2,2,,,,,,,,,,
1,7,713,2,304,70160,1,1,30,10,152,1,30,10,152,8000,2,91
1,7,713,2,304,70160,2,2,,,,,,,,,,
1,7,704,2,10,79028,1,1,10,1,141,1,10,1,141,15000,20,81
1,7,704,2,10,79028,2,2,,,,,,,,,,
1,7,704,2,10,79030,1,1,22,5,151,1,22,4,151,60000,5,151
1,7,704,2,10,79030,2,2,,,,,,,,,,
1,7,704,2,10,79032,1,1,2,4,142,1,1,3,142,10000,1,141
1,7,704,2,10,79032,2,2,,,,,,,,,,
1,7,704,2,10,79033,1,1,2,200,151,1,1,2,151,10000,20,81
1,7,704,2,10,79033,2,2,,,,,,,,,,
1,7,704,2,10,79034,1,1,45,15,91,1,10,2,90,200,1,80
1,7,704,2,10,79034,2,2,,,,,,,,,,
5,10,1006,2,1708,109035,1,1,15,70,82,1,4,60,82,500,10,82
5,10,1006,2,1708,109035,2,2,,,,,,,,,,
5,10,1013,2,88,109081,1,2,,,,,,,,,,
5,10,1013,2,88,109081,2,1,,2240,82,1,,2240,82,,336,82
5,10,1013,2,410,109091,1,1,15,20,80,2,,,,,15,80
5,10,1013,2,410,109091,2,2,,,,,,,,,,
5,10,1013,2,410,109092,1,2,,,,,,,,,,
5,10,1013,2,410,109092,2,2,,,,,,,,,,
5,10,1013,2,1054,109112,1,1,20,10,151,1,15,8,151,60000,2,141
5,10,1013,2,1054,109112,2,2,,,,,,,,,,
5,10,1023,2,346,109149,1,1,37,8,90,1,32,5,90,420000,5,81
5,10,1023,2,346,109149,2,2,,,,,,,,,,
5,10,1023,2,346,109150,1,1,35,10,90,1,30,8,90,485000,7,82
5,10,1023,2,346,109150,2,2,,,,,,,,,,
5,10,1023,2,346,109151,1,1,40,10,90,1,32,8,90,420000,15,81
5,10,1023,2,346,109151,2,2,,,,,,,,,,
5,10,1023,2,346,109152,1,1,30,5,92,1,30,4,92,4000,2,1
5,10,1023,2,346,109152,2,2,,,,,,,,,,
5,10,1023,2,346,109153,1,1,44,5,90,1,44,4,90,2000,1,90
5,10,1023,2,346,109153,2,2,,,,,,,,,,
5,10,1023,2,346,109154,1,1,45,3,91,1,45,2,91,3000,1,91
5,10,1023,2,346,109154,2,2,,,,,,,,,,
5,12,1214,2,452,120100,1,2,,,,,,,,,,
5,12,1214,2,452,120100,2,1,,1000,81,1,,800,81,,200,81
5,12,1218,1,196,129182,1,2,,,,,,,,,,1
5,12,1218,1,196,129182,2,2,,,,,,,,,,
6,13,1301,1,688,139011,1,2,,,,,,,,,,
6,13,1301,1,688,139011,2,1,,1100,81,1,,1000,81,,100,81
4,14,1403,1,1418,149062,1,2,,,,,,,,,,
4,14,1403,1,1418,149062,2,1,,400,82,1,,350,82,,40,82
4,14,1417,2,36,149136,1,1,20,100,81,2,,,,,10,81
4,14,1417,2,36,149136,2,2,,,,,,,,,,
4,16,1627,2,126,169121,1,1,3,100,81,1,1,50,81,1000,3,81
4,16,1627,2,126,169121,2,2,,,,,,,,,,
4,16,1627,2,126,169125,1,1,36,4,81,1,12,2,81,600,2,81
4,16,1627,2,126,169125,2,2,,,,,,,,,,
3,17,1722,2,96,170041,1,1,40,4,152,1,4,4,152,6500,4,1
3,17,1722,2,96,170041,2,2,,,,,,,,,,
3,17,1722,2,96,170042,1,1,24,3,141,1,15,3,141,3500,1,91
3,17,1722,2,96,170042,2,2,,,,,,,,,,
3,17,1722,2,96,170043,1,1,36,3,92,1,25,2,92,400,1,92
3,17,1722,2,96,170043,2,2,,,,,,,,,,
3,17,1722,2,96,170045,1,1,40,3,152,1,30,3,152,5000,1,1
3,17,1722,2,96,170045,2,2,,,,,,,,,,
3,17,1722,2,96,170046,1,1,4,15,141,1,10,5,141,3000,2,90
3,17,1722,2,96,170046,2,2,,,,,,,,,,
3,17,1722,2,96,170048,1,1,25,2,151,1,20,2,151,6000,0,
3,17,1722,2,96,170048,2,2,,,,,,,,,,
