"zone","state","lga","sector","ea","cluster_id","tenure_cd","c4q1","c4q2","c4q3"
5,10,1023,2,346,"1023-346",3,1,1,1
5,10,1023,2,346,"1023-346",4,0,,
5,10,1023,2,346,"1023-346",5,0,,
5,10,1023,2,346,"1023-346",6,1,1,1
5,10,1023,2,346,"1023-346",7,1,1,1
5,10,1025,2,1774,"1025-1774",1,1,1,1
5,10,1025,2,1774,"1025-1774",2,0,,
5,10,1025,2,1774,"1025-1774",3,0,,
5,10,1025,2,1774,"1025-1774",4,0,,
5,10,1025,2,1774,"1025-1774",5,1,3,1
5,10,1025,2,1774,"1025-1774",6,1,1,1
5,10,1025,2,1774,"1025-1774",7,1,1,1
4,1,104,2,1020,"104-1020",1,1,3,1
4,1,104,2,1020,"104-1020",2,0,,
4,1,104,2,1020,"104-1020",3,0,,
4,1,104,2,1020,"104-1020",4,0,,
4,1,104,2,1020,"104-1020",5,1,3,1
4,1,104,2,1020,"104-1020",6,1,2,1
4,1,104,2,1020,"104-1020",7,1,2,1
4,1,104,2,412,"104-412",1,1,1,2
4,1,104,2,412,"104-412",2,0,,
4,1,104,2,412,"104-412",3,0,,
4,1,104,2,412,"104-412",4,0,,
4,1,104,2,412,"104-412",5,1,1,1
4,1,104,2,412,"104-412",6,1,1,1
4,1,104,2,412,"104-412",7,1,1,1
4,1,105,2,638,"105-638",1,0,,
4,1,105,2,638,"105-638",2,0,,
4,1,105,2,638,"105-638",3,0,,
4,1,105,2,638,"105-638",4,0,,
4,1,105,2,638,"105-638",5,1,2,1
4,1,105,2,638,"105-638",6,1,3,1
4,1,105,2,638,"105-638",7,1,1,1
4,1,107,2,10,"107-10",1,0,,
4,1,107,2,10,"107-10",2,1,1,1
4,1,107,2,10,"107-10",3,0,,
4,1,107,2,10,"107-10",4,1,3,1
4,1,107,2,10,"107-10",5,1,3,1
4,1,107,2,10,"107-10",6,1,1,2
4,1,107,2,10,"107-10",7,1,1,2
4,1,107,2,1044,"107-1044",1,0,,
4,1,107,2,1044,"107-1044",2,1,1,1
4,1,107,2,1044,"107-1044",3,0,,
4,1,107,2,1044,"107-1044",4,1,3,1
4,1,107,2,1044,"107-1044",5,1,3,1
4,1,107,2,1044,"107-1044",6,0,,
4,1,107,2,1044,"107-1044",7,1,1,1
4,1,107,2,1322,"107-1322",1,0,,
4,1,107,2,1322,"107-1322",2,1,1,1
4,1,107,2,1322,"107-1322",3,0,,
4,1,107,2,1322,"107-1322",4,0,,
4,1,107,2,1322,"107-1322",5,1,3,1
4,1,107,2,1322,"107-1322",6,1,1,2
4,1,107,2,1322,"107-1322",7,1,1,2
4,1,108,2,904,"108-904",1,0,,
4,1,108,2,904,"108-904",2,0,,
4,1,108,2,904,"108-904",3,0,,
4,1,108,2,904,"108-904",4,0,,
4,1,108,2,904,"108-904",5,1,3,1
4,1,108,2,904,"108-904",6,0,,
4,1,108,2,904,"108-904",7,1,1,1
4,1,109,2,1214,"109-1214",1,0,,
4,1,109,2,1214,"109-1214",2,1,1,1
4,1,109,2,1214,"109-1214",3,1,1,2
4,1,109,2,1214,"109-1214",4,0,,
4,1,109,2,1214,"109-1214",5,1,3,1
4,1,109,2,1214,"109-1214",6,1,1,2
4,1,109,2,1214,"109-1214",7,1,1,2
4,1,109,2,1792,"109-1792",1,0,,
4,1,109,2,1792,"109-1792",2,1,1,2
4,1,109,2,1792,"109-1792",3,0,,
4,1,109,2,1792,"109-1792",4,1,3,2
4,1,109,2,1792,"109-1792",5,1,2,1
4,1,109,2,1792,"109-1792",6,1,1,2
4,1,109,2,1792,"109-1792",7,1,1,2
4,1,109,2,1996,"109-1996",1,0,,
4,1,109,2,1996,"109-1996",2,1,1,1
4,1,109,2,1996,"109-1996",3,0,,
4,1,109,2,1996,"109-1996",4,0,,
4,1,109,2,1996,"109-1996",5,1,3,1
4,1,109,2,1996,"109-1996",6,1,1,2
4,1,109,2,1996,"109-1996",7,1,1,2
4,1,110,2,338,"110-338",1,0,,
4,1,110,2,338,"110-338",2,0,,
4,1,110,2,338,"110-338",3,0,,
4,1,110,2,338,"110-338",4,0,,
4,1,110,2,338,"110-338",5,1,3,1
4,1,110,2,338,"110-338",6,1,3,1
4,1,110,2,338,"110-338",7,1,1,1
4,11,1101,2,154,"1101-154",1,1,3,2
4,11,1101,2,154,"1101-154",2,1,1,1
4,11,1101,2,154,"1101-154",3,1,1,2
4,11,1101,2,154,"1101-154",4,0,,
4,11,1101,2,154,"1101-154",5,1,1,1
4,11,1101,2,154,"1101-154",6,1,1,2
4,11,1101,2,154,"1101-154",7,1,3,2
4,11,1102,2,936,"1102-936",1,1,3,2
4,11,1102,2,936,"1102-936",2,1,1,1
4,11,1102,2,936,"1102-936",3,1,3,2
4,11,1102,2,936,"1102-936",4,0,,
4,11,1102,2,936,"1102-936",5,1,1,1
4,11,1102,2,936,"1102-936",6,1,1,2
4,11,1102,2,936,"1102-936",7,1,3,2
4,11,1104,2,1610,"1104-1610",1,1,3,2
4,11,1104,2,1610,"1104-1610",2,1,1,2
4,11,1104,2,1610,"1104-1610",3,1,1,2
4,11,1104,2,1610,"1104-1610",4,0,,
