"zone","state","lga","sector","ea","hhid","livestock_cd","animal_cd","s11k2q1","s11k2q4","s11k2q2","s11k2q3","s11k2q5","s11k2q6_1","s11k2q6_2","s11k2q6_3","s11k2q6_4","s11k2q7_1","s11k2q7_2","s11k2q7_3","s11k2q7_4","s11k2q7_99","s11k2q8","s11k2q10","s11k2q11","s11k2q12","s11k2q13","s11k2q14"
2,2,207,2,158,29025,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29025,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29028,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29032,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29034,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29034,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,207,2,158,29035,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,208,2,300,29037,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,208,2,300,29039,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,208,2,300,29044,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,208,2,300,29045,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,208,2,300,29047,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,208,2,300,29048,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,209,2,10,29050,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,209,2,10,29052,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,209,2,10,29053,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,209,2,10,29055,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,209,2,10,29057,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,209,2,10,29058,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,209,2,10,29058,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,210,2,924,29065,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,210,2,924,29066,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,210,2,924,29068,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,210,2,924,29068,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,210,2,924,29070,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,210,2,924,29070,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,344,29073,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,344,29073,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,344,29077,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,344,29079,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,344,29080,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,344,29082,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,532,29085,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,532,29086,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,532,29087,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,532,29089,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,532,29090,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,532,29090,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,532,29091,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,532,29092,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,532,29094,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,532,29095,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,668,29099,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,668,29100,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,668,29101,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,668,29104,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,668,29105,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,668,29108,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,211,2,668,29108,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,100,29110,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,100,29112,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,100,29113,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,100,29115,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,100,29116,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,100,29118,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,100,29119,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,100,29120,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,100,29120,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29123,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29124,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29124,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29127,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29127,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29127,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29130,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29130,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29131,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29131,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29132,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,212,2,1254,29132,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,213,1,1010,29133,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,213,1,1010,29136,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,213,1,1010,29136,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,213,1,1010,29138,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,213,1,1010,29143,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,213,2,1282,29148,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,213,2,1406,29160,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,213,2,1406,29160,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,213,2,1406,29160,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,213,2,1406,29161,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,213,2,1406,29162,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,213,2,1406,29167,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,215,2,814,29169,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,215,2,814,29169,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,215,2,814,29171,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,215,2,814,29174,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,215,2,814,29174,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,215,2,814,29174,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,215,2,814,29176,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,215,2,814,29178,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,215,2,814,29179,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,218,2,1624,29181,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,218,2,1624,29186,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,218,2,1624,29187,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29194,1,105,,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29194,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29195,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29196,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29196,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29198,1,105,1,7,6,7,4,1,,,,1,0,1,0,0,3,,,3,,
2,2,219,2,124,29198,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29199,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29200,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29200,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29202,1,105,1,4,4,30,2,1,,,,1,1,0,0,0,10,20,1000,,,
2,2,219,2,124,29203,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29203,3,110,2,,,,,,,,,,,,,,,,,,,
2,2,219,2,124,29204,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,220,2,112,29209,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,220,2,112,29211,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,220,2,112,29216,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,221,1,750,29219,3,111,2,,,,,,,,,,,,,,,,,,,
2,2,221,1,750,29220,1,105,2,,,,,,,,,,,,,,,,,,,
2,2,221,1,750,29228,3,111,2,,,,,,,,,,,,,,,,,,,
5,3,316,2,874,30021,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,316,2,874,30022,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,316,2,874,30030,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,331,1,0,30041,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,307,1,634,30045,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,307,1,634,30048,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,307,1,634,30049,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,318,2,1136,30081,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,318,2,1136,30084,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,318,2,1136,30085,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,318,2,1136,30090,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,313,2,70,30093,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,313,2,70,30098,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,301,1,1198,30106,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,301,1,1198,30107,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,305,2,1542,30122,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,305,2,1542,30124,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,305,2,1542,30126,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,311,2,20,30133,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,311,2,20,30135,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,311,2,20,30140,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,302,2,302,39003,3,110,2,,,,,,,,,,,,,,,,,,,
