"zone","state","lga","sector","ea","cluster_id","resource_cd","c4q1","c4q1_os","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4_os","c4q5a","c4q5b","c4q5c","c4q5_os"
5,10,1018,1,634,"1018-634",401,1,,1,1,1,2,3,,1,,,
5,10,1018,1,634,"1018-634",402,1,,2,1,4,,,,8,,,
5,10,1018,1,634,"1018-634",403,2,,,,,,,,,,,
5,10,1018,1,634,"1018-634",405,2,,,,,,,,,,,
5,10,1018,1,634,"1018-634",406,2,,,,,,,,,,,
5,10,1018,1,634,"1018-634",407,1,,2,1,4,,,,8,,,
5,10,1018,1,634,"1018-634",408,1,,2,1,4,,,,8,,,
4,1,102,1,1690,"102-1690",401,2,,,,,,,,,,,
4,1,102,1,1690,"102-1690",402,2,,,,,,,,,,,
4,1,102,1,1690,"102-1690",403,2,,,,,,,,,,,
4,1,102,1,1690,"102-1690",405,2,,,,,,,,,,,
4,1,102,1,1690,"102-1690",406,2,,,,,,,,,,,
4,1,102,1,1690,"102-1690",407,2,,,,,,,,,,,
4,1,102,1,1690,"102-1690",408,2,,,,,,,,,,,
4,1,102,1,2486,"102-2486",401,2,,,,,,,,,,,
4,1,102,1,2486,"102-2486",402,2,,,,,,,,,,,
4,1,102,1,2486,"102-2486",403,2,,,,,,,,,,,
4,1,102,1,2486,"102-2486",405,2,,,,,,,,,,,
4,1,102,1,2486,"102-2486",406,2,,,,,,,,,,,
4,1,102,1,2486,"102-2486",407,2,,,,,,,,,,,
4,1,102,1,2486,"102-2486",408,2,,,,,,,,,,,
4,1,102,1,46,"102-46",401,2,,,,,,,,,,,
4,1,102,1,46,"102-46",402,2,,,,,,,,,,,
4,1,102,1,46,"102-46",403,2,,,,,,,,,,,
4,1,102,1,46,"102-46",405,2,,,,,,,,,,,
4,1,102,1,46,"102-46",406,2,,,,,,,,,,,
4,1,102,1,46,"102-46",407,2,,,,,,,,,,,
4,1,102,1,46,"102-46",408,2,,,,,,,,,,,
4,1,102,1,806,"102-806",401,2,,,,,,,,,,,
4,1,102,1,806,"102-806",402,2,,,,,,,,,,,
4,1,102,1,806,"102-806",403,2,,,,,,,,,,,
4,1,102,1,806,"102-806",405,2,,,,,,,,,,,
4,1,102,1,806,"102-806",406,2,,,,,,,,,,,
4,1,102,1,806,"102-806",407,1,,1,1,1,,,,1,,,
4,1,102,1,806,"102-806",408,2,,,,,,,,,,,
5,10,1022,1,30,"1022-30",401,1,,1,1,3,2,1,,1,2,,
5,10,1022,1,30,"1022-30",402,1,,2,1,4,,,,8,,,
5,10,1022,1,30,"1022-30",403,1,,2,1,4,,,,8,,,
5,10,1022,1,30,"1022-30",405,2,,,,,,,,,,,
5,10,1022,1,30,"1022-30",406,2,,,,,,,,,,,
5,10,1022,1,30,"1022-30",407,1,,2,1,4,,,,8,,,
5,10,1022,1,30,"1022-30",408,1,,2,1,4,,,,8,,,
5,10,1022,1,386,"1022-386",401,1,,1,1,2,3,1,,1,2,,
5,10,1022,1,386,"1022-386",402,1,,1,1,1,2,3,,8,,,
