"zone","state","lga","sector","ea","hhid","sec11_resp","s11q1b","s11q1b_os","s11q1","s11q2","s11q3a","s11q3b","s11q4a","s11q4b","s11q5a","s11q5a_os","s11q5b","s11q5c_1","s11q5c_2","s11q5c_3","s11q5c_4","s11q5c_5","s11q5c_6","s11q5c_7","s11q5c_8","s11q5c_9","s11q5","s11q6","s11q6_os","s11q7","s11q7b","s11q8","s11q8b","s11q9","s11q40","s11q40_os","s11q41","s11q41_os","s11q42","s11q43_1","s11q43_2","s11q43_os","s11q44_1","s11q44_2","s11q45","s11q46_1","s11q46_2","s11q46_3","s11q46_os","s11q47","s11q48__1","s11q48__2","s11q48__3","s11q48__4","s11q48__5","s11q48__6","s11q48__7","s11q48_os","s11q49","s11q50","s11q51","s11q52","s11q53","s11q54","s11q33b","s11q33b_os","s11q55","s11q55_os","s11q56","s11q57a","s11q57b","s11q58","s11q59","s11q60","s11q60_os","s11q61","s11q62","s11q63a","s11q63b","s11q64","s11q65","s11q66","s11q67__1","s11q67__2","s11q67__3","s11q67__4","s11q67__5","s11q67__6","s11q67__7","s11q67_os","s11q68","s11q68_os","s11q69","s11q36","s11q36_os","s11q70","s11q71","s11q71_os","s11q72","s11q73","s11q74","s11q38","s11q38b","s11q75a","s11q75b"
4,1,111,1,1146,10038,1,3,,5,,,,150000,2,5,,1,1,,,,,,,,,9999,5,,2,,3,,3,6,,1,,2,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,2,3,2,0,1,5,,5,,3,20,1,4,2,,,,,,,,2,2,,,,,,,,,5,,1500,2,,1,1,,1,2,,1,,3600,6
4,1,111,1,1146,10040,1,3,,5,,,,17000,1,5,,1,1,,,,,,,,,9999,5,,2,,3,,3,6,,1,,2,1,,,,,2,,,,,1,1,0,1,0,0,0,0,,3,3,4,,,2,5,,5,,3,20,1,4,2,,,,,,,,2,2,,,,,,,,,5,,150,2,,3,,,1,2,,1,,3500,6
4,1,102,1,1690,10051,3,4,,5,,,,6000,1,4,,1,2,,,,,,,,,9999,5,,2,,3,,2,6,,3,,2,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,3,2,7,10,2,5,,5,,3,10,1,12,2,,,,,,,,2,2,,,,,,,,,5,,480,2,,3,,,2,1,7,2,,100,2
4,1,102,1,1690,10053,1,4,,1,11000000,,,,,8,,1,1,,,,,,,,,1978,5,,2,,3,,4,6,,3,,2,1,,,,,2,,,,,1,1,0,1,0,0,0,0,,1,3,2,16,5,2,5,,5,,1,,,,2,,,,,,,,2,2,,,,,,,,,5,,0,2,,1,1,,2,1,1,4,,,
4,1,102,1,1690,10054,2,3,,5,,,,15000,1,5,,1,1,,,,,,,,,9999,5,,2,,3,,5,6,,1,,2,1,,,,,2,,,,,1,1,0,1,0,0,0,0,,1,4,3,12,8,2,5,,5,,2,,,,2,,,,,,,,2,2,,,,,,,,,5,,600,7,,1,1,,2,2,,5,,,
4,1,102,1,0,10055,2,10,,5,,,,2400,1,5,,1,1,,,,,,,,,9999,5,,2,,3,,2,2,,5,,,4,,,3000,,2,,,,,1,1,0,0,0,0,0,0,,1,1,0,0,2,2,5,,5,,3,4,1,6,2,,,,,,,,2,2,,,,,,,,,5,,2000,2,,2,,,2,2,,5,,,
4,1,102,1,1690,10056,1,4,,5,,,,2500,1,5,,1,1,,,,,,,,,9999,5,,2,,3,,1,6,,3,,2,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,4,3,12,8,2,5,,5,,2,,,,2,,,,,,,,2,2,,,,,,,,,5,,500,7,,1,1,,2,1,3,5,,,
4,1,102,1,1690,10057,2,1,,1,5000000,,,,,1,,1,1,,,,,,,,,2010,5,,2,,3,,4,6,,3,,2,1,,,,,2,,,,,1,0,0,1,0,0,0,0,,3,3,2,,,2,5,,5,,3,10,1,30,2,,,,,,,,2,2,,,,,,,,,10,,1200,2,,2,,,2,2,,4,,,
4,1,102,1,1690,10058,1,1,,5,,,,8000,1,5,,2,,,,,,,,,,9999,5,,4,,3,,4,6,,3,,1,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,3,2,8,10,2,5,,5,,3,25,1,10,2,,,,,,,,2,2,,,,,,,,,5,,2550,2,,1,1,,2,2,,2,,500,4
4,1,102,1,1690,10059,1,1,,5,,,,4000,1,5,,2,,,,,,,,,,9999,5,,4,,3,,2,6,,3,,1,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,3,2,8,10,2,5,,5,,3,30,1,8,2,,,,,,,,2,2,,,,,,,,,5,,1800,2,,1,1,,2,2,,2,,500,4
4,1,102,1,1690,10060,2,1,,5,,,,5000,1,5,,2,,,,,,,,,,9999,5,,2,,3,,2,6,,3,,1,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,3,2,8,10,2,5,,5,,3,30,1,12,2,,,,,,,,2,2,,,,,,,,,5,,2600,2,,1,1,,2,2,,2,,500,4
