"zone","state","lga","ea","sector","hhid","ag1","ag2","ag3","ag4"
4,1,109,1792,2,19106,1,1,2,2
4,1,109,1792,2,19107,1,1,1,2
4,1,109,1996,2,19110,1,1,1,2
4,1,109,1996,2,19111,1,1,2,2
4,1,109,1996,2,19112,1,1,1,2
4,1,109,1996,2,19113,1,2,2,2
4,1,109,1996,2,19115,1,1,1,2
4,1,109,1996,2,19116,1,1,1,2
4,1,109,1996,2,19117,1,1,1,1
4,1,109,1996,2,19118,1,1,2,2
4,1,109,1996,2,19119,1,1,1,2
4,1,109,1996,2,19120,1,1,1,2
4,1,110,338,2,19121,1,1,1,1
4,1,110,338,2,19122,1,1,1,1
4,1,110,338,2,19123,1,1,2,2
4,1,110,338,2,19124,1,1,2,2
4,1,110,338,2,19125,1,1,2,2
4,1,110,338,2,19126,1,1,2,2
4,1,110,338,2,19127,1,1,1,2
4,1,110,338,2,19129,1,1,2,2
4,1,110,338,2,19130,1,1,2,2
4,1,110,338,2,19131,1,1,2,2
4,1,111,118,2,19133,1,1,1,2
4,1,111,118,2,19135,1,1,1,2
4,1,111,118,2,19136,1,1,2,2
4,1,111,118,2,19137,1,1,2,2
4,1,111,118,2,19138,1,1,2,2
4,1,111,118,2,19139,1,1,2,2
4,1,111,118,2,19140,1,1,2,2
4,1,111,118,2,19141,1,1,2,2
4,1,111,118,2,19143,1,1,2,2
4,1,111,118,2,19144,1,1,1,1
4,1,112,266,2,19145,2,2,2,2
4,1,112,266,2,19146,2,2,2,2
4,1,112,266,2,19147,2,2,2,2
4,1,112,266,2,19148,2,2,2,2
4,1,112,266,2,19149,2,2,2,2
4,1,112,266,2,19150,2,2,2,2
4,1,112,266,2,19151,2,1,2,2
4,1,112,266,2,19152,2,2,2,2
4,1,112,266,2,19153,1,2,2,2
4,1,112,556,2,19158,1,1,2,2
4,1,112,556,2,19159,1,1,1,2
4,1,112,556,2,19160,1,1,2,2
4,1,112,556,2,19161,1,1,2,2
4,1,112,556,2,19163,1,1,2,2
4,1,112,556,2,19164,1,1,2,2
4,1,112,556,2,19165,1,1,2,2
4,1,112,556,2,19166,1,1,2,2
4,1,112,556,2,19167,1,1,2,2
4,1,112,556,2,19168,1,2,2,2
4,1,113,6,2,19169,1,1,1,1
4,1,113,6,2,19170,1,1,1,2
4,1,113,6,2,19173,1,2,2,2
4,1,113,6,2,19174,1,1,2,2
4,1,113,6,2,19175,1,1,2,2
4,1,113,6,2,19177,1,1,1,2
4,1,113,6,2,19178,1,1,1,2
4,1,113,6,2,19179,1,1,2,2
4,1,113,6,2,19180,1,2,2,2
4,1,113,44,2,19181,1,1,1,2
4,1,113,44,2,19182,1,1,1,2
4,1,113,44,2,19183,1,1,1,2
4,1,113,44,2,19184,1,1,2,2
4,1,113,44,2,19185,1,1,2,2
4,1,113,44,2,19186,1,1,1,2
4,1,113,44,2,19187,1,1,2,2
4,1,113,44,2,19188,1,1,2,2
4,1,113,44,2,19191,1,1,1,2
4,1,113,44,2,19192,1,1,2,2
4,1,113,284,2,19193,1,2,2,2
4,1,113,284,2,19194,1,2,2,2
4,1,113,284,2,19195,1,2,2,2
4,1,113,284,2,19196,2,2,2,2
4,1,113,284,2,19197,2,1,2,2
4,1,113,284,2,19198,2,2,2,2
4,1,113,284,2,19199,2,2,2,2
4,1,113,284,2,19201,2,2,2,2
4,1,113,284,2,19202,1,1,1,2
4,1,113,284,2,19204,2,1,1,2
4,1,115,176,1,19205,1,1,2,2
4,1,115,176,1,19206,1,1,1,2
4,1,115,176,1,19207,1,1,2,2
4,1,115,176,1,19208,1,1,2,2
4,1,115,176,1,19209,1,1,2,2
4,1,115,176,1,19211,1,1,2,2
4,1,115,176,1,19213,1,1,1,2
4,1,115,176,1,19214,1,1,2,2
4,1,115,176,1,19215,1,1,1,1
4,1,115,176,1,19216,2,2,2,2
4,1,115,550,1,19217,2,2,2,2
4,1,115,550,1,19218,2,2,2,2
4,1,115,550,1,19222,2,2,2,2
4,1,115,550,1,19224,2,2,2,2
4,1,115,550,1,19225,2,2,2,2
4,1,115,550,1,19226,2,2,2,2
4,1,115,550,1,19227,2,2,2,2
4,1,115,550,1,19228,2,2,2,2
4,1,117,800,2,19230,1,1,1,1
4,1,117,800,2,19231,1,1,1,2
4,1,117,800,2,19232,1,1,1,1
4,1,117,800,2,19234,2,2,2,2
4,1,117,800,2,19235,1,1,2,2
4,1,117,800,2,19236,1,1,2,2
4,1,117,800,2,19238,1,1,2,2
4,1,117,800,2,19239,1,2,2,2
4,1,102,46,1,19242,2,2,2,2
4,1,102,806,1,19244,2,2,2,2
4,1,102,2486,1,19245,2,2,2,2
4,1,104,1020,2,19250,1,2,2,2
4,1,107,1322,2,19254,1,2,1,2
4,1,112,266,2,19266,1,2,2,2
4,1,113,6,2,19269,1,2,1,2
4,1,115,550,1,19277,2,1,2,2
4,1,115,550,1,19278,2,1,2,2
4,1,117,800,2,19279,2,1,2,2
4,1,117,800,2,19280,1,1,2,2
4,1,102,806,1,19284,2,1,2,2
2,2,209,1040,2,20001,1,2,2,1
2,2,209,1040,2,20002,1,2,2,1
2,34,3401,0,2,20003,1,1,1,1
2,2,209,1040,2,20005,1,2,2,2
2,2,209,1040,2,20006,1,2,2,2
2,2,209,1040,2,20007,1,1,1,2
2,2,209,1040,2,20008,1,1,1,2
2,34,209,0,2,20009,1,1,1,2
2,2,209,1040,2,20010,1,1,1,2
2,2,203,1224,2,20041,1,2,2,2
2,2,203,1224,2,20042,1,2,2,2
2,2,203,1224,2,20043,1,2,1,2
2,2,203,1224,2,20044,1,2,1,2
2,2,203,1224,2,20045,1,2,1,2
2,2,203,1224,2,20046,1,1,1,2
2,2,203,1224,2,20047,1,2,1,2
2,2,203,1224,2,20048,1,1,1,2
2,2,203,1224,2,20049,1,1,1,1
2,2,203,1224,2,20050,1,1,1,1
2,2,210,1300,2,20061,1,1,1,1
2,2,210,1300,2,20062,1,1,2,1
2,2,210,1300,2,20063,1,1,1,1
2,2,210,1300,2,20064,1,1,2,2
2,2,210,1300,2,20065,1,1,1,2
2,2,210,1300,2,20066,1,2,1,1
2,2,210,1300,2,20068,1,1,1,2
2,2,210,1300,2,20069,1,1,1,2
2,2,210,1300,2,20070,1,1,1,2
2,2,207,1302,2,20091,1,1,1,2
2,2,207,1302,2,20092,1,1,1,1
2,2,207,1302,2,20093,1,2,2,2
2,2,207,1302,2,20094,1,1,2,2
2,2,207,1302,2,20095,1,2,1,2
2,2,207,1302,2,20096,1,2,1,2
2,2,207,1302,2,20097,1,2,1,2
2,2,207,1302,2,20098,1,1,1,2
2,2,207,1302,2,20099,1,1,2,2
2,2,207,1302,2,20100,1,1,2,2
2,2,205,712,2,20101,1,1,2,2
2,2,205,712,2,20102,1,1,1,1
2,2,205,712,2,20103,1,1,1,2
2,2,205,712,2,20104,1,1,1,1
2,2,205,712,2,20105,2,2,2,2
2,2,205,712,2,20106,1,2,1,2
2,2,205,712,2,20107,1,2,2,2
2,2,205,712,2,20108,1,1,2,2
2,2,205,712,2,20110,1,1,1,2
2,2,204,144,2,29001,1,1,1,1
2,2,204,144,2,29002,1,1,1,1
2,2,204,144,2,29003,1,1,2,2
2,2,204,144,2,29004,1,2,2,2
2,2,204,144,2,29005,1,2,2,2
2,2,204,144,2,29006,1,1,1,2
2,2,204,144,2,29007,1,1,1,2
2,2,204,144,2,29008,1,1,2,2
2,2,204,144,2,29009,1,1,1,1
2,2,204,144,2,29010,1,1,1,2
2,2,205,206,2,29013,1,1,1,2
2,2,205,206,2,29014,1,1,2,2
2,2,205,206,2,29017,2,2,2,2
2,2,205,206,2,29018,1,2,1,1
2,2,205,206,2,29019,1,1,2,2
2,2,205,206,2,29020,1,1,1,2
2,2,205,206,2,29021,1,1,1,2
2,2,205,206,2,29022,1,1,1,2
2,2,205,206,2,29023,1,2,1,2
2,2,205,206,2,29024,1,1,2,2
2,2,207,158,2,29025,1,1,2,1
2,2,207,158,2,29026,1,1,2,2
2,2,207,158,2,29028,1,1,1,2
2,2,207,158,2,29029,1,1,2,2
2,2,207,158,2,29031,1,2,2,2
2,2,207,158,2,29032,1,2,1,2
2,2,207,158,2,29033,1,2,2,2
2,2,207,158,2,29034,1,1,1,2
2,2,207,158,2,29035,1,1,1,2
2,2,207,158,2,29036,1,1,2,2
2,2,208,300,2,29037,1,2,2,1
2,2,208,300,2,29038,1,2,2,2
2,2,208,300,2,29039,1,2,1,2
2,2,208,300,2,29041,1,2,1,2
2,2,208,300,2,29042,1,1,1,2
2,2,208,300,2,29044,1,2,2,1
2,2,208,300,2,29045,1,2,1,2
2,2,208,300,2,29046,1,1,2,2
2,2,208,300,2,29047,1,1,1,2
2,2,208,300,2,29048,1,1,1,1
2,2,209,10,2,29050,1,2,2,1
2,2,209,10,2,29051,1,2,2,2
2,2,209,10,2,29052,1,2,1,2
2,2,209,10,2,29053,1,2,1,2
2,2,209,10,2,29054,1,1,1,2
2,2,209,10,2,29055,1,1,1,2
2,2,209,10,2,29056,1,1,2,2
2,2,209,10,2,29057,1,1,1,2
2,2,209,10,2,29058,1,1,1,2
2,2,209,10,2,29060,1,1,2,2
2,2,210,924,2,29061,1,1,2,2
2,2,210,924,2,29062,1,1,2,2
2,2,210,924,2,29063,1,1,2,2
2,2,210,924,2,29064,1,1,2,2
2,2,210,924,2,29065,1,2,1,1
2,2,210,924,2,29066,1,1,1,1
2,2,210,924,2,29068,1,1,1,1
2,2,210,924,2,29070,1,1,1,2
2,2,210,924,2,29071,1,2,1,2
2,2,210,924,2,29072,1,1,2,2
2,2,211,344,2,29073,1,1,2,1
2,2,211,344,2,29074,1,1,2,2
2,2,211,344,2,29076,1,1,2,2
2,2,211,344,2,29077,1,2,1,1
2,2,211,344,2,29078,1,2,2,2
2,2,211,344,2,29079,1,1,1,2
2,2,211,344,2,29080,1,1,1,2
2,2,211,344,2,29082,1,1,1,2
2,2,211,344,2,29083,1,1,2,2
2,2,211,344,2,29084,1,2,2,2
2,2,211,532,2,29085,1,2,1,1
2,2,211,532,2,29086,1,2,1,1
2,2,211,532,2,29087,1,1,1,1
2,2,211,532,2,29089,1,1,1,1
2,2,211,532,2,29090,1,1,1,2
2,2,211,532,2,29091,1,2,1,1
2,2,211,532,2,29092,1,2,1,1
2,2,211,532,2,29094,1,1,1,2
2,2,211,532,2,29095,1,1,1,2
2,2,211,532,2,29096,1,1,2,2
2,2,211,668,2,29097,1,1,2,2
2,2,211,668,2,29099,1,1,1,2
2,2,211,668,2,29100,1,1,2,1
2,2,211,668,2,29101,1,2,1,1
2,2,211,668,2,29102,1,1,2,2
2,2,211,668,2,29103,1,1,1,2
2,2,211,668,2,29104,1,2,1,2
2,2,211,668,2,29105,1,2,1,2
2,2,211,668,2,29107,1,1,2,2
2,2,211,668,2,29108,1,1,1,2
2,2,212,100,2,29109,1,1,1,2
2,2,212,100,2,29110,1,1,1,2
2,2,212,100,2,29111,1,1,2,2
2,2,212,100,2,29112,1,2,2,1
2,2,212,100,2,29113,1,2,1,2
2,2,212,100,2,29115,1,2,1,2
2,2,212,100,2,29116,1,1,1,2
2,2,212,100,2,29118,1,1,1,2
2,2,212,100,2,29119,1,1,1,2
2,2,212,100,2,29120,1,2,1,2
2,2,212,1254,2,29121,1,2,2,2
2,2,212,1254,2,29122,1,2,2,2
2,2,212,1254,2,29123,1,1,1,2
2,2,212,1254,2,29124,1,1,1,2
2,2,212,1254,2,29126,1,2,2,2
2,2,212,1254,2,29127,1,2,1,2
2,2,212,1254,2,29128,1,2,2,2
2,2,212,1254,2,29130,1,2,1,2
2,2,212,1254,2,29131,1,1,1,2
2,2,212,1254,2,29132,1,1,1,2
2,2,213,1010,1,29133,1,1,2,1
2,2,213,1010,1,29134,1,1,2,2
2,2,213,1010,1,29135,1,1,1,2
2,2,213,1010,1,29136,2,2,1,1
2,2,213,1010,1,29138,1,1,1,2
2,2,213,1010,1,29139,1,1,1,1
2,2,213,1010,1,29140,1,2,1,1
2,2,213,1010,1,29142,1,1,2,2
2,2,213,1010,1,29143,1,1,1,2
2,2,213,1010,1,29144,1,1,2,2
2,2,213,1282,2,29147,1,1,2,2
2,2,213,1282,2,29148,1,1,1,1
2,2,213,1282,2,29149,1,1,2,2
2,2,213,1282,2,29150,1,1,1,2
2,2,213,1282,2,29151,1,1,1,2
2,2,213,1282,2,29152,1,2,1,1
2,2,213,1282,2,29153,1,2,1,1
2,2,213,1282,2,29154,1,2,2,2
2,2,213,1282,2,29155,1,1,2,2
2,2,213,1282,2,29156,1,1,1,2
2,2,213,1406,2,29158,1,1,1,2
2,2,213,1406,2,29160,1,1,1,2
2,2,213,1406,2,29161,1,1,1,1
2,2,213,1406,2,29162,1,1,1,2
2,2,213,1406,2,29163,1,1,2,2
2,2,213,1406,2,29164,1,2,2,2
2,2,213,1406,2,29165,1,2,2,2
2,2,213,1406,2,29166,1,1,1,2
2,2,213,1406,2,29167,1,1,1,2
2,2,213,1406,2,29168,1,1,2,2
2,2,215,814,2,29169,1,1,1,1
2,2,215,814,2,29170,1,1,2,2
2,2,215,814,2,29171,1,2,1,2
2,2,215,814,2,29172,1,1,2,2
2,2,215,814,2,29173,1,1,2,1
2,2,215,814,2,29174,1,2,1,1
2,2,215,814,2,29175,1,2,2,2
2,2,215,814,2,29176,1,2,1,1
2,2,215,814,2,29178,1,1,1,2
2,2,215,814,2,29179,1,1,1,1
2,2,218,1624,2,29181,1,2,1,2
2,2,218,1624,2,29182,2,2,2,2
2,2,218,1624,2,29183,1,1,1,2
2,2,218,1624,2,29185,1,1,2,2
2,2,218,1624,2,29186,1,2,1,2
2,2,218,1624,2,29187,1,2,1,2
2,2,218,1624,2,29188,1,1,2,2
2,2,218,1624,2,29189,2,1,2,2
2,2,218,1624,2,29191,1,1,1,2
2,2,218,1624,2,29192,1,1,2,2
2,2,219,124,2,29193,1,2,2,2
2,2,219,124,2,29194,1,1,1,1
2,2,219,124,2,29195,1,1,1,2
2,2,219,124,2,29196,1,2,1,2
2,2,219,124,2,29198,1,2,1,2
2,2,219,124,2,29199,1,2,1,2
2,2,219,124,2,29200,1,1,1,2
2,2,219,124,2,29202,1,1,1,2
2,2,219,124,2,29203,1,1,1,2
2,2,219,124,2,29204,1,1,1,1
2,2,220,112,2,29206,1,2,2,2
2,2,220,112,2,29208,2,2,2,2
2,2,220,112,2,29209,2,2,1,1
2,2,220,112,2,29210,2,2,2,2
2,2,220,112,2,29211,1,1,1,2
2,2,220,112,2,29212,1,1,2,1
2,2,220,112,2,29213,2,1,2,2
2,2,220,112,2,29214,2,2,2,2
2,2,220,112,2,29215,2,2,2,2
2,2,220,112,2,29216,2,2,1,1
2,2,221,750,1,29217,1,2,2,2
2,2,221,750,1,29218,1,1,2,2
2,2,221,750,1,29219,1,2,1,2
2,2,221,750,1,29220,1,1,1,2
2,2,221,750,1,29221,2,2,2,2
2,2,221,750,1,29223,1,1,2,2
2,2,221,750,1,29224,1,2,2,2
2,2,221,750,1,29226,1,1,1,2
2,2,221,750,1,29227,2,2,2,2
2,2,221,750,1,29228,1,1,1,2
5,3,316,874,2,30021,2,1,1,2
5,3,316,874,2,30022,1,1,1,2
5,3,316,874,2,30023,1,1,2,2
5,3,316,874,2,30024,2,1,2,2
5,3,316,874,2,30025,2,1,2,2
5,3,316,874,2,30026,2,1,2,2
5,3,316,874,2,30027,2,1,2,2
5,3,305,0,2,30028,1,1,1,2
5,3,316,0,2,30029,1,2,2,2
5,3,316,874,2,30030,2,2,1,1
5,3,331,0,1,30041,1,2,2,1
5,3,307,634,1,30042,2,1,2,2
5,3,307,634,1,30043,1,1,2,2
5,3,307,634,1,30044,1,1,2,2
5,3,307,634,1,30045,1,1,1,2
5,3,307,634,1,30046,1,1,2,2
5,3,307,634,1,30047,1,1,2,2
5,3,307,634,1,30048,1,1,1,1
5,3,307,634,1,30049,1,1,1,2
5,12,1202,0,1,30050,2,2,2,2
5,3,318,1136,2,30081,1,1,1,2
5,3,318,1136,2,30084,1,1,1,2
5,3,318,1136,2,30085,1,1,1,2
5,3,318,1136,2,30086,1,1,2,2
5,3,318,1136,2,30087,1,1,2,2
5,3,318,1136,2,30088,1,1,2,2
5,3,318,0,2,30089,1,1,1,2
5,3,318,1136,2,30090,1,1,1,1
5,3,313,70,2,30091,1,1,2,2
5,3,331,0,1,30092,1,2,2,2
5,3,313,70,2,30093,1,1,1,2
5,3,313,70,2,30094,1,1,2,2
5,3,313,70,2,30097,1,1,2,2
5,3,313,70,2,30098,1,1,1,2
5,3,313,70,2,30099,1,1,2,2
5,3,313,70,2,30100,1,1,2,2
5,3,301,1198,1,30101,1,2,2,2
5,3,301,0,1,30102,1,2,2,2
5,3,301,1198,1,30103,1,1,2,2
5,3,301,1198,1,30104,1,1,2,2
5,3,301,1198,1,30105,1,1,1,2
5,3,301,1198,1,30106,1,1,1,1
5,3,301,1198,1,30107,1,1,1,2
5,3,301,1198,1,30108,1,1,1,2
5,3,301,1198,1,30109,1,1,2,2
5,3,301,1198,1,30110,1,1,2,2
5,3,305,1542,2,30121,1,1,1,1
5,3,305,1542,2,30122,1,1,1,2
5,3,305,1542,2,30123,1,1,1,2
5,3,305,1542,2,30124,1,1,1,2
5,3,305,1542,2,30125,1,1,2,2
5,3,305,1542,2,30126,1,2,1,2
5,3,305,1542,2,30127,1,1,1,2
5,3,305,1542,2,30128,1,1,2,1
5,3,305,1542,2,30129,1,2,2,2
5,3,305,1542,2,30130,2,1,2,2
5,3,311,20,2,30131,1,1,2,2
5,3,311,20,2,30132,1,1,2,2
5,3,311,20,2,30133,1,1,1,2
5,3,311,20,2,30134,1,2,2,2
5,3,311,20,2,30135,1,1,1,2
5,3,311,20,2,30137,1,2,2,2
5,3,311,20,2,30138,1,2,2,2
5,3,311,20,2,30139,1,2,2,2
5,3,311,20,2,30140,1,1,1,2
5,3,302,302,2,39001,2,2,2,2
5,3,302,302,2,39002,2,2,2,2
5,3,302,302,2,39003,1,2,1,2
5,3,302,302,2,39004,2,1,2,2
5,3,302,302,2,39005,1,1,2,2
5,3,302,302,2,39006,2,1,2,2
5,3,302,302,2,39007,1,1,2,2
5,3,302,302,2,39008,2,2,2,2
5,3,302,302,2,39009,1,2,2,2
5,3,302,302,2,39010,1,1,2,2
5,3,305,1164,2,39012,1,1,2,2
5,3,305,1164,2,39013,1,1,1,2
5,3,305,1164,2,39014,1,1,2,2
5,3,305,1164,2,39015,2,2,2,2
5,3,305,1164,2,39016,1,1,2,2
5,3,305,1164,2,39017,1,1,2,2
5,3,305,1164,2,39018,1,1,1,2
5,3,305,1164,2,39020,1,2,2,2
5,3,305,1164,2,39021,1,2,2,2
5,3,305,1164,2,39022,1,1,1,2
5,3,308,102,2,39023,1,1,1,1
5,3,308,102,2,39024,2,2,2,2
5,3,308,102,2,39025,2,1,2,2
5,3,308,102,2,39026,2,2,2,2
5,3,308,102,2,39028,1,1,1,2
5,3,308,102,2,39029,2,1,2,2
5,3,308,102,2,39030,2,2,2,2
5,3,308,102,2,39031,1,1,2,2
5,3,308,102,2,39032,2,2,2,2
5,3,308,102,2,39033,2,2,2,2
5,3,309,698,2,39035,2,2,2,2
5,3,309,698,2,39036,1,1,2,2
5,3,309,698,2,39037,1,1,1,2
5,3,309,698,2,39039,1,1,2,2
5,3,309,698,2,39040,1,1,1,1
5,3,309,698,2,39041,1,2,2,2
5,3,309,698,2,39042,1,1,2,2
5,3,309,698,2,39043,1,1,2,2
5,3,309,698,2,39044,1,1,1,2
5,3,309,698,2,39045,1,1,1,2
5,3,316,910,2,39048,1,1,2,2
5,3,316,910,2,39051,2,2,2,2
5,3,316,910,2,39052,2,2,1,2
5,3,316,910,2,39053,2,1,2,2
5,3,316,910,2,39054,2,1,2,2
5,3,316,910,2,39056,2,2,2,2
5,3,316,910,2,39057,1,2,2,2
5,3,316,910,2,39058,2,2,2,2
5,3,317,586,2,39059,1,2,2,1
5,3,317,586,2,39061,1,1,2,2
5,3,317,586,2,39062,2,2,1,2
5,3,317,586,2,39064,1,1,2,2
5,3,317,586,2,39066,1,1,2,2
5,3,317,586,2,39068,1,2,2,2
5,3,317,586,2,39069,1,1,2,2
5,3,317,586,2,39070,1,1,2,2
5,3,318,56,2,39071,1,1,1,2
5,3,318,56,2,39072,1,1,1,2
5,3,318,56,2,39074,1,1,1,2
5,3,318,56,2,39077,1,1,2,2
5,3,318,56,2,39078,2,1,2,2
5,3,318,56,2,39079,1,1,1,2
5,3,318,56,2,39080,1,1,2,2
5,3,318,56,2,39081,1,1,1,2
5,3,318,56,2,39082,1,1,2,2
5,3,304,10,2,39083,1,2,2,2
5,3,304,10,2,39084,1,1,2,2
5,3,304,10,2,39087,1,1,2,2
5,3,304,10,2,39088,1,1,1,2
5,3,304,10,2,39089,1,1,1,2
5,3,304,10,2,39090,1,1,1,1
5,3,304,10,2,39091,1,1,2,2
5,3,304,10,2,39092,1,1,2,2
5,3,304,10,2,39093,1,1,2,2
5,3,304,10,2,39094,2,2,2,2
5,3,304,184,2,39095,1,2,2,2
5,3,304,184,2,39096,1,1,2,2
5,3,304,184,2,39098,1,1,2,2
5,3,304,184,2,39100,2,2,2,2
5,3,304,184,2,39101,1,1,1,1
5,3,304,184,2,39102,1,1,2,2
5,3,304,184,2,39103,1,1,1,1
5,3,304,184,2,39104,1,2,2,2
5,3,304,184,2,39105,1,1,2,2
5,3,304,184,2,39106,1,1,2,2
5,3,320,266,2,39107,1,1,2,2
