"zone","state","lga","sector","ea","hhid","ent_id","indiv","s9q13b__0","s9q13b__1","s9q13b__2","s9q13b__3","s9q13b__4","s9q13b__5","s9q13b__6","s9q13b__7","s9q13b__8","s9q13b__9","s9q13b__10","s9q13b__11","s9q13b__12","s9q13b__13","s9q13b__14","s9q13b__15","s9q13b__16","s9q13c","s9q13d"
4,1,102,1,806,19017,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,11
4,1,102,1,806,19018,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,102,1,806,19019,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,102,1,806,19019,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,102,1,806,19020,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,102,1,806,19020,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,102,1,806,19023,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,10
4,1,102,1,806,19024,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,9
4,1,102,1,806,19024,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,102,1,2486,19025,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,10
4,1,102,1,2486,19026,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,9
4,1,102,1,2486,19029,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,26,6
4,1,102,1,2486,19031,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,10
4,1,102,1,2486,19031,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,10
4,1,102,1,2486,19032,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,9
4,1,102,1,2486,19032,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,9
4,1,102,1,2486,19033,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,102,1,2486,19033,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,8
4,1,102,1,2486,19033,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,102,1,2486,19034,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,102,1,2486,19034,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,8
4,1,102,1,2486,19035,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,9
4,1,104,2,412,19038,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,9
4,1,104,2,412,19040,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,,,26,8
