"zone","state","lga","sector","ea","hhid","plotid","s11c1q2a","s11c1q2","s11c1q3","s11c1q3a","s11c1q4","s11c1q4a_1","s11c1q4a_2","s11c1q4a_3","s11c1q4a_4","s11c1q4a_5","s11c1q5a","s11c1q5","s11c1q6","s11c1q6a","s11c1q7","s11c1q7a_1","s11c1q7a_2","s11c1q7a_3","s11c1q7a_4","s11c1q7a_5","s11c1q8a","s11c1q8","s11c1q9","s11c1q9a","s11c1q10","s11c1q10a_1","s11c1q10a_2","s11c1q10a_3","s11c1q10a_4","s11c1q10a_5","s11c1q13a","s11c1q14a","s11c1q15a","s11c1q16a","s11c1q17a_1","s11c1q17a_2","s11c1q17a_3","s11c1q17a_4","s11c1q17a_5","s11c1q13b","s11c1q14b","s11c1q15b","s11c1q16b","s11c1q17b_1","s11c1q17b_2","s11c1q17b_3","s11c1q17b_4","s11c1q17b_5","s11c1q13c","s11c1q14c","s11c1q15c","s11c1q16c","s11c1q17c_1","s11c1q17c_2","s11c1q17c_3","s11c1q17c_4","s11c1q17c_5"
5,3,320,2,266,39116,1,1,7,3,5,10500,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,320,2,266,39116,2,1,3,3,5,4500,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,320,2,266,39116,3,1,2,2,5,3000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,320,2,266,39116,4,1,4,3,5,4500,1,0,0,0,0,1,3,3,5,4500,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,320,2,266,39118,1,2,,,,,,,,,,1,4,2,3,2500,0,0,1,0,0,1,2,1,1,1000,1,0,0,0,0,1,7,1,3,1,0,0,0,0,2,,,,,,,,,2,,,,,,,,
5,3,323,2,488,39119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,2,3,18,1,1,1,0,0,2,,,,,,,,
5,3,323,2,488,39120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,2,2,10,0,1,1,0,0,2,,,,,,,,
5,3,323,2,488,39120,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,3,2,12,0,1,1,0,0,1,1,1,7,0,0,1,0,0
5,3,323,2,488,39127,2,2,,,,,,,,,,1,2,2,7,1000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,323,2,488,39130,1,2,,,,,,,,,,2,,,,,,,,,,1,1,1,2,600,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,323,2,488,39130,3,1,3,3,3,1000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39135,1,2,,,,,,,,,,1,4,1,5,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39135,2,1,4,1,4,2000,1,0,0,0,0,1,4,1,5,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39136,5,1,1,2,6,1000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39138,1,1,2,2,6,1000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39138,2,1,3,2,6,1000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39138,3,1,3,3,6,1000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39138,5,1,3,2,6,1000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39139,4,2,,,,,,,,,,1,8,1,6,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39140,1,1,6,1,5,1000,1,0,0,0,0,1,1,1,5,1000,0,0,1,0,0,2,,,,,,,,,,1,1,1,4,1,0,0,0,0,2,,,,,,,,,2,,,,,,,,
5,3,326,2,502,39140,5,1,1,1,4,1000,1,0,0,0,0,1,1,1,5,1000,0,0,1,0,0,2,,,,,,,,,,1,1,1,4,1,0,0,0,0,2,,,,,,,,,2,,,,,,,,
5,3,326,2,502,39141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,1,0,0,0,0,1,9,2,4,0,1,1,0,0,1,2,2,4,0,1,1,0,0
5,3,326,2,502,39142,2,1,7,1,3,1500,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39143,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,0,0,0,0,1,1,1,4,0,0,1,0,0,2,,,,,,,,
5,3,327,2,196,39144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,1,0,0,0,0,2,,,,,,,,,2,,,,,,,,
5,3,327,2,196,39144,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,1,0,0,0,0,2,,,,,,,,,2,,,,,,,,
5,3,327,2,196,39146,3,1,2,1,5,2000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39146,6,1,1,1,3,2000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39146,7,1,2,1,5,2000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39146,8,1,2,2,5,2000,1,0,0,0,0,1,2,2,4,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39146,9,1,2,2,4,2000,1,0,0,0,0,1,2,2,2,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39146,10,1,2,2,4,2000,1,0,0,0,0,1,2,2,2,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39146,11,1,2,1,4,2500,1,0,0,0,0,1,2,2,5,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39151,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,6,1,1,0,0,0,1,3,1,6,0,0,1,0,0,1,2,1,6,0,0,1,0,0
5,3,327,2,196,39151,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,6,1,0,0,0,0,1,3,1,6,0,0,1,0,0,1,3,1,6,0,0,1,0,0
5,3,327,2,196,39153,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,3,1,3,1,0,0,0,0
5,3,327,2,196,39154,1,1,4,1,3,1000,0,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39154,2,1,3,1,3,2500,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,3,3,4,0,1,1,0,0,2,,,,,,,,
5,3,327,2,246,39158,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,1,0,0,0,0,2,,,,,,,,,2,,,,,,,,
5,3,327,2,246,39160,1,2,,,,,,,,,,1,1,2,5,4000,0,0,1,0,0,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,3,1,5,1,0,0,0,0
5,3,327,2,246,39160,4,2,,,,,,,,,,1,1,2,6,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39161,1,2,,,,,,,,,,1,2,2,3,1000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,1,0,0,0,0,2,,,,,,,,,2,,,,,,,,
5,3,327,2,246,39166,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,0,0,0,0,2,,,,,,,,,2,,,,,,,,
5,3,329,2,608,39167,1,2,,,,,,,,,,1,3,15,7,1500,1,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,329,2,608,39169,1,2,,,,,,,,,,2,,,,,,,,,,1,3,6,5,1000,1,1,1,0,0,2,,,,,,,,,1,2,3,5,1,1,0,0,0,2,,,,,,,,
5,3,329,2,608,39169,2,2,,,,,,,,,,1,4,2,6,2000,1,1,0,0,0,1,4,7,4,500,1,0,1,0,0,2,,,,,,,,,1,2,7,4,1,1,1,0,0,2,,,,,,,,
5,3,329,2,608,39170,4,1,35,7,9,1500,1,1,0,0,0,1,40,10,8,1500,0,1,1,0,0,1,20,10,8,1000,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,329,2,608,39171,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,4,0,0,1,0,0,2,,,,,,,,,2,,,,,,,,
5,3,329,2,608,39171,5,2,,,,,,,,,,2,,,,,,,,,,1,4,4,6,600,0,0,1,0,0,1,2,3,5,0,0,1,0,0,2,,,,,,,,,2,,,,,,,,
5,3,329,2,608,39171,6,2,,,,,,,,,,2,,,,,,,,,,1,2,3,4,500,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,329,2,608,39171,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,6,0,0,1,0,0,2,,,,,,,,,2,,,,,,,,
5,3,329,2,608,39174,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,3,6,0,1,1,0,0,2,,,,,,,,
5,3,329,2,608,39174,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,3,3,0,1,1,0,0,2,,,,,,,,
5,3,329,2,608,39174,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,3,3,0,1,1,0,0,2,,,,,,,,
5,3,329,2,608,39175,7,2,,,,,,,,,,1,3,1,5,3000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,329,2,608,39176,2,2,,,,,,,,,,1,1,3,6,1000,0,0,1,0,0,2,,,,,,,,,,2,,,,,,,,,1,1,1,6,0,0,1,0,0,2,,,,,,,,
5,3,329,2,608,39178,1,2,,,,,,,,,,1,1,3,7,1000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,329,2,608,39178,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,2,2,8,0,0,1,0,0,2,,,,,,,,
5,3,329,2,608,39178,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,2,2,8,0,0,1,0,0,2,,,,,,,,
5,3,316,2,910,39186,4,1,2,2,4,2000,1,0,0,0,0,1,2,2,5,1500,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,316,2,910,39186,5,1,2,2,5,2000,1,0,0,0,0,1,3,2,5,1500,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,316,2,910,39186,8,1,2,1,6,2000,1,0,0,0,0,1,2,2,5,1500,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,317,2,586,39188,1,2,,,,,,,,,,1,1,2,5,2000,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,317,2,586,39188,2,2,,,,,,,,,,1,1,2,4,2000,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,317,2,586,39188,3,2,,,,,,,,,,1,1,2,5,2000,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,304,2,184,39193,2,1,5,6,4,1000,1,1,0,0,0,1,3,5,3,800,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,304,2,184,39193,3,1,5,4,7,1000,1,1,0,0,0,1,5,6,4,800,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,304,2,184,39193,4,1,4,6,4,1000,1,0,0,0,0,1,6,7,5,800,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,323,2,488,39198,1,1,2,2,3,2500,1,1,0,0,0,1,2,2,4,3000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,417,1,678,40011,1,1,4,3,6,3000,1,1,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,417,1,678,40015,1,1,2,4,5,10000,1,1,1,0,0,1,2,3,4,8000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,800,40172,1,1,1,1,8,2100,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,800,40172,2,1,1,1,5,1800,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,0,40173,2,1,2,4,9,2000,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,800,40175,1,1,1,1,4,3000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,0,40176,1,1,1,2,9,4000,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,0,40176,2,1,1,2,8,3500,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,0,40176,3,1,1,2,9,3500,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,800,40177,1,1,2,2,5,2500,1,1,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,800,40177,2,1,3,2,5,2500,1,1,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,800,40177,7,1,2,3,5,2500,1,1,0,0,0,1,2,1,5,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,800,40178,1,1,2,6,6,1200,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,421,1,800,40178,2,1,2,2,12,2500,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40202,1,1,3,3,3,2000,1,1,0,0,0,1,2,2,5,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40202,2,1,3,10,5,2500,1,1,0,0,0,1,2,8,5,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40202,3,1,3,10,5,2500,1,1,0,0,0,1,2,8,5,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40202,4,1,3,10,5,2500,1,1,0,0,0,1,2,8,5,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40202,5,1,3,10,5,2500,1,1,0,0,0,1,2,8,5,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40206,1,1,2,4,12,1500,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40206,3,1,2,2,10,1750,1,1,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40207,1,1,2,1,5,2500,1,1,0,0,0,1,1,2,6,2000,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40208,1,1,1,1,3,1500,1,0,0,1,0,1,1,1,3,1000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40208,2,1,2,2,7,2500,1,0,0,1,0,1,2,3,4,2000,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40208,3,1,2,2,7,2500,1,0,0,1,0,1,2,2,4,1500,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40209,1,1,2,3,2,5000,1,1,0,0,0,1,2,2,4,4000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,1080,40209,2,1,2,2,3,3000,1,1,1,0,0,1,2,2,2,2500,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49001,1,1,2,2,4,2000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49001,2,1,2,5,4,2000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49003,1,1,1,1,12,3000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49004,1,1,2,3,5,2000,1,1,0,0,0,1,2,2,4,2000,1,0,1,0,0,2,,,,,,,,,,1,2,2,3,1,0,1,0,0,1,2,2,4,1,0,1,0,0,2,,,,,,,,
4,4,402,2,874,49004,2,1,2,2,7,2500,1,0,0,1,0,1,2,2,4,2000,1,0,1,0,0,2,,,,,,,,,,1,2,3,3,1,0,1,0,0,1,2,2,3,1,0,1,0,0,2,,,,,,,,
4,4,402,2,874,49004,3,1,2,2,7,2500,1,0,0,1,0,1,2,3,3,2000,1,0,1,0,0,2,,,,,,,,,,1,2,3,3,1,1,0,0,0,1,2,3,2,1,0,1,0,0,2,,,,,,,,
4,4,402,2,874,49004,4,1,2,2,7,2500,1,0,0,1,0,1,2,2,4,2500,1,0,1,0,0,2,,,,,,,,,,1,2,2,3,1,1,0,0,0,1,2,2,3,1,0,1,0,0,2,,,,,,,,
4,4,402,2,874,49004,5,1,2,2,8,3000,1,1,0,1,0,1,2,2,4,2000,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49005,1,1,2,2,4,3000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49005,2,1,2,2,4,3000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49005,3,1,1,1,4,2500,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49005,4,1,2,1,5,2500,1,1,0,1,0,2,,,,,,,,,,2,,,,,,,,,,1,2,1,4,1,1,0,0,0,2,,,,,,,,,2,,,,,,,,
4,4,402,2,874,49006,2,2,,,,,,,,,,1,2,3,7,2000,1,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49006,3,2,,,,,,,,,,1,2,3,7,2000,1,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49007,1,1,2,3,7,2000,1,1,1,0,0,1,2,3,6,2000,1,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49007,2,1,2,12,7,2000,1,1,1,0,0,1,2,12,7,2000,1,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49007,3,1,2,14,8,2000,1,1,1,0,0,1,2,12,7,2000,1,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49008,1,1,1,2,5,1000,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49008,2,1,2,5,6,1500,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49009,1,1,3,3,3,1600,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49009,2,1,3,3,3,1600,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49009,3,1,3,3,3,1600,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49009,4,1,3,3,3,1600,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49010,1,1,4,3,11,2500,1,0,0,1,0,1,5,4,6,2000,0,1,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49010,2,1,3,4,8,3000,1,0,0,1,0,1,3,5,5,2500,0,1,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49010,3,1,4,4,8,2500,1,1,0,1,0,1,5,5,6,2000,0,1,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49011,1,1,2,3,4,2000,1,1,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49011,2,1,5,5,8,3000,1,0,0,1,0,1,5,5,3,2000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49011,3,1,3,4,7,3000,1,0,0,1,0,1,5,4,4,2000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49013,1,1,2,2,5,2000,1,1,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49013,2,1,2,1,4,2500,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49013,3,1,1,1,3,2500,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49015,3,1,2,2,6,2500,1,1,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49015,5,1,1,2,5,2500,1,1,1,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49017,1,1,1,20,8,2000,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49018,1,1,2,3,12,2000,1,0,0,1,0,1,2,3,9,670,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49019,1,1,3,2,5,2500,1,1,0,0,0,1,2,2,5,2500,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49019,2,1,3,2,5,2500,1,1,0,0,0,1,2,3,4,2500,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49019,3,1,3,2,5,2500,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49023,1,1,2,3,9,1500,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49023,2,1,2,1,8,2500,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49023,3,1,1,1,9,2000,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49023,4,1,1,1,8,2000,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49024,1,1,2,3,8,2500,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49025,3,1,14,2,9,800,1,1,0,1,0,1,6,2,9,800,0,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49026,1,1,1,2,8,2000,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49027,1,1,2,1,5,3000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49027,2,1,2,2,6,3000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49027,3,1,2,2,6,3000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49027,4,1,2,2,5,3000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49030,1,1,2,1,5,3000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49030,2,1,2,1,5,3000,1,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49030,3,1,2,1,5,3000,1,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
