"zone","state","lga","sector","ea","hhid","s9q0","s9q1c__1","s9q1c__2","s9q1c__3","s9q1c__4","s9q1c__5","s9q1c__6","s9q1c__7","s9q1c__8","s9q1d"
4,1,104,2,412,19040,1,1,0,0,0,0,0,0,0,1
4,1,104,2,412,19041,1,0,0,0,0,0,0,0,0,2
4,1,104,2,412,19043,1,0,0,0,0,0,0,0,0,2
4,1,104,2,412,19044,1,0,0,0,0,0,0,0,1,1
4,1,104,2,412,19045,2,1,0,0,0,0,0,0,0,1
4,1,104,2,412,19047,4,0,0,1,1,0,0,0,0,1
4,1,104,2,412,19048,1,1,0,0,0,0,1,0,0,1
4,1,104,2,1020,19049,2,1,0,0,0,0,0,0,0,1
4,1,104,2,1020,19050,2,1,0,0,0,0,0,0,0,1
4,1,104,2,1020,19051,1,0,0,0,0,0,0,0,0,2
4,1,104,2,1020,19052,1,0,0,0,0,0,0,0,0,2
4,1,104,2,1020,19054,1,0,0,0,0,0,0,0,0,2
4,1,104,2,1020,19055,1,0,0,0,1,0,0,0,0,1
4,1,104,2,1020,19056,1,0,0,0,0,0,0,0,0,2
4,1,104,2,1020,19058,2,0,0,1,0,0,0,0,0,1
4,1,104,2,1020,19060,2,1,0,1,0,0,0,0,0,1
4,1,107,2,10,19061,1,0,0,0,0,0,0,0,1,1
4,1,107,2,10,19062,4,0,0,1,0,0,0,0,0,1
4,1,107,2,10,19063,1,0,0,0,0,0,0,0,0,2
4,1,107,2,10,19064,1,0,0,0,0,0,0,0,0,2
4,1,107,2,10,19066,2,0,0,0,0,0,0,0,0,2
4,1,107,2,10,19068,1,0,0,0,0,0,0,0,0,2
4,1,107,2,10,19069,1,0,0,0,0,0,0,0,1,1
4,1,107,2,10,19070,2,1,0,0,0,0,0,0,0,1
4,1,107,2,10,19071,1,0,0,0,0,0,0,0,1,1
4,1,107,2,10,19072,1,0,0,0,1,0,0,0,0,1
4,1,107,2,1322,19073,2,0,0,1,0,0,0,0,0,1
4,1,107,2,1322,19075,2,0,0,1,0,0,0,0,0,1
4,1,107,2,1322,19076,2,0,0,0,0,0,0,0,0,2
4,1,107,2,1322,19077,1,0,0,0,1,0,0,0,0,1
4,1,107,2,1322,19079,1,0,0,0,0,0,0,0,0,2
4,1,107,2,1322,19080,1,0,0,1,0,0,0,0,0,1
4,1,107,2,1322,19081,3,0,0,1,0,0,0,0,0,1
4,1,107,2,1322,19082,1,0,0,1,1,0,0,0,0,1
4,1,107,2,1322,19084,2,1,1,0,0,0,0,0,0,1
4,1,109,2,1214,19085,1,0,0,0,0,0,1,0,0,1
4,1,109,2,1214,19087,2,0,0,1,0,0,0,0,0,1
4,1,109,2,1214,19088,1,0,0,0,1,0,0,0,0,1
4,1,109,2,1214,19089,1,0,0,0,0,0,0,0,,2
4,1,109,2,1214,19091,1,0,0,0,0,0,0,0,0,2
4,1,109,2,1214,19092,2,0,0,0,0,0,0,0,0,2
4,1,109,2,1214,19093,1,0,0,0,0,0,0,0,0,2
4,1,109,2,1214,19094,1,1,0,0,0,0,0,0,0,1
4,1,109,2,1214,19095,2,0,0,0,0,0,0,0,1,1
4,1,109,2,1214,19096,1,0,0,0,0,0,0,0,1,1
4,1,109,2,1792,19097,1,0,0,0,0,0,1,0,0,1
4,1,109,2,1792,19098,1,0,0,0,0,0,0,0,0,2
4,1,109,2,1792,19099,2,0,0,0,0,0,0,0,0,2
4,1,109,2,1792,19100,2,0,0,1,0,0,0,0,0,1
4,1,109,2,1792,19101,3,1,0,0,0,0,0,0,0,1
4,1,109,2,1792,19103,3,0,0,0,0,0,0,0,0,2
4,1,109,2,1792,19104,1,1,0,0,0,0,0,0,0,1
4,1,109,2,1792,19105,1,1,0,0,0,0,0,0,0,1
4,1,109,2,1792,19106,7,0,0,1,0,0,0,0,0,1
4,1,109,2,1792,19107,1,1,0,0,0,0,0,0,0,1
4,1,109,2,1996,19110,1,0,0,1,0,0,0,0,1,1
4,1,109,2,1996,19111,1,0,0,0,0,0,1,0,0,1
4,1,109,2,1996,19112,2,0,0,0,0,0,0,0,1,1
4,1,109,2,1996,19113,1,0,0,0,0,0,0,0,0,2
4,1,109,2,1996,19115,2,0,0,0,0,0,0,0,0,2
4,1,109,2,1996,19116,2,0,0,0,0,0,0,0,0,2
4,1,109,2,1996,19117,1,1,0,0,0,0,0,0,0,1
4,1,109,2,1996,19118,1,1,0,0,0,0,0,0,0,1
4,1,109,2,1996,19119,1,0,0,0,0,0,0,0,0,2
4,1,109,2,1996,19120,2,0,0,0,0,0,0,0,0,2
4,1,110,2,338,19121,3,0,0,1,0,0,0,,0,1
4,1,110,2,338,19122,2,0,0,0,0,,0,0,0,2
4,1,110,2,338,19123,2,0,0,0,0,0,0,0,0,2
4,1,110,2,338,19124,1,0,0,0,0,0,0,0,0,2
4,1,110,2,338,19125,1,0,0,0,0,0,0,0,0,2
4,1,110,2,338,19126,1,0,0,0,0,0,0,0,0,2
4,1,110,2,338,19127,1,0,,0,0,0,0,0,0,2
4,1,110,2,338,19129,2,0,0,1,0,0,0,0,0,1
4,1,110,2,338,19130,1,0,0,0,0,0,0,0,0,2
4,1,110,2,338,19131,1,0,0,0,0,0,0,0,0,2
4,1,111,2,118,19133,2,0,0,1,0,0,0,0,0,1
4,1,111,2,118,19135,1,0,0,0,0,0,0,0,0,2
4,1,111,2,118,19136,2,0,0,0,0,0,0,0,0,2
4,1,111,2,118,19137,1,0,0,0,0,0,0,0,1,1
4,1,111,2,118,19138,2,0,0,0,0,0,0,0,0,2
4,1,111,2,118,19139,1,0,0,0,0,0,0,0,0,2
4,1,111,2,118,19140,1,1,0,0,0,0,0,0,0,1
4,1,111,2,118,19141,1,0,0,0,0,0,0,0,0,2
4,1,111,2,118,19143,1,0,0,0,0,0,0,0,0,2
4,1,111,2,118,19144,1,0,0,0,0,0,0,0,0,2
4,1,112,2,266,19145,2,0,0,1,1,0,0,0,1,1
4,1,112,2,266,19146,1,0,0,0,0,0,1,0,0,1
4,1,112,2,266,19147,2,0,0,1,0,0,1,0,0,1
4,1,112,2,266,19148,1,0,0,0,0,0,0,0,0,2
4,1,112,2,266,19149,2,0,0,1,0,0,0,0,0,1
4,1,112,2,266,19150,1,1,0,0,0,0,0,0,0,1
4,1,112,2,266,19151,2,0,0,1,0,0,0,0,0,1
4,1,112,2,266,19152,1,0,0,0,1,0,0,0,0,1
4,1,112,2,266,19153,1,1,0,1,0,0,0,0,0,1
4,1,112,2,556,19158,2,0,0,1,0,0,0,0,0,1
4,1,112,2,556,19159,1,0,0,0,0,0,0,0,0,2
4,1,112,2,556,19160,2,0,0,0,0,0,0,0,0,2
4,1,112,2,556,19161,1,0,0,0,0,0,0,0,0,2
4,1,112,2,556,19163,1,0,0,0,1,0,0,0,0,1
4,1,112,2,556,19164,1,0,0,0,0,0,0,0,0,2
4,1,112,2,556,19165,1,0,0,0,0,0,0,0,0,2
4,1,112,2,556,19166,1,0,0,0,0,0,0,0,0,2
4,1,112,2,556,19167,1,0,0,0,0,0,0,0,1,1
4,1,112,2,556,19168,2,0,0,0,1,0,1,0,0,1
4,1,113,2,6,19169,1,0,0,0,0,0,0,0,0,2
4,1,113,2,6,19170,1,1,0,0,0,0,0,0,0,1
4,1,113,2,6,19173,1,0,1,0,0,0,0,0,0,1
4,1,113,2,6,19174,1,0,1,0,0,0,0,0,0,1
4,1,113,2,6,19175,1,0,0,0,0,0,0,0,0,2
4,1,113,2,6,19177,2,0,0,0,0,0,0,0,0,2
4,1,113,2,6,19178,1,0,0,0,0,0,0,0,0,2
4,1,113,2,6,19179,2,0,0,0,0,0,0,0,1,1
4,1,113,2,6,19180,1,0,0,0,0,0,0,0,0,2
4,1,113,2,44,19181,2,0,0,1,0,0,0,0,0,1
4,1,113,2,44,19182,2,0,0,1,0,0,0,0,0,1
4,1,113,2,44,19183,1,0,0,0,0,0,0,0,0,2
4,1,113,2,44,19184,1,0,0,0,0,0,0,0,0,2
4,1,113,2,44,19185,1,0,0,0,1,0,0,0,0,1
4,1,113,2,44,19186,2,0,0,0,0,0,0,0,0,2
4,1,113,2,44,19187,1,0,0,0,0,0,0,0,0,2
4,1,113,2,44,19188,2,0,0,0,0,0,0,0,0,2
4,1,113,2,44,19191,4,0,0,0,0,0,0,0,0,2
4,1,113,2,44,19192,1,0,0,0,0,0,0,0,0,2
4,1,113,2,284,19193,2,0,0,1,0,0,0,0,0,1
4,1,113,2,284,19194,1,0,0,1,0,0,0,0,0,1
4,1,113,2,284,19195,1,0,0,0,0,0,0,0,0,2
4,1,113,2,284,19196,2,0,0,0,0,0,0,0,1,1
4,1,113,2,284,19197,1,0,0,0,0,0,0,0,0,2
4,1,113,2,284,19198,1,0,0,0,0,0,0,0,0,2
4,1,113,2,284,19199,1,0,0,0,0,0,0,0,0,2
4,1,113,2,284,19201,1,0,0,0,0,0,0,0,0,2
4,1,113,2,284,19202,1,0,0,0,0,0,0,0,0,2
4,1,113,2,284,19204,1,0,0,0,0,0,0,0,0,2
4,1,115,1,176,19205,2,1,0,0,0,0,0,0,0,1
4,1,115,1,176,19206,2,1,0,0,0,0,0,0,0,1
4,1,115,1,176,19207,1,0,0,0,0,0,0,0,0,2
4,1,115,1,176,19208,2,0,0,0,0,0,1,0,0,1
4,1,115,1,176,19209,1,0,0,1,1,0,0,0,0,1
4,1,115,1,176,19211,1,0,0,1,0,0,0,0,0,1
4,1,115,1,176,19213,1,0,0,0,0,0,0,0,0,2
4,1,115,1,176,19214,1,0,0,0,0,1,0,0,0,1
4,1,115,1,176,19215,1,0,0,0,0,0,0,0,0,2
4,1,115,1,550,19217,2,0,0,0,0,0,0,0,0,2
4,1,115,1,550,19218,2,0,0,1,0,0,1,0,0,1
4,1,115,1,550,19222,2,0,0,1,0,0,0,0,0,1
4,1,115,1,550,19224,1,0,0,0,0,0,0,0,0,2
4,1,115,1,550,19225,2,0,0,0,0,0,0,1,0,1
4,1,115,1,550,19226,1,0,0,0,0,0,0,0,0,2
4,1,115,1,550,19227,2,0,1,0,0,0,0,0,0,1
4,1,115,1,550,19228,1,0,0,0,0,0,0,0,0,2
