"version","interview__key","zone","state","lga","sector","ea","cluster_id","InterviewDate"
"2","59-23-80-84",2,2,210,2,1300,"210-1300","2018-07-19T03:39:42"
"3","88-14-79-25",5,3,304,2,184,"304-184","2018-07-21T08:15:05"
"3","46-34-51-33",5,9,909,1,506,"909-506","2018-07-30T12:33:04"
"3","12-18-91-69",1,31,3110,2,334,"3110-334","2018-08-03T03:46:43"
"3","77-05-75-93",1,26,2616,2,254,"2616-254","2018-07-29T09:11:05"
"3","74-82-99-37",5,10,1008,2,1314,"1008-1314","2018-07-29T08:00:34"
"3","54-74-12-44",4,14,1416,2,1134,"1416-1134","2018-08-13T07:34:37"
"3","39-88-31-83",1,31,3111,2,1128,"3111-1128","2018-07-22T10:54:36"
"3","73-82-56-66",4,14,1401,2,386,"1401-386","2018-07-26T08:00:17"
"3","12-34-60-45",3,18,1822,2,1898,"1822-1898","2018-08-06T06:45:04"
"3","58-93-64-92",3,19,1909,2,1684,"1909-1684","2018-08-14T05:54:19"
"3","14-06-31-09",5,3,309,2,698,"309-698","2018-07-20T08:33:12"
"3","60-71-32-35",3,18,1802,2,1040,"1802-1040","2018-07-28T05:52:14"
"3","63-03-08-52",2,35,3513,2,576,"3513-576","2018-08-01T04:53:34"
"3","37-75-45-86",1,7,704,2,10,"704-10","2018-07-21T01:51:41"
"3","62-82-50-05",2,34,3401,2,370,"3401-370","2018-07-28T05:54:14"
"3","42-74-86-87",2,5,506,2,696,"506-696","2018-08-06T08:25:21"
"2","70-34-37-55",3,20,2034,2,908,"2034-908","2018-07-18T08:46:38"
"3","86-65-81-49",4,1,111,2,118,"111-118","2018-08-04T10:39:38"
"3","04-09-64-72",2,34,3411,2,1034,"3411-1034","2018-07-19T03:59:47"
"3","64-79-80-35",5,12,1201,2,320,"1201-320","2018-08-08T02:45:25"
"3","39-09-56-49",3,21,2101,1,148,"2101-148","2018-07-20T10:20:05"
"3","13-15-93-05",3,18,1817,2,572,"1817-572","2018-08-08T04:56:51"
"3","67-61-02-69",5,3,317,2,586,"317-586","2018-07-30T07:13:57"
"3","85-64-37-31",4,1,113,2,6,"113-6","2018-08-07T11:00:24"
"3","44-04-68-03",3,18,1812,2,42,"1812-42","2018-08-03T06:28:03"
"3","14-63-12-54",3,36,3613,2,1066,"3613-1066","2018-08-06T06:26:13"
"2","92-79-46-78",5,32,3215,1,4712,"3215-4712","2018-07-18T11:57:47"
"3","95-37-47-17",2,5,505,2,1292,"505-1292","2018-08-16T11:06:49"
"3","07-46-07-51",5,32,3213,2,128,"3213-128","2018-07-29T08:55:14"
"3","69-52-62-79",4,16,1615,2,220,"1615-220","2018-07-27T04:59:21"
"3","67-76-08-58",3,21,2119,2,3992,"2119-3992","2018-07-30T11:04:34"
"3","16-84-39-82",6,27,2711,1,710,"2711-710","2018-08-19T11:00:24"
"3","03-76-52-24",4,1,110,2,338,"110-338","2018-07-24T08:18:00"
"3","83-99-95-69",5,12,1203,1,334,"1203-334","2018-08-12T06:19:28"
"2","36-67-16-09",5,32,3223,2,668,"3223-668","2018-08-10T07:31:58"
"3","28-79-36-95",4,4,419,1,1006,"419-1006","2018-07-26T05:37:01"
"3","33-01-70-04",3,18,1802,1,3204,"1802-3204","2018-07-26T05:11:34"
"3","13-75-39-97",3,20,2032,2,50,"2032-50","2018-07-30T10:11:30"
"3","76-25-36-85",1,37,3703,1,236,"3703-236","2018-07-24T09:57:04"
"3","53-45-29-90",4,1,113,2,44,"113-44","2018-08-09T11:48:05"
"3","77-45-08-06",4,16,1607,2,574,"1607-574","2018-08-01T05:24:43"
"3","04-71-32-45",4,16,1627,2,126,"1627-126","2018-08-10T06:22:40"
"3","18-37-42-12",2,2,212,2,100,"212-100","2018-08-06T09:14:40"
"3","31-74-41-00",1,26,2620,2,590,"2620-590","2018-08-14T09:12:23"
"3","60-29-03-30",1,31,3112,2,350,"3112-350","2018-08-07T07:53:48"
"3","59-09-86-97",6,29,2915,1,622,"2915-622","2018-08-03T11:52:37"
"3","03-02-04-99",5,32,3206,1,1646,"3206-1646","2018-08-03T08:05:05"
"3","37-81-30-99",2,5,502,2,3878,"502-3878","2018-07-21T03:29:46"
"2","70-41-38-51",5,3,301,1,1198,"301-1198","2018-07-18T06:09:43"
"3","19-10-69-70",1,23,2305,2,174,"2305-174","2018-08-02T04:39:06"
"3","87-10-09-17",4,4,407,1,680,"407-680","2018-08-21T07:42:25"
"3","14-87-37-06",1,23,2304,2,432,"2304-432","2018-08-02T10:52:46"
"3","04-36-76-30",4,1,102,1,2486,"102-2486","2018-08-15T10:20:42"
"3","25-49-75-26",1,26,2613,2,1462,"2613-1462","2018-07-21T03:15:26"
"3","72-18-58-34",2,2,209,2,1040,"209-1040","2018-08-08T11:03:08"
"3","67-04-46-55",6,24,2419,1,488,"2419-488","2018-07-20T05:40:22"
"3","63-86-85-11",3,19,1941,2,1112,"1941-1112","2018-08-16T08:23:29"
"3","75-91-62-70",6,28,2816,1,2146,"2816-2146","2018-07-23T11:29:56"
"2","02-36-72-71",5,12,1212,1,2598,"1212-2598","2018-07-19T08:17:14"
"3","35-08-89-18",5,3,302,2,302,"302-302","2018-08-14T06:09:44"
"3","87-67-50-03",5,3,323,2,488,"323-488","2018-08-03T06:38:35"
"3","93-74-63-13",2,5,511,2,796,"511-796","2018-07-30T08:06:52"
"2","77-06-78-35",2,5,520,2,1756,"520-1756","2018-07-19T09:09:34"
"2","43-94-49-31",1,25,2503,2,1350,"2503-1350","2018-07-19T13:57:33"
"3","92-27-68-81",4,11,1106,2,1366,"1106-1366","2018-08-11T06:17:50"
"2","66-84-83-86",6,28,2814,1,662,"2814-662","2018-07-19T03:28:18"
"3","94-02-11-97",5,9,908,1,78,"908-78","2018-08-06T10:23:46"
"3","19-85-01-16",4,1,109,2,1996,"109-1996","2018-07-29T10:22:06"
"3","22-73-13-89",4,14,1411,2,836,"1411-836","2018-08-08T12:36:31"
"3","98-82-15-44",4,11,1104,1,2028,"1104-2028","2018-08-13T06:59:27"
"3","67-48-61-94",2,5,507,2,230,"507-230","2018-07-22T07:17:56"
"2","50-03-07-77",1,22,2216,1,428,"2216-428","2018-07-18T09:13:17"
"3","59-68-55-46",5,3,307,1,634,"307-634","2018-08-04T05:52:46"
"3","15-74-97-47",6,24,2419,1,330,"2419-330","2018-08-09T08:15:54"
"3","19-63-24-77",3,17,1721,1,1272,"1721-1272","2018-07-24T08:05:37"
"3","85-26-23-71",6,27,2712,2,172,"2712-172","2018-08-08T07:34:56"
"2","92-88-50-89",3,18,1809,1,1098,"1809-1098","2018-07-18T07:49:32"
"3","03-10-69-55",2,35,3510,2,550,"3510-550","2018-08-05T05:35:08"
"3","89-90-59-53",3,18,1817,2,726,"1817-726","2018-08-07T08:41:49"
"3","29-75-74-52",4,1,105,2,638,"105-638","2018-07-27T09:19:04"
"3","77-33-28-47",6,30,3002,1,1264,"3002-1264","2018-07-19T05:47:43"
"3","14-10-75-43",1,37,3704,2,214,"3704-214","2018-07-28T04:48:25"
"3","63-62-16-77",4,16,1610,2,490,"1610-490","2018-07-26T07:19:27"
"3","40-12-12-69",3,19,1927,2,622,"1927-622","2018-08-06T08:23:38"
"3","93-31-36-22",6,27,2706,2,362,"2706-362","2018-07-30T06:49:32"
"3","43-25-09-15",3,36,3608,2,1300,"3608-1300","2018-07-21T06:04:56"
"3","03-14-52-39",2,5,518,2,1788,"518-1788","2018-08-18T05:14:44"
"3","01-04-36-90",5,6,602,2,1356,"602-1356","2018-07-29T12:15:43"
"3","58-98-39-65",2,5,505,2,1716,"505-1716","2018-08-18T09:39:49"
"3","34-33-60-79",3,33,3321,2,118,"3321-118","2018-07-28T12:46:23"
"3","54-61-53-96",5,3,305,2,1164,"305-1164","2018-08-09T04:47:27"
"2","67-04-03-77",1,37,3705,2,254,"3705-254","2018-07-18T04:47:40"
"3","62-51-25-06",5,10,1013,2,1054,"1013-1054","2018-07-24T06:29:26"
"3","78-07-21-15",1,26,2603,1,658,"2603-658","2018-07-25T04:34:23"
"3","36-45-98-53",3,18,1802,2,1554,"1802-1554","2018-08-01T06:03:10"
"3","06-69-96-14",4,16,1616,2,902,"1616-902","2018-08-04T05:16:53"
"3","25-01-48-76",5,32,3206,2,276,"3206-276","2018-08-02T06:07:17"
"3","90-72-15-89",5,12,1211,1,1250,"1211-1250","2018-07-23T09:41:30"
"3","14-30-17-44",2,35,3514,1,1050,"3514-1050","2018-07-20T06:19:09"
"2","60-07-78-12",6,29,2930,1,1300,"2930-1300","2018-07-18T05:29:27"
"3","24-00-25-93",2,2,211,2,532,"211-532","2018-07-31T11:40:13"
"3","40-52-08-69",2,5,518,2,2802,"518-2802","2018-08-24T06:43:00"
"2","90-01-85-26",6,13,1306,1,140,"1306-140","2018-07-18T09:37:51"
"3","49-71-96-64",3,20,2018,2,1134,"2018-1134","2018-07-31T05:32:36"
"2","10-13-18-38",5,32,3212,2,450,"3212-450","2018-08-13T08:15:39"
"3","34-74-18-63",1,23,2302,2,1982,"2302-1982","2018-08-11T01:41:51"
"3","92-23-89-72",1,23,2311,2,1600,"2311-1600","2018-08-12T02:57:14"
"3","03-71-30-19",2,5,504,2,1162,"504-1162","2018-07-27T11:48:40"
"3","29-90-30-41",2,35,3507,2,596,"3507-596","2018-08-14T09:05:59"
"3","82-66-24-69",4,14,1413,2,670,"1413-670","2018-08-11T09:29:42"
"3","74-73-57-80",1,7,709,2,1226,"709-1226","2018-07-30T03:24:55"
"3","48-51-61-06",3,19,1919,2,366,"1919-366","2018-08-01T07:50:37"
"3","63-64-26-39",6,30,3011,2,306,"3011-306","2018-08-16T07:14:43"
"3","45-48-73-20",1,26,2611,2,424,"2611-424","2018-08-02T04:08:50"
"3","13-89-56-74",3,33,3318,2,1498,"3318-1498","2018-08-06T10:23:25"
"3","38-95-96-53",1,37,3702,1,972,"3702-972","2018-08-01T04:40:02"
"3","82-10-59-69",2,2,215,2,814,"215-814","2018-07-28T10:50:46"
"3","64-87-88-32",1,37,3702,1,158,"3702-158","2018-07-30T18:06:13"
"3","61-75-62-95",3,33,3304,2,418,"3304-418","2018-08-08T07:22:09"
"3","70-94-14-51",4,1,112,2,266,"112-266","2018-08-11T09:12:15"
"3","02-16-29-23",5,10,1023,2,346,"1023-346","2018-08-08T07:30:28"
"2","20-46-18-84",3,21,2106,2,2822,"2106-2822","2018-07-19T04:10:26"
"3","99-48-44-06",3,19,1929,2,108,"1929-108","2018-07-26T05:15:20"
"2","08-68-28-70",1,31,3102,2,14,"3102-14","2018-07-18T05:17:43"
"3","93-65-32-75",2,5,517,2,1424,"517-1424","2018-08-09T05:27:25"
"3","33-54-48-19",3,33,3305,2,846,"3305-846","2018-08-15T05:34:02"
"3","04-78-38-15",1,31,3109,2,1026,"3109-1026","2018-07-27T04:52:16"
"3","46-91-39-98",3,21,2115,2,926,"2115-926","2018-08-02T08:10:02"
"3","78-06-93-64",3,18,1807,2,1754,"1807-1754","2018-08-09T03:24:05"
"3","88-75-08-97",3,21,2115,2,548,"2115-548","2018-08-07T01:43:57"
"3","12-59-69-02",4,14,1406,2,1002,"1406-1002","2018-08-16T08:51:17"
"3","37-55-51-63",4,16,1605,2,180,"1605-180","2018-08-07T06:31:53"
"3","08-21-25-90",1,26,2624,2,118,"2624-118","2018-08-08T07:39:52"
"2","38-46-22-48",4,16,1625,2,210,"1625-210","2018-07-19T05:36:45"
"3","96-89-60-25",1,26,2615,2,556,"2615-556","2018-08-06T10:26:54"
"3","54-81-14-73",1,22,2211,2,594,"2211-594","2018-07-31T06:58:32"
"3","52-97-35-70",5,12,1215,2,810,"1215-810","2018-08-08T06:18:12"
"3","19-13-72-43",4,1,115,1,670,"115-670","2018-08-20T11:49:13"
"3","97-50-60-46",2,15,1506,1,244,"1506-244","2018-07-23T05:23:49"
"3","68-29-84-48",6,24,2403,1,1444,"2403-1444","2018-07-25T06:56:46"
"3","53-19-37-70",3,20,2026,2,1216,"2026-1216","2018-07-23T08:39:23"
"3","53-68-61-13",3,19,1928,2,526,"1928-526","2018-08-11T06:09:50"
"3","87-29-28-77",1,23,2303,2,68,"2303-68","2018-08-06T06:18:59"
"2","23-09-52-23",2,8,821,1,1448,"821-1448","2018-07-18T07:34:25"
"3","57-03-91-09",4,14,1402,2,1686,"1402-1686","2018-08-05T07:03:05"
"3","08-03-09-87",4,1,102,1,806,"102-806","2018-08-18T10:27:55"
"2","40-12-75-77",3,20,2025,2,760,"2025-760","2018-07-21T10:32:47"
"3","75-58-98-73",6,24,2410,1,2522,"2410-2522","2018-08-05T08:38:49"
"3","37-18-96-22",1,22,2213,1,100,"2213-100","2018-07-27T02:46:53"
"2","55-77-73-41",6,27,2701,1,506,"2701-506","2018-07-18T04:33:54"
"3","48-28-95-96",1,7,719,2,270,"719-270","2018-07-28T08:53:48"
"3","52-15-71-10",3,21,2111,2,260,"2111-260","2018-07-22T07:16:10"
"3","03-13-23-26",3,18,1820,2,450,"1820-450","2018-08-07T06:56:44"
"3","49-07-21-59",6,30,3016,2,198,"3016-198","2018-08-14T08:20:57"
"3","63-60-14-19",6,30,3028,2,136,"3028-136","2018-08-11T08:41:27"
"3","20-57-21-53",6,13,1303,1,80,"1303-80","2018-08-29T05:59:58"
"3","06-49-35-62",5,10,1013,2,410,"1013-410","2018-07-19T05:39:12"
"3","18-45-72-15",1,23,2309,2,1574,"2309-1574","2018-07-25T04:25:32"
"3","84-49-33-60",4,16,1611,2,1878,"1611-1878","2018-07-21T04:32:34"
"3","92-80-71-02",1,37,3702,1,1102,"3702-1102","2018-08-10T07:02:44"
"3","96-60-15-66",3,21,2105,2,1606,"2105-1606","2018-07-26T12:39:26"
"3","57-55-65-84",5,9,908,1,278,"908-278","2018-07-21T07:10:20"
"3","07-44-97-33",1,22,2216,1,270,"2216-270","2018-07-20T06:17:43"
"3","24-12-92-50",6,24,2416,1,176,"2416-176","2018-08-05T09:43:13"
"3","57-84-32-28",1,7,711,2,2532,"711-2532","2018-07-27T11:03:18"
"3","92-94-79-12",3,18,1805,2,674,"1805-674","2018-07-31T05:12:39"
"3","04-91-91-26",3,18,1813,2,522,"1813-522","2018-08-05T06:21:46"
"3","64-90-33-79",3,33,3313,2,930,"3313-930","2018-07-31T12:53:48"
"3","28-66-83-26",3,18,1805,2,792,"1805-792","2018-07-29T10:25:23"
"3","25-31-56-62",6,27,2712,2,110,"2712-110","2018-08-06T09:42:48"
"3","42-74-41-76",5,32,3215,1,2978,"3215-2978","2018-07-20T11:27:52"
"3","92-25-49-43",5,12,1216,2,618,"1216-618","2018-08-09T05:47:15"
"3","40-27-87-25",6,13,1307,1,1178,"1307-1178","2018-07-31T10:35:41"
"2","96-57-22-78",5,3,329,2,608,"329-608","2018-07-18T04:29:13"
"3","65-13-55-68",6,24,2404,1,1342,"2404-1342","2018-08-07T06:06:37"
"3","40-10-86-88",6,13,1306,1,342,"1306-342","2018-07-23T08:46:48"
"3","28-30-25-94",6,27,2716,2,44,"2716-44","2018-07-20T06:20:49"
"3","62-37-81-47",6,30,3015,2,260,"3015-260","2018-08-08T04:49:11"
"3","47-70-21-57",5,3,326,2,502,"326-502","2018-08-06T07:07:53"
"3","23-99-15-77",3,19,1940,2,648,"1940-648","2018-07-24T06:21:25"
"3","69-99-91-01",3,33,3323,2,92,"3323-92","2018-07-19T04:27:55"
"3","42-91-10-61",6,24,2416,1,2028,"2416-2028","2018-08-03T09:13:30"
"3","70-59-88-80",2,35,3512,2,478,"3512-478","2018-07-22T09:17:23"
"3","96-03-04-95",5,9,901,2,398,"901-398","2018-08-15T04:10:09"
"3","39-69-76-43",2,2,211,2,668,"211-668","2018-08-02T12:17:19"
"2","34-34-35-07",1,26,2604,2,1652,"2604-1652","2018-07-19T03:24:38"
"3","92-87-57-41",2,2,203,2,1224,"203-1224","2018-08-01T01:16:51"
"3","67-58-07-05",4,14,1408,2,1996,"1408-1996","2018-07-30T08:49:51"
