"zone","state","lga","sector","ea","hhid","s11c3q12"
4,1,113,2,44,19188,
4,1,113,2,44,19191,
4,1,113,2,44,19192,
4,1,113,2,284,19193,600
4,1,113,2,284,19194,
4,1,113,2,284,19195,
4,1,113,2,284,19196,
4,1,113,2,284,19197,
4,1,113,2,284,19198,
4,1,113,2,284,19199,
4,1,113,2,284,19201,
4,1,113,2,284,19202,
4,1,113,2,284,19204,
4,1,115,1,176,19205,
4,1,115,1,176,19206,
4,1,115,1,176,19207,
4,1,115,1,176,19208,
4,1,115,1,176,19209,
4,1,115,1,176,19211,
4,1,115,1,176,19213,
4,1,115,1,176,19214,
4,1,115,1,176,19215,
4,1,115,1,550,19217,
4,1,115,1,550,19218,
4,1,115,1,550,19222,
4,1,115,1,550,19224,
4,1,115,1,550,19225,
4,1,115,1,550,19226,
4,1,115,1,550,19227,
4,1,115,1,550,19228,
4,1,117,2,800,19230,1000
4,1,117,2,800,19231,0
4,1,117,2,800,19232,1600
4,1,117,2,800,19234,
4,1,117,2,800,19235,
4,1,117,2,800,19236,
4,1,117,2,800,19238,1000
4,1,117,2,800,19239,0
4,1,102,1,46,19242,
4,1,102,1,806,19244,
4,1,102,1,2486,19245,
4,1,104,2,1020,19250,0
4,1,107,2,1322,19254,0
4,1,112,2,266,19266,300
4,1,113,2,6,19269,
4,1,115,1,550,19277,
4,1,115,1,550,19278,
4,1,117,2,800,19279,
4,1,117,2,800,19280,0
4,1,102,1,806,19284,
2,2,209,2,1040,20001,600
2,2,209,2,1040,20002,0
2,34,3401,2,0,20003,100
2,2,209,2,1040,20005,
2,2,209,2,1040,20006,0
2,2,209,2,1040,20007,0
2,2,209,2,1040,20008,0
2,34,209,2,0,20009,1000
2,2,209,2,1040,20010,
2,2,203,2,1224,20041,0
2,2,203,2,1224,20042,600
2,2,203,2,1224,20043,400
2,2,203,2,1224,20044,300
2,2,203,2,1224,20045,400
2,2,203,2,1224,20046,400
2,2,203,2,1224,20047,1000
2,2,203,2,1224,20048,500
2,2,203,2,1224,20049,400
2,2,203,2,1224,20050,
2,2,210,2,1300,20061,100
2,2,210,2,1300,20062,600
2,2,210,2,1300,20063,1200
2,2,210,2,1300,20064,
2,2,210,2,1300,20065,0
2,2,210,2,1300,20066,200
2,2,210,2,1300,20068,400
2,2,210,2,1300,20069,1100
2,2,210,2,1300,20070,0
2,2,207,2,1302,20091,0
2,2,207,2,1302,20092,0
2,2,207,2,1302,20093,300
2,2,207,2,1302,20094,500
2,2,207,2,1302,20095,0
2,2,207,2,1302,20096,300
2,2,207,2,1302,20097,500
2,2,207,2,1302,20098,1500
2,2,207,2,1302,20099,300
2,2,207,2,1302,20100,0
2,2,205,2,712,20101,300
2,2,205,2,712,20102,0
2,2,205,2,712,20103,0
2,2,205,2,712,20104,100
2,2,205,2,712,20105,
2,2,205,2,712,20106,1500
2,2,205,2,712,20107,
2,2,205,2,712,20108,
2,2,205,2,712,20110,300
2,2,204,2,144,29001,600
2,2,204,2,144,29002,800
2,2,204,2,144,29003,
2,2,204,2,144,29004,0
2,2,204,2,144,29005,350
2,2,204,2,144,29006,850
2,2,204,2,144,29007,850
2,2,204,2,144,29008,200
2,2,204,2,144,29009,
2,2,204,2,144,29010,
2,2,205,2,206,29013,0
2,2,205,2,206,29014,0
2,2,205,2,206,29017,
2,2,205,2,206,29018,200
2,2,205,2,206,29019,0
2,2,205,2,206,29020,750
2,2,205,2,206,29021,0
2,2,205,2,206,29022,0
2,2,205,2,206,29023,600
2,2,205,2,206,29024,
2,2,207,2,158,29025,600
4,4,402,,0,29026,4500
2,2,207,2,158,29028,800
2,2,207,2,158,29029,800
2,2,207,2,158,29031,350
2,2,207,2,158,29032,600
2,2,207,2,158,29033,1000
2,2,207,2,158,29034,960
2,2,207,2,158,29035,1200
2,2,207,2,158,29036,1400
2,2,208,2,300,29037,600
2,2,208,2,300,29038,600
2,2,208,2,300,29039,1000
2,2,208,2,300,29041,1500
2,2,208,2,300,29042,0
2,2,208,2,300,29044,0
2,2,208,2,300,29045,500
2,2,208,2,300,29046,500
2,2,208,2,300,29047,500
2,2,208,2,300,29048,
2,2,209,2,10,29050,600
2,2,209,2,10,29051,0
2,2,209,2,10,29052,0
2,2,209,2,10,29053,
2,2,209,2,10,29054,0
2,2,209,2,10,29055,0
2,2,209,2,10,29056,0
2,2,209,2,10,29057,0
2,2,209,2,10,29058,0
2,2,209,2,10,29060,0
2,2,210,2,924,29061,1000
2,2,210,2,924,29062,1000
2,2,210,2,924,29063,1000
2,2,210,2,924,29064,0
2,2,210,2,924,29065,600
2,2,210,2,924,29066,400
2,2,210,2,924,29068,750
2,2,210,2,924,29070,1500
2,2,210,2,924,29071,1000
2,2,210,2,924,29072,600
2,2,211,2,344,29073,1400
2,2,211,2,344,29074,400
2,2,211,2,344,29076,0
2,2,211,2,344,29077,
2,2,211,2,344,29078,600
2,2,211,2,344,29079,300
2,2,211,2,344,29080,0
2,2,211,2,344,29082,0
2,2,211,2,344,29083,800
2,2,211,2,344,29084,600
2,2,211,2,532,29085,500
2,2,211,2,532,29086,16000
2,2,211,2,532,29087,600
2,2,211,2,532,29089,600
2,2,211,2,532,29090,3000
2,2,211,2,532,29091,500
2,2,211,2,532,29092,0
2,2,211,2,532,29094,0
2,2,211,2,532,29095,2000
2,2,211,2,532,29096,2000
2,2,211,2,668,29097,300
2,2,211,2,668,29099,300
2,2,211,2,668,29100,0
2,2,211,2,668,29101,400
2,2,211,2,668,29102,0
2,2,211,2,668,29103,100
2,2,211,2,668,29104,0
2,2,211,2,668,29105,0
2,2,211,2,668,29107,
2,2,211,2,668,29108,0
2,2,212,2,100,29109,800
2,2,212,2,100,29110,
2,2,212,2,100,29111,1500
2,2,212,2,100,29112,400
2,2,212,2,100,29113,
2,2,212,2,100,29115,400
2,2,212,2,100,29116,0
2,2,212,2,100,29118,0
2,2,212,2,100,29119,600
2,2,212,2,100,29120,600
2,2,212,2,1254,29121,400
2,2,212,2,1254,29122,400
2,2,212,2,1254,29123,0
2,2,212,2,1254,29124,400
2,2,212,2,1254,29126,280
2,2,212,2,1254,29127,0
2,2,212,2,1254,29128,
2,2,212,2,1254,29130,0
2,2,212,2,1254,29131,300
2,2,212,2,1254,29132,300
2,2,213,1,1010,29133,200
2,2,213,1,1010,29134,0
2,2,213,1,1010,29135,1000
2,2,213,1,1010,29136,
2,2,213,1,1010,29138,1000
2,2,213,1,1010,29139,600
2,2,213,1,1010,29140,0
2,2,213,1,1010,29142,0
2,2,213,1,1010,29143,0
2,2,213,1,1010,29144,200
2,2,213,2,1282,29147,400
2,2,213,2,1282,29148,0
2,2,213,2,1282,29149,400
2,2,213,2,1282,29150,400
2,2,213,2,1282,29151,300
2,2,213,2,1282,29152,300
2,2,213,2,1282,29153,0
2,2,213,2,1282,29154,0
2,2,213,2,1282,29155,300
2,2,213,2,1282,29156,300
2,2,213,2,1406,29158,400
2,2,213,2,1406,29160,400
2,2,213,2,1406,29161,300
2,2,213,2,1406,29162,300
2,2,213,2,1406,29163,100
2,2,213,2,1406,29164,100
2,2,213,2,1406,29165,0
2,2,213,2,1406,29166,0
2,2,213,2,1406,29167,0
2,2,213,2,1406,29168,200
2,2,215,2,814,29169,400
2,2,215,2,814,29170,6600
2,2,215,2,814,29171,600
2,2,215,2,814,29172,600
2,2,215,2,814,29173,600
2,2,215,2,814,29174,600
2,2,215,2,814,29175,0
2,2,215,2,814,29176,300
2,2,215,2,814,29178,800
2,2,215,2,814,29179,600
2,2,218,2,1624,29181,0
2,2,201,,0,29182,
2,2,218,2,1624,29183,400
2,2,218,2,1624,29185,
2,2,218,2,1624,29186,150
2,2,218,2,1624,29187,0
2,2,218,2,1624,29188,3000
2,2,218,2,1624,29189,500
2,2,218,2,1624,29191,0
2,2,218,2,1624,29192,400
2,2,219,2,124,29193,300
2,2,219,2,124,29194,1200
2,2,219,2,124,29195,200
2,2,219,2,124,29196,1500
2,2,219,2,124,29198,650
2,2,219,2,124,29199,200
2,2,219,2,124,29200,300
2,2,219,2,124,29202,500
2,2,219,2,124,29203,0
2,2,219,2,124,29204,300
2,2,220,2,112,29206,
2,2,220,2,112,29208,
2,2,220,2,112,29209,
2,2,220,2,112,29210,
2,2,220,2,112,29211,
2,2,220,2,112,29212,300
2,2,220,2,112,29213,
2,2,220,2,112,29214,
2,2,220,2,112,29215,
2,2,220,2,112,29216,
