"zone","state","lga","sector","ea","hhid","plotid","indiv","sa2aq1b","sa2aq1c","sa2aq1d__1","sa2aq1d__2","sa2aq1d__3","sa2aq1d__4","sa2aq1d__5","sa2aq1d__6"
4,1,105,2,638,10092,1,1,10,6,0,0,1,0,1,0
4,1,105,2,638,10092,2,1,8,6,0,0,1,0,1,0
5,3,322,2,0,10093,2,2,10,4,0,0,0,0,1,0
5,3,322,2,0,10093,2,3,10,4,0,0,0,0,1,0
5,3,322,2,0,10093,2,5,10,4,0,0,0,0,1,0
5,3,322,2,0,10093,4,2,12,4,0,0,0,0,1,0
5,3,322,2,0,10093,4,3,12,4,0,0,0,0,1,0
5,3,322,2,0,10093,4,5,12,4,0,0,0,0,1,0
5,3,322,2,0,10093,6,2,3,1,0,0,0,0,1,0
5,3,322,2,0,10093,6,3,2,1,0,0,0,0,1,0
4,1,105,2,638,10094,1,1,8,8,0,0,1,0,1,0
4,1,105,2,638,10094,2,1,5,6,0,0,1,0,1,0
4,1,105,2,638,10094,2,2,5,6,0,0,1,0,1,0
4,1,105,2,638,10096,1,5,12,3,0,0,1,0,1,0
4,1,105,2,638,10096,2,5,9,5,0,0,1,0,1,0
4,1,105,2,638,10097,1,6,3,1,0,0,1,0,1,0
4,1,105,2,638,10097,1,7,3,1,0,0,1,0,1,0
4,1,105,2,638,10097,1,8,3,1,0,0,1,0,1,0
4,1,105,2,638,10097,2,6,2,1,0,0,1,0,1,0
4,1,105,2,638,10097,2,7,2,1,0,0,1,0,1,0
4,1,105,2,638,10097,2,8,2,1,0,0,1,0,1,0
4,1,105,2,638,10097,3,6,2,1,0,0,1,0,1,0
4,1,105,2,638,10097,3,7,2,1,0,0,1,0,1,0
4,1,105,2,638,10097,3,8,2,1,0,0,1,0,1,0
4,1,105,2,638,10099,1,1,1,3,0,0,1,0,1,0
4,1,105,2,638,10100,1,1,2,6,0,0,1,0,1,0
4,1,105,2,638,10100,2,1,2,6,0,0,1,0,1,0
4,1,105,2,638,10100,3,2,3,4,0,0,1,0,1,0
4,1,108,2,904,10102,1,1,22,5,0,0,1,0,1,0
4,1,108,2,904,10102,2,1,12,5,0,0,1,0,1,0
4,1,108,2,904,10103,1,1,16,2,0,0,1,0,1,0
4,1,108,2,904,10103,1,2,16,3,0,0,1,0,1,0
4,1,108,2,904,10103,2,1,15,3,0,0,1,0,1,0
4,1,108,2,904,10103,2,2,15,3,0,0,1,0,1,0
4,1,108,2,904,10104,1,1,15,6,0,0,1,0,1,0
4,1,108,2,904,10105,1,1,18,5,0,0,1,0,0,0
4,1,108,2,904,10105,1,4,12,5,0,0,1,1,0,0
4,1,108,2,904,10105,2,1,12,5,0,0,1,0,1,0
4,1,108,2,904,10105,2,2,10,6,0,0,0,0,1,0
4,1,108,2,904,10105,2,4,12,5,0,0,1,0,1,0
4,1,108,2,904,10106,1,1,3,2,0,0,1,0,1,0
4,1,108,2,904,10106,2,1,2,3,0,0,1,0,1,0
4,1,108,2,904,10106,3,1,3,2,0,0,1,0,1,0
4,1,108,2,904,10107,2,1,4,5,0,0,1,0,1,0
4,1,108,2,904,10108,1,3,12,4,0,0,1,0,1,0
