"zone","state","lga","sector","ea","hhid","item_cd","s10cq8"
4,1,111,1,1146,10040,5,3
4,1,111,1,1146,10040,6,4
4,1,111,1,1146,10040,7,1
4,1,111,1,1146,10040,8,5
4,1,111,1,1146,10040,9,6
4,1,111,1,1146,10040,10,5
4,1,111,1,1146,10040,11,4
4,1,102,1,1690,10051,1,3
4,1,102,1,1690,10051,2,3
4,1,102,1,1690,10051,3,2
4,1,102,1,1690,10051,4,2
4,1,102,1,1690,10051,5,2
4,1,102,1,1690,10051,6,1
4,1,102,1,1690,10051,7,0
4,1,102,1,1690,10051,8,3
4,1,102,1,1690,10051,9,3
4,1,102,1,1690,10051,10,0
4,1,102,1,1690,10051,11,2
4,1,102,1,1690,10053,1,2
4,1,102,1,1690,10053,2,5
4,1,102,1,1690,10053,3,2
4,1,102,1,1690,10053,4,4
4,1,102,1,1690,10053,5,6
4,1,102,1,1690,10053,6,0
4,1,102,1,1690,10053,7,2
4,1,102,1,1690,10053,8,2
4,1,102,1,1690,10053,9,3
4,1,102,1,1690,10053,10,0
4,1,102,1,1690,10053,11,2
4,1,102,1,1690,10054,1,2
4,1,102,1,1690,10054,2,3
4,1,102,1,1690,10054,3,2
4,1,102,1,1690,10054,4,2
4,1,102,1,1690,10054,5,2
4,1,102,1,1690,10054,6,2
4,1,102,1,1690,10054,7,2
4,1,102,1,1690,10054,8,5
4,1,102,1,1690,10054,9,3
4,1,102,1,1690,10054,10,0
4,1,102,1,1690,10054,11,5
4,1,102,1,0,10055,1,3
4,1,102,1,0,10055,2,3
4,1,102,1,0,10055,3,2
4,1,102,1,0,10055,4,4
4,1,102,1,0,10055,5,5
4,1,102,1,0,10055,6,0
4,1,102,1,0,10055,7,4
4,1,102,1,0,10055,8,3
4,1,102,1,0,10055,9,4
4,1,102,1,0,10055,10,0
4,1,102,1,0,10055,11,3
4,1,102,1,1690,10056,1,2
4,1,102,1,1690,10056,2,2
4,1,102,1,1690,10056,3,1
4,1,102,1,1690,10056,4,2
4,1,102,1,1690,10056,5,2
4,1,102,1,1690,10056,6,0
4,1,102,1,1690,10056,7,1
4,1,102,1,1690,10056,8,4
4,1,102,1,1690,10056,9,3
4,1,102,1,1690,10056,10,0
4,1,102,1,1690,10056,11,4
4,1,102,1,1690,10057,1,3
4,1,102,1,1690,10057,2,2
4,1,102,1,1690,10057,3,2
4,1,102,1,1690,10057,4,3
4,1,102,1,1690,10057,5,2
4,1,102,1,1690,10057,6,1
4,1,102,1,1690,10057,7,2
4,1,102,1,1690,10057,8,3
4,1,102,1,1690,10057,9,2
4,1,102,1,1690,10057,10,0
4,1,102,1,1690,10057,11,3
4,1,102,1,1690,10058,1,3
4,1,102,1,1690,10058,2,4
4,1,102,1,1690,10058,3,2
4,1,102,1,1690,10058,4,4
4,1,102,1,1690,10058,5,4
4,1,102,1,1690,10058,6,0
4,1,102,1,1690,10058,7,0
4,1,102,1,1690,10058,8,2
4,1,102,1,1690,10058,9,4
4,1,102,1,1690,10058,10,2
4,1,102,1,1690,10058,11,4
4,1,102,1,1690,10059,1,3
4,1,102,1,1690,10059,2,4
4,1,102,1,1690,10059,3,2
4,1,102,1,1690,10059,4,4
